
[00:00:00.000 --> 00:00:04.560]   [intro music]
[00:00:04.560 --> 00:00:07.360]   How do I wage war against my self-pity?
[00:00:07.360 --> 00:00:12.800]   Michael, a listener from Portland, wants help in the battle that he's facing.
[00:00:12.800 --> 00:00:15.240]   Pastor John, thank you for this podcast.
[00:00:15.240 --> 00:00:21.960]   I struggle with self-pity and often self-justify my self-pity by rationalizing it in my own
[00:00:21.960 --> 00:00:22.960]   head.
[00:00:22.960 --> 00:00:24.520]   Have you experienced this too?
[00:00:24.520 --> 00:00:29.800]   If so, what are the best arguments you've made from your own flesh to justify your self-pity
[00:00:29.800 --> 00:00:36.560]   and what biblical arguments do you use to make war against those selfish arguments?
[00:00:36.560 --> 00:00:38.120]   Pastor John, what would you say to Michael?
[00:00:38.120 --> 00:00:42.760]   Well, Michael asked, "Have you ever experienced this?"
[00:00:42.760 --> 00:00:50.160]   So let me put my answer to his question in an autobiographical form.
[00:00:50.160 --> 00:00:57.920]   Ten years ago this year, I took a leave of absence from the Zen pastoral ministry, and
[00:00:57.920 --> 00:01:03.920]   the reason I asked the elders and the church quite openly for this leave was to do what
[00:01:03.920 --> 00:01:06.500]   I called a "soul check."
[00:01:06.500 --> 00:01:15.400]   During that leave, I tried to be very specific in identifying my own characteristic besetting
[00:01:15.400 --> 00:01:24.960]   sins, and it became evident that they were an ugly cluster of selfishness, proneness
[00:01:24.960 --> 00:01:32.000]   to anger, self-pity, quickness to blame, sullenness.
[00:01:32.000 --> 00:01:33.520]   That's the cluster.
[00:01:33.520 --> 00:01:42.040]   And at the root of that was what I called selfishness, and selfishness had five reflexes
[00:01:42.040 --> 00:01:44.720]   that I could discern very clearly.
[00:01:44.720 --> 00:01:47.920]   I'll tell you in a minute why I call them reflexes.
[00:01:47.920 --> 00:01:52.600]   One, the reflex of expecting that I be served, thank you.
[00:01:52.600 --> 00:01:56.440]   The reflex of feeling I am owed.
[00:01:56.440 --> 00:01:59.460]   The reflex of wanting praise.
[00:01:59.460 --> 00:02:03.540]   The reflex of expecting that things will go my way.
[00:02:03.540 --> 00:02:11.000]   The reflex of feeling that I have the right to react negatively to being crossed in my
[00:02:11.000 --> 00:02:12.000]   desires.
[00:02:12.000 --> 00:02:21.520]   Now, the reason I call those five things reflexes of selfishness is because I don't premeditate
[00:02:21.520 --> 00:02:22.520]   any of them.
[00:02:22.520 --> 00:02:25.360]   They just happen in my head, in my heart.
[00:02:25.360 --> 00:02:28.800]   I didn't decide for any of those to happen.
[00:02:28.800 --> 00:02:31.240]   They just are there.
[00:02:31.240 --> 00:02:42.200]   That's how rooted our unmortified corruption and remaining indwelling sin and selfishness
[00:02:42.200 --> 00:02:44.560]   is.
[00:02:44.560 --> 00:02:54.720]   And I noticed as I kept my sin before my own eyes, I noticed that these selfish reflexes
[00:02:54.720 --> 00:03:02.280]   gave rise to four characteristic things that were manifest for others to see, not just
[00:03:02.280 --> 00:03:04.240]   in my head, but obvious.
[00:03:04.240 --> 00:03:11.640]   One, anger, the strong emotional opposition to the obstacle that just got in my way.
[00:03:11.640 --> 00:03:19.740]   Number two, self-pity, a desire that others feel my woundedness and admire me for being
[00:03:19.740 --> 00:03:22.240]   so mistreated.
[00:03:22.240 --> 00:03:24.280]   And that's the one Mike is asking about.
[00:03:24.280 --> 00:03:32.120]   And third, quickness to blame, a reflex to attribute to others the cause of my frustrating
[00:03:32.120 --> 00:03:34.120]   situation.
[00:03:34.120 --> 00:03:41.840]   And fourth, sullenness, kind of a sinking discouragement, moodiness, hopelessness, unresponsiveness,
[00:03:41.840 --> 00:03:45.160]   withdrawn deadness of emotion.
[00:03:45.160 --> 00:03:53.380]   That's the cluster of John Piper's besetting sins as I identified them 10 years ago.
[00:03:53.380 --> 00:04:01.320]   So what did I learn about the defeat of these monsters in that leave, which has, I think,
[00:04:01.320 --> 00:04:07.480]   I believe you'd have to ask my wife probably, had gotten me more victory in the last 10
[00:04:07.480 --> 00:04:10.600]   years than I had before.
[00:04:10.600 --> 00:04:18.680]   What the Bible showed me was that there was a disconnect between Christ's cancellation
[00:04:18.680 --> 00:04:29.360]   of my sins on the cross and my conscious willed opposition and conquering of my own sins through
[00:04:29.360 --> 00:04:32.720]   blood-bought, spirit-empowered effort.
[00:04:32.720 --> 00:04:34.720]   It was a disconnect.
[00:04:34.720 --> 00:04:46.480]   In other words, God blasted a pattern of passivity that had developed in me toward those particular
[00:04:46.480 --> 00:04:48.440]   cluster of sins.
[00:04:48.440 --> 00:04:57.120]   He forced into my face the biblical reality that canceled sins, that is, blood-covered
[00:04:57.120 --> 00:05:08.800]   sins must be killed consciously, with effort, by faith, in the Spirit, not coddled.
[00:05:08.800 --> 00:05:18.280]   And one of the ways God forced this discovery on me was to expose the inconsistency between
[00:05:18.280 --> 00:05:25.560]   the very active way that I fought sexual temptation and the fairly passive way that I handled
[00:05:25.560 --> 00:05:27.400]   the temptation to self-pity.
[00:05:27.400 --> 00:05:29.520]   Now right there's the nub of the matter.
[00:05:29.520 --> 00:05:40.040]   I had the unspoken assumption that sexual lust must be attacked directly, consciously,
[00:05:40.040 --> 00:05:45.960]   forcefully, with effort of my mind and my will, since Jesus said, "Tear out your eye,
[00:05:45.960 --> 00:05:46.960]   Piper.
[00:05:46.960 --> 00:05:51.600]   Cut off your hand if you have to," when it comes to the temptation of lust.
[00:05:51.600 --> 00:06:00.520]   But for some crazy, demonic reason, I kind of assumed I could not attack these other
[00:06:00.520 --> 00:06:06.440]   besetting sins in the same vicious way, and they would somehow just kind of dry up and
[00:06:06.440 --> 00:06:12.480]   disappear by some inner, unconscious work of the Holy Spirit, without any spirit-empowered,
[00:06:12.480 --> 00:06:19.320]   conscious, ruthless, vicious, angry, "God, I'm a life devil," effort to cut my hand
[00:06:19.320 --> 00:06:22.560]   off or gouge my eye out.
[00:06:22.560 --> 00:06:30.800]   But it became increasingly clear during this leave of absence that the link between the
[00:06:30.800 --> 00:06:40.800]   cancellation of my sin on the cross and the conquering of my sin was sanctified effort.
[00:06:40.800 --> 00:06:52.000]   Now to be sure, the only effort that avails is blood-bought effort, spirit-wrought effort.
[00:06:52.000 --> 00:06:58.840]   But it is nevertheless a conscious effort of the sanctified will.
