
[00:00:00.000 --> 00:00:02.380]   [silence]
[00:00:02.380 --> 00:00:04.220]   When we pay careful attention,
[00:00:04.220 --> 00:00:05.980]   there are two neurochemicals,
[00:00:05.980 --> 00:00:08.300]   neuromodulators as they're called,
[00:00:08.300 --> 00:00:11.580]   that are released from multiple sites in our brain
[00:00:11.580 --> 00:00:14.860]   that highlight the neural circuits
[00:00:14.860 --> 00:00:18.020]   that stand a chance of changing.
[00:00:18.020 --> 00:00:20.260]   Now, it's not necessarily the case
[00:00:20.260 --> 00:00:21.340]   that they're going to change,
[00:00:21.340 --> 00:00:23.400]   but it's the first gate that has to open
[00:00:23.400 --> 00:00:24.980]   in order for change to occur.
[00:00:24.980 --> 00:00:27.280]   And the first neurochemical is epinephrine,
[00:00:27.280 --> 00:00:28.300]   also adrenaline.
[00:00:29.180 --> 00:00:30.820]   We call it adrenaline when it's released
[00:00:30.820 --> 00:00:33.280]   from the adrenal glands above our kidneys.
[00:00:33.280 --> 00:00:34.120]   That's in the body.
[00:00:34.120 --> 00:00:35.580]   We call it epinephrine in the brain,
[00:00:35.580 --> 00:00:38.340]   but they are chemically identical substances.
[00:00:38.340 --> 00:00:42.660]   Epinephrine is released from a region in the brainstem
[00:00:42.660 --> 00:00:44.540]   called locus coeruleus.
[00:00:44.540 --> 00:00:48.060]   Fancy name, you don't need to know it unless you want to.
[00:00:48.060 --> 00:00:53.060]   Locus coeruleus sends out these little wires we call axons
[00:00:53.060 --> 00:00:57.580]   such that it hoses the entire brain, essentially,
[00:00:57.580 --> 00:00:59.940]   in this neurochemical epinephrine.
[00:00:59.940 --> 00:01:02.300]   Now, it's not always hosing the brain with epinephrine.
[00:01:02.300 --> 00:01:05.060]   It's only when we are in high states of alertness
[00:01:05.060 --> 00:01:06.980]   that this epinephrine is released.
[00:01:06.980 --> 00:01:08.560]   But the way this circuit is designed,
[00:01:08.560 --> 00:01:10.820]   it's very nonspecific.
[00:01:10.820 --> 00:01:12.900]   It's essentially waking up the entire brain.
[00:01:12.900 --> 00:01:14.980]   And that's because the way that epinephrine works
[00:01:14.980 --> 00:01:16.580]   by binding particular receptors
[00:01:16.580 --> 00:01:20.780]   is to increase the likelihood that neurons will be active.
[00:01:20.780 --> 00:01:24.740]   So no alertness, no neuroplasticity.
[00:01:24.740 --> 00:01:28.160]   However, alertness alone is not sufficient.
[00:01:28.160 --> 00:01:29.600]   As we would say, it's necessary,
[00:01:29.600 --> 00:01:32.060]   but not sufficient for neuroplasticity.
[00:01:32.060 --> 00:01:35.780]   We know this is true also from the work of Hubel and Wiesel
[00:01:35.780 --> 00:01:38.460]   where they looked at brain plasticity
[00:01:38.460 --> 00:01:40.660]   in response to certain experiences
[00:01:40.660 --> 00:01:44.460]   in subjects that were either awake or asleep.
[00:01:44.460 --> 00:01:46.180]   And I hate to break it to you,
[00:01:46.180 --> 00:01:49.500]   but you cannot just simply listen to things in your sleep
[00:01:49.500 --> 00:01:51.800]   and learn those materials.
[00:01:51.800 --> 00:01:53.620]   Later, I'll talk about how you can do certain things
[00:01:53.620 --> 00:01:54.860]   in your sleep that you're unaware of
[00:01:54.860 --> 00:01:56.580]   that can enhance learning of things
[00:01:56.580 --> 00:01:59.380]   that you were aware of while you were awake.
[00:01:59.380 --> 00:02:03.020]   But that is not the same as just listening to some music
