
[00:00:00.000 --> 00:00:10.880]   Hi, everybody.
[00:00:10.880 --> 00:00:19.800]   Can you see and hear okay?
[00:00:19.800 --> 00:00:27.600]   Great.
[00:00:27.600 --> 00:00:29.640]   And that response came back pretty quickly.
[00:00:29.640 --> 00:00:37.920]   So hopefully the latency is a bit lower.
[00:00:37.920 --> 00:00:44.320]   So Sam asked before we start to give you a reminder that here's conference in San Francisco.
[00:00:44.320 --> 00:00:51.600]   Today is the last day to get early bed tickets.
[00:00:51.600 --> 00:01:04.000]   So remember if you're interested, the code is fast AI to get an extra 20% off.
[00:01:04.000 --> 00:01:05.000]   Okay.
[00:01:05.000 --> 00:01:13.680]   I was thinking I would do something crazy today, which is to do some live coding, which
[00:01:13.680 --> 00:01:17.720]   is going to be terrifying because I'm not sure I've really done that before.
[00:01:17.720 --> 00:01:23.440]   Oh, hey there, Max, welcome.
[00:01:23.440 --> 00:01:34.480]   So I was going to try and do some live coding to try to explain what transform does and
[00:01:34.480 --> 00:01:44.320]   try and justify like why it does it and why it exists to kind of try to, yeah, basically
[00:01:44.320 --> 00:01:46.480]   see why we ended up where we ended up.
[00:01:46.480 --> 00:01:59.120]   I think we did something like 26 rewrites from scratch of the data transform functionality
[00:01:59.120 --> 00:02:07.160]   over a many month period, because it was just super hard to get everything really easy and
[00:02:07.160 --> 00:02:11.480]   clear and maintainable and stuff like that.
[00:02:11.480 --> 00:02:15.160]   So I'm really happy with where we got to and that might be helpful for you to see why we
[00:02:15.160 --> 00:02:18.400]   got here.
[00:02:18.400 --> 00:02:26.440]   So maybe let's start by writing a function.
[00:02:26.440 --> 00:02:38.600]   So our function is going to be called neg and it's going to return negative, which you
[00:02:38.600 --> 00:02:44.360]   might recognize actually is the same as the operator.neg function, but we're writing it
[00:02:44.360 --> 00:02:46.400]   ourselves.
[00:02:46.400 --> 00:02:53.960]   So we can say neg three, for instance.
[00:02:53.960 --> 00:02:58.400]   And that's how Python will do that.
[00:02:58.400 --> 00:03:08.920]   What if we did neg of some tuple, let's create a tuple, one kernel three, we get neg of some
[00:03:08.920 --> 00:03:10.920]   tuple.
[00:03:10.920 --> 00:03:17.000]   Oh, it doesn't work.
[00:03:17.000 --> 00:03:23.280]   That's actually kind of annoying because, I mean, it's the first thing to recognize is
[00:03:23.280 --> 00:03:27.840]   like this is this is a behavior.
[00:03:27.840 --> 00:03:32.200]   It's a behavior that can be chosen from a number of possible behaviors and this particular
[00:03:32.200 --> 00:03:37.320]   behavior is how Python behaves and it's totally fine.
[00:03:37.320 --> 00:03:52.360]   And as you know, if we had an array, for instance, we would get different behavior.
[00:03:52.360 --> 00:03:58.680]   So one of the very, very, very nice things, in fact, to me, the best part of Python is
[00:03:58.680 --> 00:04:07.880]   that Python lets us change how it behaves according to what we want for our domain.
[00:04:07.880 --> 00:04:17.880]   In the domain of data processing, we're particularly interested in tuples or tuple-like things
[00:04:17.880 --> 00:04:23.400]   because generally speaking, we're going to have, you know, an x and a y.
[00:04:23.400 --> 00:04:37.080]   So for example, we would have an image and a label such as a pet.
[00:04:37.080 --> 00:04:46.600]   Other possibilities would be a source image and a mask for segmentation.
[00:04:46.600 --> 00:04:59.960]   Another possibility would be an image tuple and a bool, which would be for Siamese, segmentation,
[00:04:59.960 --> 00:05:15.400]   Siamese, categorization, or it could be a tuple of continuous columns and categorical
[00:05:15.400 --> 00:05:27.920]   columns and a target column such as for tabular.
[00:05:27.920 --> 00:05:36.600]   So we would quite like neg to behave for our tuple in a way that's different to Python
[00:05:36.600 --> 00:05:45.360]   and perhaps works a little bit more like the way that it works for array.
[00:05:45.360 --> 00:06:00.000]   So what we could do is we could repeat our function and to add new behavior to a function
[00:06:00.000 --> 00:06:07.400]   or a class in Python, you do it by adding a decorator.
[00:06:07.400 --> 00:06:18.320]   So we created a decorator called transform, which will cause our function to work the
[00:06:18.320 --> 00:06:20.680]   way we want.
[00:06:20.680 --> 00:06:25.360]   So now here we have it, minus one, minus three.
[00:06:25.360 --> 00:06:31.440]   So let's say we grab an image.
[00:06:31.440 --> 00:06:37.440]   And so we've got a file name, FM, which is an image, so let's grab the image, which will
[00:06:37.440 --> 00:06:59.280]   be log image FM, there's our image, and so let's create a tensor of the image as well,
[00:06:59.280 --> 00:07:07.920]   which we could do like this.
[00:07:07.920 --> 00:07:14.720]   OK, maybe just look at a few rows of it.
[00:07:14.720 --> 00:07:26.760]   OK, so we could let's look at some rows more around the middle.
[00:07:26.760 --> 00:07:40.640]   OK, so we could, of course, do negative of that, no problem.
[00:07:40.640 --> 00:07:49.480]   Or if we had two of those in a tuple, we could create a tuple with a couple of images.
[00:07:49.480 --> 00:07:57.520]   And actually, this is not doing the negative, we're not getting a negative here.
[00:07:57.520 --> 00:08:13.840]   OK, interesting question, tag the image, row, color, date.
[00:08:13.840 --> 00:08:28.040]   Hmm, interesting, what am I doing wrong?
[00:08:28.040 --> 00:08:39.560]   Oh, yes, thanks, sir, I mean, the reason my negative is wrong is because I have an unsigned
[00:08:39.560 --> 00:08:44.680]   int, so, yes, thank you, everybody.
[00:08:44.680 --> 00:08:57.920]   So let's make this a dot float, there we go, OK, and that will work on tuples as well.
[00:08:57.920 --> 00:09:05.280]   There we go, OK.
[00:09:05.280 --> 00:09:11.640]   So that's useful, and that would be particularly useful if I had an image as an input and an
[00:09:11.640 --> 00:09:23.200]   image as an output, such as a mask as an output or super resolution or something like that.
[00:09:23.200 --> 00:09:26.180]   So this is all looking pretty hopeful.
[00:09:26.180 --> 00:09:29.520]   So the next thing, let's try and make a more interesting function.
[00:09:29.520 --> 00:09:37.560]   Let's create a function called normalize, and that's going to take an image and a mean
[00:09:37.560 --> 00:09:49.560]   and a standard deviation, and we're going to return x minus m over s.
[00:09:49.560 --> 00:10:04.400]   So I could go normalize, t image, comma, let's say the mean is somewhere around 127, and
