
[00:00:00.000 --> 00:00:08.300]   Hello everyone.
[00:00:08.300 --> 00:00:09.100]   Hi everyone.
[00:00:09.100 --> 00:00:12.820]   Hello, hello.
[00:00:12.820 --> 00:00:13.400]   Thank you.
[00:00:13.400 --> 00:00:16.120]   Thank you all so much for joining me today.
[00:00:16.120 --> 00:00:17.960]   My name is Danny Wu.
[00:00:17.960 --> 00:00:20.360]   I'm head of AI products at Canva,
[00:00:20.360 --> 00:00:23.040]   and we're a visual communications platform.
[00:00:23.040 --> 00:00:26.760]   Today, I'm really excited to share a bit about how
[00:00:26.760 --> 00:00:29.360]   we have built Canva Cloud and how we've
[00:00:29.360 --> 00:00:33.600]   been working with Anthropik and using the amazing Cloud models.
[00:00:33.600 --> 00:00:36.500]   I'll be first starting by giving an intro to Canva,
[00:00:36.500 --> 00:00:38.960]   as well as taking it behind the story of Canva code,
[00:00:38.960 --> 00:00:41.900]   like what gave us the idea, why we built it,
[00:00:41.900 --> 00:00:44.620]   as well as the things we learned, and finish up
[00:00:44.620 --> 00:00:47.420]   by sharing a few lessons that will hopefully
[00:00:47.420 --> 00:00:49.700]   be helpful and some time in Q&A.
[00:00:49.700 --> 00:00:55.160]   So I'm incredibly excited, and let's jump right in.
[00:00:55.160 --> 00:00:58.720]   Firstly, just a little bit of context about Canva, in case
[00:00:58.720 --> 00:01:00.720]   you don't know what we are.
[00:01:00.720 --> 00:01:05.320]   What we do is we really bring the entire design journey and experience
[00:01:05.320 --> 00:01:08.320]   in to one simple page and one simple experience.
[00:01:08.320 --> 00:01:11.980]   A decade ago, design used to be quite inaccessible,
[00:01:11.980 --> 00:01:13.980]   and it was just quite hard.
[00:01:13.980 --> 00:01:19.740]   you had to learn how to use fairly complex tools that could cost a lot of money,
[00:01:19.740 --> 00:01:25.580]   and you had to go to so many different platforms and services to complete a design,
[00:01:25.580 --> 00:01:31.220]   like finding stock photos, getting the right fonts, starting with a template, or publishing.
[00:01:31.220 --> 00:01:37.820]   And what we do is we really have integrated all the different steps of this journey into just one page
[00:01:37.820 --> 00:01:52.820]   and one platform, so you can create a presentation, or you can create a poster, use all the templates, generate some amazing AI images, create some text, and publish to a website, publish to, or print it out, and get it delivered to your door.
[00:01:52.820 --> 00:01:54.820]   That's really what we do.
[00:01:54.820 --> 00:02:04.820]   And so we have a pretty simple mission, and we've had the same mission for the past decade and a bit, and it's really to empower the world to design.
[00:02:04.820 --> 00:02:16.820]   When we think about this, we really think about empowering absolutely everyone, whether you're a student, whether you're a teacher, whether you're a non-profit, or whether you're a marketer and creative,
[00:02:16.820 --> 00:02:29.820]   creative in a large enterprise, to design just about anything, publish it anywhere, with every ingredient, like photos, video, music, and more, supporting every language, as well as every single device.
[00:02:29.820 --> 00:02:44.820]   And the thing about AI is that we really see it as something that absolutely supercharges the core premise of what Canva was built to do, which is to allow everyone to make designs really simply and really easily,
[00:02:44.820 --> 00:02:52.820]   and make it take less time, instead of this being time-consuming and tedious, that you create amazing outputs really, really quickly.
[00:02:52.820 --> 00:03:01.820]   And as I'm sure you all know, the power of generative AI is just really helping us, helping us accelerate on all of those fronts.
