
[00:00:00.000 --> 00:00:17.700]   So the idea here is a lot of you are solving some of the most leading-edge AI,
[00:00:17.700 --> 00:00:23.560]   gen AI problems in the world in this room, and then a lot of you are trying ambitious things. So
[00:00:23.560 --> 00:00:29.400]   main goal was to get folks learning from each other, so think of this as a logical
[00:00:29.400 --> 00:00:36.840]   roundtable, not very round physically. So come away with insights about specifically
[00:00:36.840 --> 00:00:41.420]   you're getting to production challenges by learning from each other. So two rules
[00:00:41.420 --> 00:00:46.320]   of this AI roundtable. One is we'll all be stronger if we figure this out
[00:00:46.320 --> 00:00:52.140]   together. Number two is Chatham House rules. That's for Peter's benefit. For us
[00:00:52.140 --> 00:00:58.800]   Americans in the room, what happens in Nob Hill stays in Nob Hill. So let me actually
[00:00:58.800 --> 00:01:02.240]   kick it off by sharing some of my personal learnings. I'll go through maybe
[00:01:02.240 --> 00:01:08.800]   five minutes or so of what I've learned in relation to getting to production, but
[00:01:08.800 --> 00:01:14.560]   specifically around the topic of stakes. And by stakes, I mean like how high stakes is
[00:01:14.560 --> 00:01:17.760]   the problem that you're trying to solve. And I found there's a relationship between
[00:01:17.760 --> 00:01:22.320]   the bars and the obstacles that you run into as the stakes increase. So I'll just
[00:01:22.320 --> 00:01:25.760]   share my own journey and hopefully this is useful and food for thought.
[00:01:25.760 --> 00:01:30.000]   But as I'm going through it, think about what you're experiencing and the hurdles. Because
[00:01:30.000 --> 00:01:36.560]   what I'm going to ask after I go through my own section is what are some of the hurdles you
[00:01:36.560 --> 00:01:41.200]   are running into? What are some of the ones that you haven't solved? What are some of the ones you have
[00:01:41.200 --> 00:01:46.240]   solved so that we can learn from each other? All right. So it all started like this.
[00:01:46.240 --> 00:01:53.440]   Jenna is a hockey stick, right? And then we kind of ended up with actual project experience where
[00:01:53.440 --> 00:01:59.520]   you can do, I think Lucas said this earlier, lots of amazing prototypes. It's so easy to build an
[00:01:59.520 --> 00:02:05.840]   amazing prototype. But then getting to production is harder. You have a higher bar. And so what a lot of
[00:02:05.840 --> 00:02:11.520]   folks have figured out is you can use rag with vectors. And all right, now it looks like a hockey stick.
[00:02:11.520 --> 00:02:16.000]   And in some cases, it does. In some cases, you can get to production with this. But then there's
[00:02:16.000 --> 00:02:24.240]   still a class of use cases where that's not enough. And so what, you know, you'll hear from the Neo4j folks
[00:02:24.240 --> 00:02:28.960]   here, and if you go to the booth and attend Emil's talk and some of the other ones later is there's another
[00:02:28.960 --> 00:02:35.520]   unlock here with knowledge graphs and with graph rag. Again, like, will this be a hockey stick? I think the
[00:02:35.520 --> 00:02:39.760]   world moves in S-curve. So this is probably more realistic. And there's probably going to be some
[00:02:39.760 --> 00:02:48.320]   other thing. I don't know what that looks like. But why this pattern? So I've come to see a spectrum
[00:02:48.320 --> 00:02:53.120]   of application stakes. And it's a whole spectrum, right? But to kind of paint opposite ends and maybe
[00:02:53.120 --> 00:02:58.960]   something in the middle, if something is low stakes, then maybe it's more business peripheral.
[00:02:58.960 --> 00:03:05.360]   It's things like summarizing text. Here I have someone, you know, a children's bedtime story.
[00:03:05.360 --> 00:03:13.440]   There's no single right answer. The stakes are a bit lower. And then on the high end of things,
[00:03:13.440 --> 00:03:20.720]   like a wrong answer can have significant impact in terms of dollar value, brand and reputational impact,
[00:03:20.720 --> 00:03:28.560]   health and human safety, regulation, fines, bias, all that stuff. And then there's this in-between zone
[00:03:28.560 --> 00:03:33.680]   where, you know, it might be higher business stakes, but I've got some mitigations. Like,
[00:03:33.680 --> 00:03:39.440]   I've got a human in the loop. So here you have a difference between, at the far right,
[00:03:39.440 --> 00:03:47.280]   pilot, and in the middle, co-pilot. So there's kind of an interesting relationship between pilot,
[00:03:47.280 --> 00:03:49.520]   co-pilot, and stakes.
[00:03:50.640 --> 00:03:55.440]   And, you know, the problem with high-stakes use cases is you bump into the meme, right? Which you've
[00:03:55.440 --> 00:04:02.080]   all seen. And specifically, it's things like needing enterprise domain knowledge, up to the moment
[00:04:02.080 --> 00:04:09.120]   knowledge. This is what RAG solves. Solving for hallucinations. Again, RAG solved this, and depending
[00:04:09.120 --> 00:04:13.520]   on how you solve it, you're loading the dice, loading the dice, loading the dice. And then,
[00:04:13.520 --> 00:04:19.600]   depending on the stakes, your tolerance for error, you know, could be, you know, potentially gets very
[00:04:19.600 --> 00:04:27.840]   high, right? How tight should I tighten my bolts on my 737 MAX 9? Like, let's not have a 0.001% chance
[00:04:27.840 --> 00:04:36.480]   of error, because that's not good enough. Cool. So let's look at how we're representing data. So here's an
[00:04:36.480 --> 00:04:42.160]   apple. And think about how we conceptualize an apple as a human. It's, you know, this multi-dimensional,
[00:04:42.160 --> 00:04:49.200]   multi-sensory kind of thing. Now, let's look at a vector view of an apple. It looks something like this.
[00:04:49.200 --> 00:04:57.040]   So I can find other fruit by doing a, you know, cosine similarity or spatial distance
[00:04:57.040 --> 00:05:04.960]   operation with this representation of an apple. It's useful. Again, good for certain things,
[00:05:04.960 --> 00:05:10.400]   good not as good for other things. And if I characterize the behavior that you get with
[00:05:11.920 --> 00:05:18.080]   LLMs generally and with vector-based RAG, it's this, you know, kind of world of statistically computing
[00:05:18.080 --> 00:05:26.000]   the real world based on word proximity statistics and word frequency statistics. So you get this
[00:05:26.000 --> 00:05:31.280]   behavior that's kind of a little bit like the right brain. You know, it's creative. It's mostly right.
[00:05:31.280 --> 00:05:35.040]   Sometimes really, really wrong. I don't really know why it's wrong. It just does its thing.
[00:05:35.680 --> 00:05:42.720]   A bit of a black box. Enter knowledge graphs as a way to bump up the stakes on things. So this gives
[00:05:42.720 --> 00:05:50.320]   you a more structured representation that is understandable by humans, can be reasoned upon
