
[00:00:00.000 --> 00:00:02.180]   (beeping)
[00:00:02.180 --> 00:00:10.920]   (upbeat music)
[00:00:10.920 --> 00:00:18.420]   - Welcome back to Portfolio Rescue,
[00:00:18.420 --> 00:00:19.920]   our show where you send us the questions,
[00:00:19.920 --> 00:00:22.660]   we try to provide some context, some research,
[00:00:22.660 --> 00:00:23.780]   maybe some answers if we can.
[00:00:23.780 --> 00:00:26.980]   Remember our email is askthecompoundshow@gmail.com.
[00:00:26.980 --> 00:00:29.420]   Today's show brought to you by Innovator ETFs.
[00:00:29.420 --> 00:00:32.180]   Duncan, my one rule of thumb when it comes to investing,
[00:00:32.180 --> 00:00:34.140]   if you don't understand something, don't invest in it.
[00:00:34.140 --> 00:00:35.620]   So we've been talking about Innovator ETFs
[00:00:35.620 --> 00:00:37.100]   to find outcome strategies.
[00:00:37.100 --> 00:00:38.980]   I think some people probably don't understand these.
[00:00:38.980 --> 00:00:40.060]   Like what are the outcomes?
[00:00:40.060 --> 00:00:41.940]   So Innovator has this education tab on their website
[00:00:41.940 --> 00:00:42.820]   that walks you through the options.
[00:00:42.820 --> 00:00:45.900]   So they have these basically four different kinds
[00:00:45.900 --> 00:00:47.580]   of options strategies you can do.
[00:00:47.580 --> 00:00:49.900]   So one is a cap, which means you're capped out
[00:00:49.900 --> 00:00:51.700]   at a certain return on the upside,
[00:00:51.700 --> 00:00:54.280]   hopefully to get some downside protection.
[00:00:54.280 --> 00:00:55.860]   The other one is they have enhanced funds,
[00:00:55.860 --> 00:00:58.540]   which could give you the two to 3% of the upside
[00:00:58.540 --> 00:00:59.780]   of the stock market.
[00:00:59.780 --> 00:01:00.820]   Then they have their buffer ETFs,
[00:01:00.820 --> 00:01:02.820]   which provides a return range.
[00:01:02.820 --> 00:01:05.340]   So hopefully like a downside and then an upside.
[00:01:05.340 --> 00:01:06.180]   And then they have a floor,
[00:01:06.180 --> 00:01:07.500]   which means a level that the portfolio
[00:01:07.500 --> 00:01:09.420]   won't be able to be below an outcome period.
[00:01:09.420 --> 00:01:10.500]   So they have all these things you can look at
[00:01:10.500 --> 00:01:11.740]   and you can click on each one of these tabs
[00:01:11.740 --> 00:01:14.900]   and it shows you kind of on the graph how it works.
[00:01:14.900 --> 00:01:17.940]   So anyway, they have this huge education tab
[00:01:17.940 --> 00:01:18.760]   on their website.
[00:01:18.760 --> 00:01:19.840]   They have all these videos.
[00:01:19.840 --> 00:01:21.140]   It's worth checking out if you wanna understand
[00:01:21.140 --> 00:01:21.980]   more about these.
[00:01:21.980 --> 00:01:26.060]   To learn more, visit innovatoretfs.com.
[00:01:26.060 --> 00:01:28.100]   All right, Duncan, we've got some questions today
[00:01:28.100 --> 00:01:31.020]   that deal with people who have a decent amount of wealth
[00:01:31.020 --> 00:01:33.140]   in their life and they still have problems
[00:01:33.140 --> 00:01:34.780]   and they're worrying about what to do.
[00:01:34.780 --> 00:01:37.040]   And I think some people look at these kinds of problems.
[00:01:37.040 --> 00:01:38.380]   You have a seven figure portfolio,
[00:01:38.380 --> 00:01:40.700]   you have a 50% savings rate or whatever.
[00:01:40.700 --> 00:01:41.540]   What's wrong with you?
[00:01:41.540 --> 00:01:42.540]   Why are you complaining?
[00:01:42.540 --> 00:01:44.420]   And I get that sentiment,
[00:01:44.420 --> 00:01:45.340]   but also as someone who's worked
[00:01:45.340 --> 00:01:46.700]   in wealth management long enough,
[00:01:46.700 --> 00:01:48.340]   I know that there's a psychological component
[00:01:48.340 --> 00:01:51.140]   to people who have a decent amount of wealth in their life
[00:01:51.140 --> 00:01:54.300]   and still can't force themselves to spend or enjoy it.
[00:01:54.300 --> 00:01:57.100]   And as a financial advisor, it's bizarre,
[00:01:57.100 --> 00:01:58.420]   but that is almost part of your job
[00:01:58.420 --> 00:02:00.820]   is to help people enjoy their money a little bit.
[00:02:00.820 --> 00:02:01.980]   So I just wanna warn people,
[00:02:01.980 --> 00:02:03.700]   there's a couple not to brags on here.
[00:02:03.700 --> 00:02:04.660]   People still have problems,
[00:02:04.660 --> 00:02:07.140]   but everyone has their own cross to bear.
[00:02:07.140 --> 00:02:08.100]   - Also, I don't know if you know,
[00:02:08.100 --> 00:02:11.000]   but there are plenty of wealthy people who are miserable.
[00:02:11.000 --> 00:02:12.460]   - It's true.
[00:02:12.460 --> 00:02:13.480]   I do know that.
[00:02:13.480 --> 00:02:16.260]   Listen, follow billionaires on Twitter.
[00:02:16.260 --> 00:02:17.780]   I know, none of them are happy.
[00:02:17.780 --> 00:02:20.900]   All right, so let's do the first one.
[00:02:20.900 --> 00:02:25.100]   - Okay, so first we have a question from Gabe.
[00:02:25.100 --> 00:02:26.760]   We're used to seeing financial planning advice
[00:02:26.760 --> 00:02:29.900]   based on a constant savings rate over long periods of time,
[00:02:29.900 --> 00:02:32.620]   but I'm trying to reconcile this with the realities of life.
[00:02:32.620 --> 00:02:35.500]   For context, we are a married couple in our mid thirties
[00:02:35.500 --> 00:02:39.240]   who strive for a savings rate of 30% of gross income.
[00:02:39.240 --> 00:02:41.580]   Prior to becoming parents and purchasing a home,
[00:02:41.580 --> 00:02:45.420]   ages 30 to 35, we were living significantly below our means
[00:02:45.420 --> 00:02:48.260]   and had a savings rate of 40 to 45%,
[00:02:48.260 --> 00:02:50.160]   far above our 30% goal.
[00:02:50.160 --> 00:02:53.020]   However, after purchasing a home and paying for childcare,
[00:02:53.020 --> 00:02:55.660]   our savings rate has dropped to 20 to 25%,
[00:02:55.660 --> 00:02:57.020]   and we were feeling guilty about this
[00:02:57.020 --> 00:02:59.940]   because it feels like we have succumbed to lifestyle creep.
[00:02:59.940 --> 00:03:01.500]   Is this just a natural shift
[00:03:01.500 --> 00:03:02.680]   where the savings rate drops
[00:03:02.680 --> 00:03:04.940]   until children attend public school?
[00:03:04.940 --> 00:03:07.860]   We're curious to hear how savings rates evolve over time
[00:03:07.860 --> 00:03:08.860]   with life events,
[00:03:08.860 --> 00:03:11.340]   and want to make sure we stay on the right path.
[00:03:11.340 --> 00:03:12.180]   - I love this. - It sounds like
[00:03:12.180 --> 00:03:13.300]   they've done a good job overall.
[00:03:13.300 --> 00:03:14.660]   - Yeah, I love this question.
[00:03:14.660 --> 00:03:16.920]   They seem to have things figured out pretty good.
[00:03:16.920 --> 00:03:18.540]   This doesn't sound like lifestyle creep to me.
[00:03:18.540 --> 00:03:19.660]   This sounds like life.
[00:03:19.660 --> 00:03:21.340]   This is kind of what happens, right?
[00:03:21.340 --> 00:03:24.280]   No one saves a certain percentage of their income
[00:03:24.280 --> 00:03:26.900]   starting at age 25 and saves until they're 65,
[00:03:26.900 --> 00:03:28.860]   that same exact amount,
[00:03:28.860 --> 00:03:31.340]   because life doesn't work in a linear fashion like that.
[00:03:31.340 --> 00:03:33.860]   That's only in personal finance books and fire blogs, right?
[00:03:33.860 --> 00:03:34.900]   Life is messier than that.
[00:03:34.900 --> 00:03:37.100]   So Fidelity put out this report a few years ago,
[00:03:37.100 --> 00:03:39.900]   and they really got online people angry with them.
[00:03:39.900 --> 00:03:43.760]   John, let's do a chart on here.
[00:03:43.760 --> 00:03:45.500]   Fidelity did this study, and they said,
[00:03:45.500 --> 00:03:47.740]   "Basically, we figured out if you're gonna retire at 67,
[00:03:47.740 --> 00:03:51.040]   "you need 10 times your current income."
[00:03:51.040 --> 00:03:53.220]   And they said, "All right, along the way,
[00:03:53.220 --> 00:03:55.840]   "at 30, 35, 40, 45, this is how much you need to save."
[00:03:55.840 --> 00:03:56.880]   And so I think they said,
[00:03:56.880 --> 00:03:58.520]   "If you're 30, you need to have one times your salary,
[00:03:58.520 --> 00:03:59.500]   "35, two times."
[00:03:59.500 --> 00:04:02.080]   And people got really, really mad about this.
[00:04:02.080 --> 00:04:03.240]   Now, they get to this answer by assuming
[00:04:03.240 --> 00:04:06.000]   you save 15% of your income beginning at age 25,
[00:04:06.000 --> 00:04:08.960]   invest more than 50% in a stock portfolio,
[00:04:08.960 --> 00:04:11.080]   and then maintain your pre-retirement lifestyle
[00:04:11.080 --> 00:04:12.080]   in retirement.
[00:04:12.080 --> 00:04:12.960]   That's a lot of assumptions,
[00:04:12.960 --> 00:04:14.280]   and they even give some caveats on here.
[00:04:14.280 --> 00:04:16.280]   People, of course, no one really read this study,
[00:04:16.280 --> 00:04:19.160]   maybe except for me, and they use a lot of assumptions,
[00:04:19.160 --> 00:04:22.080]   but it's important to remember that it's never this easy.
[00:04:22.080 --> 00:04:23.300]   Everyone's life is way messier.
[00:04:23.300 --> 00:04:25.940]   You change jobs, you make more money, you make less money,
[00:04:25.940 --> 00:04:27.660]   you get a bonus, maybe you get laid off,
[00:04:27.660 --> 00:04:30.020]   you move into a house, you have kids,
[00:04:30.020 --> 00:04:31.620]   you have unexpected expenses,
[00:04:31.620 --> 00:04:34.060]   you have healthcare scares, all this stuff.
[00:04:34.060 --> 00:04:35.580]   Like, there's gonna be things that happen in your life
[00:04:35.580 --> 00:04:39.300]   that cause your savings rate to fluctuate, good or bad.
[00:04:39.300 --> 00:04:42.140]   The first house I lived in came with an unfinished basement.
[00:04:42.140 --> 00:04:44.260]   We spent a year finishing the basement.
[00:04:44.260 --> 00:04:47.980]   It was expensive, and my savings rate dipped because of it.
[00:04:47.980 --> 00:04:49.340]   I've mentioned this many times on the show.
[00:04:49.340 --> 00:04:50.780]   People are probably sick of me talking about it.
[00:04:50.780 --> 00:04:52.900]   We had three kids in daycare for two years.
[00:04:52.900 --> 00:04:55.340]   My savings rate got, it suffered quite a bit from that,
[00:04:55.340 --> 00:04:56.180]   'cause it was expensive.
[00:04:56.180 --> 00:04:58.300]   This person's dealing with that, too.
[00:04:58.300 --> 00:04:59.980]   I think the good thing is,
[00:04:59.980 --> 00:05:01.820]   it sounds like they're over the hump for these big things.
[00:05:01.820 --> 00:05:04.140]   Once you're in a house and you fix your payment,
[00:05:04.140 --> 00:05:05.500]   you can kind of plan better, right?
[00:05:05.500 --> 00:05:07.240]   Obviously, a house is,
[00:05:07.240 --> 00:05:08.780]   there's other expenses that come along with it,
[00:05:08.780 --> 00:05:11.480]   but taxes don't move up all that much from year to year.
[00:05:11.480 --> 00:05:14.900]   It's pretty, it's below 2%, I think, for most places,
[00:05:14.900 --> 00:05:16.460]   and your mortgage payment's fixed.
[00:05:16.460 --> 00:05:18.500]   Hopefully, you got in under 4% or something
[00:05:18.500 --> 00:05:20.260]   before rates shot up too high,
[00:05:20.260 --> 00:05:21.660]   and if not, maybe you can refine this in a few years,
[00:05:21.660 --> 00:05:22.940]   but now you can plan a little better,
[00:05:22.940 --> 00:05:24.840]   and you know that in four to five years,
[00:05:24.840 --> 00:05:26.660]   the kids are gonna go to preschool and kindergarten,
[00:05:26.660 --> 00:05:27.780]   and when that happens,
[00:05:27.780 --> 00:05:29.660]   you're effectively giving yourself a raise,
