
[00:00:00.000 --> 00:00:09.120]   Hello, everybody.
[00:00:09.120 --> 00:00:13.280]   It's Sam from the Financial Samurai Podcast where I try to help you achieve financial
[00:00:13.280 --> 00:00:16.120]   freedom sooner rather than later.
[00:00:16.120 --> 00:00:21.120]   Today I have a special guest with me, Andre Nader, who I interviewed a year ago after
[00:00:21.120 --> 00:00:23.080]   he left Metta.
[00:00:23.080 --> 00:00:28.240]   And so I wanted to talk to him about life after Metta, what he's been doing with his
[00:00:28.240 --> 00:00:37.000]   newsletter, his thoughts on semi-retirement, FIRE, as well as how it's like having a
[00:00:37.000 --> 00:00:39.980]   wife who works in tech and who makes a lot of money.
[00:00:39.980 --> 00:00:41.880]   So welcome to the show again, Andre.
[00:00:41.880 --> 00:00:43.800]   Thank you so much, Sam, for having me back.
[00:00:43.800 --> 00:00:48.400]   So what's been going on since a year, since we last spoke?
[00:00:48.400 --> 00:00:53.080]   Yeah, we're coming pretty close to exactly a year since we last talked.
[00:00:53.080 --> 00:00:55.980]   And a lot has changed over that year.
[00:00:55.980 --> 00:01:02.840]   We spoke literally while I was on my severance after being laid off from Metta, being laid
[00:01:02.840 --> 00:01:07.600]   off in May of 2023 and then having the severance through the summer.
[00:01:07.600 --> 00:01:09.360]   And I was still trying to get my bearings.
[00:01:09.360 --> 00:01:17.200]   I had been at Facebook Metta for nine plus years, in tech for 15 years, working continuously,
[00:01:17.200 --> 00:01:19.680]   had always had a job since I was 16.
[00:01:19.680 --> 00:01:25.800]   So when we talked, that was the first time ever in the last 15, 20 years that I had time
[00:01:25.800 --> 00:01:32.280]   to do what I wanted, or even just like just had time period.
[00:01:32.280 --> 00:01:34.320]   And it definitely wasn't just what I wanted.
[00:01:34.320 --> 00:01:40.080]   I'm married, I have a six-year-old daughter, the restrictions on my time are obviously
[00:01:40.080 --> 00:01:41.960]   capped on both ends.
[00:01:41.960 --> 00:01:48.560]   But the last year has been really interesting and a good reflection on how I think about
[00:01:48.560 --> 00:01:51.060]   FIRE and it's kind of changed my mindset a little bit.
[00:01:51.060 --> 00:01:55.040]   And I'm looking forward to chatting more about all that.
[00:01:55.040 --> 00:01:59.720]   Tell me about the severance package because one of my roles if you're planning on retiring
[00:01:59.720 --> 00:02:04.240]   early is to try to negotiate a severance package because if you're planning on quitting anyway,
[00:02:04.240 --> 00:02:07.440]   there's no downside to trying to negotiate a severance package.
[00:02:07.440 --> 00:02:08.720]   So you got a severance package.
[00:02:08.720 --> 00:02:14.720]   Could you refresh the rough details if you're allowed and how that made you feel during
[00:02:14.720 --> 00:02:16.640]   your transition to no longer working?
[00:02:16.640 --> 00:02:17.640]   Yeah.
[00:02:17.640 --> 00:02:18.640]   No, the severance package was very generous.
[00:02:18.640 --> 00:02:22.800]   I think the benefit that I had was I was, I don't know if it's a benefit, Metta went
[00:02:22.800 --> 00:02:25.920]   through three plus rounds of layoffs.
[00:02:25.920 --> 00:02:28.420]   So I was in one of the final rounds.
[00:02:28.420 --> 00:02:32.480]   What that afforded me was having a very clear picture of what the severance offers were
[00:02:32.480 --> 00:02:33.480]   looking like.
[00:02:33.480 --> 00:02:36.420]   At that point, they were very cookie cutter standard.
[00:02:36.420 --> 00:02:39.200]   You knew exactly what you were going to be getting.
[00:02:39.200 --> 00:02:45.160]   There wasn't really too much room for negotiation unless you had some kind of extenuating circumstances.
[00:02:45.160 --> 00:02:56.480]   So the general package was one, being in California, we had the 60 days from the layoff period
[00:02:56.480 --> 00:03:00.600]   just by nature of like the Warren Act in terms of the amount of notice that they must give
[00:03:00.600 --> 00:03:03.400]   you before they do a mass layoff.
[00:03:03.400 --> 00:03:09.780]   So what they do is say that you're laid off in the end of May, but they still keep you
[00:03:09.780 --> 00:03:13.360]   on payroll just like you're getting a normal paycheck for the next 60 days.
[00:03:13.360 --> 00:03:16.160]   So that's all even before the normal severance.
[00:03:16.160 --> 00:03:20.520]   And then on top of that, they were giving I think around three additional months of
[00:03:20.520 --> 00:03:28.920]   full salary plus six months of health insurance and then two weeks for every year that you
[00:03:28.920 --> 00:03:29.920]   worked there.
[00:03:29.920 --> 00:03:31.500]   So I was there for nine years.
[00:03:31.500 --> 00:03:34.580]   So ended up being like a fairly substantial amount.
[00:03:34.580 --> 00:03:42.000]   For the entire year, I made probably like 80%, 85% of my total comp that I would have
[00:03:42.000 --> 00:03:43.720]   gotten anyway if I worked the entire year.
[00:03:43.720 --> 00:03:45.340]   And I only worked through May.
[00:03:45.340 --> 00:03:52.480]   So it ended up being a fairly, like you were saying, if you're going to fire, like doing
[00:03:52.480 --> 00:03:57.920]   a severance type fire, working your package, I didn't intentionally do this, but it ended
[00:03:57.920 --> 00:04:03.560]   up being a fairly good way to exit, if you will.
[00:04:03.560 --> 00:04:05.840]   And the health insurance was a big piece too.
[00:04:05.840 --> 00:04:07.320]   And what did you do with the money?
[00:04:07.320 --> 00:04:11.480]   Honestly, I treated it just like a normal salary that I was getting.
[00:04:11.480 --> 00:04:12.840]   I didn't do anything differently.
[00:04:12.840 --> 00:04:16.280]   So for me, it's always been very cookie cutter.
[00:04:16.280 --> 00:04:23.200]   I'm a bogglehead by heart, index funds, put it in to max out all my retirement accounts.
[00:04:23.200 --> 00:04:25.360]   But by May, I'd already maxed out all of those.
[00:04:25.360 --> 00:04:32.360]   So it was just really beefing up my taxable savings, which again, like all within like
[00:04:32.360 --> 00:04:38.120]   Fidelity, Vanguard, the standard VTI, VOO, also beefing up my emergency fund.
[00:04:38.120 --> 00:04:43.240]   So I think that was the big change too, is I had been a dual income household, which
[00:04:43.240 --> 00:04:48.800]   meant that I had a little bit of security from if I lost my job, my wife still had her
[00:04:48.800 --> 00:04:49.800]   job.
[00:04:49.800 --> 00:04:51.800]   So we didn't need to have, say like a year of savings.
[00:04:51.800 --> 00:04:56.520]   My emergency fund was probably around six months of our essential expenses.
[00:04:56.520 --> 00:05:01.040]   But now after being laid off, one of the things I used the money for was, hey, now we're a
[00:05:01.040 --> 00:05:02.040]   single income household.
[00:05:02.040 --> 00:05:03.400]   It's fine if I lose my job.
[00:05:03.400 --> 00:05:09.740]   We had always been very disciplined around keeping our expenses within one of our salaries.
[00:05:09.740 --> 00:05:13.400]   So we had no issue maintaining our current lifestyle.
[00:05:13.400 --> 00:05:17.200]   But if she lost her job as well, that might change.
[00:05:17.200 --> 00:05:23.920]   So I increased my emergency fund up to 12 months and just had additional like cash buffer
[00:05:23.920 --> 00:05:28.640]   just in case, because I think the future at that time was less than certain.
[00:05:28.640 --> 00:05:30.760]   Right, right, right.
[00:05:30.760 --> 00:05:37.180]   And so what do you think your after tax savings rate fell to once you lost or once you left
[00:05:37.180 --> 00:05:38.180]   Meta?
[00:05:38.180 --> 00:05:44.340]   Yeah, the after tax savings rate, still north of 40 plus percent, still able to max out
[00:05:44.340 --> 00:05:50.360]   all of my wife's retirement accounts, including the mega backdoor after tax.
[00:05:50.360 --> 00:05:59.320]   So we're talking about contributing that $69,000 there plus backdoor Roths, which is 7k per
[00:05:59.320 --> 00:06:03.680]   person plus more in addition to that.
[00:06:03.680 --> 00:06:04.680]   Wow.
[00:06:04.680 --> 00:06:05.680]   40% still.
[00:06:05.680 --> 00:06:06.680]   Yeah.
[00:06:06.680 --> 00:06:11.380]   So still, again, within San Francisco, we had always kept our expenses within reason.
[00:06:11.380 --> 00:06:16.120]   And then the honest truth is that our tax salaries, me at Meta and then her at Uber,
[00:06:16.120 --> 00:06:19.840]   had just continued to grow over that time period, over the, like she has been at Uber
[00:06:19.840 --> 00:06:21.800]   for almost a decade as well.
[00:06:21.800 --> 00:06:30.400]   So we have two, not executive level, but like senior level employees at big tech earning
[00:06:30.400 --> 00:06:35.540]   a good living and keeping our expenses in check, like our largest expenses, rent being
[00:06:35.540 --> 00:06:39.280]   in San Francisco, and then childcare followed by groceries.
[00:06:39.280 --> 00:06:46.760]   So within reason, keeping those within check had allowed us to continue to save and be
[00:06:46.760 --> 00:06:50.160]   prepared for a situation like this where we dropped to an income, because ultimately my
[00:06:50.160 --> 00:06:53.160]   goal was to fire relatively soon.
[00:06:53.160 --> 00:06:59.080]   So this was kind of going according to plan, if you will, just not the original plan that
[00:06:59.080 --> 00:07:01.680]   I had neatly mapped out.
[00:07:01.680 --> 00:07:02.880]   So tell me this.
[00:07:02.880 --> 00:07:07.560]   So just for a listener's perspective, can you give an idea of the total compensation
[00:07:07.560 --> 00:07:10.160]   range that your wife earns?
[00:07:10.160 --> 00:07:11.160]   Yeah.
[00:07:11.160 --> 00:07:16.560]   I think one of the largest pieces, and again, this is a roundabout answer, one of the largest
[00:07:16.560 --> 00:07:20.360]   pieces of compensation within big tech is coming from equity, particularly as you get
[00:07:20.360 --> 00:07:21.360]   more senior.
[00:07:21.360 --> 00:07:27.960]   And if you look at Uber's stock price over the past two years, it's ended up doing exceptionally
[00:07:27.960 --> 00:07:29.520]   well, like finally.
[00:07:29.520 --> 00:07:33.480]   They IPO'd at $40, then it kind of floundered for the last couple of years.
[00:07:33.480 --> 00:07:40.520]   But then this past year, they hit highs of $80, and now settling in like the $60 to $70
[00:07:40.520 --> 00:07:41.520]   range.
[00:07:41.520 --> 00:07:49.200]   So easily like getting into the mid six figures ranges, which is not, again, like, and both
[00:07:49.200 --> 00:07:53.960]   of us were in those similar bands.
[00:07:53.960 --> 00:07:59.400]   And does every year a tech worker get new RSUs topped up every single year, or is it
[00:07:59.400 --> 00:08:01.920]   at every four years or whatever chunk?
[00:08:01.920 --> 00:08:02.920]   Yeah.
[00:08:02.920 --> 00:08:03.920]   That's a really good question.
[00:08:03.920 --> 00:08:06.960]   I think that's where it's important to understand the compensation philosophies for every tech
[00:08:06.960 --> 00:08:07.960]   company.
[00:08:07.960 --> 00:08:08.960]   Each one is very different.
[00:08:08.960 --> 00:08:14.240]   Meta, for example, every year, you'll get a new annual stock refresher that vests over
[00:08:14.240 --> 00:08:15.680]   four years.
[00:08:15.680 --> 00:08:18.120]   And that refresher is entirely formulaic.
[00:08:18.120 --> 00:08:25.540]   And it's not based at all on how much equity you already have, versus Uber and Amazon and
[00:08:25.540 --> 00:08:30.480]   many other companies, they have what's called a target compensation model, where the amount
[00:08:30.480 --> 00:08:35.080]   of refreshers that you get kind of looks back at how much equity you already have, to kind
[00:08:35.080 --> 00:08:40.000]   of make sure that you're getting paid at least a certain amount of total compensation.
[00:08:40.000 --> 00:08:46.120]   So with Uber stock price increasing significantly, that refreshers in many cases were less than
[00:08:46.120 --> 00:08:49.400]   they had been in the past, because they were really trying to keep people within these
[00:08:49.400 --> 00:08:50.520]   target bands.
[00:08:50.520 --> 00:08:55.400]   So that's where it's like, it can be very different, like being at Meta, where the stock
[00:08:55.400 --> 00:09:00.360]   prices is all your past equity has also drastically increased, but you're still getting those
[00:09:00.360 --> 00:09:07.080]   refreshers at the same net dollar value, versus Uber, if the stock does well, then your future
[00:09:07.080 --> 00:09:08.760]   refreshers won't be as high.
[00:09:08.760 --> 00:09:09.760]   Okay.
[00:09:09.760 --> 00:09:10.760]   Well, let me ask you this.
[00:09:10.760 --> 00:09:18.080]   So one of the things that I try to tell readers is go try to make a lot of money to realize
[00:09:18.080 --> 00:09:24.360]   making a lot of money via W2 income is not the dream or amazing thing that you think
[00:09:24.360 --> 00:09:29.320]   it is, because it takes a lot of stress, a lot of work, just a lot of dedication.
[00:09:29.320 --> 00:09:35.520]   And so I'm going to guess that your wife makes between 400 to $600,000, and you made something
[00:09:35.520 --> 00:09:37.760]   similar, given that's what you just said.
[00:09:37.760 --> 00:09:44.520]   So now that you've gone from, let's say, 800,000 to 400,000, how does that feel?
[00:09:44.520 --> 00:09:48.880]   Because I feel that once you make like 400,000, I mean, life is good.
[00:09:48.880 --> 00:09:53.600]   Once you make over like 250,000 combined household income, life is pretty good.
[00:09:53.600 --> 00:09:59.320]   So to strive for way above that, I don't think is worth it after so many years.
[00:09:59.320 --> 00:10:01.640]   I mean, definitely try it for as long as possible.
[00:10:01.640 --> 00:10:03.220]   But afterwards, it's like, "Eh."
[00:10:03.220 --> 00:10:10.560]   So how does it feel now, your lifestyle and overall unit going from 800 to $400,000?
[00:10:10.560 --> 00:10:14.120]   Honestly, very little difference in our life at all.
[00:10:14.120 --> 00:10:16.000]   We've changed nothing.
[00:10:16.000 --> 00:10:21.120]   We're actually now looking at renting a new place that's closer to my daughter's school
[00:10:21.120 --> 00:10:25.400]   where we can just walk to school, and looking at almost doubling the amount we're paying
[00:10:25.400 --> 00:10:26.400]   in rent.
[00:10:26.400 --> 00:10:32.480]   So we're increasing our expenses as we're kind of going in and cutting our overall salaries
[00:10:32.480 --> 00:10:33.760]   in half.
[00:10:33.760 --> 00:10:38.280]   So I think, again, the amount that you make once you hit a certain point, it just becomes
[00:10:38.280 --> 00:10:44.600]   decoupled from your needs in many cases.
[00:10:44.600 --> 00:10:47.960]   If you're, again, you can always spend as much as you want.
[00:10:47.960 --> 00:10:53.000]   But I've kind of found we've kind of like capped out around, like right now, been pretty
[00:10:53.000 --> 00:11:00.340]   consistent around like $140,000 in spend per year, much of that being housing and childcare.
