
[00:00:00.040 --> 00:00:10.640]   care
[00:00:57.520 --> 00:00:58.780]   It's Friday, live Q&A time.
[00:00:58.780 --> 00:00:58.780]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years.
[00:00:58.780 --> 00:00:58.780]   It's Friday, live Q&A time.
[00:00:58.780 --> 00:00:58.780]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years.
[00:00:58.780 --> 00:00:58.780]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years.
[00:00:58.780 --> 00:00:58.780]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years.
[00:01:28.800 --> 00:01:28.800]   If you are not sitting on the phone line right now, I would really love you to be doing that right now. If you want to join me for next week's Q&A, go to patreon.com/radicalpersonalfinance.
[00:01:28.800 --> 00:01:28.800]   If you are not sitting on the phone line right now, I would really love you to be doing that right now. If you want to join me for next week's Q&A, go to patreon.com/radicalpersonalfinance.
[00:01:28.800 --> 00:01:28.800]   If you are not sitting on the phone line right now, I would really love you to be doing that right now. If you want to join me for next week's Q&A, go to patreon.com/radicalpersonalfinance.
[00:01:28.840 --> 00:01:58.820]  , and you will gain access to the call-in codes, the number and the time and everything for next week's Q&A show. We begin with, let's see, Tim in New York. Tim, welcome to the show. How can I serve you today, sir?
[00:01:58.820 --> 00:01:58.820]   Hi, Joshua. Thanks for taking my call. Just want to let you know I really appreciate what you do and the values you espouse are really aligned with mine and I really appreciate all the other things that you do.
[00:01:58.820 --> 00:01:58.820]   I appreciate what you do and the values you espouse are really aligned with mine and I really appreciate all the other things that you do.
[00:01:58.820 --> 00:01:58.820]   I appreciate all the other things that you do and I appreciate all the other things that you do.
[00:01:58.840 --> 00:02:28.840]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:02:28.840 --> 00:02:28.840]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:02:28.840 --> 00:02:28.840]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:02:28.840 --> 00:02:28.840]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:02:28.840 --> 00:02:28.840]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:02:28.840 --> 00:02:28.840]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:02:28.840 --> 00:02:28.840]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:02:28.840 --> 00:02:28.840]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:02:28.880 --> 00:02:58.860]  ,
[00:02:58.860 --> 00:02:58.860]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:02:58.860 --> 00:02:58.860]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:02:58.860 --> 00:02:58.860]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:02:58.860 --> 00:02:58.860]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:02:58.860 --> 00:02:58.860]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:02:58.880 --> 00:03:28.880]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:03:28.880 --> 00:03:28.880]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:03:28.880 --> 00:03:28.880]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:03:28.880 --> 00:03:28.880]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:03:28.880 --> 00:03:28.880]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:03:28.880 --> 00:03:28.880]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:03:28.880 --> 00:03:28.880]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:03:28.880 --> 00:03:28.880]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:03:28.880 --> 00:03:28.880]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:03:28.880 --> 00:03:58.900]  -
[00:03:58.900 --> 00:03:58.900]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:03:58.900 --> 00:03:58.900]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:03:58.900 --> 00:03:58.900]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:03:58.900 --> 00:03:58.900]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:03:58.900 --> 00:03:58.900]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:03:58.900 --> 00:03:58.900]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:03:58.920 --> 00:04:28.920]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:04:28.920 --> 00:04:28.920]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:04:28.920 --> 00:04:28.920]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:04:28.920 --> 00:04:28.920]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:04:28.920 --> 00:04:28.920]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:04:28.920 --> 00:04:28.920]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:04:28.920 --> 00:04:28.920]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:04:28.920 --> 00:04:28.920]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:04:28.920 --> 00:04:28.920]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:04:28.920 --> 00:04:58.940]  ,
[00:04:58.940 --> 00:04:58.940]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:04:58.940 --> 00:04:58.940]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:04:58.940 --> 00:04:58.940]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:04:58.940 --> 00:04:58.940]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:04:58.960 --> 00:05:28.960]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:05:28.960 --> 00:05:28.960]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:05:28.960 --> 00:05:28.960]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:05:28.960 --> 00:05:28.960]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:05:28.960 --> 00:05:28.960]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:05:28.960 --> 00:05:28.960]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:05:29.000 --> 00:05:58.980]  ,
[00:05:58.980 --> 00:05:58.980]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:05:58.980 --> 00:05:58.980]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:05:58.980 --> 00:05:58.980]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:05:58.980 --> 00:05:58.980]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:05:58.980 --> 00:05:58.980]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:05:59.000 --> 00:06:29.000]   I appreciate all the other things that you do and I really appreciate all the other things that you do.
[00:06:29.000 --> 00:06:29.000]   It's about 90,000.
[00:06:29.000 --> 00:06:29.000]   It's about 90,000.
[00:06:29.000 --> 00:06:29.000]   It's about 90,000.
[00:06:29.000 --> 00:06:29.000]   I knew you'd asked this, so I also thought about total compensation because she doesn't get any of the benefits that I get that we would otherwise have to pay for.
[00:06:29.000 --> 00:06:29.000]   I knew you'd asked this, so I also thought about total compensation because she doesn't get any of the benefits that I get that we would otherwise have to pay for.
