
[00:00:00.040 --> 00:00:09.260]   alkal
[00:00:09.260 --> 00:00:27.920]   one. I.
[00:00:57.240 --> 00:00:57.240]   of
[00:00:57.240 --> 00:00:57.240]   of
[00:00:57.240 --> 00:00:57.240]   of
[00:00:57.240 --> 00:00:57.540]   of
[00:00:57.580 --> 00:01:03.920]   what
[00:01:03.920 --> 00:01:11.080]  不錯
[00:01:11.080 --> 00:01:24.580]   all S And rice幫第二個 systematic. Th. I. I. I. I. I. Sl. I. I. I, plus, cred, and, in, and, and, and, and, and, and, and, and, and, and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, road cherche Nastaya did�. edges Tucson say 밖에 ç quiet but diamond Pat lid may 125
[00:01:24.580 --> 00:01:25.400]   Над en M. Trust reallyerecht Santa studies I'm a
[00:02:48.980 --> 00:02:48.980]   I am constantly missing short term or short, you know, short timeline goals, deadlines, targets, et cetera. I'm forever failing on accomplishing things in the short term. Almost every single day. My to do list is longer than. Then I can ever get accomplished almost every single week. There's far more that I wanted to get done than I actually got done. And so, you know, I knew this intellectually, but just even the last few days, I experienced the fresh how.
[00:02:49.000 --> 00:03:16.840]   And I'm always, you know, missing that and not getting that done. And you know, all the things that you wanted to get done this week, this month, this year that you didn't. And so it's easy to feel behind. But when I've reflected back on the decade, though, I realized, wow, no, actually, I'm making tremendous progress.
[00:03:16.880 --> 00:03:45.120]   puppies, less,
[00:03:46.900 --> 00:03:57.660]   are
[00:03:57.660 --> 00:04:00.940]   signal,,, at eveninkle при
[00:04:15.680 --> 00:04:44.420]  ét ss. This basically forms the basic structure of our lives. And I was not reflecting on lessons learned. I have no regrets about getting married. Thankfully, I married my best friend and my wife would say the same thing. She married her best friend. And so we've been really blessed. Many times we talk and I realize that when we chat, I just realize more and more as we get older how much we can do.
[00:04:44.460 --> 00:04:54.740]   that
[00:04:54.740 --> 00:04:55.540]   perd a get. Germ,,,, orcurrent
[00:04:55.540 --> 00:05:05.500]   Fly compan
[00:05:13.040 --> 00:05:41.420]   lo
[00:08:04.560 --> 00:08:10.520]   nobody
[00:08:10.520 --> 00:08:13.900]   "
[00:09:02.640 --> 00:09:02.640]   I
[00:09:02.640 --> 00:09:02.640]   I
[00:09:02.640 --> 00:09:02.640]   I
[00:09:02.640 --> 00:09:03.600]   I I
[00:09:33.660 --> 00:09:36.660]   over
[00:09:36.660 --> 00:09:42.740]   won,
[00:09:42.740 --> 00:09:43.920]   werethe
[00:09:43.920 --> 00:09:44.600]   Hin So I say, is, suggest,,,,,,,, play on .動 г tai
[00:09:44.600 --> 00:09:47.080]  ünf
[00:09:47.080 --> 00:09:49.760]   stabbed
[00:09:49.760 --> 00:09:50.660]  ない
[00:09:50.660 --> 00:10:01.840]   where I's, you, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, "G. So, Ho.P.G. Г.G. llevar gig-G.� the settle di scorş gel----кие Kiaacht IsnROG. Lolut Bowludingnez Is maiism pratbol们 within therend이iek. They're brain is count a shape is minמה gelernt half of the numbers and actually structure de difficult to be other pay Britney delicate lev payments un
[00:10:01.880 --> 00:10:11.920]   basically
[00:10:11.920 --> 00:10:18.760]  , LED A L or "`.,,,,,,ジャ Mar Time layered
[00:11:29.060 --> 00:11:58.080]  obedent.jpg of the night stuff i wasn't as content with frugal decisions and what not is that i am now on the children obviously children have shaped the course of our last of our lives we've had four children our eldest is six so we've got four children six and under now and that's been awesome i wouldn't change it a bit being a father has been for me a completely transformative experience not in kind of a hokey
[00:11:58.080 --> 00:11:58.080]   trite
[00:11:58.080 --> 00:11:58.080]   way
[00:11:58.080 --> 00:11:58.080]   where
[00:11:58.080 --> 00:11:58.080]   i
[00:11:58.080 --> 00:11:58.100]   would
[00:11:58.100 --> 00:11:58.180]   like
[00:11:58.180 --> 00:11:58.280]   you know
[00:11:58.340 --> 00:12:06.260]   the
[00:12:06.260 --> 00:12:08.260]   but theух
[00:12:58.340 --> 00:12:58.340]   and
[00:12:58.340 --> 00:12:58.340]   and
[00:12:58.340 --> 00:12:58.340]   and
[00:12:58.340 --> 00:12:58.340]   and
[00:12:58.340 --> 00:12:58.340]   and
[00:12:58.340 --> 00:12:58.340]  работen.com
[00:12:58.340 --> 00:12:58.340]   and I feel like it's very psychologically healthy to have those long-term anchoring points. I have some friends of mine who are the same age, you know, people I went to school with, people that I'm close to, who've taken a very different path and not married, no children, but have just pursued the kind of the single, you know, the single goal of their life.
[00:12:58.340 --> 00:12:58.340]   I feel like it's very psychologically healthy to have those long-term anchoring points. I have some friends of mine who are the same age, you know, people I went to school with, people that I'm close to, who've taken a very different path and not married, no children, but have just pursued the kind of the single goal of their life.
[00:13:00.700 --> 00:13:28.360]   I feel like they want family and children, but they just feel like they haven't found the right person. Those things are totally fine. But if I try to look through their eyes about their lives and compare it to my own, one of the constant impressions that I come away with is how hard it is to be a good person.
[00:13:28.360 --> 00:13:28.360]   I feel like it's very psychologically healthy to have those long-term anchoring points. I have some friends of mine who are the same age, you know, people that I'm close to, who've taken a very different path and not married, no children, but have just pursued the kind of the single goal of their life.
[00:13:28.360 --> 00:13:28.760]  , but have just
[00:13:28.760 --> 00:13:58.380]  , but have just followed the kind of the single goal of their life.
[00:13:58.380 --> 00:13:58.380]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:13:58.380 --> 00:13:58.380]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:13:58.380 --> 00:13:58.380]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:13:58.380 --> 00:13:58.380]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:13:58.380 --> 00:13:58.380]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:13:58.380 --> 00:13:58.380]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:13:58.380 --> 00:13:58.380]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:13:58.380 --> 00:13:58.380]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:13:58.400 --> 00:14:28.400]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:14:28.400 --> 00:14:28.400]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:14:28.400 --> 00:14:28.400]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:14:28.400 --> 00:14:28.400]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:14:28.400 --> 00:14:28.400]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:14:28.400 --> 00:14:28.400]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:14:28.400 --> 00:14:28.400]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:14:28.400 --> 00:14:28.400]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:14:28.400 --> 00:14:28.400]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:14:28.400 --> 00:14:28.400]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:14:28.400 --> 00:14:58.420]  ,
[00:14:58.420 --> 00:14:58.420]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:14:58.420 --> 00:14:58.420]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:14:58.420 --> 00:14:58.420]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:14:58.420 --> 00:14:58.420]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:14:58.420 --> 00:14:58.420]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:14:58.420 --> 00:14:58.420]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:14:58.420 --> 00:14:58.420]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:14:58.440 --> 00:15:28.440]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:15:28.440 --> 00:15:28.440]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:15:28.440 --> 00:15:28.440]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:15:28.440 --> 00:15:28.440]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:15:28.440 --> 00:15:28.440]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:15:28.440 --> 00:15:28.440]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:15:28.440 --> 00:15:28.440]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:15:28.440 --> 00:15:28.440]   I feel like it's very psychologically healthy to have those long-term anchoring points.
