
[00:00:00.000 --> 00:00:02.040]   And we are live.
[00:00:02.040 --> 00:00:03.200]   - Great, okay.
[00:00:03.200 --> 00:00:07.000]   So folks are gonna start coming in to the Zoom.
[00:00:07.000 --> 00:00:11.920]   Folks coming in, joining us live on YouTube as well.
[00:00:11.920 --> 00:00:13.520]   Welcome everyone.
[00:00:13.520 --> 00:00:18.000]   We've got another exciting Weights and Biases
[00:00:18.000 --> 00:00:21.020]   deep learning salon for everyone.
[00:00:21.020 --> 00:00:24.840]   So I'll be speaking in the second half of the salon.
[00:00:24.840 --> 00:00:25.680]   So that's exciting.
[00:00:25.680 --> 00:00:27.840]   I talked last about a month ago
[00:00:27.840 --> 00:00:31.800]   and it just was so much fun that I decided I'd do it again.
[00:00:31.800 --> 00:00:33.560]   Before we dive into that
[00:00:33.560 --> 00:00:36.340]   and before I introduce our speaker for this week,
[00:00:36.340 --> 00:00:39.820]   I wanted to talk about the upcoming salon.
[00:00:39.820 --> 00:00:43.880]   So November 24th, Thanksgiving week in the United States,
[00:00:43.880 --> 00:00:47.560]   we're gonna have two folks on to talk about benchmarks,
[00:00:47.560 --> 00:00:50.960]   to talk about two tasks that they want community input
[00:00:50.960 --> 00:00:54.000]   on sort of an opportunity on a shared leaderboard
[00:00:54.000 --> 00:00:56.140]   to contribute to two different projects.
[00:00:56.140 --> 00:00:58.280]   And I'm actually really excited about
[00:00:58.280 --> 00:00:59.960]   these two benchmarks in particular
[00:00:59.960 --> 00:01:02.000]   'cause they're both sort of oriented towards
[00:01:02.000 --> 00:01:04.240]   a more thoughtful, maybe more ethical AI.
[00:01:04.240 --> 00:01:07.280]   First, the Safe Life Benchmark by the Partnership on AI,
[00:01:07.280 --> 00:01:12.200]   which is explicitly about safety and limited side effects
[00:01:12.200 --> 00:01:13.840]   in deep reinforcement learning.
[00:01:13.840 --> 00:01:16.280]   And then the Deep Form Benchmarks.
[00:01:16.280 --> 00:01:19.920]   This is from a group that's trying to get a better handle
[00:01:19.920 --> 00:01:24.080]   on who's spending money on political TV advertisements
[00:01:24.080 --> 00:01:27.900]   from this sort of vaguely structured form data.
[00:01:27.900 --> 00:01:30.580]   So extracting information from forms is really, really hard
[00:01:30.580 --> 00:01:31.700]   and they built this benchmark
[00:01:31.700 --> 00:01:34.180]   to try and learn a little bit more about it.
[00:01:34.180 --> 00:01:37.300]   So that will be two weeks from right now,
[00:01:37.300 --> 00:01:40.320]   November 24th at five o'clock Pacific time.
[00:01:40.320 --> 00:01:45.320]   And the RSVP link for that will be tiny.cc/wb-salon.
[00:01:45.320 --> 00:01:52.660]   You can RSVP for that starting about 10 minutes from now.
[00:01:53.660 --> 00:01:56.400]   And we do this salon every two weeks.
[00:01:56.400 --> 00:01:57.780]   You can catch the salons you've missed
[00:01:57.780 --> 00:01:58.700]   on our YouTube channel.
[00:01:58.700 --> 00:02:00.940]   We've also got some app tutorials
[00:02:00.940 --> 00:02:04.980]   and introductory and advanced lectures in machine learning
[00:02:04.980 --> 00:02:06.640]   if you wanna check those out.
[00:02:06.640 --> 00:02:07.800]   We've also got a Slack forum.
[00:02:07.800 --> 00:02:12.420]   You can hop into it, bit.ly/slack-forum.
[00:02:12.420 --> 00:02:15.720]   Those links will pop up in the YouTube chat
[00:02:15.720 --> 00:02:17.820]   and in the Slack chat in just a minute.
[00:02:19.100 --> 00:02:23.120]   So that's the future of the WNB Salon,
[00:02:23.120 --> 00:02:26.200]   but let's talk about the present.
[00:02:26.200 --> 00:02:28.640]   Presently here, we have Chirag Agarwal
[00:02:28.640 --> 00:02:31.740]   who is joining us from Harvard
[00:02:31.740 --> 00:02:34.200]   where he is a postdoctoral scholar
[00:02:34.200 --> 00:02:36.820]   and did some really exciting and interesting work
[00:02:36.820 --> 00:02:38.920]   on using the variance of the gradient,
[00:02:38.920 --> 00:02:40.400]   something people don't normally track,
[00:02:40.400 --> 00:02:41.880]   don't normally think about,
