
[00:00:00.040 --> 00:00:09.520]   milligrams
[00:00:09.520 --> 00:00:10.560]  ... likely
[00:00:10.560 --> 00:00:14.080]   handheld
[00:00:14.080 --> 00:00:29.260]   co conmak--H. What is a gate is the bar Room. M. Hoe. Hope. I'm a sound. I'm a mal. I'm a. I, "G. ".,", ", Emma., Win, within, as, in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,幫 onchuss but even aactor in sphere best toward the workers was all��TC孩 & camouflosaTC exceptrez
[00:00:29.380 --> 00:00:44.640]   I try to keep Radical Personal Finance positive and uplifting and encouraging and motivating. I really do. It's important to me to be a source of solutions and ideas rather than a source of complaining and whining.
[00:00:44.640 --> 00:00:52.720]   But I think we've all got a dark side and today, well, if you're looking for encouragement, you might want to skip today's show.
[00:00:52.720 --> 00:00:58.720]   .
[00:00:58.720 --> 00:00:58.720]   .
[00:00:58.720 --> 00:00:58.780]   .
[00:00:58.780 --> 00:00:58.820]   .
[00:00:58.820 --> 00:00:58.860]   .
[00:00:58.860 --> 00:00:58.900]   .
[00:00:58.900 --> 00:00:58.940]   .
[00:00:58.940 --> 00:00:58.980]   .
[00:00:58.980 --> 00:00:59.020]   .
[00:00:59.020 --> 00:00:59.060]   .
[00:00:59.060 --> 00:00:59.100]   .
[00:00:59.100 --> 00:00:59.140]   .
[00:00:59.140 --> 00:00:59.180]   .
[00:00:59.180 --> 00:00:59.220]   .
[00:00:59.220 --> 00:00:59.260]   .
[00:00:59.260 --> 00:00:59.300]   .
[00:00:59.300 --> 00:00:59.340]   .
[00:00:59.340 --> 00:00:59.380]   .
[00:00:59.400 --> 00:01:29.420]   .
[00:01:29.420 --> 00:01:29.440]   .
[00:01:29.440 --> 00:01:47.500]   .
[00:01:59.480 --> 00:02:29.520]   .
[00:02:29.520 --> 00:02:29.520]   .
[00:02:29.520 --> 00:02:29.520]   .
[00:02:29.520 --> 00:02:29.520]   .
[00:02:29.520 --> 00:02:29.520]   .
[00:02:29.520 --> 00:02:29.520]   .
[00:02:29.520 --> 00:02:29.520]   .
[00:02:29.520 --> 00:02:29.520]   .
[00:02:29.520 --> 00:02:29.520]   .
[00:02:29.520 --> 00:02:29.520]   .
[00:02:29.560 --> 00:02:39.660]   dance
[00:02:39.660 --> 00:02:59.380]   go. took Tur G " care hear the may protection
[00:02:59.420 --> 00:03:02.480]   go. took Tur G " care hear the may protection
[00:03:02.480 --> 00:03:04.480]   go. took Tur G " care hear the may protection
[00:03:04.480 --> 00:03:06.480]   go. took Tur G " care hear the may protection
[00:03:06.480 --> 00:03:08.480]   go. took Tur G " care hear the may protection
[00:03:08.480 --> 00:03:10.480]   go. took Tur G " care hear the may protection
[00:03:10.480 --> 00:03:12.480]   go. took Tur G " care hear the may protection
[00:03:12.480 --> 00:03:14.480]   go. took Tur G " care hear the may protection
[00:03:14.480 --> 00:03:16.480]   go. took Tur G " care hear the may protection
[00:03:16.480 --> 00:03:18.480]   go. took Tur G " care hear the may protection
[00:03:18.480 --> 00:03:20.480]   go. took Tur G " care hear the may protection
[00:03:20.480 --> 00:03:22.480]   go. took Tur G " care hear the may protection
[00:03:22.480 --> 00:03:24.480]   go. took Tur G " care hear the may protection
[00:03:24.480 --> 00:03:26.480]   go. took Tur G " care hear the may protection
[00:03:26.480 --> 00:03:28.480]   go. took Tur G " care hear the may protection
[00:03:28.480 --> 00:03:29.280]   go. took Tur G " care hear the may protection
[00:03:29.280 --> 00:03:29.280]   go. took Tur G " care hear the may protection
[00:03:29.380 --> 00:03:59.160]   in go. took Tur G " care hear the may protection protection
[00:03:59.200 --> 00:04:10.020]   con
[00:04:10.020 --> 00:04:11.760]  � go, decline,
[00:05:21.060 --> 00:05:22.120]   and budget under President Ronald Reagan. It's an interesting, I'm not sure whether that's a benefit for him or not, since President Reagan basically destroyed the fiscal situation in the United States worse than every president for him for years. And then since then, we've just been getting worse and worse and worse. He left Washington and he went on to work on Wall Street and now he basically focuses on publishing his newsletter. But let me just lead off by reading his article. This is called The Night of Fiscal Infamy, posted on Friday, February 9th, 2018.
[00:05:22.120 --> 00:05:23.000]   The Night of Fiscal Infamy, posted on Friday, February 9th, 2018.
[00:05:23.000 --> 00:05:23.140]   The Night of Fiscal Infamy, posted on Friday, February 9th, 2018.
[00:05:23.140 --> 00:05:23.200]   The Night of Fiscal Infamy, posted on Friday, February 9th, 2018.
[00:05:23.200 --> 00:05:23.220]   The Night of Fiscal Infamy, posted on Friday, February 9th, 2018.
[00:05:45.440 --> 00:05:46.100]   The Night of Fiscal Infamy, posted on Friday, February 9th, 2018.
[00:05:46.100 --> 00:05:50.180]   The Night of Fiscal Infamy, posted on Friday, February 9th, 2019.
[00:05:50.180 --> 00:05:50.300]   The Night of Fiscal Infamy, posted on Friday, February 9th, 2019.
[00:05:50.300 --> 00:05:50.320]   The Night of Fiscal Infamy, posted on Friday, February 9th, 2019.
[00:05:50.320 --> 00:05:50.360]   The Night of Fiscal Infamy, posted on Friday, February 9th, 2019.
[00:05:50.360 --> 00:05:50.380]   The Night of Fiscal Infamy, posted on Friday, February 9th, 2019.
[00:05:50.380 --> 00:05:50.400]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:05:50.400 --> 00:05:51.360]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:05:51.360 --> 00:05:51.400]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:05:51.400 --> 00:06:19.600]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:06:19.600 --> 00:06:19.620]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:06:19.620 --> 00:06:19.640]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:06:19.640 --> 00:06:19.660]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:06:19.660 --> 00:06:19.680]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:06:19.680 --> 00:06:19.700]   The Night of Fiscal Infamy, posted on Friday, 2019.
[00:06:19.700 --> 00:06:19.700]   The Night of Fiscal Infamy, posted on Friday, on Friday, February 12:
[00:06:48.000 --> 00:06:48.000]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:06:48.000 --> 00:06:48.100]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:06:48.100 --> 00:06:48.400]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:06:48.400 --> 00:06:48.440]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:06:48.440 --> 00:06:48.500]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:06:48.500 --> 00:06:48.560]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:06:48.560 --> 00:06:48.620]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:06:48.620 --> 00:06:48.680]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:06:48.680 --> 00:06:48.720]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:06:48.720 --> 00:06:48.780]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:07:17.760 --> 00:07:17.800]   I'm going to go ahead and get started.
[00:07:17.800 --> 00:07:17.880]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:07:17.880 --> 00:07:17.940]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:07:17.940 --> 00:07:18.020]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:07:18.020 --> 00:07:18.300]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:07:18.300 --> 00:07:18.400]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:07:18.400 --> 00:07:18.480]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:07:18.480 --> 00:07:18.820]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:07:18.820 --> 00:07:48.840]  , and eventually threw in 22 more for good measure.
[00:07:48.840 --> 00:07:48.840]   Then and there, of course, the swamp creatures took control of the U.S. Treasury, even as Speaker Ryan sent the 67 Republican no votes out back of the Capitol to be shot. Here's the thing. Mitch McConnell is a 54-year swamp creature and Paul Ryan is a gutless wonder. So when Mitchelson-Chuckles, as we labeled them yesterday, proffered their bipartisan deal in the Senate, Ryan had the choice of one saying hell no and standing firm for a plan based on some of the other.
[00:07:48.860 --> 00:08:18.860]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:08:18.860 --> 00:08:18.860]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:08:18.860 --> 00:08:18.860]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:08:18.860 --> 00:08:18.860]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:08:18.860 --> 00:08:18.860]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:08:18.860 --> 00:08:18.860]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:08:18.860 --> 00:08:18.860]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:08:18.860 --> 00:08:18.860]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:08:18.860 --> 00:08:18.860]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:08:18.860 --> 00:08:18.860]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:08:18.880 --> 00:08:48.880]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:08:48.880 --> 00:08:48.880]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:08:48.880 --> 00:08:48.880]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:08:48.880 --> 00:08:48.880]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:08:48.880 --> 00:08:48.880]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:08:48.880 --> 00:08:48.880]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:08:48.880 --> 00:08:48.880]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:08:48.880 --> 00:08:48.880]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:08:48.880 --> 00:08:48.880]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:08:48.880 --> 00:09:18.900]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:09:18.900 --> 00:09:18.900]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:09:18.900 --> 00:09:18.900]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:09:18.900 --> 00:09:18.900]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:09:18.900 --> 00:09:18.900]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:09:18.900 --> 00:09:18.900]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:09:18.900 --> 00:09:18.900]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:09:18.900 --> 00:09:18.900]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019. The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:09:18.920 --> 00:09:48.920]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:09:48.920 --> 00:09:48.920]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:09:48.920 --> 00:09:48.920]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:09:48.920 --> 00:09:48.920]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:09:48.920 --> 00:09:48.920]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:09:48.920 --> 00:09:48.920]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:09:48.920 --> 00:09:48.920]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:09:48.920 --> 00:09:48.920]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:09:48.920 --> 00:09:48.920]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:09:48.920 --> 00:09:48.920]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:09:48.920 --> 00:10:18.940]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
