
[00:00:00.000 --> 00:00:21.600]   Welcome! So glad to see you all here. Welcome to When Vectors Break Down: Graph-based RAG for
[00:00:21.600 --> 00:00:27.360]   dense enterprise knowledge. And big thank you to SWIX and Ben for putting on yet another amazing
[00:00:27.360 --> 00:00:34.720]   event. So it's a pretty interesting signal that we have an entire track dedicated to graph-based RAG.
[00:00:34.720 --> 00:00:40.800]   And I think in addition to all of the agentic promise of graph-based RAG, we're also seeing that
[00:00:40.800 --> 00:00:46.000]   the market is starting to catch up, that vector search is just not enough for RAG at scale. You
[00:00:46.000 --> 00:00:50.720]   may have seen this really interesting article by Joe Christian Burgum, who is around here somewhere
[00:00:50.720 --> 00:00:56.080]   on the rise and fall of the vector database infrastructure category and his subsequent
[00:00:56.080 --> 00:01:01.360]   interview on Latentspace, where he talked about how vector databases have experienced this gold rush
[00:01:01.360 --> 00:01:07.120]   after ChatGPT's launch, but that the industry is starting to recognize that vector search alone is
[00:01:07.120 --> 00:01:13.760]   just insufficient for sophisticated retrieval and that we're going to need multiple strategies beyond
[00:01:13.760 --> 00:01:15.440]   simple vector similarity.
[00:01:15.440 --> 00:01:20.560]   This is music to our ears at Rider because we've actually been talking about this for a long time. We've
[00:01:20.560 --> 00:01:25.200]   been talking about the benefits of graph-based RAG for a couple of years now. In fact, if you look at
[00:01:25.200 --> 00:01:32.880]   this article from November 2023, which in AI time is like prehistoric times, we actually talk about the
[00:01:32.880 --> 00:01:39.040]   benefits of knowledge graphs and the shortcomings of vector databases and simple similarity search for
[00:01:39.040 --> 00:01:45.920]   enterprise RAG at scale. And if you're not familiar with Rider, we're this end-to-end agentic platform for
[00:01:45.920 --> 00:01:50.720]   enterprises where we build our own models, we build our own graph-based RAG system and have this suite of
[00:01:50.720 --> 00:01:56.880]   software tools on top of that for enterprises to be able to build agents and AI applications. And so,
[00:01:56.880 --> 00:02:01.600]   as we've been building Knowledge Graph over the years, it's been an interesting journey as we've been
[00:02:01.600 --> 00:02:08.400]   working with these Fortune 500 and Global 2000 companies at scale. Most of them or many of them
[00:02:08.400 --> 00:02:14.880]   are in highly regulated industries like healthcare and finance, where accuracy and low hallucinations are
[00:02:14.880 --> 00:02:20.720]   super important. And so, our team has been putting together this system over the years of different
[00:02:20.720 --> 00:02:26.800]   components put together and different techniques that we could really drive our accuracy rate up high and
[00:02:26.800 --> 00:02:31.520]   reduce our hallucinations. And so, what I wanted to share in this talk was kind of the journey
[00:02:31.520 --> 00:02:35.920]   of how we got there. And the main takeaway being, as you're seeing in several of these talks, like
[00:02:35.920 --> 00:02:40.000]   the first talk about hybrid search, there are many different ways that you can get the benefits of
[00:02:40.000 --> 00:02:46.640]   knowledge graphs in RAG. And also, how you get there and what you learn along the way is actually
[00:02:46.640 --> 00:02:52.720]   often very valuable as you're building out your retrieval system, almost just as valuable as the end result
[00:02:52.720 --> 00:02:59.200]   itself. So, I'm going to weave together these two stories of our journey to graph-based RAG and sort of the
[00:02:59.200 --> 00:03:04.240]   first principles thinking that I think has made our team successful in putting together this system as
[00:03:04.240 --> 00:03:09.200]   we continue to iterate and improve on it. So, I'm Sam Julien. I'm the director of developer relations at
[00:03:09.200 --> 00:03:14.560]   Rider, and you can find most of my writing and books and newsletters and all of those things at samjulien.com.
[00:03:14.560 --> 00:03:20.720]   So, I talked about this system composed of multiple pieces put together over a couple of different
[00:03:20.720 --> 00:03:27.360]   years. And I want to talk about sort of how we got to this point and where we are now. And I'm just going to put a
[00:03:27.360 --> 00:03:32.560]   blanket caveat on here that please consider this a sketch and not a blueprint of what is currently
[00:03:32.560 --> 00:03:37.360]   in production. Of course, there are like many moving pieces and many layers to this, but I want to
[00:03:37.360 --> 00:03:43.840]   abstract it enough to make it something that is practical and usable for people. So, our research
[00:03:43.840 --> 00:03:50.400]   team, we have a cracked research team at Rider, and they have four main areas of focus. Enterprise models,
[00:03:50.400 --> 00:03:55.600]   like our Palmyra X5 model, that's the one powering the chat on the AI engineer website right now.
[00:03:55.600 --> 00:04:02.960]   Practical evaluations, like our finance benchmark called Failsafe QA. Domain specific specialization,
[00:04:02.960 --> 00:04:07.760]   these are our domain specific models like Palmyra Med and Palmyra Finn. And then what our focus is here,
[00:04:07.760 --> 00:04:14.400]   retrieval and knowledge integration. So, bringing enterprise data to work with our models in a secure,
[00:04:15.040 --> 00:04:19.520]   reliable way. And I think what's really cool about the way our research team works is that
[00:04:19.520 --> 00:04:25.440]   they're very focused on solving practical problems for our customers. They're not just sort of like
[00:04:25.440 --> 00:04:30.720]   working in isolation, working on theoretical things. They're actually driven by customer insights.
[00:04:30.720 --> 00:04:36.560]   And that's really what I would consider like sort of the first meta lesson of why I think this is
[00:04:36.560 --> 00:04:41.360]   working so well for Rider right now. We're really focused on solving the customer problems rather than
[00:04:41.360 --> 00:04:47.680]   implementing specific solutions. So, the problem that we are trying to solve kind of constantly,
[00:04:47.680 --> 00:04:53.360]   as most of us are here, is that enterprise data is really dense, specialized, and massive. So,
[00:04:53.360 --> 00:04:59.600]   we're often dealing with terabytes of data, and it uses very specific language, and it's often very
[00:04:59.600 --> 00:05:04.640]   clustered together. There's not a lot of diversity in the language used in these documents. And that's what
[00:05:04.640 --> 00:05:07.680]   our research and engineering teams have been focused on these last few years.
[00:05:07.680 --> 00:05:14.800]   So, like most, we kind of started out with a regular search of querying a knowledge base,
[00:05:14.800 --> 00:05:20.880]   using an algorithm, and passing that to the LLM. But that quickly sort of like ran out because of,
[00:05:20.880 --> 00:05:24.800]   you know, it was good for basic keyword searches, but not really great for that advanced similarity
[00:05:24.800 --> 00:05:31.680]   search that we needed. So, then, again, like most, we went to vector embeddings and did chunking and
[00:05:31.680 --> 00:05:38.000]   embeddings and put it in a database and then similarity search and passing it to the LLM for the end user to
[00:05:38.000 --> 00:05:46.880]   query. But we ran into two major problems with this. The first is that with vector retrieval, chunking and
[00:05:46.880 --> 00:05:53.200]   nearest neighbors can give inaccurate answers. So, if you look at this example of kind of this text about
[00:05:53.200 --> 00:05:58.640]   the founding of Apple and the timeline, it's very easy for us as humans to look at these text chunks
[00:05:58.640 --> 00:06:04.720]   and pick out the fact that the Macintosh was created in 1984. But when you chunk this text naively and
[00:06:04.720 --> 00:06:09.280]   you just give it to a nearest neighbor search, it can get confused. And it thinks that it was actually in
[00:06:09.280 --> 00:06:15.440]   1983 instead of 1984 because it's in the same chunk as the introduction of the Lisa. Side note, I'm a huge
[00:06:15.440 --> 00:06:22.480]   vintage Apple nerd, and so I liked this example. The other big problem that we ran into with vector
[00:06:22.480 --> 00:06:26.800]   retrieval was that it was failing with really concentrated data. So, if you think about a lot of
[00:06:26.800 --> 00:06:30.480]   large enterprises, it's not like they're dealing with documents where, like, some of them are talking
[00:06:30.480 --> 00:06:35.680]   about animals and some of them are talking about fruit, right? So, if you have a mobile phone company,
[00:06:35.680 --> 00:06:41.120]   for example, and they have thousands and thousands of documents that all use megapixels and cameras and
[00:06:41.120 --> 00:06:46.640]   battery life and things like that, and you ask the RAG system and the LLM to compare two different phone
[00:06:46.640 --> 00:06:50.160]   models, it's going to really struggle with that because it's going to find all these answers and have
[00:06:50.160 --> 00:06:58.080]   no idea how to make sense of them. And so that's what took us to graph-based RAG, where instead we would
[00:06:58.080 --> 00:07:04.400]   query a graph database and get back the relevant documents using keys and generate an answer. And
[00:07:04.400 --> 00:07:08.720]   especially powerful if you combine that with, like, full text and similarity search and things like that.
[00:07:10.080 --> 00:07:16.880]   And so this really helped us with our accuracy because we were able to preserve the relationships
[00:07:16.880 --> 00:07:22.160]   with the text and provide more context to the model. And this was really interesting because,
[00:07:22.160 --> 00:07:27.360]   at the time, there actually weren't that many people doing graph-based RAG over the last couple of years.
[00:07:27.360 --> 00:07:32.320]   And that's why I think the focus of the team on really trying to solve the problem of the customer
[00:07:32.320 --> 00:07:39.040]   rather than chase whatever was being hyped up at the time was really important. So that was really great.
[00:07:39.040 --> 00:07:44.720]   But we did run into some challenges back then with using graph databases. Now this is not an indictment
[00:07:44.720 --> 00:07:50.240]   of any graph database technology. It's just that we were running into these issues at the time a couple
[00:07:50.240 --> 00:07:56.960]   of years ago. And so there were four things that we ran into. First, that converting the data into the
[00:07:56.960 --> 00:08:03.760]   structured graph was getting really challenging and costly at scale. As the graph database scaled, we were
