
[00:00:00.000 --> 00:00:01.440]   Take Tiablo Canyon.
[00:00:01.440 --> 00:00:03.720]   They built two nuclear reactors here.
[00:00:03.720 --> 00:00:08.040]   You know, this site was provisioned for six,
[00:00:08.040 --> 00:00:09.720]   for six reactors.
[00:00:09.720 --> 00:00:13.360]   I could imagine if you had four more reactors sitting here,
[00:00:13.360 --> 00:00:15.640]   if you could land them at the right price,
[00:00:15.640 --> 00:00:19.680]   you could have one reactor for Meta, one for Amazon,
[00:00:19.680 --> 00:00:21.720]   one for Microsoft, one for NVIDIA.
[00:00:21.720 --> 00:00:24.360]   You could have the data center sitting right next to them.
[00:00:24.360 --> 00:00:26.940]   (upbeat music)
[00:00:26.940 --> 00:00:29.520]   (upbeat music)
[00:00:29.520 --> 00:00:39.380]   Bill, man, I couldn't be more excited to be here.
[00:00:39.380 --> 00:00:41.540]   We're sitting in, you know,
[00:00:41.540 --> 00:00:46.540]   probably your three wood distance from two nuclear reactors
[00:00:46.540 --> 00:00:51.240]   that are banging out two and a half gigs of clean power.
[00:00:51.240 --> 00:00:54.820]   We just had an incredible day with Maureen Zawalnik
[00:00:54.820 --> 00:00:57.380]   down here at Diablo Canyon.
[00:00:57.380 --> 00:00:59.540]   You know, it's just this beautiful nuclear facility
[00:00:59.540 --> 00:01:01.740]   on the central California coast.
[00:01:01.740 --> 00:01:03.740]   It's really great to be here.
[00:01:03.740 --> 00:01:06.180]   You know, when you look at this facility,
[00:01:06.180 --> 00:01:09.460]   you read about the positive impact on the local economy.
[00:01:09.460 --> 00:01:12.940]   Of course, it's the type of dense baseload power
[00:01:12.940 --> 00:01:16.460]   we so desperately need in California.
[00:01:16.460 --> 00:01:19.180]   You know, I think you said on a previous pod,
[00:01:19.180 --> 00:01:23.140]   somebody showed up with a value proposition of fission today
[00:01:23.140 --> 00:01:24.940]   you know, and blow all of our minds.
[00:01:24.940 --> 00:01:27.460]   And here we were about ready to decommission this plant
[00:01:27.460 --> 00:01:32.460]   in 2016, which as Elon has said is incredibly brain dead.
[00:01:32.460 --> 00:01:35.460]   You know, I was pretty excited to see this week
[00:01:35.460 --> 00:01:37.460]   and I was watching ESPN game day.
[00:01:37.460 --> 00:01:39.680]   I think it was at Texas A&M.
[00:01:39.680 --> 00:01:42.360]   And I see somebody holding up a sign, I love nuclear,
[00:01:42.360 --> 00:01:45.020]   like college kids are now holding up signs
[00:01:45.020 --> 00:01:46.740]   that say, I love nuclear.
[00:01:46.740 --> 00:01:49.020]   So it's good to finally get down here
[00:01:49.020 --> 00:01:53.020]   and put on our analyst hat, dig in, ask a lot of questions.
[00:01:53.020 --> 00:01:55.980]   And, you know, be able to share it with everybody.
[00:01:55.980 --> 00:01:57.500]   - Yeah, and one thing, you know,
[00:01:57.500 --> 00:01:59.580]   two things I think that are a little bit different
[00:01:59.580 --> 00:02:02.260]   about the podcast we're gonna do today.
