
[00:00:00.000 --> 00:00:00.840]   [upbeat music]
[00:00:00.840 --> 00:00:02.280]   Welcome to the Huberman Lab Podcast,
[00:00:02.280 --> 00:00:04.880]   where we discuss science and science-based tools
[00:00:04.880 --> 00:00:05.900]   for everyday life.
[00:00:05.900 --> 00:00:10.040]   I'm Andrew Huberman,
[00:00:10.040 --> 00:00:12.840]   and I'm a professor of neurobiology and ophthalmology
[00:00:12.840 --> 00:00:14.600]   at Stanford School of Medicine.
[00:00:14.600 --> 00:00:18.200]   Today is an Ask Me Anything or AMA episode,
[00:00:18.200 --> 00:00:20.880]   which is part of our premium subscriber content.
[00:00:20.880 --> 00:00:23.360]   Our premium channel was launched in order to raise support
[00:00:23.360 --> 00:00:25.640]   for the standard Huberman Lab Podcast channel,
[00:00:25.640 --> 00:00:28.200]   which still comes out once a week, every Monday,
[00:00:28.200 --> 00:00:30.460]   and of course is zero cost to consumer.
[00:00:30.460 --> 00:00:32.960]   The premium channel is also designed to support
[00:00:32.960 --> 00:00:35.200]   exciting research being done at major universities
[00:00:35.200 --> 00:00:36.940]   like Stanford and elsewhere,
[00:00:36.940 --> 00:00:40.080]   research that's done on humans that should lead to protocols
[00:00:40.080 --> 00:00:42.440]   for mental health, physical health, and performance
[00:00:42.440 --> 00:00:44.000]   in the near future.
[00:00:44.000 --> 00:00:45.080]   If you'd like to check out
[00:00:45.080 --> 00:00:46.500]   the premium channel subscription model,
[00:00:46.500 --> 00:00:49.160]   you can go to HubermanLab.com/premium,
[00:00:49.160 --> 00:00:52.320]   and there you can subscribe for $10 a month or $100 a year.
[00:00:52.320 --> 00:00:54.540]   We also have a lifetime subscriber option.
[00:00:54.540 --> 00:00:56.560]   For those of you that are already Huberman Lab Podcast
[00:00:56.560 --> 00:00:59.840]   premium subscribers, and you're watching and/or hearing this,
[00:00:59.840 --> 00:01:02.600]   please go to HubermanLab.com/premium
[00:01:02.600 --> 00:01:05.120]   and download the premium podcast feed.
[00:01:05.120 --> 00:01:06.800]   And for those of you that are not already
[00:01:06.800 --> 00:01:09.140]   Huberman Lab premium podcast subscribers,
[00:01:09.140 --> 00:01:11.760]   you will be able to hear the first 15 minutes or so
[00:01:11.760 --> 00:01:13.500]   of this episode, and hopefully that will allow you
[00:01:13.500 --> 00:01:15.040]   to discern whether or not you would like
[00:01:15.040 --> 00:01:16.780]   to become a premium subscriber.
[00:01:16.780 --> 00:01:19.760]   Without further ado, let's get to answering your questions.
[00:01:19.760 --> 00:01:22.720]   And as always, I will strive to be as accurate as possible,
[00:01:22.720 --> 00:01:27.080]   as thorough as possible, and yet as concise as possible.
[00:01:27.080 --> 00:01:30.040]   Our first question is about motivation, in particular,
[00:01:30.040 --> 00:01:33.700]   how to maintain motivation over long periods of time.
[00:01:33.700 --> 00:01:36.440]   This was a question asked by Martin Zokov.
[00:01:36.440 --> 00:01:39.040]   He wrote, "I alternate between periods
[00:01:39.040 --> 00:01:41.820]   "of two different states that vary from a few weeks
[00:01:41.820 --> 00:01:43.360]   "to a couple of months.
[00:01:43.360 --> 00:01:46.340]   "I have extremely high motivation in one state
[00:01:46.340 --> 00:01:48.680]   "where I can do multiple things, side projects,
[00:01:48.680 --> 00:01:51.040]   "making music, as well as my main things,
[00:01:51.040 --> 00:01:53.800]   "or really low motivational states
[00:01:53.800 --> 00:01:55.140]   "where I can barely do anything,
[00:01:55.140 --> 00:01:57.280]   "and I only look for short-term entertainment."
[00:01:57.280 --> 00:01:59.880]   I'm guessing short-term entertainment comes in the form
[00:01:59.880 --> 00:02:01.920]   of video games, social media,
[00:02:01.920 --> 00:02:05.160]   and just kind of doing generally unproductive things,
[00:02:05.160 --> 00:02:07.040]   as we all do from time to time.
[00:02:07.040 --> 00:02:09.100]   He goes on to write, "What would be the best set
[00:02:09.100 --> 00:02:11.340]   "of protocols to normalize those extremes
[00:02:11.340 --> 00:02:14.160]   "into a more stable and consistent state?"
[00:02:14.160 --> 00:02:16.500]   Well, first off, this is an excellent question.
[00:02:16.500 --> 00:02:19.320]   I say that because it's a question that I hear a lot,
[00:02:19.320 --> 00:02:22.840]   and I think that many people are interested in knowing
[00:02:22.840 --> 00:02:25.080]   how motivated they ought to feel,
[00:02:25.080 --> 00:02:26.880]   and I think a lot of people also feel
[00:02:26.880 --> 00:02:29.140]   a lot less motivated than they would like.
[00:02:29.140 --> 00:02:30.720]   Now, here, the question was specifically
[00:02:30.720 --> 00:02:32.800]   about how to not go from these extremes
[00:02:32.800 --> 00:02:34.880]   of days or weeks of high motivation
[00:02:34.880 --> 00:02:37.160]   to days or weeks of low motivation,
[00:02:37.160 --> 00:02:39.080]   but before we do that, we need to take a step back
[00:02:39.080 --> 00:02:42.080]   and acknowledge that just as with anxiety
[00:02:42.080 --> 00:02:44.820]   or happiness or sadness,
[00:02:44.820 --> 00:02:48.040]   we as human beings don't have an objective window
[00:02:48.040 --> 00:02:50.680]   into how other people experience motivation.
[00:02:50.680 --> 00:02:51.520]   In fact, most of the time,
[00:02:51.520 --> 00:02:54.300]   we don't even realize how we experience motivation.
[00:02:54.300 --> 00:02:57.440]   We just know whether or not we feel a high barrier
[00:02:57.440 --> 00:03:00.220]   or a low barrier to leaning into work
[00:03:00.220 --> 00:03:01.080]   and getting things done.
[00:03:01.080 --> 00:03:03.600]   In fact, I have a good friend who did many years
[00:03:03.600 --> 00:03:05.080]   in the special operations community
[00:03:05.080 --> 00:03:06.960]   and then went on to the finance community
[00:03:06.960 --> 00:03:09.360]   and then now works in health and wellness community.
[00:03:09.360 --> 00:03:13.200]   He has a great kind of mental image for all of us to adopt.
[00:03:13.200 --> 00:03:14.460]   It's certainly one that I've adopted,
[00:03:14.460 --> 00:03:17.520]   which is for anything in our life,
[00:03:17.520 --> 00:03:19.200]   we can either be back on our heels,
[00:03:19.200 --> 00:03:21.160]   flat-footed or forward center of mass.
[00:03:21.160 --> 00:03:22.920]   Back on our heels, meaning really struggling,
[00:03:22.920 --> 00:03:24.880]   flat-footed meaning that we're doing okay
[00:03:24.880 --> 00:03:26.040]   or forward center of mass,
[00:03:26.040 --> 00:03:29.560]   meaning that we feel as if we're really tackling things
[00:03:29.560 --> 00:03:32.140]   and that we are in control of our environment
[00:03:32.140 --> 00:03:33.880]   or at least to some degree.
[00:03:33.880 --> 00:03:35.440]   So I place that imagery in your mind
[00:03:35.440 --> 00:03:37.480]   because I'll return to it a little bit later in the question
[00:03:37.480 --> 00:03:39.920]   when we get into some of the underlying circuitry and tools.
[00:03:39.920 --> 00:03:42.340]   In the meantime, I want to remind everybody
[00:03:42.340 --> 00:03:44.840]   what the basis of motivation is.
[00:03:44.840 --> 00:03:47.520]   Now, there are many neurochemicals and neural circuits
[00:03:47.520 --> 00:03:49.880]   involved in what we call motivation,
[00:03:49.880 --> 00:03:54.300]   but a central theme of the neuroscience of motivation
[00:03:54.300 --> 00:03:57.580]   is that the neuromodulator dopamine is involved.
[00:03:57.580 --> 00:04:00.760]   Now, dopamine does other things besides control motivation.
[00:04:00.760 --> 00:04:03.840]   In fact, it controls light adaptation in the retina.
[00:04:03.840 --> 00:04:04.840]   That is your eye.
[00:04:04.840 --> 00:04:06.520]   It controls a number of different things
[00:04:06.520 --> 00:04:08.480]   in terms of movement.
[00:04:08.480 --> 00:04:10.200]   It controls all sorts of things,
[00:04:10.200 --> 00:04:14.020]   but it is strongly related to the motivation pathways.
[00:04:14.020 --> 00:04:14.880]   How do we know that?
[00:04:14.880 --> 00:04:16.840]   Well, there are experiments on animals and humans
[00:04:16.840 --> 00:04:20.620]   which show that even in the absence of dopamine
[00:04:20.620 --> 00:04:23.800]   or in the presence of very low dopamine, I should say,
[00:04:23.800 --> 00:04:27.040]   people and animals can still experience pleasure.
[00:04:27.040 --> 00:04:30.200]   However, when dopamine levels are too low,
[00:04:30.200 --> 00:04:33.480]   people's ability to pursue pleasure
[00:04:33.480 --> 00:04:35.640]   or their willingness to pursue pleasure,
[00:04:35.640 --> 00:04:38.680]   in particular, their willingness to undergo effort
[00:04:38.680 --> 00:04:41.880]   to pursue pleasure or any goal of any kind,
[00:04:41.880 --> 00:04:44.440]   not just pleasure, any goal of any kind,
[00:04:44.440 --> 00:04:47.040]   is strongly regulated by the levels of dopamine.
[00:04:47.040 --> 00:04:49.060]   So if dopamine levels are too low,
[00:04:49.060 --> 00:04:51.340]   people simply will not put in the effort
[00:04:51.340 --> 00:04:54.560]   to obtain or reach a goal.
[00:04:54.560 --> 00:04:56.840]   If dopamine levels are adequately high,
[00:04:56.840 --> 00:04:58.220]   they will put in that effort.
[00:04:58.220 --> 00:05:00.000]   And if dopamine levels go too high,
[00:05:00.000 --> 00:05:02.240]   you actually see something that is pathologic,
[00:05:02.240 --> 00:05:06.680]   which is that people consider every goal a reasonable goal.
[00:05:06.680 --> 00:05:08.360]   This is often seen in the manic phase
[00:05:08.360 --> 00:05:10.080]   of a manic bipolar person.
[00:05:10.080 --> 00:05:12.760]   So for instance, somebody with manic bipolar
[00:05:12.760 --> 00:05:14.280]   who's in the manic episode,
[00:05:14.280 --> 00:05:15.880]   dopamine levels are very, very high,
[00:05:15.880 --> 00:05:17.700]   and they will think every idea is a great idea,
[00:05:17.700 --> 00:05:19.440]   and they will have tons of energy to do that,
[00:05:19.440 --> 00:05:21.000]   so much so that they're not sleeping.
[00:05:21.000 --> 00:05:22.840]   So obviously that's not what we want.
[00:05:22.840 --> 00:05:25.720]   What we want and what the question asker, Martin,
[00:05:25.720 --> 00:05:29.440]   is asking about is how to keep dopamine levels
[00:05:29.440 --> 00:05:32.960]   in a range that allow us to lean into effort,
[00:05:32.960 --> 00:05:37.200]   but that we don't expend our ability to stay motivated.
[00:05:37.200 --> 00:05:41.120]   And we can really trace that back to a biochemical/neural
[00:05:41.120 --> 00:05:42.000]   circuit statement,
[00:05:42.000 --> 00:05:46.920]   which is we really want to control our output of dopamine
[00:05:46.920 --> 00:05:49.080]   and the baseline levels of dopamine
[00:05:49.080 --> 00:05:51.400]   from which that output is taken.
[00:05:51.400 --> 00:05:53.400]   In other words, we want to think about dopamine
[00:05:53.400 --> 00:05:56.840]   as a reservoir or residing in a reservoir.
[00:05:56.840 --> 00:06:00.280]   That reservoir can be depleted, so it's exhaustible,
[00:06:00.280 --> 00:06:04.120]   it's depletable, but it's renewable as well.
