
[00:00:00.000 --> 00:00:02.920]   Let's do a call.
[00:00:02.920 --> 00:00:04.840]   Okay, sounds good.
[00:00:04.840 --> 00:00:06.240]   Hi, Cal.
[00:00:06.240 --> 00:00:08.160]   My question today is very simple.
[00:00:08.160 --> 00:00:11.760]   Where can we find more real world examples of people living the deep life?
[00:00:11.760 --> 00:00:15.440]   I think the case studies are often really good at illustrating very abstract concepts
[00:00:15.440 --> 00:00:16.440]   like the deep life.
[00:00:16.440 --> 00:00:20.440]   After all, it's much easier to understand radical alignment with your values when you
[00:00:20.440 --> 00:00:24.520]   read the story of the triathlete who left New York and moved to Boulder to train and
[00:00:24.520 --> 00:00:25.520]   be close to his family.
[00:00:25.520 --> 00:00:30.440]   I know you try to share as much cases as you can on the podcast, and I'm assuming your
[00:00:30.440 --> 00:00:33.680]   upcoming book will have several cases that illustrate these different moves.
[00:00:33.680 --> 00:00:36.960]   But even then, that's only a handful of examples.
[00:00:36.960 --> 00:00:38.320]   Some of them are also hard to relate.
[00:00:38.320 --> 00:00:42.560]   I mean, not everyone wants to move to the mountains to be a world-class triathlete or
[00:00:42.560 --> 00:00:44.760]   move to a cabin to be a writer.
[00:00:44.760 --> 00:00:48.800]   I know from experience that sometimes all it takes to crack in your own deep life is
[00:00:48.800 --> 00:00:51.800]   seeing someone else's life that really resonates.
[00:00:51.800 --> 00:00:53.480]   So here's a final provocation.
[00:00:53.480 --> 00:00:57.320]   If there isn't such resource, should someone build one?
[00:00:57.320 --> 00:01:01.800]   Thanks for your tremendous generosity of spirit and sharing your work so broadly, Cal.
[00:01:01.800 --> 00:01:02.800]   Thank you.
[00:01:02.800 --> 00:01:05.400]   Well, John, you're hitting on a couple of good points here.
[00:01:05.400 --> 00:01:09.880]   Let's start with your last point first.
[00:01:09.880 --> 00:01:14.080]   Should there be a better resource for encountering examples of the deep life so that you have
[00:01:14.080 --> 00:01:17.800]   a better chance of hitting one that resonates with you in particular?
[00:01:17.800 --> 00:01:24.160]   And I agree with your premise here that somehow or sometimes getting the specifics, this specific
[00:01:24.160 --> 00:01:28.600]   person did something that resonates exactly with me, is critical for making a vision for
