
[00:00:00.000 --> 00:00:10.000]   In November 2020, Apple released their latest chips, the M1 chips, based solely on Apple Silicon.
[00:00:10.000 --> 00:00:22.000]   Now, the M1 chips are incredibly powerful for what they are, but they were not particularly well supported for anyone doing deep learning.
[00:00:22.000 --> 00:00:34.000]   Now, TensorFlow pretty much straight out of the gate supported GPU acceleration on the new M1 chips, but PyTorch have literally only just released it.
[00:00:34.000 --> 00:00:48.000]   Now, it's been a relatively long wait, and even longer because today's deep learning models rely very heavily on large model sizes and lots of data.
[00:00:48.000 --> 00:00:58.000]   And in order to process that, we can't really rely on CPUs, it's incredibly slow.
[00:00:58.000 --> 00:01:12.000]   So, that has basically made deep learning very difficult with Macs, and practically no one is going to use a Mac for deep learning when they're using PyTorch, until now.
[00:01:12.000 --> 00:01:28.000]   That being said, for at least the first generation M1 chips, we're probably not going to be training any large models with them anytime soon, but we can perform inference on them.
[00:01:28.000 --> 00:01:35.000]   And I will also show you how we can run through training, but it's not going to be anything spectacular.
[00:01:35.000 --> 00:01:42.000]   So, PyTorch's support for GPUs comes in version 1.12.
[00:01:42.000 --> 00:01:55.000]   In the latest version of PyTorch, there comes a support for interaction between PyTorch and the lower-level Metal Performance Shaders, or MPS.
[00:01:55.000 --> 00:02:03.000]   So, it's Metal Performance Shaders that interact with our GPU, almost like a layer between PyTorch and the GPU.
[00:02:03.000 --> 00:02:13.000]   Another pretty interesting thing, or positive thing, about this integration is that PyTorch have collaborated directly with the Apple Metal team.
[00:02:13.000 --> 00:02:27.000]   The Metal team deal with the new M1 chips, and the MPS layer has been fine-tuned for each particular M1 chip, or family of M1 chips.
[00:02:27.000 --> 00:02:35.000]   So, that basically means the performance should be pretty optimal for what it is doing.
[00:02:35.000 --> 00:02:55.000]   So, if we take a look at the release announcement over on PyTorch, we can come down here, and the accelerated training and evaluation - this is on an M1 Ultra, so I believe that's the top M1 chip at the moment -
[00:02:55.000 --> 00:03:09.000]   it shows you pretty incredible speed-up. Now, I will say right now that this is not the same on my M1 chip, or it doesn't seem to be.
[00:03:09.000 --> 00:03:23.000]   So, this is probably the most optimistic that you're going to get, and of course this is in their release, so they're not going to show you the average results, they're just showing you the best they've ever seen.
[00:03:23.000 --> 00:03:29.000]   So, either way, this is actually pretty good.
[00:03:29.000 --> 00:03:49.000]   So, the getting started on here is not that helpful, to be honest. This is not how you get started, so we need to go through a few steps to get everything organized and put together.
[00:03:49.000 --> 00:03:59.000]   With the new MPS-enabled PyTorch, there are two key prerequisites that are not really mentioned in the announcements.
[00:03:59.000 --> 00:04:11.000]   The first is that you need to have macOS version 12.3 or higher. So, if you don't have that, you'll need to upgrade.
[00:04:11.000 --> 00:04:18.000]   And the other one is that we need to do everything via the ARM version of Python.
[00:04:18.000 --> 00:04:24.000]   Now, we can check all of this within our Python environment using this code here.
[00:04:24.000 --> 00:04:27.000]   So, "import platform platform mac version", right?
[00:04:27.000 --> 00:04:38.000]   So, the first value that you get there is, in this case, you can see 12.4. That is the macOS version. That must be 12.3 or more.
[00:04:38.000 --> 00:04:45.000]   And then the last thing you see here is ARM64. That tells me, okay, I've got the right version of Python running here.
[00:04:45.000 --> 00:04:51.000]   It's using the ARM architecture rather than the x86 architecture.
[00:04:51.000 --> 00:04:57.000]   In that case, you need to install the new Python environment.
[00:04:57.000 --> 00:05:06.000]   So, if you're using Anaconda, that's great because we're going to go through the installation of ARM Python with Anaconda.
[00:05:06.000 --> 00:05:18.000]   So, the first thing we're doing here is specifying that we need to use the ARM64 version of macOS.
[00:05:18.000 --> 00:05:20.000]   So, we do that here.
[00:05:20.000 --> 00:05:26.000]   We then say, okay, we want to create a new conda environment, call that environment "ml".
[00:05:26.000 --> 00:05:29.000]   We are going to use Python 3.9.
[00:05:29.000 --> 00:05:36.000]   And Conda Forge is probably in your channel list anyway, but just in case, we're also specifying this,
[00:05:36.000 --> 00:05:44.000]   which is just another repository where we're going to pull all of these versions of different packages from.
[00:05:44.000 --> 00:05:51.000]   Okay, so once that has installed, we need to go into that environment.
[00:05:51.000 --> 00:06:01.000]   So, conda activate ml, and then we need to permanently modify the conda subdirectory variable
[00:06:01.000 --> 00:06:07.000]   to make sure this is always going to be set to OSX ARM64.
[00:06:07.000 --> 00:06:13.000]   So, this is to avoid later on when we start pip installing things in this environment,
