
[00:00:00.000 --> 00:00:19.680]   Hi everyone, I'm Jerry, co-founder and CEO of Llama Index, and I'll probably spend the first
[00:00:19.680 --> 00:00:24.060]   10 minutes just giving like a brief overview I mean of RAG and also just like Llama Index,
[00:00:24.060 --> 00:00:29.960]   how we see the enterprise developer space and how it's progressing as well as give an overview
[00:00:29.960 --> 00:00:34.460]   of the product offerings and then I think in the next 15 minutes happy to like you know generally
[00:00:34.460 --> 00:00:39.560]   field questions and kind of answer actually maybe like have a discussion on what's top of mind
[00:00:39.560 --> 00:00:45.800]   throughout enterprises today so let's get started you know throughout the enterprise what we're
[00:00:45.800 --> 00:00:49.460]   seeing and this might resonate with some of you there's a lot of different use cases that we're
[00:00:49.460 --> 00:00:54.740]   seeing pop up and a lot of it's around RAG right I'm pretty sure we all probably know what RAG is
[00:00:54.740 --> 00:00:59.920]   you know you point it at some like directory files and then you get the LLM to somehow understand
[00:00:59.920 --> 00:01:05.560]   these files and then generate answers from them some other use cases that we see include like
[00:01:05.560 --> 00:01:10.780]   document processing and extraction being able to maintain conversations over time and then this
[00:01:10.780 --> 00:01:16.180]   year there's a lot of people like you know building agents we haven't seen as many like fully autonomous
[00:01:16.180 --> 00:01:20.740]   agents in production they typically are a bit more constrained but actually curious to get your takes
[00:01:20.740 --> 00:01:29.880]   as well so happy to discuss that so obviously RAG has been a very popular like set of techniques basically for helping you build
[00:01:29.880 --> 00:01:34.880]   a question answering interface over your data that's really the end goal is to help you build a question
[00:01:34.880 --> 00:01:39.940]   answer interface and what are the main components of RAG I won't go into like the super technical details but
[00:01:39.940 --> 00:01:46.560]   you know you need an LLM to do the final synthesis you need an embedding model you need a vector database or you
[00:01:46.560 --> 00:01:52.640]   need some database could be you know a document store it could be a graph store it could be like a sequel
[00:01:52.640 --> 00:01:59.840]   database or a vector database and then here's the thing that's interesting is that you basically need a new data
[00:01:59.840 --> 00:02:09.900]   processing stack to handle the data parsing and injection side this is different than traditional ETL which is primarily for kind of like you know analytics workloads as well as
[00:02:09.900 --> 00:02:19.840]   there's a lot of like technologies that popped up around that here you know you're really you know at a very basic level say taking in a PDF slicing it up into a bunch of chunks
[00:02:19.840 --> 00:02:29.900]   figuring out how to do that well and index it and represent it in a bunch of different storage forms so that LLMs can have easy access to it right and a lot of what LLM index
[00:02:29.900 --> 00:02:39.960]   is trying to solve is on that data processing piece so at a very you know a big pain point that we see for a lot of
[00:02:39.960 --> 00:02:50.020]   companies building LLM applications is going from prototype to production unlike traditional ML it's actually really easy to build a prototype
[00:02:50.020 --> 00:03:04.020]   with like some of the tools that LLM index offers it takes like 10 minutes to build a rag pipeline that kind of works over your data but going from kind of works to something that's production quality is a lot harder and so as we see you scale up the
[00:03:04.020 --> 00:03:12.580]   the number of documents as we as the documents get more complex as you try to add more data sources you have a higher quality bar that you need to meet and then some of the
[00:03:12.580 --> 00:03:20.620]   general you know pain points that we see include accuracy issues knowing how to tune like a bunch of different knobs and then also scaling to a lot of data sources
[00:03:20.620 --> 00:03:32.080]   oftentimes this either takes a lot of developer time or they just don't know how to do it and so what ends up happening is that POC you're building for the higher ups just ends up not like really working
[00:03:32.080 --> 00:03:36.140]   um and so therefore like the value of that overall project is diminished
[00:03:36.140 --> 00:03:45.020]   um the other problem that we see is that generally speaking um most of these a lot of these larger companies that we talked to have a lot of data
[00:03:45.020 --> 00:03:53.280]   um and there's this like general issue of just like data silos right um you have unstructured data structured data semi-structured data apis
[00:03:53.280 --> 00:04:01.760]   and somehow you know uh like this is um a similar problem occurs during the LLM application development where you want to
[00:04:01.760 --> 00:04:10.820]   somehow bring in all this data into some central place so that your LLMs can understand it right and when they're able to understand it and ideally you know
[00:04:10.820 --> 00:04:17.820]   somehow if you had this magic tool that made that happen and made it work well then you're able to have this kind of like holy grail of RAG
[00:04:17.820 --> 00:04:24.700]   uh just being able to synthesize answers um and do stuff over like any of your knowledge um anywhere in the enterprise
[00:04:24.700 --> 00:04:31.880]   um a thing that we talk about a lot uh both during the keynote yesterday as well as more generally
[00:04:31.880 --> 00:04:38.280]   is the importance of data processing and data quality um like you know we've probably all heard the term
[00:04:38.280 --> 00:04:45.300]   like garbage in garbage out and this is true in machine learning but this is uh also true in uh LLM
[00:04:45.300 --> 00:04:50.700]   application development if you don't have good data quality and I can go into an example of what that means
[00:04:50.700 --> 00:04:57.920]   um you're not going to get back uh well represented information um so that even if your LLM is very good
[00:04:57.920 --> 00:05:03.600]   uh oftentimes if your data quality is bad this leads to hallucinations within your application
[00:05:03.600 --> 00:05:12.180]   and so we believe in developers like if you're kind of you know um leading AI at one of these like
[00:05:12.180 --> 00:05:18.820]   enterprises uh you do want to make a bet on developers and and like you know I think generally speaking and
[00:05:18.820 --> 00:05:24.820]   I tell I say this like pretty often um you should generally bet on probably building a little bit more
[00:05:24.820 --> 00:05:29.360]   than more than just like buying pure out-of-the-box solutions and there's a few reasons why this is the
[00:05:29.360 --> 00:05:35.540]   case first the AI space is moving really quickly the underlying technology is shifting developers are
[00:05:35.540 --> 00:05:41.280]   the best position to translate that technology into enterprise value that are custom to your use case
[00:05:41.280 --> 00:05:47.200]   if you you know go through the procurement process and purchase generally speaking like out-of-the-box tools
[00:05:47.200 --> 00:05:52.800]   that will solve maybe like the current pain point that you have around that um or like right and and
[00:05:52.800 --> 00:05:59.440]   provide a solution for that but it will probably be a lot slower to basically adapt it as new techniques
[00:05:59.440 --> 00:06:05.440]   pop up uh new workflows are possible and so we care a lot about developers and we want to basically
[00:06:05.440 --> 00:06:10.320]   provide the tooling and infrastructure to enable developers to build LLM applications over their data
[00:06:10.320 --> 00:06:16.160]   this helps you get applications with high data response quality that's actually ready for production
[00:06:16.160 --> 00:06:21.600]   and importantly it's like easier for developers to set up and maintain so you don't have to keep throwing
[00:06:21.600 --> 00:06:25.520]   developers at it and kind of like banging their heads against the wall to figure out how to actually
[00:06:25.520 --> 00:06:29.280]   make this thing generate good responses and you can scale with some more data sources
[00:06:29.280 --> 00:06:37.360]   great i'm not going to go through you know kind of all the different features of lom index but i'm
[00:06:37.360 --> 00:06:42.560]   just going to quickly run through some of the main components our main goal as a company is to help
[00:06:42.560 --> 00:06:50.000]   any developer build context augmented LLM apps from prototype to production we have an open source toolkit right and
[00:06:50.000 --> 00:06:54.720]   this is an open source framework that's a very popular framework to help you build uh help developers
[00:06:54.720 --> 00:07:00.080]   build production LLM apps over your data a lot of the use case that we've seen in the past year have
[00:07:00.080 --> 00:07:05.280]   been around like you know productionizing rag uh in you know the next six months we anticipate a lot more
[00:07:05.280 --> 00:07:11.040]   agentic use cases to arise as well and it's primarily focused on orchestration around like retrieval
[00:07:11.040 --> 00:07:17.840]   prompting agentic reasoning tool use the other piece that we have is llama cloud which is a centralized
[00:07:17.840 --> 00:07:22.640]   knowledge interface for your production LLM application unifies your data sources starting
[00:07:22.640 --> 00:07:28.160]   with unstructured data is able to process and enhance that data for good data quality so that you actually
[00:07:28.160 --> 00:07:33.040]   have you know good quality data from your very complex like pdfs and powerpoints for instance and
[00:07:33.040 --> 00:07:38.880]   spreadsheets and helps you build manage pipelines so that you as a developer don't have to worry as much
[00:07:38.880 --> 00:07:44.880]   about that and can basically worry uh about building the actually interesting stuff around the orchestration
[00:07:44.880 --> 00:07:52.560]   of that data with LLMs um yeah i think i mentioned this already open source toolkit a lot of people using
[00:07:52.560 --> 00:07:58.640]   it i'm gonna skip this and then llama cloud is again this like centralized knowledge interface for your
[00:07:58.640 --> 00:08:04.720]   production LLM app um you spend like the idea is to help manage a lot of the data infrastructure so that
[00:08:04.720 --> 00:08:09.520]   developers generally speaking have to spend less time wrangling with data and spend more time building
[00:08:09.520 --> 00:08:15.760]   some of the core you know uh prompting agentic retrieval logic that uh makes up like the custom use case
[00:08:15.760 --> 00:08:22.320]   that they want to build for um i'm not going to run through all the features that we have because this is
[00:08:22.320 --> 00:08:27.680]   basically just like one of the um you know some of these things are upcoming but one specific thing that
[00:08:27.680 --> 00:08:33.520]   i think has actually gotten a decent amount of interest from users is llama parse which is a specific component
[00:08:33.520 --> 00:08:39.920]   of llama cloud it's basically our advanced document parser that helps solve this data quality problem
[00:08:39.920 --> 00:08:47.120]   basically if you want to build LLM applications over like a complex financial report or a powerpoint
[00:08:47.120 --> 00:08:54.560]   with a lot of different messy text layouts like tables images diagrams and so on and so forth
[00:08:54.560 --> 00:09:00.560]   we provide a really nice toolkit to basically help you parse that data specifically so that LLMs can
[00:09:00.560 --> 00:09:09.200]   understand it and don't hallucinate over it um so far you know we've released this like a few months ago
[00:09:09.200 --> 00:09:13.920]   um there's been some impressive usage metrics so far um basically half million monthly downloads on the
[00:09:13.920 --> 00:09:21.360]   client sdk uh like tens of millions of pages processed and a lot of like important customers basically using
[00:09:21.360 --> 00:09:30.880]   this throughout the enterprise and yeah uh generally speaking maybe just in terms of like discussion
[00:09:30.880 --> 00:09:36.080]   topics and happy to talk about any of these components um i'm very interested in generally
[00:09:36.080 --> 00:09:41.680]   speaking like kind of the enterprise like data stack and how that translates into LLM applications i'm also
[00:09:41.680 --> 00:09:48.880]   interested on the use case side um basically the kind of like advancements from simple qa interfaces into more
[00:09:48.880 --> 00:09:54.640]   agentic workflows that can actually take actions and automate uh more decision making uh from from
[00:09:54.640 --> 00:10:00.240]   different teams right either internally or externally um and just a quick shout out is you know we have
[00:10:00.240 --> 00:10:05.760]   like a general wait list for llama cloud um that's already gotten pretty popular uh there's been a decent
[00:10:05.760 --> 00:10:11.600]   number of signups but uh there's uh the goal is to basically help enable more users to kind of like
[00:10:11.600 --> 00:10:18.000]   process and index their unstructured data uh so again they can help like manage that and still uh build a
[00:10:18.000 --> 00:10:22.640]   lot of the kind of like important use cases um as enterprise developers cool
[00:10:22.640 --> 00:10:25.920]   go here
[00:10:25.920 --> 00:10:31.680]   so the question was about the enterprise product while on the cloud where um the understanding is that you
[00:10:31.680 --> 00:10:46.960]   upload documents to our cloud so how do we deal with like data privacy uh
[00:10:46.960 --> 00:10:51.440]   yeah that's a great question can you just repeat part of the question yeah with the microphone um so
[00:10:51.440 --> 00:10:55.440]   the question was about the enterprise product while on the cloud where um the understanding is that you
[00:10:55.440 --> 00:11:00.480]   upload documents to our cloud so how do we deal with like data privacy uh there's two uh kind of answers
[00:11:00.480 --> 00:11:05.120]   that the first is that we have both a cloud service as well as a vpc deployment option i'm happy to
[00:11:05.120 --> 00:11:10.560]   chat about that uh if you sign up on the kind of like contact form so we deploy in in um aws and
[00:11:10.560 --> 00:11:15.600]   azure with gcp coming soon and then the second is uh we're like kind of a data orchestration layer
[00:11:15.600 --> 00:11:20.320]   so we actually intentionally don't store your data um we try to integrate with the existing storage systems
[00:11:20.320 --> 00:11:28.640]   um you made a comment on like the differences between traditional etl
[00:11:28.640 --> 00:11:35.360]   um and um you know kind of the the new skills and tools etc are required can you expand on that a
[00:11:35.360 --> 00:11:41.360]   bit so that you know in in my company where i get like asked maybe hey let's have this uh etl
[00:11:41.360 --> 00:11:45.520]   person who's done a lot of other etl do it what what kind of instruction would i give them on like
[00:11:45.520 --> 00:11:49.760]   hey these other skill sets or tools might be necessary and if there's any other sort of gotchas
[00:11:49.760 --> 00:11:53.280]   around that you if you could highlight those that'd be great totally i think just on a very
[00:11:53.280 --> 00:11:57.920]   technical level the steps you actually take um are just different um basically instead of writing
[00:11:57.920 --> 00:12:04.320]   like sql or using dbt um you uh just you know uh this is how you like set up a rag pipeline you have
[00:12:04.320 --> 00:12:10.320]   a pdf um first you need to parse that pdf so either using llama parse or another document parser
[00:12:10.320 --> 00:12:15.760]   that parsing step if you don't get it right then that leads to a lot of kind of like downstream failure
[00:12:15.760 --> 00:12:23.120]   modes in and your lm application um after you parse the document into some representation whether it's text or
[00:12:23.120 --> 00:12:27.520]   or increasingly we're seeing like multimodal representations as well with um like image
[00:12:27.520 --> 00:12:34.080]   representations of a document you then need to chunk that uh document right and so the very naive
[00:12:34.080 --> 00:12:39.280]   approach is you basically set a chunk size of like a thousand twenty four tokens and you split every
[00:12:39.280 --> 00:12:44.800]   thousand twenty four tokens right and that specifically also you know introduces a bunch of complexities
[00:12:44.800 --> 00:12:51.200]   because if you split like tables down the middle you split pages uh that's that like um there's like that
[00:12:51.200 --> 00:12:55.600]   there's like a section that spans multiple pages or something you somehow need to better like
[00:12:55.600 --> 00:13:00.800]   semantically join them together um so that like most information is preserved within a chunk
[00:13:00.800 --> 00:13:05.760]   and that you add like the right metadata to that chunk um and then you need to figure out a good
[00:13:05.760 --> 00:13:10.880]   way to index it and this is where like a vector database or a graph store or document store comes in
[00:13:10.880 --> 00:13:15.840]   there's a lot of different ways to index it so just very fundamentally it's just like a different
[00:13:15.840 --> 00:13:20.880]   set of like steps you need to do and the issue here and the difference actually with traditional etl is
[00:13:20.880 --> 00:13:26.800]   is all these steps are kind of like um fuzzy to understand without the end-to-end uh performance
[00:13:26.800 --> 00:13:31.680]   like with traditional etl you know it's kind of like you do some step and then it's you you know
[00:13:31.680 --> 00:13:36.800]   exactly what you want here like it's really hard to tell what the chunk size you need to set is without
[00:13:36.800 --> 00:13:43.440]   having an eval data set and having a rigorous end-to-end testing and eval flow yeah oh sorry oh so i
[00:13:43.440 --> 00:13:55.840]   want to make sure i think i saw it hand over there yeah do it yeah
[00:14:09.840 --> 00:14:14.720]   yeah so i think we have a few uh audio loaders so i think the default is just uh take so the
[00:14:14.720 --> 00:14:18.640]   question was basically how do you integrate audio sources into your rag pipeline using you know
[00:14:18.640 --> 00:14:23.200]   uh waman decks or other frameworks um the simplest is probably just like you just directly uh like
[00:14:23.200 --> 00:14:28.560]   parse that into text and then ingest it i think in the future as models become more natively multimodal
[00:14:28.560 --> 00:14:34.240]   um you might just be able to represent audio as like a specific entity right and then as a chunk almost
[00:14:34.240 --> 00:14:38.320]   and directly feed that into a model but i don't think we're there yet um and then okay i'm gonna go
[00:14:38.320 --> 00:14:44.000]   go
[00:14:44.000 --> 00:15:01.680]   for sure i think the benchmarking is important it's also challenging because we're actually working on
[00:15:01.680 --> 00:15:06.560]   that right now to basically find a general benchmark what typically happens is we do like uh just within
[00:15:06.560 --> 00:15:10.480]   the enterprise they just do a bake off on their own data um and then compare it and we basically show
[00:15:10.480 --> 00:15:14.320]   them a notebook on you know here's how you build a rag pipeline with normal parse uh here's how you
[00:15:14.320 --> 00:15:23.120]   can do it with other parsers yeah um just want to make sure i cover yeah yeah my question is uh um what
[00:15:23.120 --> 00:15:29.040]   options do you have like for versioning or different promotion across environments to you know do staging and
[00:15:29.040 --> 00:15:35.600]   production uh that's one part and the other one is um what regions are you available so that's maybe a
[00:15:35.600 --> 00:15:42.720]   little more easier yeah um i think the versioning piece is is definitely important i think um at a
[00:15:42.720 --> 00:15:47.440]   high level we are building out features to help you like better version your pipelines we don't have that
[00:15:47.440 --> 00:15:53.280]   yet but it's kind of like upcoming and also requested by some enterprise customers um and then uh the the
[00:15:53.280 --> 00:15:59.360]   second question around um kind of regions where uh the sas service is in north america it's just hosted
[00:15:59.360 --> 00:16:05.840]   on uh uh but we do we do um kind of like on-prem deployments as well right and so that's that's part
[00:16:05.840 --> 00:16:13.520]   of you know generally the enterprise plan that we offer yeah hi um i'm building a rack system for a big
[00:16:13.520 --> 00:16:18.960]   fintech basically a bank uh the struggle i'm having is i'm obviously working with the servicing team
[00:16:18.960 --> 00:16:24.960]   which has other channels right i'm working on an in a chatbot and a whatsapp chatbot the servicing team
[00:16:24.960 --> 00:16:31.120]   also has a like a help center an ivr a bunch of other like channels right um it's been very tough for
[00:16:31.120 --> 00:16:36.880]   me to convince them that maybe the cms that they're using you know to feed these other sources is not
[00:16:36.880 --> 00:16:40.960]   the best way to feed a rack i'm curious to know if you've seen other customers that have like a
[00:16:40.960 --> 00:16:45.680]   similar issue where you know internally they want to have like this single source of truth that kind
[00:16:45.680 --> 00:16:50.640]   of feeds into all of these channels where the rack system's nature is obviously extremely different
[00:16:50.640 --> 00:16:57.680]   than like a help center or an faq or that kind of stuff i see wait so why why is that cms not the right
[00:16:57.680 --> 00:17:03.200]   um tool i'm curious to know if you think that could be the right tool or like getting a little bit more
[00:17:03.200 --> 00:17:08.640]   into the details that's like we have like q a pairs that's how the cms works right now which could work
[00:17:08.640 --> 00:17:13.280]   for rack but we're missing all the metadata the different clusterings of like different documents
[00:17:13.280 --> 00:17:17.280]   for different maybe use cases different credit cards it's a little bit tough to explain in a quick
