
[00:00:00.000 --> 00:00:11.680]   Well, hi, everyone. Welcome back to another episode of Everyday Educator. Today I have
[00:00:11.680 --> 00:00:17.160]   someone very special in, she's not in the studio, but on the show with me, Babs from
[00:00:17.160 --> 00:00:23.420]   the MathMap team. And we were just talking about the fact that I'm really excited she's
[00:00:23.420 --> 00:00:29.060]   here because she and I both don't consider ourselves to be math experts, but we're about
[00:00:29.060 --> 00:00:33.740]   to have a whole conversation with you about math and what we can do with our children
[00:00:33.740 --> 00:00:39.640]   over the summer to encourage them in their mathematic exploration. And I think while it's
[00:00:39.640 --> 00:00:44.760]   great to hear from the experts, it's also really great to hear from just normal moms, just like
[00:00:44.760 --> 00:00:49.600]   you who are in the thick of it, trying to figure it out and doing their best and also to learn
[00:00:49.600 --> 00:00:55.200]   what has been successful in the past. So without any further ado, Babs, welcome to the show.
[00:00:55.200 --> 00:00:57.780]   Thank you. Thank you for having me. I'm excited.
[00:00:58.120 --> 00:01:03.020]   I'm excited too. This is going to be fun. So for people who don't know you, maybe haven't
[00:01:03.020 --> 00:01:07.560]   heard any episodes with you, can you just introduce yourself, your context and kind of your homeschooling
[00:01:07.560 --> 00:01:08.000]   background?
[00:01:08.000 --> 00:01:16.000]   So a couple of years ago, I think it was probably six or seven years ago, I was asked to go to
[00:01:16.000 --> 00:01:22.740]   some kind of introduction to math. Actually, they were piloting a curriculum. I don't think
[00:01:22.740 --> 00:01:27.780]   I was told it was math. And so I was like, Oh, sure, I'll be in the pilot. And when I got there,
[00:01:27.780 --> 00:01:36.180]   I found out it was math. So I was like, Oh, man, I'm gonna pilot a math curriculum. And so I was a
[00:01:36.180 --> 00:01:44.960]   little nervous. But what I found out is that I am a math person. And I think the language that we use
[00:01:44.960 --> 00:01:50.720]   is, yes, we're not a math expert. But I can be an anything person, I can be a Latin person, I can be
[00:01:50.720 --> 00:01:58.020]   a math person, I just have to want to do it. And I have to, you know, rely on the Holy Spirit, right to
[00:01:58.020 --> 00:02:07.000]   help and really just encourage me as I keep going. Bring things to light. I remember asking lots of
[00:02:07.000 --> 00:02:14.180]   times for the help of the Holy Spirit, as I was working through some things. And so, so fast forward,
[00:02:14.180 --> 00:02:19.620]   so I got to work on the math map pilot for a couple of years. And then I became a curriculum assistant
[00:02:19.620 --> 00:02:26.020]   with the math map. So for somebody who did not make A's and B's in math and high school or college,
[00:02:26.980 --> 00:02:32.100]   magically, I get to work on the math map team. And I always I say that I've said this over and over
[00:02:32.100 --> 00:02:38.100]   again, I've learned more in the last six years than I ever learned when I was in school. And it's really
[00:02:38.100 --> 00:02:43.140]   obviously, when you're an adult, right, you want to learn more than when you're a kid. But I think just
[00:02:43.140 --> 00:02:50.260]   learning the classical using the classical tools has really helped me make it approachable. And I can learn
[00:02:50.260 --> 00:02:55.940]   it, I now get to be invited into the conversation, whereas I don't necessarily know that I was invited into the
[00:02:55.940 --> 00:03:01.700]   conversation before. And so it kind of, you know, just kind of brings that brings that to light.
[00:03:01.700 --> 00:03:10.020]   I've been homeschooling, I feel like forever, I just graduated one son last year, and I have a senior
[00:03:10.020 --> 00:03:17.060]   upcoming this year. So I'm kind of towards the end of that journey. So it's a different place to be.
[00:03:17.060 --> 00:03:23.540]   But it's a good time of reflection. And I think to kind of pour into other moms, to show them, hey,
[00:03:23.540 --> 00:03:29.220]   you're not gonna mess your kid up. Right? My kid is great. He went to community college. And apparently,
[00:03:29.220 --> 00:03:35.060]   they think he's the smartest thing ever. And I think it's because a lot of those kids don't know how to
[00:03:35.060 --> 00:03:41.460]   write papers. And that's a lot of what we did in CC was write a lot of papers, give a lot of speeches.
[00:03:41.460 --> 00:03:49.140]   And so I guess it's just, it's a good time now to just pour into other moms and show them that we
[00:03:49.140 --> 00:03:53.460]   can do it, that we have the capacity to do it, especially with the Lord's help, and with the
[00:03:53.460 --> 00:03:59.940]   help of our community, you know, that we can be successful. So I love that. You said a couple of
[00:03:59.940 --> 00:04:06.100]   things, honestly, Babs, that I'd love for you to expand on, even before we get into this specific
[00:04:06.100 --> 00:04:11.700]   math conversation. Two things. One, you said, you know, I don't think I'd ever been invited into the
