
[00:00:00.000 --> 00:00:21.720]   Hi, everyone. Very excited to be here. And I'm Hamid, this is Mazia, and today we're
[00:00:21.720 --> 00:00:26.840]   going to talk about our journey in leveraging large language models for personalization
[00:00:26.840 --> 00:00:39.800]   and ranking, and our paths to productionize such a large model for LinkedIn use cases.
[00:00:39.800 --> 00:00:45.060]   Recommendation ranking and personalization is deeply integrated in our daily life. When
[00:00:45.060 --> 00:00:49.360]   you go to a feed to read an article and you're looking for a job and you're searching for
[00:00:49.360 --> 00:00:55.680]   something and you're buying something online, the backend powered by recommendation system
[00:00:55.680 --> 00:01:05.600]   tries to find the best content or best entity based on your interest and relevancy to you.
[00:01:05.600 --> 00:01:16.800]   However, this system usually suffers from some challenges, especially they are being trained
[00:01:16.800 --> 00:01:24.720]   on a specific task. So they are disjoint optimized. They are usually not leveraging, for leveraging
[00:01:24.720 --> 00:01:29.260]   the most advanced architecture, they are being rolled out one by one, which is very time consuming
[00:01:29.260 --> 00:01:37.680]   and unproductive. So the question that we are asking is that what if you have only one model
[00:01:37.680 --> 00:01:46.320]   to solve all the tasks at the same time? So the mission that we started was to build a large
[00:01:46.320 --> 00:01:53.600]   foundation model, based on large language models, that understand the holistic understanding of the
[00:01:53.600 --> 00:02:01.600]   user journey on LinkedIn platform. And can solve all the personalization tasks that LinkedIn has with just one model.
[00:02:01.600 --> 00:02:09.520]   And in addition to that, we wanted this model to have three other main characteristics. One, we want this model to have zero shot
[00:02:09.520 --> 00:02:13.520]   capability, so that when you have a new problem or new surface, instead of basically collecting the
[00:02:13.520 --> 00:02:23.440]   data, building a new ranking model and putting it into production, which is a very time consuming journey,
[00:02:23.440 --> 00:02:31.440]   you can basically leverage this model out of the box to solve your task. You just basically prompt the model and tell the model that this is the task that I want to solve.
[00:02:31.440 --> 00:02:37.440]   This is kind of recommendation. This is the entity. This is the user. And what do you think about the relevancy between these two entities?
[00:02:37.440 --> 00:02:57.360]   The second characteristic that we want to have this model to have is to leverage in-context learning as much as possible. So that for a cold-star users problem, for example, we can leverage this model by just giving very few examples or just by explaining what the user might be interested in. And the model can solve that problem for the cold-star users.
