
[00:00:00.040 --> 00:00:09.620]   benz
[00:00:09.620 --> 00:00:11.060]   no work, I,
[00:00:11.060 --> 00:00:12.360]   home. Lo.
[00:00:27.920 --> 00:00:32.080]   Welcome to Radical Personal Finance,
[00:00:32.080 --> 00:00:33.880]   a show dedicated to providing you with the knowledge,
[00:00:33.880 --> 00:00:35.840]   skills, insight, and encouragement
[00:00:35.840 --> 00:00:37.840]   you need to live a rich and meaningful
[00:00:37.840 --> 00:00:39.880]   life now, while building a plan for
[00:00:39.880 --> 00:00:41.780]   financial freedom in 10 years or less.
[00:00:41.780 --> 00:00:43.940]   Today, I'd like to talk with
[00:00:43.940 --> 00:00:46.260]   you about the value of
[00:00:46.260 --> 00:00:47.740]   just do it.
[00:00:47.740 --> 00:00:49.300]   Just try it.
[00:00:49.300 --> 00:00:51.760]   Just test it.
[00:00:51.760 --> 00:00:54.080]   I want to share with you two stories
[00:00:54.080 --> 00:00:55.460]   to drive home to you
[00:00:55.460 --> 00:00:55.800]   a very simple
[00:00:55.800 --> 00:00:55.800]   story.
[00:00:55.800 --> 00:00:55.800]   I want to share with you two stories
[00:00:55.800 --> 00:00:55.800]   to drive home to you a very simple
[00:00:55.800 --> 00:00:55.800]   story.
[00:00:55.800 --> 00:00:55.800]   I want to share with you two stories
[00:00:55.800 --> 00:00:55.800]   to drive home to you a very simple
[00:00:55.800 --> 00:00:55.800]   story.
[00:00:55.800 --> 00:00:55.800]   I want to share with you two stories
[00:00:55.800 --> 00:00:55.800]   to drive home to you a very simple
[00:00:55.800 --> 00:00:55.800]   story.
[00:00:55.800 --> 00:00:55.800]   I want to share with you two stories
[00:00:55.800 --> 00:00:55.800]   to drive home to you a very simple
[00:00:55.800 --> 00:00:55.800]   story.
[00:00:55.800 --> 00:01:11.780]  , the first story has to do with investments.
[00:01:11.780 --> 00:01:11.800]   The first story has to do with investments.
[00:01:11.800 --> 00:01:11.900]   The first story has to do with investments. Specifically, investments in things that many of us have never particularly experienced, such as investing in gold.
[00:01:11.900 --> 00:01:11.900]   I was recently answering a question that somebody asked about the prospect of investing in gold.
[00:01:11.900 --> 00:01:19.900]   I was recently answering a question that somebody asked about the prospect of investing in gold.
[00:01:19.900 --> 00:01:19.900]   I was recently answering a question that somebody asked about the prospect of investing in gold.
[00:01:19.900 --> 00:01:19.900]   I was recently answering a question that somebody asked about the prospect of investing in gold.
[00:01:19.900 --> 00:01:23.900]   Now, gold is one of the most hotly debated topics in the world of gold.
[00:01:23.900 --> 00:01:23.900]   Now, gold is one of the most hotly debated topics in the world of gold.
[00:01:23.900 --> 00:01:23.940]   Now, gold is one of the most hotly debated topics in the world of gold.
[00:01:23.940 --> 00:01:23.940]   gold is one of the most hotly debated topics in the world of gold.
[00:01:23.960 --> 00:01:34.980]   There are people on one side who say, "Nobody should ever buy gold. It's a worthless, useless metal. Nonproductive."
[00:01:34.980 --> 00:01:43.980]   And then on the other hand, there are people who say, "Everybody should put everything in gold. After all, it's the only thing that will stand when the world goes crazy and everything else goes to zero."
[00:01:43.980 --> 00:01:52.080]   So, as you would imagine, people have questions on this, and they want to make good decisions.
[00:01:52.080 --> 00:01:52.080]   So, as you would imagine, people have questions on this, and they want to make good decisions.
[00:01:52.080 --> 00:01:52.080]   So, as you would imagine, people have questions on this, and they want to make good decisions.
[00:01:52.080 --> 00:01:52.080]   So, as you would imagine, people have questions on this, and they want to make good decisions.
[00:01:52.080 --> 00:01:52.080]   So, as you would imagine, people have questions on this, and they want to make good decisions.
[00:01:52.080 --> 00:01:52.180]   So, as you would imagine, people have questions on this, and they want to make good decisions.
[00:01:52.180 --> 00:02:20.420]   So, as you would imagine, people have questions on this, and they want to make good decisions.
[00:02:20.420 --> 00:02:20.520]   So, as you would imagine, people have questions on this, and they want to make good decisions.
[00:02:20.520 --> 00:02:20.620]   So, as you would imagine, people have questions on this, and they want to make good decisions.
[00:02:20.620 --> 00:02:20.620]   So, as you would imagine, people have questions on this, and they want to make good decisions.
[00:02:20.620 --> 00:02:20.720]   So, as you would imagine, people have questions on this, and they want to make good decisions.
[00:02:20.720 --> 00:02:20.720]   So, as you would imagine, people have questions on this, and they want to make good decisions.
[00:02:20.720 --> 00:02:20.720]   So, as you would imagine, people have questions on this, and they want to make good decisions.
[00:02:20.720 --> 00:02:20.820]   So, as you would imagine, people have questions on this, and they want to make good decisions.
[00:02:20.820 --> 00:02:20.820]   So, as you would imagine, people have questions on this, and they want to make good decisions.
[00:02:49.460 --> 00:02:49.460]   And I started researching the topic of investing in gold, and I came to believe that there were other valid positions other than the one that I had.
[00:02:49.460 --> 00:02:49.460]   Then in time, I started thinking more deeply about the issues and the questions, and I started researching the topic of investing in gold, and I came to believe that there were other valid positions other than the one that I had.
[00:02:49.460 --> 00:02:49.460]   Then in time, I started thinking more deeply about the issues and the questions, and I started researching the topic of investing in gold, and I came to believe that there were other valid positions other than the one that I had.
[00:02:49.460 --> 00:02:49.460]   Then in time, I started thinking more deeply about the issues and the questions, and I started researching the topic of investing in gold, and I came to believe that there were other valid positions other than the one that I had.
[00:03:18.100 --> 00:03:18.100]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:03:18.100 --> 00:03:18.100]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:03:18.100 --> 00:03:18.100]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:03:18.100 --> 00:03:18.100]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:03:18.100 --> 00:03:18.100]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:03:18.100 --> 00:03:19.300]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:03:19.300 --> 00:03:49.140]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:03:49.140 --> 00:03:49.240]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:03:49.240 --> 00:03:49.240]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:03:49.240 --> 00:03:49.320]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:03:49.340 --> 00:04:19.340]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:04:19.340 --> 00:04:19.340]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:04:19.340 --> 00:04:19.340]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:04:19.340 --> 00:04:19.340]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:04:19.340 --> 00:04:19.340]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:04:19.340 --> 00:04:19.340]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:04:19.340 --> 00:04:49.360]  , and I had this little gold coin. And as I went home with this little gold coin, just looking at it, I had a very different understanding of what it was like to invest in gold.
[00:04:49.360 --> 00:04:49.360]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:04:49.360 --> 00:04:49.360]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:04:49.360 --> 00:04:49.360]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:04:49.380 --> 00:05:19.380]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:05:19.380 --> 00:05:19.380]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:05:19.380 --> 00:05:19.380]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:05:19.380 --> 00:05:19.380]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:05:19.380 --> 00:05:19.380]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:05:19.380 --> 00:05:19.380]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:05:19.420 --> 00:05:49.400]  ,
[00:05:49.400 --> 00:05:49.400]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:05:49.400 --> 00:05:49.400]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:05:49.400 --> 00:05:49.400]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
