
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:06.000]   - For the next three days,
[00:00:06.000 --> 00:00:08.280]   we welcome to the Ask Pastor John podcast,
[00:00:08.280 --> 00:00:10.720]   a guest, Dr. Don Carson.
[00:00:10.720 --> 00:00:12.760]   He was with us at the end of June
[00:00:12.760 --> 00:00:15.480]   with a valuable perspective on the SCOTUS decision
[00:00:15.480 --> 00:00:18.520]   to legalize same-sex marriage in all 50 states.
[00:00:18.520 --> 00:00:21.680]   You can find that special episode in the Ask Pastor John app
[00:00:21.680 --> 00:00:23.520]   and Dr. Carson, thank you for coming back.
[00:00:23.520 --> 00:00:26.360]   I want to shift gears from recent events
[00:00:26.360 --> 00:00:29.680]   to ancient trajectories and for the next few days,
[00:00:29.680 --> 00:00:31.280]   I want to talk about biblical theology,
[00:00:31.280 --> 00:00:33.040]   one of your specialties.
[00:00:33.040 --> 00:00:35.160]   Let's start with a definition.
[00:00:35.160 --> 00:00:37.280]   What is biblical theology
[00:00:37.280 --> 00:00:41.400]   and why does it matter for us as Christians today?
[00:00:41.400 --> 00:00:43.700]   - The term biblical theology is used differently
[00:00:43.700 --> 00:00:45.600]   by different people, but as I use it,
[00:00:45.600 --> 00:00:48.920]   it has two or three different foci.
[00:00:48.920 --> 00:00:51.960]   In one focus, you work really carefully
[00:00:51.960 --> 00:00:55.160]   with each biblical book or corpus, by corpus,
[00:00:55.160 --> 00:00:57.000]   I mean something like the John corpus,
[00:00:57.000 --> 00:00:58.900]   John for second, third John revelation,
[00:00:58.900 --> 00:01:01.520]   or the synoptic corpus, or the Pauline corpus,
[00:01:01.520 --> 00:01:02.400]   or something like this.
[00:01:02.400 --> 00:01:06.160]   You work carefully with each particular book or corpus
[00:01:06.160 --> 00:01:09.880]   to make sure you understand what God is saying
[00:01:09.880 --> 00:01:13.240]   through that corpus at that time in history
[00:01:13.240 --> 00:01:16.180]   with what words, vocabulary, and so on,
[00:01:16.180 --> 00:01:18.440]   before you ask what contribution
[00:01:18.440 --> 00:01:20.120]   it's making to the entire canon.
[00:01:20.120 --> 00:01:22.600]   In other words, biblical theology is interested
[00:01:22.600 --> 00:01:27.600]   in the careful exegesis of individual books and corpora
[00:01:27.720 --> 00:01:30.220]   within the canon and their place
[00:01:30.220 --> 00:01:32.300]   in the progress of redemption,
[00:01:32.300 --> 00:01:36.780]   not because it wants to despise systematic theology
[00:01:36.780 --> 00:01:39.580]   or canonical theology or big picture stuff,
[00:01:39.580 --> 00:01:41.900]   but it insists that if you don't ask
[00:01:41.900 --> 00:01:45.440]   those kinds of questions, you can sometimes blur over
[00:01:45.440 --> 00:01:47.980]   distinctions that God himself has placed in scripture
[00:01:47.980 --> 00:01:52.500]   and miss things that are a bit different.
[00:01:52.500 --> 00:01:54.420]   Even the most casual reader of scripture
[00:01:54.420 --> 00:01:57.380]   knows that John's vocabulary is not the same as Matthew's.
[00:01:57.760 --> 00:02:00.120]   And Paul's vocabulary is not the same as Peter's
[00:02:00.120 --> 00:02:01.360]   in 1 Peter.
[00:02:01.360 --> 00:02:03.840]   And their emphases are a bit different and so on.
[00:02:03.840 --> 00:02:06.160]   They're mutually complementary, they tie together,
[00:02:06.160 --> 00:02:10.900]   but if you work only at the canonical or systematic level,
[00:02:10.900 --> 00:02:15.300]   then there tends to be a very important set of inferences
[00:02:15.300 --> 00:02:17.520]   about what the whole Bible teaches, that's right,
[00:02:17.520 --> 00:02:19.820]   but sometimes at the expense of listening carefully
[00:02:19.820 --> 00:02:22.380]   to the particular emphases of particular biblical books.
[00:02:22.380 --> 00:02:26.480]   And ideally, a good preacher will not only handle
[00:02:26.480 --> 00:02:30.680]   the individual text at hand, but show how this text at hand,
[00:02:30.680 --> 00:02:33.060]   not in every sermon, but in some sermons,
[00:02:33.060 --> 00:02:35.220]   is tied to the book or corpus in question,
[00:02:35.220 --> 00:02:36.280]   and then it's tied to the whole
[00:02:36.280 --> 00:02:38.020]   Christian confessional stance.
[00:02:38.020 --> 00:02:40.640]   Now that's one form of biblical theology.
[00:02:40.640 --> 00:02:42.760]   And from this comes New Testament theology
[00:02:42.760 --> 00:02:45.480]   and Old Testament theology and so on.
[00:02:45.480 --> 00:02:49.640]   The other form of biblical theology tracks themes
[00:02:49.640 --> 00:02:52.000]   that run right through the whole Bible.
[00:02:52.000 --> 00:02:54.800]   There are about 20 biggies, give or take,
[00:02:54.800 --> 00:02:59.800]   and 50, 60, 70 small ones that aren't quite so prominent
[00:02:59.800 --> 00:03:02.400]   or don't touch quite so many books.
[00:03:02.400 --> 00:03:04.720]   But the biggies include things like Jerusalem
[00:03:04.720 --> 00:03:09.720]   and temple and atonement and sacrifice and priesthood
[00:03:09.720 --> 00:03:14.720]   and covenant and kingdom and so on and so on and so on.
[00:03:14.720 --> 00:03:19.720]   And they really do run right through much of Scripture
[00:03:19.720 --> 00:03:21.840]   and tie it together.
[00:03:21.840 --> 00:03:26.840]   And biblical theology makes you alert to those trajectories,
[00:03:26.840 --> 00:03:30.440]   those lines, those ligaments that tie together
[00:03:30.440 --> 00:03:32.000]   the whole of canon.
[00:03:32.000 --> 00:03:34.340]   And it's helpful for the ordinary Bible reader
[00:03:34.340 --> 00:03:37.320]   to be reading, let's say, Ezekiel,
[00:03:37.320 --> 00:03:40.260]   and to knowing where you are on the trajectory
[00:03:40.260 --> 00:03:42.420]   of what the Bible says about temple
[00:03:42.420 --> 00:03:44.800]   to figure out where you are on the storyline.
[00:03:44.800 --> 00:03:47.440]   It's part of what ties things together.
[00:03:47.440 --> 00:03:51.160]   And so even when it comes to things like
[00:03:51.160 --> 00:03:52.920]   preaching Christ in all the Scriptures
[00:03:52.920 --> 00:03:55.640]   and Christocentric preaching and things like that,
[00:03:55.640 --> 00:03:59.120]   the way you get there is not by some imaginative,
[00:03:59.120 --> 00:04:02.180]   topical imposition of later material,
