
[00:00:00.040 --> 00:00:10.700]   law
[00:00:57.480 --> 00:00:58.760]   and I'll see you next time.
[00:00:58.760 --> 00:00:58.760]   I'll see you next time.
[00:00:58.760 --> 00:00:58.760]   I'll see you next time.
[00:00:58.760 --> 00:00:58.760]   I'll see you next time.
[00:00:58.760 --> 00:00:58.760]  obediently.com/more-than-just-a-ticket. Today on Radical Personal Finance's live Q&A. Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in ten years or more.
[00:01:28.780 --> 00:01:28.780]   The patrons of Radical Personal Finance is of course a long-running support program for the show. People who appreciate the show, who enjoy it, and who say, "Joshua, you're doing a good job, and I'm glad you're here."
[00:01:28.780 --> 00:01:28.780]   The patrons of Radical Personal Finance is of course a long-running support program for the show. People who appreciate the show, who enjoy it, and who say, "Joshua, you're doing a good job, and I'm glad you're here."
[00:01:28.780 --> 00:01:28.780]   The patrons of Radical Personal Finance is of course a long-running support program for the show. People who appreciate the show, who enjoy it, and who say, "Joshua, you're doing a good job, and I'm glad you're here."
[00:01:28.820 --> 00:01:58.800]  ,
[00:01:58.800 --> 00:01:58.800]  .
[00:01:58.800 --> 00:01:58.800]   The patrons of Radical Personal Finance is of Radical Personal Finance is of Radical Personal Finance is of Radical Personal Finance is of Radical Personal Finance is a long-running program for the show.
[00:01:58.840 --> 00:02:28.820]  ,
[00:02:28.820 --> 00:02:28.820]   and I'm looking at moving my wife and I to travel the US a little bit and get out of the city. We're looking at setting up our residency in Florida and have made some moves in that direction but wanted your advice on some of the specifics or if you had any resources. So to start, we've been in New York for a couple years and we're looking to get some of the resources that we have in place.
[00:02:28.820 --> 00:02:28.820]   So to start, we've been in New York for a couple years and we're looking to get some of the resources that we have in place.
[00:02:28.820 --> 00:02:28.820]   So to start, we've been in New York for a couple years and we're looking to get some of the resources that we have in place.
[00:02:28.820 --> 00:02:28.820]   I'm looking to get some of the resources that we have in place.
[00:02:28.840 --> 00:02:58.840]   I'm looking to get some of the resources that we have in place.
[00:02:58.840 --> 00:02:58.840]   I'm looking to get some of the resources that we have in place.
[00:02:58.840 --> 00:02:58.840]   I'm looking to get some of the resources that we have in place.
[00:02:58.840 --> 00:02:58.840]   I'm looking to get some of the resources that we have in place.
[00:02:58.840 --> 00:02:58.840]   I'm looking to get some of the resources that we have in place.
[00:02:58.840 --> 00:02:58.840]   I'm looking to get some of the resources that we have in place.
[00:02:58.840 --> 00:02:58.840]   I'm looking to get some of the resources that we have in place.
[00:02:58.840 --> 00:02:58.840]   I'm looking to get some of the resources that we have in place.
[00:02:58.840 --> 00:02:58.840]   I'm looking to get some of the resources that we have in place.
[00:02:58.840 --> 00:02:58.840]   I'm looking to get some of the resources that we have in place.
[00:02:58.840 --> 00:02:58.840]   I'm looking to get some of the resources that we have in place.
[00:02:58.840 --> 00:02:58.840]   I'm looking to get some of the resources that we have in place.
[00:02:58.860 --> 00:03:28.860]   I'm looking to get some of the resources that we have in place.
[00:03:28.860 --> 00:03:28.860]   I'm looking to get some of the resources that we have in place.
[00:03:28.860 --> 00:03:28.860]   I'm looking to get some of the resources that we have in place.
[00:03:28.860 --> 00:03:28.860]   I'm looking to get some of the resources that we have in place.
[00:03:28.860 --> 00:03:28.860]   I'm looking to get some of the resources that we have in place.
[00:03:28.860 --> 00:03:28.860]   I'm looking to get some of the resources that we have in place.
[00:03:28.860 --> 00:03:28.860]   I'm looking to get some of the resources that we have in place.
[00:03:28.860 --> 00:03:28.860]   I'm looking to get some of the resources that we have in place.
