
[00:00:00.000 --> 00:00:08.480]   [VIDEO PLAYBACK]
[00:00:08.480 --> 00:00:10.280]   -You're failing the line test right now.
[00:00:10.280 --> 00:00:11.040]   Really bad.
[00:00:11.040 --> 00:00:32.300]   [INTERPOSING VOICES]
[00:00:32.300 --> 00:00:34.520]   -Let's get no condoms on the chair.
[00:00:34.520 --> 00:00:39.480]   [LAUGHTER]
[00:00:39.480 --> 00:00:41.440]   -Dude, it is literally foggy.
[00:00:41.440 --> 00:00:45.420]   [INTERPOSING VOICES]
[00:00:45.420 --> 00:00:46.900]   -The video has shown it enough.
[00:00:46.900 --> 00:00:48.360]   But if you want to mess up now--
[00:00:48.360 --> 00:00:52.560]   [INTERPOSING VOICES]
[00:00:52.560 --> 00:00:55.280]   -OK, today I have the pleasure to talk
[00:00:55.280 --> 00:00:58.940]   with two of my good friends, Shilto and Trenton.
[00:00:58.940 --> 00:00:59.440]   Shilto--
[00:00:59.440 --> 00:01:00.400]   -You just mixed up.
[00:01:00.400 --> 00:01:03.380]   [LAUGHTER]
[00:01:03.380 --> 00:01:06.340]   -I wasn't going to say anything.
[00:01:06.340 --> 00:01:07.820]   Let's do this in reverse.
[00:01:07.820 --> 00:01:09.800]   [LAUGHTER]
[00:01:09.800 --> 00:01:11.800]   -How will I start it with my good friends?
[00:01:11.800 --> 00:01:13.300]   [LAUGHTER]
[00:01:13.300 --> 00:01:19.280]   -Yeah, Gemini 1.5, the context is like, just wow.
[00:01:19.280 --> 00:01:19.780]   -Shit.
[00:01:19.780 --> 00:01:27.280]   Anyways, Shilto, Noam Brown, the guy
[00:01:27.280 --> 00:01:30.440]   who wrote the diplomacy paper, he said this about Shilto.
[00:01:30.440 --> 00:01:33.800]   He said, "He's only been in the field for 1.5 years,
[00:01:33.800 --> 00:01:35.400]   but people in AI know that he was
[00:01:35.400 --> 00:01:38.960]   one of the most important people behind Gemini's success."
[00:01:38.960 --> 00:01:41.360]   And Trenton, who's an anthropic, works
[00:01:41.360 --> 00:01:42.800]   on mechanistic interoperability.
[00:01:42.800 --> 00:01:45.260]   And it was widely reported that he has solved alignment.
[00:01:45.260 --> 00:01:47.080]   [LAUGHTER]
[00:01:47.080 --> 00:01:51.320]   -With his one friend on Twitter.
[00:01:51.320 --> 00:01:53.640]   -So this will be a capabilities-only podcast.
[00:01:53.640 --> 00:01:57.200]   Alignment is already solved, so no need to discuss further.
[00:01:57.200 --> 00:02:00.320]   OK, so let's start by talking about context links.
[00:02:00.320 --> 00:02:02.320]   -Yep.
[00:02:02.320 --> 00:02:03.960]   -It seemed to be under-hyped, given
[00:02:03.960 --> 00:02:06.320]   how important it seems to me to be that you can just
[00:02:06.320 --> 00:02:08.440]   put a million tokens into context.
[00:02:08.440 --> 00:02:10.840]   There's apparently some other news that got pushed
[00:02:10.840 --> 00:02:12.000]   to the front for some reason.
[00:02:12.000 --> 00:02:15.280]   But yeah, tell me about how you see
[00:02:15.280 --> 00:02:17.400]   the future of long-context links and what
[00:02:17.400 --> 00:02:18.600]   that implies for these models.
[00:02:18.600 --> 00:02:19.080]   -Yeah.
[00:02:19.080 --> 00:02:20.560]   So I think it's really under-hyped,
[00:02:20.560 --> 00:02:22.140]   because until I started working on it,
[00:02:22.140 --> 00:02:24.180]   I didn't really appreciate how much of a step-up
[00:02:24.180 --> 00:02:26.040]   in intelligence it was for the model
[00:02:26.040 --> 00:02:28.660]   to have the onboarding problem basically instantly solved.
[00:02:28.660 --> 00:02:30.040]   And you can see that a little bit
[00:02:30.040 --> 00:02:31.660]   in the perplexity graphs in the paper,
[00:02:31.660 --> 00:02:34.820]   where just throwing millions of tokens' worth of context
[00:02:34.820 --> 00:02:37.240]   about a code base allows it to become dramatically better
[00:02:37.240 --> 00:02:38.480]   at predicting the next token in a way
[00:02:38.480 --> 00:02:40.900]   that you'd normally associate with huge increments in model
[00:02:40.900 --> 00:02:41.400]   scale.
[00:02:41.400 --> 00:02:42.400]   But you don't need that.
[00:02:42.400 --> 00:02:45.160]   All you need is a new context.
[00:02:45.160 --> 00:02:49.200]   So under-hyped, and buried by some other news.
[00:02:49.200 --> 00:02:53.420]   -In context, are they as sample efficient and smart as humans?
[00:02:53.420 --> 00:02:55.040]   -I think that's really worth exploring.
[00:02:55.040 --> 00:02:58.400]   Because, for example, one of the evals that we did in the paper
[00:02:58.400 --> 00:03:02.020]   has it learning a language in context
[00:03:02.020 --> 00:03:05.180]   better than a human expert could learn that new language
[00:03:05.180 --> 00:03:06.680]   over the course of a couple months.
[00:03:06.680 --> 00:03:08.780]   And this is only a pretty small demonstration.
[00:03:08.780 --> 00:03:11.300]   But I'd be really interested to see things like Atari games,
[00:03:11.300 --> 00:03:13.720]   or something like that, where you throw in a couple hundred,
[00:03:13.720 --> 00:03:15.500]   like 1,000 frames, labeled actions,
[00:03:15.500 --> 00:03:17.060]   and then in the same way that you'd show your friend how
[00:03:17.060 --> 00:03:19.460]   to play a game, and see if it's able to reason through.
[00:03:19.460 --> 00:03:21.460]   It might, at the moment, with the infrastructure and stuff,
[00:03:21.460 --> 00:03:24.020]   it's still a little bit slow at doing that.
[00:03:24.020 --> 00:03:28.600]   But I would guess that might just work out of the box
[00:03:28.600 --> 00:03:30.000]   in a way that would be pretty mind-blowing.
[00:03:30.000 --> 00:03:32.680]   -And crucially, I think this language was esoteric enough
[00:03:32.680 --> 00:03:33.840]   that it wasn't in the training data.
[00:03:33.840 --> 00:03:34.780]   -Right, exactly.
[00:03:34.780 --> 00:03:37.920]   If you look at the model before it has that context thrown in,
[00:03:37.920 --> 00:03:39.120]   it doesn't know the language at all,
[00:03:39.120 --> 00:03:40.480]   and it can't get any translations.
[00:03:40.480 --> 00:03:42.800]   -And this is an actual human language, not just --
[00:03:42.800 --> 00:03:44.840]   -Yeah, exactly, an actual human language.
[00:03:44.840 --> 00:03:47.720]   -So if this is true, it seems to me that these models
[00:03:47.720 --> 00:03:51.240]   are already, in an important sense, superhuman.
[00:03:51.240 --> 00:03:53.080]   Not in the sense that they're smarter than us,
[00:03:53.080 --> 00:03:56.480]   but I can't keep a million tokens in my context
[00:03:56.480 --> 00:03:57.680]   when I'm trying to solve a problem,
[00:03:57.680 --> 00:03:59.960]   remembering and integrating all the information
[00:03:59.960 --> 00:04:02.360]   in an entire code base.
[00:04:02.360 --> 00:04:05.200]   Am I wrong in thinking this is, like, a huge unlock?
[00:04:05.200 --> 00:04:07.680]   -I actually generally think that's true.
[00:04:07.680 --> 00:04:09.840]   Like, previously, I've been frustrated
[00:04:09.840 --> 00:04:11.080]   when models aren't as smart.
[00:04:11.080 --> 00:04:12.600]   Like, you ask them a question, and you want it
[00:04:12.600 --> 00:04:15.080]   to be smarter than you, or to know things that you don't.
[00:04:15.080 --> 00:04:17.240]   And this allows them to know things that you don't
[00:04:17.240 --> 00:04:19.840]   in a way that it just ingests a huge amount of information
[00:04:19.840 --> 00:04:21.720]   in a way you just can't.
[00:04:21.720 --> 00:04:24.120]   So, yeah, it's extremely important.
[00:04:24.120 --> 00:04:26.400]   -Well, how do we explain in-context learning?
[00:04:26.400 --> 00:04:27.680]   -Yeah, so there's a piece of --
[00:04:27.680 --> 00:04:29.120]   there's a line of work I quite like
[00:04:29.120 --> 00:04:31.320]   where it looks at in-context learning
[00:04:31.320 --> 00:04:34.920]   as basically, like, very similar to gradient descent,
[00:04:34.920 --> 00:04:37.560]   but, like, the attention operation
[00:04:37.560 --> 00:04:40.280]   can be viewed as gradient descent on the in-context data.
[00:04:40.280 --> 00:04:42.000]   That paper had some cool plots where they basically showed,
[00:04:42.000 --> 00:04:43.440]   like, we take n steps of gradient descent,
[00:04:43.440 --> 00:04:45.760]   and that looks like n layers of in-context learning.
[00:04:45.760 --> 00:04:46.960]   It looks very similar, so I think, like,
[00:04:46.960 --> 00:04:48.600]   that's one way of viewing it
[00:04:48.600 --> 00:04:50.360]   and trying to understand what's going on.
[00:04:50.360 --> 00:04:53.280]   -Yeah, and you can ignore what I'm about to say
[00:04:53.280 --> 00:04:54.880]   because, given the introduction,
[00:04:54.880 --> 00:04:57.200]   alignment is solved and safety isn't a problem.
[00:04:57.200 --> 00:05:00.760]   But I think the context stuff does get problematic,
[00:05:00.760 --> 00:05:02.920]   but also interesting here.
[00:05:02.920 --> 00:05:04.400]   I think there'll be more work coming out
[00:05:04.400 --> 00:05:07.240]   in the not-too-distant future
[00:05:07.240 --> 00:05:12.440]   around what happens if you give a 100-shot prompt
[00:05:12.440 --> 00:05:15.920]   for jailbreaks, adversarial attacks.
[00:05:15.920 --> 00:05:18.440]   It's also interesting in the sense of,
[00:05:18.440 --> 00:05:19.760]   if your model is doing gradient descent
[00:05:19.760 --> 00:05:21.720]   and learning on the fly,
[00:05:21.720 --> 00:05:25.880]   even if it's been trained to be harmless,
[00:05:25.880 --> 00:05:28.760]   you're dealing with a totally new model, in a way.
[00:05:28.760 --> 00:05:29.960]   You're, like, fine-tuning, but in a way
[00:05:29.960 --> 00:05:32.400]   where you can't control what's going on.
[00:05:32.400 --> 00:05:34.800]   -Can you explain what do you mean by gradient descent
[00:05:34.800 --> 00:05:36.880]   is happening in the forward pass and attention?
[00:05:36.880 --> 00:05:37.800]   -Yeah. -You probably have a better...
[00:05:37.800 --> 00:05:39.120]   -No, no, no. There was something in the paper
[00:05:39.120 --> 00:05:41.640]   about trying to teach the model to do linear regression.
[00:05:41.640 --> 00:05:42.840]   -Right. -But, like, just through
[00:05:42.840 --> 00:05:44.320]   the number of samples they gave in the context.
[00:05:44.320 --> 00:05:46.080]   -Yeah. -And you can see,
[00:05:46.080 --> 00:05:49.360]   if you plot on the x-axis, like, number of shots that it has,
[00:05:49.360 --> 00:05:51.680]   or examples, and then, like, the loss it gets
[00:05:51.680 --> 00:05:53.760]   on just, like, ordinary least-squares regression.
[00:05:53.760 --> 00:05:55.760]   -Yeah. -That will go down with time.
[00:05:55.760 --> 00:05:57.280]   -And it goes down exactly matched
[00:05:57.280 --> 00:05:59.160]   with number of gradient descent steps.
[00:05:59.160 --> 00:06:01.920]   -Yeah. Yeah, exactly. -Okay.
[00:06:01.920 --> 00:06:04.520]   I only read the interim discussion section of that paper,
[00:06:04.520 --> 00:06:08.720]   but in the discussion, the way they framed it is that
[00:06:08.720 --> 00:06:12.760]   in order to get better at long-context tasks,
[00:06:12.760 --> 00:06:15.400]   the model has to get better at learning to learn
[00:06:15.400 --> 00:06:17.280]   from these examples or from the context
[00:06:17.280 --> 00:06:19.280]   that is already within the window.
[00:06:19.280 --> 00:06:24.520]   And the implication of that is the model,
[00:06:24.520 --> 00:06:27.400]   if, like, meta-learning happens because it has to learn
[00:06:27.400 --> 00:06:29.560]   how to get better at long-context tasks,
[00:06:29.560 --> 00:06:33.200]   then, in some important sense, the task of intelligence
