
[00:00:00.000 --> 00:00:05.680]   Good Friday, everyone.
[00:00:05.680 --> 00:00:12.040]   On this podcast, we regularly take questions about how the early church did things, and
[00:00:12.040 --> 00:00:17.320]   then we ask what practices we read about in our Bibles are directly transferable to our
[00:00:17.320 --> 00:00:19.960]   local churches today.
[00:00:19.960 --> 00:00:24.840]   And within that category, I think would fit today's email from a listener named Robbie
[00:00:24.840 --> 00:00:25.840]   in Kentucky.
[00:00:25.840 --> 00:00:28.280]   "Pastor John, hello to you.
[00:00:28.280 --> 00:00:35.200]   In 1 Timothy 2a, we read that Paul exhorted men to pray in church while lifting up holy
[00:00:35.200 --> 00:00:37.320]   hands.
[00:00:37.320 --> 00:00:41.960]   What's the connection between lifted hands and holiness?
[00:00:41.960 --> 00:00:44.240]   And what about lifted hands and prayer?
[00:00:44.240 --> 00:00:50.120]   Is this practice culturally dated or is it a relevant one we should adopt today in our
[00:00:50.120 --> 00:00:53.320]   corporate church gatherings?"
[00:00:53.320 --> 00:01:03.000]   The text, namely 1 Timothy 2a, says, "I desire then that in every place the men," and the
[00:01:03.000 --> 00:01:11.440]   word is men, not just persons, it's males, "should pray, lifting holy hands, without
[00:01:11.440 --> 00:01:13.760]   anger or quarreling."
[00:01:13.760 --> 00:01:19.160]   And then Paul continues, interestingly, in verse 9, without a break, and shifts from
[00:01:19.160 --> 00:01:22.640]   men to women and says, "Likewise, I desire that in every place the men," and the word
[00:01:22.640 --> 00:01:23.640]   is men, "should pray, lifting holy hands, without anger or quarreling."
[00:01:23.640 --> 00:01:29.160]   And then Paul continues, "Likewise, also that women should adorn themselves in respectable
[00:01:29.160 --> 00:01:31.680]   apparel with modesty and self-control."
[00:01:31.680 --> 00:01:39.800]   And I think it's relevant for understanding the word to men to realize that it's paired
[00:01:39.800 --> 00:01:42.920]   with a word to women.
[00:01:42.920 --> 00:01:51.600]   It's relevant because it relates to the question whether Paul is addressing merely a peculiar
[00:01:51.600 --> 00:01:57.000]   problem at Ephesus or whether he's speaking more generally in a way that all of us should
[00:01:57.000 --> 00:02:03.400]   sit up and take notice, even in the 21st century, because it relates to our situation as well,
[00:02:03.400 --> 00:02:04.400]   male and female.
[00:02:04.400 --> 00:02:13.320]   Now, we might be tempted to think that Paul is focused here mainly on the situation at
[00:02:13.320 --> 00:02:21.900]   Ephesus because when he says that anger and quarreling should be put away, that triggers
[00:02:21.900 --> 00:02:28.040]   in our minds another text in 1 Timothy, namely chapter 6, verse 4, where he says there's
[00:02:28.040 --> 00:02:35.320]   a group of people in the church who have an unhealthy craving for controversy and for
[00:02:35.320 --> 00:02:40.000]   quarrels about words which produce dissension.
[00:02:40.000 --> 00:02:45.480]   So we might think, well, that's why here in 1 Timothy 2.8 men are told to pray without
[00:02:45.480 --> 00:02:47.880]   anger and without quarreling.
[00:02:47.880 --> 00:02:50.880]   It's a peculiar problem at Ephesus.
[00:02:50.880 --> 00:02:56.080]   And that may be why Paul put the emphasis here on anger and quarreling, but I don't
[00:02:56.080 --> 00:03:05.120]   think he means for us to hear his words as limited to the application for Ephesus.
[00:03:05.120 --> 00:03:15.160]   And I say that mainly because he says, "I desire that in every place men should pray,
