
[00:00:00.000 --> 00:00:07.020]   a bit on Laura's okay I'll restart we just started recording so basically Hugging Face put out this
[00:00:07.020 --> 00:00:14.080]   blog post like a week or two ago and it's a very in-depth estimated reading time is like two to
[00:00:14.080 --> 00:00:19.480]   three days really good visualizations and like little widgets on how to do pre-training of
[00:00:19.480 --> 00:00:26.300]   models so there's a quick overview at the start the plan is basically we're not covering a two-day
[00:00:26.300 --> 00:00:33.160]   reading in an hour we'll go through the main points of everything and try to do try to do some little
[00:00:33.160 --> 00:00:39.200]   you know double click into whatever people have questions on if anyone has thoughts comments you
[00:00:39.200 --> 00:00:44.960]   know open whenever a lot of it is pretty like mathematical guide on how to pre-train a language
[00:00:44.960 --> 00:00:50.560]   model so there's a lot of resources out there for if you're doing fine-tuning Laura synthetic data
[00:00:50.560 --> 00:00:55.800]   generation like there's a lot of libraries that make it easy to do little post-training stuff or
[00:00:55.800 --> 00:01:01.920]   fine-tuning but they wanted to solve the question of okay everyone says like it's hard to train across
[00:01:01.920 --> 00:01:08.180]   multiple nodes multiple GPUs what is all this data parallelism pipeline parallelism how do we know about
[00:01:08.180 --> 00:01:14.940]   like you know like who's actually writing about this so Hugging Face has a cluster of 512 GPUs
[00:01:14.940 --> 00:01:20.180]   they ran a thousand different experiments and they basically put together uh hey if you want to go
[00:01:20.180 --> 00:01:25.560]   train pre-train a model here's kind of like your zero to eighty percent of what you should know
[00:01:25.560 --> 00:01:32.280]   about distributed training so this is when you have more than one GPU and kind of more than two GPUs
[00:01:32.280 --> 00:01:39.920]   how can you efficiently scale your training so all from you can't have a model that fits on one GPU
[00:01:39.920 --> 00:01:47.000]   to how do you have like let's say a 7b model and you want to efficiently use 10 GPUs versus how do you have
[00:01:47.000 --> 00:01:53.540]   like multi-node so if you have a train run what if you have multiple nodes um what makes up the most of
[00:01:53.540 --> 00:02:01.780]   like compute when you're training so activations back prop um all this stuff so TLDR they kind of kick
[00:02:01.780 --> 00:02:08.100]   off with a basic overview of this and they're like there's pretty good open source models but they don't
[00:02:08.100 --> 00:02:13.520]   really talk too much about these little nitty-gritty stuff um at a high level something that this blog
[00:02:13.520 --> 00:02:20.260]   post also kind of didn't explicitly state but does show is you see all these gray dots so they ran over a
[00:02:20.260 --> 00:02:25.180]   thousand experiments all these gray dots are failed runs so some of them were kind of failed force runs
[00:02:25.180 --> 00:02:31.540]   like force failed where you know you overdo your bad size and you know you'll run out of memory and guess
[00:02:31.540 --> 00:02:39.400]   what you ran out of memory but the other little interesting niche that um I've noticed is when you
[00:02:39.400 --> 00:02:47.160]   do a lot of like multi-node multi-GPU training is sometimes a random GPU fails sometimes one GPU has
[00:02:47.160 --> 00:02:53.720]   like a weird loss and your train run is kind of screwed so um it doesn't account for those little niches right
[00:02:53.720 --> 00:02:59.520]   so sure there's checkpointing sure there's stuff like this but uh in practice sometimes when you're
[00:02:59.520 --> 00:03:05.080]   training on like a thousand GPUs yeah one GPU randomly dies and it causes little issues but anyway
[00:03:05.080 --> 00:03:13.000]   this is kind of just the high level like here's what to do so um kicking off let's go over the
[00:03:13.000 --> 00:03:19.940]   fundamentals and background so they have this like cool interactive widget that's basically like here
[00:03:19.940 --> 00:03:26.920]   are the presets of models that exist for the llama family so there's a llama tiny llama 8b llama 70b and
[00:03:26.920 --> 00:03:32.520]   it kind of lets you visualize how much VRAM is required to do pre-training so if you want to like
[00:03:32.520 --> 00:03:40.840]   train the full thing at different precision and a different um sequence lengths right so as we scale
[00:03:40.840 --> 00:03:46.680]   up the sequence length we can kind of see what happens to um the VRAM required right so let's say we want to
[00:03:46.680 --> 00:03:52.440]   train um there's like a few key parameters that you should know here right so you've got that size and
[00:03:52.440 --> 00:03:57.960]   sequence length and that kind of makes up how much GPU usage you're going to have so how many parameters
