
[00:00:00.000 --> 00:00:04.000]   (music)
[00:00:04.000 --> 00:00:11.000]   Do unbelievers get a second chance at salvation after death?
[00:00:11.000 --> 00:00:15.000]   This is a common question in the inbox. It's an important question, too.
[00:00:15.000 --> 00:00:19.000]   So important that two people asked the same question at the same time,
[00:00:19.000 --> 00:00:22.000]   inspired by the same biblical text.
[00:00:22.000 --> 00:00:26.000]   "Hello, Pastor John. My name is Florin. I am a Romanian, but live in London.
[00:00:26.000 --> 00:00:30.000]   I have asked a few different pastors, but they could not give me an answer.
[00:00:30.000 --> 00:00:34.000]   Can you explain 1 Peter 3, verses 19-20 and 1 Peter 4-6,
[00:00:34.000 --> 00:00:38.000]   this idea that the gospel was preached to the dead?"
[00:00:38.000 --> 00:00:41.000]   And the question also recently came from a listener named Jason.
[00:00:41.000 --> 00:00:45.000]   "Pastor John, could you please explain 1 Peter 3, 19 to me?
[00:00:45.000 --> 00:00:50.000]   I've heard so many explanations to what Jesus was doing and why he was there.
[00:00:50.000 --> 00:00:55.000]   Some go so far as to imply a second chance salvation.
[00:00:55.000 --> 00:00:57.000]   Is there one?"
[00:00:57.000 --> 00:01:02.000]   I've returned to this text, and I'm thinking particularly now of 3.19.
[00:01:02.000 --> 00:01:08.000]   I've returned to this text over and over in the last 50 years
[00:01:08.000 --> 00:01:13.000]   and have to admit that I don't have complete confidence
[00:01:13.000 --> 00:01:19.000]   that I know for sure what Peter is referring to when he says that Christ,
[00:01:19.000 --> 00:01:25.000]   in the Spirit, preached to those who are now in prison.
[00:01:25.000 --> 00:01:28.000]   Here's what the verse says, so everybody can be up to speed with us.
[00:01:28.000 --> 00:01:33.000]   "Christ also suffered once for sins, the righteous for the unrighteous,
[00:01:33.000 --> 00:01:36.000]   that he might bring us to God, being put to death in the flesh,
[00:01:36.000 --> 00:01:38.000]   but made alive in the Spirit."
[00:01:38.000 --> 00:01:39.000]   And here it comes.
[00:01:39.000 --> 00:01:42.000]   "In which," that is, in that Spirit,
[00:01:42.000 --> 00:01:47.000]   "he went and proclaimed to the spirits in prison,
[00:01:47.000 --> 00:01:51.000]   because they formerly did not obey when God's patience waited
[00:01:51.000 --> 00:01:54.000]   in the days of Noah while the ark was being prepared,
[00:01:54.000 --> 00:01:58.000]   in which a few," that is, eight persons, "came safely through the water.
[00:01:58.000 --> 00:02:02.000]   Baptism," which corresponds to this, "now saves you,
[00:02:02.000 --> 00:02:04.000]   not as a removal of dirt from the body,
[00:02:04.000 --> 00:02:07.000]   but as an appeal to God for a good conscience
[00:02:07.000 --> 00:02:09.000]   through the resurrection of Jesus Christ,
[00:02:09.000 --> 00:02:12.000]   who has gone into heaven and is at the right hand of God
[00:02:12.000 --> 00:02:18.000]   with angels' authorities and powers, having been subjected to him."
[00:02:18.000 --> 00:02:21.000]   And I read the whole thing because the context is going to make a difference
[00:02:21.000 --> 00:02:24.000]   in the various interpretations that are put forward.
[00:02:24.000 --> 00:02:27.000]   So here's what Martin Luther said about this text.
[00:02:27.000 --> 00:02:32.000]   "A wonderful text is this, and a more obscure passage perhaps
[00:02:32.000 --> 00:02:34.000]   than any other in the New Testament,
[00:02:34.000 --> 00:02:38.000]   so that I do not know for a certainty just what Peter means."
[00:02:38.000 --> 00:02:40.000]   That's Martin Luther.
[00:02:40.000 --> 00:02:43.000]   That's pretty much the way I feel as well.
[00:02:43.000 --> 00:02:45.000]   "I do not know for a certainty."
[00:02:45.000 --> 00:02:49.000]   So I'm going to mention the three main interpretations
[00:02:49.000 --> 00:02:51.000]   and then tell you the one I lean toward and why,
[00:02:51.000 --> 00:02:56.000]   and then step back and say a word about handling texts
[00:02:56.000 --> 00:03:00.000]   where you're not sure all that it means.
[00:03:00.000 --> 00:03:02.000]   So here's the first one.
