
[00:00:00.040 --> 00:00:10.800]   cost
[00:02:47.920 --> 00:02:50.120]   I'm happy to answer your questions on anything in the world that you want to do. So if you'd like to join a show like this in the future, come on by at RadicalPersonalFinance.com slash patron. RadicalPersonalFinance.com slash patron and sign up to support the show there. And I'd be happy to have you there.
[00:03:20.140 --> 00:03:20.140]   --------
[00:03:50.200 --> 00:04:02.120]   the
[00:04:02.120 --> 00:04:15.120]   rest. I'm a class. I'm a least, and, and, Lightning funnel. 100: poison.함 mean,ited, scales,avin,itters, statut,isse, лай, Des,'s, as,ava, be, is, main atau remind of Cor 66ough but него�TI but 93 ann
[00:04:15.120 --> 00:04:17.360]  ART our
[00:04:17.360 --> 00:04:18.860]  formation. and I'm
[00:04:18.940 --> 00:04:30.200]   a
[00:04:30.200 --> 00:04:34.960]   real quick for the audience's benefit before we get to your specific situation.
[00:04:34.960 --> 00:04:47.640]   The very best way to avoid this problem is by getting disability income insurance long before you know of travel plans and especially to get it in the individual marketplace.
[00:04:47.680 --> 00:05:16.840]  .
[00:05:16.840 --> 00:05:17.240]   So,
[00:05:17.240 --> 00:05:17.480]   you're going to need a lot of money to get your disability income insurance policy.
[00:05:17.480 --> 00:05:17.640]   You're going to need a lot of money to get your disability income insurance policy.
[00:05:17.640 --> 00:05:17.640]   You're going to need a lot of money to get your disability income insurance policy.
[00:05:17.640 --> 00:05:17.640]   You're going to need a lot of money to get your disability income insurance policy.
[00:05:17.640 --> 00:05:17.640]   You're going to need a lot of money to get your disability income insurance policy.
[00:05:17.640 --> 00:05:17.640]   You're going to need a lot of money to get your disability income insurance policy.
[00:05:17.640 --> 00:05:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:05:17.680 --> 00:05:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:05:17.680 --> 00:05:47.680]   I'm going to need a lot of money to get your disability income insurance policy.
[00:05:47.680 --> 00:05:47.680]   I'm going to need a lot of money to get your disability income insurance policy.
[00:05:47.680 --> 00:05:47.680]   I'm going to need a lot of money to get your disability income insurance policy.
[00:05:47.680 --> 00:05:47.680]   I'm going to need a lot of money to get your disability income insurance policy.
[00:05:47.700 --> 00:06:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:06:17.680 --> 00:06:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:06:17.680 --> 00:06:17.680]   You're going to need a lot of money to get your disability income insurance policy.
