
[00:00:00.000 --> 00:00:02.120]   of Intermediate Biblical Counseling.
[00:00:02.120 --> 00:00:05.140]   It's a great joy to meet together with you
[00:00:05.140 --> 00:00:07.080]   on this online class.
[00:00:07.080 --> 00:00:09.480]   And we trust that you're doing well in the Lord
[00:00:09.480 --> 00:00:11.720]   and that you're rejoicing in the goodness
[00:00:11.720 --> 00:00:14.520]   of our Savior, Jesus Christ.
[00:00:14.520 --> 00:00:17.320]   We are here on a Valentine's Day
[00:00:17.320 --> 00:00:21.720]   and my wife is here with me and we're broadcasting live
[00:00:21.720 --> 00:00:25.540]   and just a joy to meet with you all.
[00:00:25.540 --> 00:00:27.520]   We hope that you've been enriched
[00:00:27.520 --> 00:00:29.760]   and blessed by the study of God's word.
[00:00:29.760 --> 00:00:34.000]   And tonight we're gonna be looking at a very important topic
[00:00:34.000 --> 00:00:38.240]   and that is a biblical theology of emotions.
[00:00:38.240 --> 00:00:41.920]   This is one of the harder exam questions
[00:00:41.920 --> 00:00:46.800]   in the counseling exams of ACBC training.
[00:00:46.800 --> 00:00:49.540]   It is one of the questions that does not have
[00:00:49.540 --> 00:00:53.480]   a corresponding lecture in the year one training.
[00:00:53.480 --> 00:00:57.320]   And it is also a topic that really requires
[00:00:57.320 --> 00:01:00.200]   some thought and reflection both from
[00:01:00.200 --> 00:01:03.900]   what the scriptures teach and also from our ministry
[00:01:03.900 --> 00:01:07.120]   to people every day in the church.
[00:01:07.120 --> 00:01:10.420]   And I do pray that our study tonight will help us
[00:01:10.420 --> 00:01:13.640]   to think through a much needed subject
[00:01:13.640 --> 00:01:15.760]   in the biblical counseling training
[00:01:15.760 --> 00:01:18.940]   and then just a subject that's necessary
[00:01:18.940 --> 00:01:21.520]   for each of us to think through in our own lives.
[00:01:21.520 --> 00:01:24.220]   What is the place of emotions
[00:01:24.220 --> 00:01:28.520]   in the Christian's spiritual life?
[00:01:28.520 --> 00:01:31.120]   It's a subject that hasn't received the treatment
[00:01:31.120 --> 00:01:36.120]   that it ought to or the focus that it ought to in the church
[00:01:36.120 --> 00:01:40.480]   and I hope tonight's session will be a small pebble
[00:01:40.480 --> 00:01:45.480]   in a giant ocean that will perhaps move us toward
[00:01:45.480 --> 00:01:49.080]   a step further in our understanding of this important topic.
[00:01:49.080 --> 00:01:53.800]   So tonight we're looking at a biblical theology of emotions
[00:01:53.800 --> 00:01:58.800]   and I'm so glad that you've joined us for this time.
[00:01:58.800 --> 00:02:03.380]   Just a brief word before I open in prayer.
[00:02:03.380 --> 00:02:07.360]   I was reflecting on this importance of this subject,
[00:02:07.360 --> 00:02:09.460]   biblical theology of emotions.
[00:02:09.460 --> 00:02:13.280]   An important topic for the simple reason
[00:02:13.280 --> 00:02:15.800]   that we all have emotions.
[00:02:15.800 --> 00:02:18.480]   I trust you will agree with that.
[00:02:18.480 --> 00:02:23.480]   Some of us may be more prone to expressing intense emotions
[00:02:24.000 --> 00:02:24.840]   than others.
[00:02:24.840 --> 00:02:29.840]   Some of us are more reserved in our emotional expressions
[00:02:29.840 --> 00:02:34.720]   but all of us have emotions, emotions of joy,
[00:02:34.720 --> 00:02:39.640]   emotions of grief, emotions of affection,
[00:02:39.640 --> 00:02:43.920]   even emotions of relief, of gladness,
[00:02:43.920 --> 00:02:46.440]   of disillusionment, disappointment.
[00:02:46.440 --> 00:02:52.980]   Consider that anger, hatred, bitterness, resentment,
[00:02:53.740 --> 00:02:58.620]   fear, anxiety, and worry can all to some degree
[00:02:58.620 --> 00:03:03.620]   be classified under the category of emotions,
[00:03:03.620 --> 00:03:06.060]   which means that a number of counseling issues
[00:03:06.060 --> 00:03:10.420]   do relate to the emotional life of our counselees.
[00:03:10.420 --> 00:03:15.220]   You and I know that people make emotional decisions.
[00:03:15.220 --> 00:03:18.460]   That's why they say never go to the grocery store
[00:03:18.460 --> 00:03:20.100]   when you're hungry.
[00:03:20.100 --> 00:03:23.740]   You will make an emotional decision,
[00:03:23.740 --> 00:03:26.040]   not a rational decision.
[00:03:26.040 --> 00:03:30.760]   And we also know that there are some counseling meetings,
