
[00:00:00.000 --> 00:00:20.220]   My name is Rick Blalock, I'm from Agentuity, and you're all wearing the logo around your necks,
[00:00:20.220 --> 00:00:25.440]   so stop by our booth please. But today I want to talk about conquering agent chaos,
[00:00:25.440 --> 00:00:31.560]   but really I'm talking about deployment, running and deploying agents. And just to give you an
[00:00:31.560 --> 00:00:36.600]   example, I was at University of Florida, I'm from South Florida, and I was at University of Florida
[00:00:36.600 --> 00:00:40.140]   about a month and a half ago, and I was talking to a bunch of professors and their students on
[00:00:40.140 --> 00:00:45.120]   projects that they were deploying. Almost all of them were working on some type of agents in their
[00:00:45.120 --> 00:00:50.520]   class projects. And I asked all of them, what was the number one problem? They all said, including
[00:00:50.520 --> 00:00:57.120]   professors, deploying agents. And similar problems that I had before we started Agentuity,
[00:00:57.120 --> 00:01:02.160]   which was like, you build this thing, you deploy it on serverless, in their case they were using AWS
[00:01:02.160 --> 00:01:08.640]   and Lambda, and then they, you know, timeouts, right? Oh, my agent runs for 15 minutes, or my agent runs
[00:01:08.640 --> 00:01:13.260]   for 30 minutes. We have an internal agent at Agentuity that runs for 40 minutes a day, something like that.
[00:01:13.260 --> 00:01:19.860]   So they were running into that, and then they weren't allowed to use VMs or EC2 for their projects, so for obvious
[00:01:19.860 --> 00:01:27.020]   reasons. You want a bunch of students running into EC2s. And a bunch of other things are running into the gateway issues,
[00:01:27.020 --> 00:01:31.860]   you know, wiring up agents, talking to agents, and things like that. So it's a very, very common thing. And the other
[00:01:31.860 --> 00:01:58.860]   one is, you know, the whole web is built, like, for a stateless type concept, right? Agents are not stateless necessarily. They're stateful in a lot of cases. And so those are the deployment headaches that I was hearing over and over with the students. And that mapped to a problem I had about a year ago, building a qualitative research agent, set of agents. Same thing, I built it on serverless, not thinking, and then I realized, oh, crap, I've got to re-architect this whole thing, because it's doing synthesis, and it takes a while.
[00:01:58.860 --> 00:02:28.420]   So very common headaches. Has anybody experienced that headache before? I'm curious. Yeah? Deploying agents? So that led us to talk about, like, well, what do agents need to be successful? So they need to run as long as they need to run. And they need to be able to pause and stop and resume. They also have, decoupled from your code, they need to have different inputs and outputs, and actually multiple, various ones, right?
[00:02:28.420 --> 00:02:37.420]   I think we understand that, hopefully. And then I put this up here, introspection, self-observability, and self-reflection. They need those two.
[00:02:37.420 --> 00:02:46.420]   And we have that in the product. We have, like, hotel tracing things. Hopefully you've all seen some of those types of things where you're doing introspection and traces across.
[00:02:46.420 --> 00:02:57.420]   But I put self-observability and self-reflection here, because this is important. So the observability things that we're used to are human-based, where we see, like, these traces and spans.
[00:02:57.420 --> 00:03:06.420]   And the agents need to understand that as well. There's a difference there. There's a nuance difference there. Of course, it needs memory. It needs to get better, evolution, code execution.
[00:03:06.420 --> 00:03:17.420]   So that's what agents need to be successful. And so, again, talking to those UF students, personal experience. We need those things. And that's what we started to build at Agentuity.
