
[00:00:00.040 --> 00:00:09.460]   Criminal
[00:00:09.460 --> 00:00:10.380]   L Z
[00:00:10.380 --> 00:00:10.920]  sein M
[00:00:10.920 --> 00:00:29.460]   say. I'm as, and, and, is,
[00:01:28.420 --> 00:01:57.840]  bek: So I'm going to give you a little piece of roofing and for the, for the, for the most poor of the world's, uh, for the world's most poor, one of the biggest expenses is food, just because they don't even have the money for housing. But that's not the situation most likely that you're in or that I'm in. We're in a situation which housing is a big, big deal. And I think a lot about housing because I'm interested in so many different approaches. And I want to give you some ideas that I hope might help you to look at your situation and help to minimize your own housing costs.
[00:02:27.320 --> 00:02:56.760]  ,
[00:02:56.780 --> 00:03:26.220]   to: So, it just, it hurts me. The efficient side of me hurts me because I want to see that stuff used. So here are some ideas that I, I hope you'll consider if any of them may be practical to you or to anyone you know. The first idea is this. Is there a way that you could learn the skills necessary to construct for yourself an appropriate dwelling and eliminate the need to pay for an expensive dwelling?
[00:03:26.220 --> 00:03:55.680]   in order to develop for themselves the skills to build their own housing? And they were comparing mathematically the value that they gained from doing that versus the amount of money that they earned from the building.
[00:03:55.720 --> 00:04:06.520]   as
[00:04:06.520 --> 00:04:09.460]   Land I isarus
[00:04:09.460 --> 00:04:14.660]  �, and, and, but, end, Schön Eolen S Separ finances Так幸 lens was the Fry gi
[00:04:24.300 --> 00:04:40.440]   of the shell of the house, the walls, the roof, the foundation, et cetera, which is
[00:04:40.440 --> 00:04:45.760]   some of the more time-consuming parts. But I was involved even as at 10 years old, I
[00:04:45.760 --> 00:04:52.880]   was involved in many of the aspects of that construction project. I nailed a lot of the
[00:04:52.880 --> 00:04:52.880]   the roof. I pulled a lot of the wires under the help of the construction team. I pulled
[00:04:52.880 --> 00:04:52.880]   the roof. I pulled a lot of the wires under the help of the construction team. I pulled
[00:04:52.880 --> 00:04:52.880]   the roof. I pulled a lot of the wires under the help of the construction team. I pulled
