
[00:00:00.000 --> 00:00:05.480]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:00:05.480 --> 00:00:13.540]   Whether you're making a traditional roasted turkey or spicy turkey tacos, your go-to shrimp cocktail, or your first Cajun risotto,
[00:00:13.540 --> 00:00:17.600]   Ralph's has all the freshest ingredients to embrace your traditions.
[00:00:17.600 --> 00:00:19.880]   Ralph's, fresh for everyone.
[00:00:19.880 --> 00:00:26.140]   Choose from a great selection of digital coupons and use them up to five times in one transaction. Check our app for details.
[00:00:26.140 --> 00:00:28.640]   Ralph's, fresh for everyone.
[00:00:28.640 --> 00:00:38.000]   Friday Q&A on today's show. A few follow-up comments on my inadequacy with a previous student loan question.
[00:00:38.000 --> 00:00:42.500]   How do we help kids actually without making them dependent?
[00:00:42.500 --> 00:00:45.500]   A question about consolidating investment accounts.
[00:00:45.500 --> 00:00:51.500]   Can I max out a retirement plan for my stay-at-home spouse?
[00:00:51.500 --> 00:00:59.500]   And how do I work through retirement distribution strategies as well as a quick question on goal planning?
[00:00:59.500 --> 00:01:17.500]   Welcome to the Radical Personal Finance Podcast.
[00:01:17.500 --> 00:01:21.500]   My name is Joshua Sheets. This is episode 196.
[00:01:21.500 --> 00:01:25.500]   Friday Q&A today and we're going to do all voicemail questions.
[00:01:25.500 --> 00:01:27.500]   Try to clear out the voicemail inbox.
[00:01:27.500 --> 00:01:31.500]   After today's show, all of the voicemail questions will be answered.
[00:01:31.500 --> 00:01:34.500]   But I have dozens and dozens of written questions.
[00:01:34.500 --> 00:01:39.500]   So if you want to get your question answered on a future show, call into the voicemail. It's wide open.
[00:01:39.500 --> 00:01:47.500]   [Music]
[00:01:47.500 --> 00:01:51.500]   I do enjoy doing these shows and I enjoy doing them because of the variety.
[00:01:51.500 --> 00:01:54.500]   But I'm telling you, it makes a better experience for the audience to be able to hear your questions.
[00:01:54.500 --> 00:01:58.500]   So I always give priority to the voicemail questions on shows like this.
[00:01:58.500 --> 00:02:03.500]   If you'd like me to answer your question, just go to the website and you can find the website.
[00:02:03.500 --> 00:02:11.500]   Right on the website, you'll see a little note that says, "Send us a voice message," and you can click that on your phone.
[00:02:11.500 --> 00:02:13.500]   You can click it on your computer and you can send a voice message.
[00:02:13.500 --> 00:02:18.500]   Just realize I do still have one additional voicemail question that a listener emailed me on estate planning.
[00:02:18.500 --> 00:02:20.500]   I'm not going to answer that today.
[00:02:20.500 --> 00:02:22.500]   But to that listener, I have your question.
[00:02:22.500 --> 00:02:25.500]   I know it's been a while, but I want to do a good job on the answer.
[00:02:25.500 --> 00:02:29.500]   So you can also email me an attachment of an MP3 file.
[00:02:29.500 --> 00:02:32.500]   So just pull out your phone. Use the voice recorder function on that.
[00:02:32.500 --> 00:02:39.500]   You can record a question and email that to Joshua@RadicalPersonalFinance if you'd like to get your question on a show like today.
[00:02:39.500 --> 00:02:43.500]   So let's kick it off with a comment here on last Friday's show.
[00:02:43.500 --> 00:02:45.500]   Joshua, this is one of your patrons, and I love your show.
[00:02:45.500 --> 00:02:57.500]   I'm just going to tease you a little bit because your approach to a recent question and answer related to someone having $100,000 in student loans was quite conservative for Radical Personal Finance.
[00:02:57.500 --> 00:03:04.500]   For example, we didn't factor in the idea of student loan interest being an above-the-line deduction.
