
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:07.880]   - Welcome back to the Ask Pastor John podcast.
[00:00:07.880 --> 00:00:10.200]   And before we begin, if you haven't already,
[00:00:10.200 --> 00:00:11.880]   make sure you download our mobile apps
[00:00:11.880 --> 00:00:16.880]   or visit us online at desiringgod.org/askpastorjohn.
[00:00:16.880 --> 00:00:20.320]   Today's email comes in to us
[00:00:20.320 --> 00:00:23.200]   from a young podcast listener named Austin,
[00:00:23.200 --> 00:00:24.640]   who writes this, "Dear Pastor John,
[00:00:24.640 --> 00:00:27.920]   "I'm 17 and I have terminal cancer.
[00:00:27.920 --> 00:00:29.740]   "Doctors say my cancer will come back
[00:00:29.740 --> 00:00:31.840]   "and that my body cannot handle any more chemo
[00:00:31.840 --> 00:00:34.160]   "or bone marrow transplants.
[00:00:34.160 --> 00:00:36.280]   "God has used the past five years of fighting it
[00:00:36.280 --> 00:00:39.520]   "to bring me closer to him and to use my situation
[00:00:39.520 --> 00:00:42.360]   "to bring a few people closer to himself as well.
[00:00:42.360 --> 00:00:45.920]   "But I'm getting weary and I'm ready to go home.
[00:00:45.920 --> 00:00:47.120]   "I don't like to admit it,
[00:00:47.120 --> 00:00:48.940]   "but I pray that God would take me home,
[00:00:48.940 --> 00:00:50.440]   "but he keeps sustaining me.
[00:00:50.440 --> 00:00:53.380]   "His answer is clearly no or not yet.
[00:00:53.380 --> 00:00:57.460]   "How do I keep my joy even when life is hard and painful?"
[00:00:58.880 --> 00:01:02.180]   I feel like when I approach this question,
[00:01:02.180 --> 00:01:04.920]   it's entering into holy ground.
[00:01:04.920 --> 00:01:09.340]   What I mean by that is ground just outside heaven.
[00:01:09.340 --> 00:01:11.460]   This is like a step away from heaven.
[00:01:11.460 --> 00:01:14.160]   I'm standing here on the edge
[00:01:14.160 --> 00:01:17.340]   and heaven has made this ground holy.
[00:01:17.340 --> 00:01:19.540]   It's like giving advice just outside the door
[00:01:19.540 --> 00:01:22.780]   of God's temple and he can hear what I'm saying.
[00:01:22.780 --> 00:01:25.400]   Of course, he can hear what I'm saying all the time,
[00:01:25.400 --> 00:01:30.220]   but there's something sacred about talking to someone
[00:01:30.220 --> 00:01:34.240]   who is likely about to stand before Jesus
[00:01:34.240 --> 00:01:36.620]   in a very short time.
[00:01:36.620 --> 00:01:41.620]   So I want Austin to know that my faith is strengthened
[00:01:41.620 --> 00:01:44.720]   and my love for God is intensified
[00:01:44.720 --> 00:01:47.820]   in hearing him ask the way he asks.
[00:01:47.820 --> 00:01:52.820]   Mainly because you, Austin, have not expressed anger
[00:01:52.820 --> 00:01:54.940]   and bitterness towards God.
[00:01:54.940 --> 00:01:56.800]   You may have had at some time,
[00:01:56.800 --> 00:01:59.880]   and of course he can handle that, but you didn't.
[00:01:59.880 --> 00:02:04.120]   You seem to speak with remarkable faith.
[00:02:04.120 --> 00:02:07.640]   And so you have the aroma of heaven already on you
[00:02:07.640 --> 00:02:11.640]   and that's mighty strengthening to me.
[00:02:11.640 --> 00:02:14.260]   So let me just focus on your last words.
[00:02:14.260 --> 00:02:18.180]   You say, "I'm getting weary and I'm ready to go home.
[00:02:18.180 --> 00:02:20.220]   "I don't like to admit it,
[00:02:20.220 --> 00:02:23.300]   "but I pray that God would take me home."
[00:02:24.540 --> 00:02:26.300]   But he keeps sustaining me.
[00:02:26.300 --> 00:02:29.620]   His answer is clearly no or not yet.
[00:02:29.620 --> 00:02:34.620]   How do I keep my joy when my life is hard and painful?
[00:02:34.620 --> 00:02:38.440]   And maybe the first thing, the first encouraging thing,
[00:02:38.440 --> 00:02:42.580]   I hope, that I can say is that you don't need
[00:02:42.580 --> 00:02:46.580]   to be embarrassed to admit that you are praying
[00:02:46.580 --> 00:02:48.900]   that God would take you home.
[00:02:48.900 --> 00:02:51.780]   At least you don't have to be embarrassed around me.
[00:02:51.780 --> 00:02:56.060]   I have prayed that many times
[00:02:56.060 --> 00:03:02.780]   and have offered to go more times than I have prayed to go
[00:03:02.780 --> 00:03:07.940]   if it would be of greater effect than my life would be.
