
[00:00:00.000 --> 00:00:19.140]   I go to a lot of AI conferences. I go to AI research conferences, I go to you know more
[00:00:19.140 --> 00:00:23.520]   general tech conferences, and what I absolutely love about this conference is that it's really
[00:00:23.520 --> 00:00:27.960]   about the builders and it's really about the techniques that we need to get AI into the
[00:00:27.960 --> 00:00:33.080]   hands of our customers. And so we're all here in the AI space, we're all AI practitioners
[00:00:33.080 --> 00:00:39.040]   here, and we know that AI is developing at an unprecedented pace. It's pretty hard to
[00:00:39.040 --> 00:00:44.260]   keep up with it, right? Every week, there's a new model, a new capability, a new feature,
[00:00:44.260 --> 00:00:51.480]   so much to keep up with. And when we see these new models, capabilities, and features, they're
[00:00:51.480 --> 00:00:59.480]   often shown to us as a demo or a prototype. And as builders and engineers here today, we all know
[00:00:59.480 --> 00:01:06.600]   there is a big difference between a demo and a prototype and scaling and productionizing AI. So one
[00:01:06.600 --> 00:01:12.440]   of the biggest ways that we can bridge that gap, we can go from having cool awesome demos to actually
[00:01:12.440 --> 00:01:19.160]   bringing that to customers is with efficiency. So if we have techniques for making our AI efficient, we can get
[00:01:19.160 --> 00:01:23.400]   closer to productization. And so that's what I want to tell you about today. I'm going to tell you about
[00:01:23.400 --> 00:01:29.160]   some practical ways you can take away today to start making your AI models more efficient.
[00:01:29.160 --> 00:01:36.600]   So let me introduce myself. So I'm Shelby, and I lead an AI research team at Salesforce.
[00:01:36.600 --> 00:01:45.560]   My team ships AI today. So we deliver, for example, LLM solutions to our data platform at Salesforce. The data
[00:01:45.560 --> 00:01:52.440]   platform is the foundation of all of Salesforce that scale. Now, while we're delivering AI today,
[00:01:52.440 --> 00:01:59.400]   we're also envisioning what we'll need for tomorrow. And to do that, we've released over 15 cutting edge
[00:01:59.400 --> 00:02:08.760]   research papers and agents, LLMs on device AI and more. And we've also released over six open source repos.
[00:02:08.760 --> 00:02:12.840]   So my team has released these repos, I'm going to talk about one of them today, so you'll get to see.
[00:02:12.840 --> 00:02:21.240]   And this is all in vain of pushing AI forward and getting the AI that we'll need for tomorrow.
[00:02:21.240 --> 00:02:26.680]   Now, a little bit about my personal background. I have a PhD in machine learning. So I focused on
[00:02:26.680 --> 00:02:32.760]   developing learning algorithms that are sample and communication efficient. And I have a bachelor's and
[00:02:32.760 --> 00:02:37.720]   master's in math as well. So if you're interested in learning more about my team, my background,
[00:02:37.720 --> 00:02:41.720]   and want to connect on LinkedIn, feel free to scan the QR code. I'm always happy to chat with you all.
[00:02:41.720 --> 00:02:49.320]   Now, what about Salesforce? This is AI in the Fortune 500 section. Let's talk about Salesforce
[00:02:49.320 --> 00:02:54.760]   and what we're doing. Salesforce has been deploying AI for 10 years, everyone, 10 years.
[00:02:56.040 --> 00:03:04.280]   So the AI research team was founded in 2014. And since then, Salesforce has accumulated over 300 AI
[00:03:04.280 --> 00:03:12.120]   patents, over 227 AI research papers, all in the last 10 years. And you can see here the map of all the
[00:03:12.120 --> 00:03:18.520]   deployments that have taken place. Okay. And at Salesforce, trust is our number one value. So we
[00:03:18.520 --> 00:03:24.680]   don't just deliver, we don't just build and deliver AI in isolation. We build and deliver trusted AI. That
[00:03:24.680 --> 00:03:31.000]   is a key. So to do that, we're a part of six ethical AI councils. And we're also involved in the White
[00:03:31.000 --> 00:03:38.680]   House commitment for trusted AI. So I want to zoom in here past two years, that's where all the AI action
[00:03:38.680 --> 00:03:44.040]   has been happening, right? The past two years, let's look at 2022 and 2023. What's Salesforce been up to?
[00:03:44.760 --> 00:03:50.520]   Well, we've been deploying a lot of LLM products, right? If you look here, you'll see, you'll see
[00:03:50.520 --> 00:03:57.160]   co-gen based products, you'll see service GPT, Einstein GPT, Tableau GPT. That's very similar to
[00:03:57.160 --> 00:04:01.400]   the rest of the tech industry, right? Like if we zoom out the rest of the tech industry, we're deploying
[00:04:01.400 --> 00:04:07.720]   LLM products. And now for us to do it at Salesforce, efficiency is key. Think about Salesforce scale,
[00:04:07.720 --> 00:04:11.400]   think about Fortune 500 scale that we're talking here. Efficiency is key.
[00:04:13.080 --> 00:04:17.400]   And we're all in the same boat here. We're all working on the same deployment environment.
[00:04:17.400 --> 00:04:21.880]   So let's review that a little bit. When we've got an AI model, we're mostly deploying, you know,
