
[00:00:00.000 --> 00:00:11.400]   So, first of all, social media, how addicting is it really? And what is healthy social media
[00:00:11.400 --> 00:00:20.380]   behavior? So, the first message I would want to get across about social media is that it really
[00:00:20.380 --> 00:00:28.680]   is a drug, and it's engineered to be a drug. And it's based on potency, quantity, variety,
[00:00:28.680 --> 00:00:35.880]   the bottomless bulls, the likes, the way that it's enumerated, all of that. Which doesn't mean
[00:00:35.880 --> 00:00:41.780]   that we can't use it, but we need to be very thoughtful about the way we use it, just like
[00:00:41.780 --> 00:00:49.300]   we need to be thoughtful about the way we use any drug. And so, that means with intention and in
[00:00:49.300 --> 00:00:58.200]   advance planning our use, right? And trying to use it as a really awesome tool to potentially
[00:00:58.200 --> 00:01:06.060]   connect with other people and not to be used by it or get lost in it. And of course, you know,
[00:01:06.060 --> 00:01:12.080]   people are going to come with different propensities for addiction to any drug, and that's true for
[00:01:12.080 --> 00:01:17.900]   social media too. Some people will have no problem using it in moderation or using it in a way that's
[00:01:17.900 --> 00:01:23.820]   adaptive. And other people will immediately get sucked in. And the key thing about getting addicted
[00:01:23.820 --> 00:01:28.360]   is when it's happening, nobody who's getting addicted thinks they're getting addicted, right?
[00:01:28.360 --> 00:01:32.680]   Let's face it. It's only after the fact that we go, whoops, you know, what was that about?
[00:01:32.680 --> 00:01:37.240]   Well, remember texting and driving, there were all these books about texting and driving, how terrible it was.
[00:01:37.240 --> 00:01:41.540]   Yeah. Even the governments have largely given up. You see these, these billboards.
[00:01:41.540 --> 00:01:47.680]   Terrifying. Like, don't text and drive or any text can wait or not worth dying for, but everybody's texting and driving.
[00:01:47.680 --> 00:01:54.680]   Right. And if you look at young people, teenagers, I mean, they're basically cybernetically enhanced. That the phone is there, you know, it's like they're talking to you and texting 12 friends at the same time. And there's no stopping it. I mean, the genie is out of the bottle. We're, you know, it's not, we're not talking to you.
[00:01:54.680 --> 00:02:03.680]   They're talking to you and texting 12 friends at the same time. And there's no stopping it. I mean, the genie is out of the bottle. We're, you know, it's not, we're not going back, you know?
[00:02:03.680 --> 00:02:32.680]   Right. You know, so we, we do need to figure out, you know, how to make this, this tool, something that's, you know, going to be good for us and, and not ultimately harmful. And I, I don't have all the answers at by any stretch of the imagination, but I do think, you know, some of the wisdom that we have learned from using other drugs also applies to social media, which is to say that we have to, again, put barriers in place that allow us to remain in control.
[00:02:32.680 --> 00:02:38.680]   to remain in control of our use, which means not, not too much, you know, not too often, not too potent.
[00:02:38.680 --> 00:02:47.680]   Do you think in going back to this idea of the, the unit of the day being a good, a tractable unit, a manageable unit of time for most people.
[00:02:47.680 --> 00:03:01.680]   So you're saying in advance, so allocating two hours in which you're going to allow yourself to have free reign use of the phone and all its apps and all its things, or even more restricted than that, meaning, okay, I'm,
[00:03:01.680 --> 00:03:07.680]   I'm only going to allow myself 30 minutes a day to post and comment. And then that's a closeout completely.
[00:03:07.680 --> 00:03:13.680]   Yeah. So I think it's, it's, it depends on the person and sort of a combination. We talked earlier about, you know, having an itch and scratching
[00:03:13.680 --> 00:03:19.680]   yourself at night. We've gotten to a point with smartphones, people are pulling them out and they are utterly unconscious of
[00:03:19.680 --> 00:03:23.680]   doing so, pulling them out, you know, a couple of texts, a couple of, they don't know they're doing it.
[00:03:23.680 --> 00:03:27.680]   They don't know they're doing it. I have a friend who works in, does, delivers babies.
