
[00:00:00.040 --> 00:00:09.600]   пять
[00:00:09.600 --> 00:00:10.320]   r seem in. Or,
[00:00:10.320 --> 00:00:28.420]  .... SR M can as is. Y. It's,Net,G, orang,
[00:00:28.940 --> 00:00:57.800]   die
[00:03:22.300 --> 00:03:29.880]   점
[00:03:29.880 --> 00:03:32.640]   his,
[00:03:32.640 --> 00:03:41.700]   lot it .itz what do youined
[00:03:41.700 --> 00:03:50.620]   go I have a conduct your chase the play the ECD. /|/*--明白 an-- �-- , - ,-- -, -, -, I--, -, -, -, -, our, -, be,,,, it's,, e, over the better, the Ellie, more divide your load the regularly, start a blessed the Elス, í ND, Toler, pasture his helped the halfzk, канал die all of the pueda theimi idea of the em Road the vie Jenn�장ive the Shhare thew is just it's does theses, 911, 자꾸, depend the�,regist, Knowing, blankets the gray and, corporate, disabled,otal, started, Break,ater, Campus, unlike,ר. I'm, imagine the select a, convince the,icem,eu, меня, Beet, give it's, melon,�,
[00:03:50.680 --> 00:04:18.920]   fire was founded in 1999 by Harvey Sliverglate. He is a famous civil liberties attorney. He's a bit on the show. He's the person who actually found me out in my very happy life out in San Francisco, but knew I was looking for a First Amendment job. I'd gone to law school specifically to do First Amendment. And he found me, which was pretty cool. His protege, Kathleen Sullivan, was the dean of Stanford Law School. And this remains the best compliment I ever
[00:04:18.960 --> 00:04:27.480]   be
[00:04:27.480 --> 00:04:30.880]   what and
[00:06:48.900 --> 00:06:54.080]   read
[00:06:54.080 --> 00:07:17.280]   change.
[00:07:46.140 --> 00:07:46.140]   and
[00:08:43.460 --> 00:08:53.740]   i
[00:08:53.740 --> 00:08:54.700]   I my Кор
[00:08:54.700 --> 00:08:57.800]   Str.ley�.,,,, be a paper that is a form of those cutter
[00:08:57.800 --> 00:09:09.460]   home
[00:09:09.460 --> 00:09:11.540]  高
[00:09:13.480 --> 00:09:19.420]   decide
[00:09:19.420 --> 00:09:23.760]   think.
[00:09:23.760 --> 00:09:42.220]   would versus ask, may,,,,,,,,, my conteúdo hết HTML AND H Eö Th F Fre verein# die while is laÖ. P. It's. And, the, the, set, seemed, lion, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, we're,ast description find New а tougher Kur explain side's and i'm他們 Das� downtime Korean face zweiten опер Kia 있으 mise began Sw bajול likeечилиesseigne sub ​полож perm heartfelt視 the former diferente Burning Yummy resin Min ni Servil be alc tells spokenivid Bol máquina Velorship even� issued talk guy has the Ми en moinszi at closesじゃあ회 beiu я continuesown moins asiños27気 busy Gerade chin below in the someone suffer convert a garlicmanuel is in the giorn think about the답 so develop dé conocion in figure notices pare� recur tour lyingblue
[00:09:42.260 --> 00:09:45.880]   oh
[00:09:45.880 --> 00:09:56.880]   change. You,
[00:10:10.420 --> 00:10:19.220]  PH
[00:10:19.220 --> 00:10:22.420]   volta wish
[00:10:22.420 --> 00:10:35.080]   stayedbeli. But, is, as, care, pare,,,,,,,,,,,, send out . grat 800 cambiar確學 AND B see the covering the g. This is the play. The. I mean the. I'm. I'm a. I'm a. The. I. I. I'm. Ver.ё.mo. orang.
[00:10:35.080 --> 00:10:36.080]   learn..,
[00:10:36.080 --> 00:10:38.540]  .,
[00:10:38.540 --> 00:10:39.760]  ..... grew...
[00:10:40.280 --> 00:10:54.180]   that all of us have that kind of basic intuition when the line is crossed. It's the same thing for like pornography. Yeah. You know when you see it. I think there's the same level of intuition that should be applied across the board here.
[00:10:54.180 --> 00:10:54.680]   Mm-hmm.
[00:10:54.680 --> 00:11:02.540]   Um, and it's when that intuition becomes deformed by whatever forces of society. That's when it starts to feel like censorship.
[00:11:02.540 --> 00:11:10.140]   Yeah, I mean people find it a different thing. Um, you know, someone loses their job simply for their political opinion, even if that employer has every right to do it.
[00:11:10.140 --> 00:11:40.020]  ,
[00:11:40.020 --> 00:11:40.020]   and I think Americans should still be like, well, it's true. They have every right in the world and I'm not making a legal case that maybe you shouldn't fire someone for their political opinion, but think that through like what society do we want to, what kind of society do we want to live in and it's been funny watching, you know, and I point this out, yes, I will defend businesses first amendment rights of association to be able to have the legal right to decide who works for them.
[00:11:40.040 --> 00:12:03.900]   Um, but from a moral or philosophical matter, if you think through the implications of if every business in America becomes an expressive association, in addition to being a profit maximizing organization, that would be a disaster for democracy because you would end up in a situation where people would actually be saying to themselves, I don't think I can actually say what I really think and still believe I can keep my job.
[00:12:03.900 --> 00:12:09.900]   And that's where I was worried. I felt like we were headed because a lot of the initial response to people getting canceled
[00:12:09.900 --> 00:12:09.900]   and then the other side of the story was that, you know, I was worried that I was going to be fired.
[00:12:09.900 --> 00:12:09.900]   I was worried that I was going to be fired.
[00:12:09.900 --> 00:12:09.900]   And then the other side of the story was that, you know, I was worried that I was going to be fired.
[00:12:09.900 --> 00:12:09.900]   And then the other side of the story was that, you know, I was worried that I was going to be fired.
[00:12:09.900 --> 00:12:39.920]  -and then the other side of the story was that, you know, I was worried that I was going to be fired.
[00:12:39.920 --> 00:12:39.920]   And I was worried that I was going to be fired.
[00:12:39.920 --> 00:12:39.920]   And then the other side of the story was that, you know, I was worried that I was going to be fired.
[00:12:39.920 --> 00:12:39.920]   And then the other side of the story was that, you know, I was worried that I was going to be fired.
[00:12:39.920 --> 00:12:39.920]   And then the other side of the story was that, you know, I was worried that I was going to be fired.
[00:12:39.940 --> 00:13:09.940]   And then the other side of the story was that, you know, I was worried that I was going to be fired.
[00:13:09.940 --> 00:13:09.940]   And then the other side of the story was that, you know, I was worried that I was going to be fired.
[00:13:09.940 --> 00:13:09.940]   And then the other side of the story was that, you know, I was worried that I was going to be fired.
[00:13:09.940 --> 00:13:09.940]   And then the other side of the story was that, you know, I was worried that I was going to be fired.
[00:13:09.940 --> 00:13:09.940]   And then the other side of the story was that, you know, I was worried that I was going to be fired.
[00:13:09.940 --> 00:13:09.940]   And then the other side of the story was that, you know, I was worried that I was going to be fired.
[00:13:09.940 --> 00:13:09.940]   And then the other side of the story was that, you know, I was worried that I was worried that I was going to be fired.
[00:13:09.940 --> 00:13:39.960]  , you know, I was worried that I was going to be fired.
[00:13:39.960 --> 00:13:39.960]   And then the other side of the story was that, you know, I was worried that I was going to be fired.
[00:13:39.960 --> 00:13:39.960]   And then the other side of the story was that, you know, I was worried that I was going to be fired.
[00:13:39.960 --> 00:13:39.960]   And then the other side of the story was that, you know, I was worried that I was going to be fired.
[00:13:39.960 --> 00:13:39.960]   And then the other side of the story was that, you know, I was worried that I was worried that I was going to be fired.
[00:13:39.960 --> 00:13:39.960]   And then the other side of the story was that, you know, I was worried that I was worried that I was going to be fired.
[00:13:39.960 --> 00:13:39.960]   And then the other side of the story was that I was worried that I was worried that I was going to be fired.
[00:13:39.960 --> 00:13:39.960]   And then the other side of the story was that I was worried that I was worried that I was worried that I was going to be fired.
[00:13:39.980 --> 00:14:09.980]   I was worried that I was going to be fired.
[00:14:09.980 --> 00:14:09.980]   It's not going to stay that way if you have generations of law students graduating who actually think there's nothing there's no higher goal than shouting down your opponent.
[00:14:09.980 --> 00:14:09.980]   It's not going to stay that way if you have generations of law students graduating who actually think there's nothing there's no higher goal than shouting down your opponent.
[00:14:09.980 --> 00:14:09.980]   It's not going to stay that way if you have generations of law students graduating who actually think there's nothing there's no higher goal than shouting down your opponent.
[00:14:09.980 --> 00:14:09.980]   It's not going to stay that way if you have generations of law students graduating who actually think there's nothing there's no higher goal than shouting down your opponent.
[00:14:09.980 --> 00:14:09.980]   It's not going to stay that way that way if you have generations of law students graduating who actually think there's nothing there's no higher goal than shouting down your opponent.
[00:14:09.980 --> 00:14:09.980]   a,
[00:14:09.980 --> 00:14:09.980]   It's not going to say that's going to say that's not going to fire.
[00:14:10.020 --> 00:14:40.000]   and in the end of the year, the president of the United States is going to be the president of the United States, and it's going to be the president of the United States, and it's going to be the president of the United States, and it's going to be the president of the United States, and it's going to be the president of the United States, and it's going to be the president of the United States,
[00:14:40.020 --> 00:15:10.020]   and I'm sure it's going to be the president of the United States, and it's going to be the president of the United States,
[00:15:10.020 --> 00:15:10.020]   and it's going to be the president of the United States,
[00:15:10.020 --> 00:15:10.020]   and it's going to be the president of the United States,
[00:15:10.020 --> 00:15:10.020]   and it's going to be the president of the United States,
[00:15:10.020 --> 00:15:10.020]   and it's going to be the president of the United States,
[00:15:10.020 --> 00:15:10.020]   and it's going to be the president of the United States,
[00:15:10.020 --> 00:15:10.020]   and it's going to be the president of the United States,
[00:15:10.020 --> 00:15:10.020]   and it's going to be the president of the United States,
[00:15:10.020 --> 00:15:10.020]   and it's going to be the president of the United States,
[00:15:10.020 --> 00:15:10.020]   and it's going to be the president of the United States,
[00:15:10.020 --> 00:15:10.020]   and it's going to be the president of the United States,
[00:15:10.020 --> 00:15:10.020]   and it's going to be the president of the United States,
[00:15:10.020 --> 00:15:10.020]   and it's going to be the president of the United States,
[00:15:10.060 --> 00:15:40.040]   and it's going to be the president of the United States,
[00:15:40.040 --> 00:15:40.040]   and it's going to be the president of the United States,
[00:15:40.040 --> 00:15:40.040]   and it's going to be the president of the United States,
[00:15:40.040 --> 00:15:40.040]   and it's going to be the president of the United States,
[00:15:40.040 --> 00:15:40.040]   and it's going to be the president of the United States,
[00:15:40.040 --> 00:15:40.040]   and it's going to be the president of the United States,
[00:15:40.040 --> 00:15:40.040]   and it's going to be the president of the United States,
[00:15:40.060 --> 00:16:10.060]   and it's going to be the president of the United States,
[00:16:10.060 --> 00:16:10.060]   and it's going to be the president of the United States,
[00:16:10.060 --> 00:16:10.060]   and it's going to be the president of the United States,
[00:16:10.060 --> 00:16:10.060]   and it's going to be the president of the United States,
[00:16:10.060 --> 00:16:10.060]   and it's going to be the president of the United States,
[00:16:10.060 --> 00:16:10.060]   and it's going to be the president of the United States,
[00:16:10.060 --> 00:16:10.060]   and it's going to be the president of the United States,
[00:16:10.060 --> 00:16:10.060]   and it's going to be the president of the United States,
[00:16:10.060 --> 00:16:10.060]   and it's going to be the president of the United States,
[00:16:10.060 --> 00:16:10.060]   and it's going to be the president of the United States,
[00:16:10.060 --> 00:16:10.060]   and it's going to be the president of the United States,
[00:16:10.060 --> 00:16:10.060]   and it's going to be the president of the United States,
[00:16:10.060 --> 00:16:10.060]   and it's going to be the president of the United States,
[00:16:10.060 --> 00:16:10.060]   and it's going to be the president of the United States,
[00:16:10.060 --> 00:16:40.080]  ,
[00:16:40.080 --> 00:16:40.080]   and it's going to be the president of the United States,
[00:16:40.080 --> 00:16:40.080]   and it's going to be the president of the United States,
[00:16:40.080 --> 00:16:40.080]   and it's going to be the president of the United States,
[00:16:40.080 --> 00:16:40.080]   and it's going to be the president of the United States,
[00:16:40.080 --> 00:16:40.080]   and it's going to be the president of the United States,
[00:16:40.080 --> 00:16:40.080]   and it's going to be the president of the United States,
[00:16:40.080 --> 00:16:40.080]   and it's going to be the president of the United States,
[00:16:40.080 --> 00:16:40.080]   and it's going to be the president of the United States,
[00:16:40.080 --> 00:16:40.080]   and it's going to be the president of the United States,
[00:16:40.100 --> 00:17:10.100]   I'm going to be the president of the United States,
[00:17:10.100 --> 00:17:10.100]   I'm going to be the president of the United States,
[00:17:10.100 --> 00:17:10.100]   I'm going to be the president of the United States,
[00:17:10.100 --> 00:17:10.100]   I'm going to be the president of the United States,
[00:17:10.100 --> 00:17:10.100]   I'm going to be the president of the United States,
[00:17:10.100 --> 00:17:10.100]   I'm going to be the president of the United States,
[00:17:10.100 --> 00:17:10.100]   I'm going to be the president of the United States,
[00:17:10.100 --> 00:17:10.100]   I'm going to be the president of the United States,
[00:17:10.100 --> 00:17:10.100]   I'm going to be the president of the United States,
[00:17:10.100 --> 00:17:10.100]   I'm going to be the president of the United States,
[00:17:10.100 --> 00:17:10.100]   I'm going to be the president of the United States,
[00:17:10.100 --> 00:17:10.100]   I'm going to be the president of the United States,
[00:17:10.100 --> 00:17:10.100]   I'm going to be the president of the United States,
[00:17:10.100 --> 00:17:10.100]   I'm going to be the president of the United States,
[00:17:10.100 --> 00:17:10.100]   I'm going to be the president of the United States,
[00:17:10.100 --> 00:17:40.120]   I'm going to be the president of the United States,
[00:17:40.120 --> 00:17:40.120]   I'm going to be the president of the United States,
[00:17:40.120 --> 00:17:40.120]   I'm going to be the president of the United States,
[00:17:40.120 --> 00:17:40.120]   I'm going to be the president of the United States,
[00:17:40.120 --> 00:17:40.120]   I'm going to be the president of the United States,
[00:17:40.120 --> 00:17:40.120]   I'm going to be the president of the United States,
[00:17:40.120 --> 00:17:40.120]   I'm going to be the president of the United States,
[00:17:40.120 --> 00:17:40.120]   I'm going to be the president of the United States,
[00:17:40.120 --> 00:17:40.120]   I'm going to be the president of the United States,
[00:17:40.120 --> 00:17:40.120]   I'm going to be the president of the United States,
[00:17:40.120 --> 00:17:40.120]   I'm going to be the president of the United States,
[00:17:40.120 --> 00:17:40.120]   I'm going to be the president of the United States,
[00:17:40.140 --> 00:18:10.140]   I'm going to be the president of the United States,
[00:18:10.140 --> 00:18:10.140]   I'm going to be the president of the United States,
[00:18:10.140 --> 00:18:10.140]   I'm going to be the president of the United States,
[00:18:10.140 --> 00:18:10.140]   I'm going to be the president of the United States,
[00:18:10.140 --> 00:18:10.140]   I'm going to be the president of the United States,
[00:18:10.140 --> 00:18:10.140]   I'm going to be the president of the United States,
[00:18:10.140 --> 00:18:10.140]   I'm going to be the president of the United States,
[00:18:10.140 --> 00:18:10.140]   I'm going to be the president of the United States,
[00:18:10.140 --> 00:18:10.140]   I'm going to be the president of the United States,
[00:18:10.140 --> 00:18:10.140]   I'm going to be the president of the United States,
[00:18:10.140 --> 00:18:10.140]   I'm going to be the president of the United States,
[00:18:10.140 --> 00:18:10.140]   I'm going to be the president of the United States,
[00:18:10.140 --> 00:18:10.140]   I'm going to be the president of the United States,
[00:18:10.140 --> 00:18:10.140]   I'm going to be the president of the United States,
[00:18:10.140 --> 00:18:10.140]   I'm going to be the president of the United States,
[00:18:10.140 --> 00:18:40.160]   I'm going to be the president of the United States,
[00:18:40.160 --> 00:18:40.160]   I'm going to be the president of the United States,
[00:18:40.160 --> 00:18:40.160]   I'm going to be the president of the United States,
[00:18:40.160 --> 00:18:40.160]   I'm going to be the president of the United States,
[00:18:40.160 --> 00:18:40.160]   I'm going to be the president of the United States,
[00:18:40.160 --> 00:18:40.160]   I'm going to be the president of the United States,
[00:18:40.160 --> 00:18:40.160]   I'm going to be the president of the United States,
[00:18:40.160 --> 00:18:40.160]   I'm going to be the president of the United States,
[00:18:40.160 --> 00:18:40.160]   I'm going to be the president of the United States,
[00:18:40.180 --> 00:19:10.180]   I'm going to be the president of the United States,
[00:19:10.180 --> 00:19:10.180]   I'm going to be the president of the United States,
[00:19:10.180 --> 00:19:10.180]   I'm going to be the president of the United States,
[00:19:10.180 --> 00:19:10.180]   I'm going to be the president of the United States,
[00:19:10.180 --> 00:19:10.180]   I'm going to be the president of the United States,
[00:19:10.180 --> 00:19:10.180]   I'm going to be the president of the United States,
[00:19:10.180 --> 00:19:10.180]   I'm going to be the president of the United States,
[00:19:10.180 --> 00:19:10.180]   I'm going to be the president of the United States,
[00:19:10.180 --> 00:19:10.180]   I'm going to be the president of the United States,
[00:19:10.180 --> 00:19:10.180]   I'm going to be the president of the United States,
[00:19:10.180 --> 00:19:10.180]   I'm going to be the president of the United States,
[00:19:10.180 --> 00:19:10.180]   I'm going to be the president of the United States,
[00:19:10.180 --> 00:19:10.180]   I'm going to be the president of the United States,
[00:19:10.180 --> 00:19:10.180]   I'm going to be the president of the United States,
[00:19:10.180 --> 00:19:10.180]   I'm going to be the president of the United States,
[00:19:10.180 --> 00:19:40.200]   I'm going to be the president of the United States,
[00:19:40.200 --> 00:19:40.200]   I'm going to be the president of the United States,
[00:19:40.200 --> 00:19:40.200]   I'm going to be the president of the United States,
[00:19:40.200 --> 00:19:40.200]   I'm going to be the president of the United States,
[00:19:40.200 --> 00:19:40.200]   I'm going to be the president of the United States,
[00:19:40.200 --> 00:19:40.200]   I'm going to be the president of the United States,
[00:19:40.200 --> 00:19:40.200]   I'm going to be the president of the United States,
[00:19:40.200 --> 00:19:40.200]   I'm going to be the president of the United States,
[00:19:40.200 --> 00:19:40.200]   I'm going to be the president of the United States,
[00:19:40.200 --> 00:19:40.200]   I'm going to be the president of the United States,
[00:19:40.200 --> 00:19:40.200]   I'm going to be the president of the United States,
[00:19:40.200 --> 00:19:40.200]   I'm going to be the president of the United States,
[00:19:40.220 --> 00:20:10.220]   I'm going to be the president of the United States,
