
[00:00:00.000 --> 00:00:10.000]   [SOUND]
[00:00:10.000 --> 00:00:20.380]   Welcome back, Portfolio Rescue.
[00:00:20.380 --> 00:00:24.420]   We're on a little later today because Duncan is basically running a TV studio
[00:00:24.420 --> 00:00:26.220]   at our New York headquarters today.
[00:00:26.220 --> 00:00:29.180]   He's been a busy man, so we're here.
[00:00:29.180 --> 00:00:33.320]   Remember, if you have a question for us, askthecompoundshow@gmail.com.
[00:00:33.320 --> 00:00:36.360]   Last week, I mentioned a book by a quote by a guy named Myer Stattman,
[00:00:36.360 --> 00:00:38.160]   who is a behavior psychologist.
[00:00:38.160 --> 00:00:40.240]   And I mentioned his book, and a bunch of people asked.
[00:00:40.240 --> 00:00:43.240]   It's called What Investors Really Want, really highly underrated.
[00:00:43.240 --> 00:00:46.360]   And I kind of forgot about it until I mentioned it last week.
[00:00:46.360 --> 00:00:49.240]   And I went through, he's got a ton of these little anecdotes that I've
[00:00:49.240 --> 00:00:52.400]   never really heard on other books before.
[00:00:52.400 --> 00:00:53.080]   So I wanted to go on.
[00:00:53.080 --> 00:00:55.580]   He found this book called Watch Your Margin.
[00:00:55.580 --> 00:00:59.680]   An Insider Look at Wall Street in 1930 from an anonymous trader,
[00:00:59.680 --> 00:01:02.360]   which is great, perfect title for today.
[00:01:02.360 --> 00:01:05.520]   But in the book, he gave a back and forth between two guys.
[00:01:05.520 --> 00:01:08.680]   And one of the guys said, why do people speculate in stocks?
[00:01:08.680 --> 00:01:10.520]   And the other guy said, well, of course, to make money.
[00:01:10.520 --> 00:01:11.920]   And he said, no, no, not at all.
[00:01:11.920 --> 00:01:13.760]   They do it because they want a thrill.
[00:01:13.760 --> 00:01:15.520]   That is why we drink bootleg whiskey.
[00:01:15.520 --> 00:01:16.720]   This was written in Prohibition.
[00:01:16.720 --> 00:01:18.400]   Kiss girls and take new jobs.
[00:01:18.400 --> 00:01:19.000]   We want thrills.
[00:01:19.000 --> 00:01:20.200]   It's perfectly human.
[00:01:20.200 --> 00:01:22.240]   But Wall Street is a poor place to look for thrills for
[00:01:22.240 --> 00:01:24.700]   the simple reason that thrills in Wall Street are very expensive.
[00:01:24.700 --> 00:01:29.340]   Kind of funny how that's sort of, it's as old as the hill,
[00:01:29.340 --> 00:01:30.900]   Sunken, as they say, speculation, right?
[00:01:30.900 --> 00:01:32.140]   >> Yeah, no, I mean, yeah.
[00:01:32.140 --> 00:01:34.660]   That's quite a throwback to bring up Prohibition, yeah.
[00:01:34.660 --> 00:01:36.020]   >> All right, yeah, what investors really want.
[00:01:36.020 --> 00:01:36.780]   That's a good one.
[00:01:36.780 --> 00:01:38.380]   All right, first question.
[00:01:38.380 --> 00:01:42.300]   >> Okay, first today we have one that people might recognize from what are your
[00:01:42.300 --> 00:01:44.580]   thoughts, but we're gonna dig a little deeper into it today.
[00:01:44.580 --> 00:01:46.940]   So there's still lots here.
[00:01:46.940 --> 00:01:47.900]   I have a question for
[00:01:47.900 --> 00:01:50.940]   all the people who have had respectable gains in cryptocurrencies.
[00:01:50.940 --> 00:01:54.800]   I got into crypto during the COVID crash and I've had some great gains.
[00:01:54.800 --> 00:01:59.080]   Some of my trades were Bitcoin at 8,500 and Ethereum at 1,300.
[00:01:59.080 --> 00:02:02.220]   However, I started with a 10% allocation to cryptocurrencies,
[00:02:02.220 --> 00:02:04.720]   which grew to 20%, and I didn't change it.
[00:02:04.720 --> 00:02:07.560]   Then it went from 20 to 30, and I trimmed it to 20.
[00:02:07.560 --> 00:02:08.560]   And long story short,
[00:02:08.560 --> 00:02:12.200]   it just keeps taking on a larger and larger portion of their portfolio.
[00:02:12.200 --> 00:02:16.240]   So they wanna know, should they stick to their plan and trim back their allocation,
[00:02:16.240 --> 00:02:19.880]   or let their winners run and only allocate into stocks and bonds from here on out?
[00:02:20.880 --> 00:02:24.080]   >> Yeah, this was a question that we received, obviously, towards the peak.
[00:02:24.080 --> 00:02:26.840]   So that 50% is probably, I don't know, 30% now,
[00:02:26.840 --> 00:02:29.120]   depending on what else they're investing in.
[00:02:29.120 --> 00:02:31.840]   Obviously, this stuff is much easier to do when stuff is going to the moon.
[00:02:31.840 --> 00:02:34.560]   Now, Bitcoin and Ethereum, I think, are both down 45%.
[00:02:34.560 --> 00:02:36.440]   Solana is 60% off its highs.
[00:02:36.440 --> 00:02:40.080]   So this is the idea of, do I bank on mean reversion, or
[00:02:40.080 --> 00:02:41.760]   do I just let my winners ride?
[00:02:41.760 --> 00:02:45.600]   So I wanna give a little story from my first book about rebalancing.
[00:02:45.600 --> 00:02:49.040]   And it was a study of a prison in the Midwest,
[00:02:49.040 --> 00:02:51.200]   because I like these flyover states, Duncan.
[00:02:51.200 --> 00:02:54.600]   And this prison guard was noticing that all the inmates who were there for
[00:02:54.600 --> 00:02:59.200]   like six months or less were gaining an average of like 20 to 25 pounds in prison.
[00:02:59.200 --> 00:03:00.680]   And the guy said, this doesn't make any sense.
[00:03:00.680 --> 00:03:02.240]   Why would people gain weight in prison?
[00:03:02.240 --> 00:03:05.680]   They have the exercise yard, you can't get access to a ton of food.
[00:03:05.680 --> 00:03:09.040]   You kinda eat a little bit, but what is it?
[00:03:09.040 --> 00:03:12.760]   And they figured out the problem was the orange jumpsuits they wear,
[00:03:12.760 --> 00:03:15.800]   cuz they're really baggy, they don't have a belt.
[00:03:15.800 --> 00:03:18.160]   And it's not like they're wearing a pair of jeans where they put it on,
[00:03:18.160 --> 00:03:19.600]   everybody can feel it getting tighter.
[00:03:19.600 --> 00:03:23.320]   So the reason that they were doing it is cuz they're incrementally gaining weight.
[00:03:23.320 --> 00:03:26.280]   And they couldn't figure out that they were gaining weight because they had so
[00:03:26.280 --> 00:03:26.840]   much extra room.
[00:03:26.840 --> 00:03:28.240]   They had no benchmark or
[00:03:28.240 --> 00:03:31.480]   anything to really let them know that, you're gaining weight.
[00:03:31.480 --> 00:03:32.880]   And they said, so without these clothes,
