
[00:00:00.000 --> 00:00:01.000]   All right.
[00:00:01.000 --> 00:00:02.000]   Welcome, everybody.
[00:00:02.000 --> 00:00:07.000]   Welcome to this week's edition of paper reading group at Weights and Biases.
[00:00:07.000 --> 00:00:10.000]   And today we're going to be looking at the Kite paper.
[00:00:10.000 --> 00:00:14.000]   It's basically a transformer that came after the vision transformer.
[00:00:14.000 --> 00:00:21.000]   So there's been some progress around the vision transformer ever since the vision transformer was released in October 2020.
[00:00:21.000 --> 00:00:27.000]   New papers have come out and the ones that are very relevant to our paper reading group today are the Kite,
[00:00:27.000 --> 00:00:31.000]   which is the going deeper with image transformers. And there's another paper.
[00:00:31.000 --> 00:00:39.000]   So hopefully, can everybody see my screen? OK.
[00:00:39.000 --> 00:00:45.000]   Can everybody see my screen? OK. Yes. Perfect.
[00:00:45.000 --> 00:00:52.000]   So then one second, I just need to stop that.
[00:00:52.000 --> 00:00:57.000]   So we're looking at the Kite paper today and the Kite paper.
[00:00:57.000 --> 00:01:02.000]   So the ones that have been extremely relevant that we're going to discuss today,
[00:01:02.000 --> 00:01:08.000]   this is the one paper that we're going to discuss. But then there's also been the training data efficient image transformers,
[00:01:08.000 --> 00:01:14.000]   also referred to as Kite. And you'll see it's by the same author, similar authors from Facebook.
[00:01:14.000 --> 00:01:21.000]   You've got Hugo de Bruin and the others. And they've been making really good progress in terms of vision and transformer.
[00:01:21.000 --> 00:01:24.000]   So that's the one that's the paper we're going to be looking at today.
[00:01:24.000 --> 00:01:29.000]   And something we're going to do a little bit differently is as we go through this paper,
[00:01:29.000 --> 00:01:35.000]   I'm also going to showcase how things are built in code and we're going to refer things from the team library.
[00:01:35.000 --> 00:01:41.000]   So team is by Ross Whitman. It's PyTorch image models.
[00:01:41.000 --> 00:01:48.000]   Sorry, not the docs. One second.
[00:01:48.000 --> 00:01:54.000]   So it's the PyTorch image models and this PyTorch image models has got pretty much a long list of pre-trained models
[00:01:54.000 --> 00:02:00.000]   and everything that you see in terms of state of art that's available in PyTorch image models.
[00:02:00.000 --> 00:02:05.000]   So we're going to be referencing code towards the end or as we keep going through and through towards the paper,
[00:02:05.000 --> 00:02:11.000]   we're going to be referencing code from this repo. And that has already implemented the Kite paper.
[00:02:11.000 --> 00:02:16.000]   So with that being said, let's get started. One last thing, sorry, is that if you go to one,
[00:02:16.000 --> 00:02:23.000]   I think if you have been part of our paper reading groups before, if you go to 1db.me/guide,
[00:02:23.000 --> 00:02:30.000]   that's that will take you to a report. And this is where we're going to be asking questions or interacting with each other as comments.
[00:02:30.000 --> 00:02:35.000]   Yes. If I go, I say write a comment and I just type a comment and post a comment.
[00:02:35.000 --> 00:02:39.000]   The only reason for that is because we're also live on YouTube.
[00:02:39.000 --> 00:02:42.000]   So it just makes sense for me to have everything in one place.
[00:02:42.000 --> 00:02:46.000]   And then this is where we can have all our discussions and pretty much everything.
[00:02:46.000 --> 00:02:51.000]   And it's there for a longer time. So if anybody's looking at this video in six months from now,
[00:02:51.000 --> 00:02:56.000]   then they know where to look at the comments. So that's that.
[00:02:56.000 --> 00:03:01.000]   So let's get started then. What's the what's the main thing about the Kite paper?
[00:03:01.000 --> 00:03:06.000]   So the Kite paper, we've already looked at the vision transformer. So what is the vision transformer?
[00:03:06.000 --> 00:03:11.000]   That's the vision transformer that we have already looked at before.
[00:03:11.000 --> 00:03:17.000]   And the one thing that was found with this vision transformer is if you go deeper and deeper,
[00:03:17.000 --> 00:03:21.000]   if you have more number of layers in the transformer encoder, which is basically this.
[00:03:21.000 --> 00:03:26.000]   So this vision transformer has an input image. You break it into patches.
[00:03:26.000 --> 00:03:31.000]   Then you linearly project those patches, add a class embedding layer over here.
[00:03:31.000 --> 00:03:37.000]   And then you have multiple transformer encoder layers until you finally have an MLP head and then you classify.
[00:03:37.000 --> 00:03:44.000]   So one thing that was noticed as part of the vision transformer is if you go deeper and deeper or you have more number of layers,
[00:03:44.000 --> 00:03:50.000]   then training sort of becomes a little bit unstable. When I say a little bit unstable,
[00:03:50.000 --> 00:03:55.000]   that's that's we will look at what exactly that means as part of the paper today.
[00:03:55.000 --> 00:04:01.000]   But that was one of the main findings is like it's really hard to train deeper vision transformers.
[00:04:01.000 --> 00:04:06.000]   And the same thing kind of was noticed with the Kite paper. So these are the two papers that are very relevant to today.
[00:04:06.000 --> 00:04:12.000]   So when I say Kite, I'm referring to the training data efficient image transformers paper.
[00:04:12.000 --> 00:04:15.000]   And the main difference, I'm just providing context for now.
[00:04:15.000 --> 00:04:21.000]   The main difference in the Kite paper and the vision transformer paper is this distillation token.
[00:04:21.000 --> 00:04:27.000]   So what was different in the Kite paper is they added this distillation token over here.
[00:04:27.000 --> 00:04:51.000]   So let me try and explain things in one note.
[00:04:51.000 --> 00:04:57.000]   So what happened in the Kite paper is they took basically an L teacher. So what does this L teacher do?
[00:04:57.000 --> 00:05:02.000]   So you have basically you have like a very big, say, convolutional neural network.
[00:05:02.000 --> 00:05:11.000]   So you have a massive CNN. Say you have a large efficient net B7 or you have really big CNN that,
[00:05:11.000 --> 00:05:15.000]   you know, has a really good performance on the image net.
[00:05:15.000 --> 00:05:20.000]   So what you do is you take this efficient at B7. You have your image net data set.
[00:05:20.000 --> 00:05:29.000]   So this I'm just going to call it IM. But this is my image net data set of 1.1 million or say around that number.
[00:05:29.000 --> 00:05:34.000]   I think it's 1.4 million. But anyway, around the 1 million mark, that's how many images you have.
[00:05:34.000 --> 00:05:38.000]   So what you have is for these 1.4 million, you also have the 1.4 million labels.
[00:05:38.000 --> 00:05:47.000]   So if I go have a look at the labels, that's my 1.4 million labels for each of the image in image net.
[00:05:47.000 --> 00:05:56.000]   And then what the what this paper did in in diet is like they took this CNN and they made predictions on this 1.4 million images.
[00:05:56.000 --> 00:06:01.000]   So you have something which is again 1.4 million. But this time, these are the predictions.
[00:06:01.000 --> 00:06:07.000]   I'm just going to call it Pred. But these are the predictions from the CNN. So this becomes your teacher.
[00:06:07.000 --> 00:06:11.000]   So I'm just providing context in what exactly was going on in the diet paper.
[00:06:11.000 --> 00:06:22.000]   So what happens is, as we know from wit, you have your patch tokens over here and then you add your class token, which which is what's predicting on the label.
[00:06:22.000 --> 00:06:29.000]   So you have towards the end, you have like a cross entropy loss between your class token or the predictions from the class token.
[00:06:29.000 --> 00:06:37.000]   And then you you're trying to compare it with the labels. But what was different in the diet paper is you also have this another cross entropy loss.
[00:06:37.000 --> 00:06:42.000]   But this time you're trying to minimize the difference between the predictions from this distillation token.
[00:06:42.000 --> 00:06:48.000]   So they added two tokens instead of one. So in Vision Transformer, you only have the class token.
[00:06:48.000 --> 00:06:57.000]   But in diet, they also added this distillation token, which is the teacher trying to teach the student model, in which case the student is the wit.
[00:06:57.000 --> 00:07:03.000]   And then what they do is they're trying to minimize the difference in the loss in this L teacher.
[00:07:03.000 --> 00:07:12.000]   And they're trying to minimize the difference on both of these. So you're trying to minimize the labels and you're trying to minimize the loss on the predictions from the teacher model.
[00:07:12.000 --> 00:07:25.000]   So that was what was different in the diet paper. So in basically when we have a look at wit, which is here, you see how we only have the one token, which is the class token.
[00:07:25.000 --> 00:07:31.000]   So we only have the class token. But in diet, you have two tokens, which is this class token here and then this distillation token.
[00:07:31.000 --> 00:07:38.000]   So that's the main difference between the two. If there's any questions so far, I'll just go to that paper reading group.
