
[00:00:00.000 --> 00:00:12.000]   Hi, I'm Cal Newport. I want to give you a short summary of my 2019 book, Digital Minimalism.
[00:00:12.000 --> 00:00:17.000]   So I'll start with the inspiration for writing this book.
[00:00:17.000 --> 00:00:29.000]   I had begun to notice around 2016-2017 that people were becoming increasingly uneasy about their relationship with their phones.
[00:00:29.000 --> 00:00:43.000]   The real issue they were having was how much time they were spending looking at these stupid things and how it was making them feel after they came out of those sessions.
[00:00:43.000 --> 00:00:50.000]   So people were getting uneasy about this. They were spending too much time. They didn't like how the phone was making them feel.
[00:00:50.000 --> 00:01:03.000]   So right around 2016-2017, people began trying to actually solve this problem. And there's two real responses that people have tried since then, both of which I'm going to argue are not enough.
[00:01:03.000 --> 00:01:14.000]   The first thing people tried was to detox. We heard this term used all the time when it came to digital lifestyle.
[00:01:14.000 --> 00:01:21.000]   This idea that I'm looking at this too much, so what I need to do is just get away from this. I just need to white knuckle.
[00:01:21.000 --> 00:01:26.000]   No more Instagram. No more TikTok. No more Twitter. No more phone. Let's just not read that phone.
[00:01:26.000 --> 00:01:32.000]   And they would see it over there, and they would just try to prevent themselves, clench up and prevent themselves from grabbing the phone.
[00:01:32.000 --> 00:01:38.000]   And you know what? It rarely worked. Because it would still be sitting there. There'd be something they'd want to see.
[00:01:38.000 --> 00:01:45.000]   So why don't I just check it one more time? And they look a little bit, and then a lot more, and then the phone is back into their life.
[00:01:45.000 --> 00:01:59.000]   The other response to this increasing uneasiness about our technology use was the delusion that we could fix it by fixing the programs, by fixing the apps, by fixing the phones.
[00:01:59.000 --> 00:02:03.000]   That yes, I'm using this too much. It's making me unhappy, but we can correct this issue.
[00:02:03.000 --> 00:02:10.000]   If we just had slightly better content moderation on Twitter, if we kept the wrong people from saying the wrong things,
[00:02:10.000 --> 00:02:17.000]   it would go back to being something that doesn't make me feel incredibly stressed out and emotionally nervous and innervated by just looking at it.
[00:02:17.000 --> 00:02:24.000]   If we just got the rules just right, if I just had the right app on my phone that showed me a tree every time I turned it on,
[00:02:24.000 --> 00:02:30.000]   and I could see the tree get bigger if I waited more time, then I would change my habits, and I would stop using the phone so much.
[00:02:30.000 --> 00:02:36.000]   We had this delusion response that yes, this phone is causing trouble, but we can fix it.
[00:02:36.000 --> 00:02:41.000]   The tech is just a little bit flawed, so with a couple more tweaks, this will work.
[00:02:41.000 --> 00:02:45.000]   Obviously, this response did not solve our uneasiness as well.
[00:02:45.000 --> 00:02:53.000]   We've tried everything for years, and we still keep coming back to the phones. The phone still makes us unhappy.
[00:02:53.000 --> 00:02:56.000]   So what's going on? Why did those responses not work?
[00:02:56.000 --> 00:03:04.000]   One of the big arguments I make in my book is that they are too well engineered to capture our attention.
[00:03:04.000 --> 00:03:11.000]   This has become more well known in recent years, especially with documentaries like The Social Dilemma.
[00:03:11.000 --> 00:03:14.000]   But back when I was writing this book, this was less well known.
[00:03:14.000 --> 00:03:25.000]   The amount of energy and money that was invested in trying to make it nearly impossibly compelling to stare down at this little glowing piece of glass.
[00:03:25.000 --> 00:03:32.000]   Part of this had to do with the interface design itself, the colors that were used in the notification and alert badges,
[00:03:32.000 --> 00:03:38.000]   the satisfying feel of an infinite scroll, or a slot machine style refresh.
[00:03:38.000 --> 00:03:42.000]   Is there a new tweet? Is there a new post I can look at?
[00:03:42.000 --> 00:03:52.000]   Then there was the whole algorithmic backbone to these services, where us as the users were reduced to these vectors of numbers
[00:03:52.000 --> 00:03:59.000]   that could be processed by complex algorithms and neural networks to figure out exactly what to show us
[00:03:59.000 --> 00:04:03.000]   that would make us scroll one more time or click one more time.
[00:04:03.000 --> 00:04:08.000]   It was an arms race against an incredibly well-funded enemy.
[00:04:08.000 --> 00:04:12.000]   And of course, we were going to lose. And that seems to be what happens.
[00:04:12.000 --> 00:04:18.000]   The other issue that kept us coming back to the phone, why the detoxes didn't work, why we couldn't just tweak our technology out of it.
[00:04:18.000 --> 00:04:27.000]   And this is something a lot of people weren't admitting about themselves, is that this phone was actually servicing a psychological need for them.
[00:04:27.000 --> 00:04:34.000]   It was filling in the existential void they did not want to stare into.
[00:04:34.000 --> 00:04:38.000]   There was things in their life that they were unhappy about, things they did not want to acknowledge,
[00:04:38.000 --> 00:04:42.000]   things where they had regret or where they had shame or where they had anxiety.
[00:04:42.000 --> 00:04:50.000]   And you know what? The algorithmically enhanced pacification offered through these appealing, colorful, lit pieces of glass
[00:04:50.000 --> 00:04:53.000]   could distract you for just a little bit.
[00:04:53.000 --> 00:04:59.000]   And to take that out of your life, to take that out of your life cold turkey when you try a detox week or a detox weekend,
[00:04:59.000 --> 00:05:03.000]   where you add that app on your phone that's going to encourage you not to use it, was a terrifying ordeal.
[00:05:03.000 --> 00:05:11.000]   Because it was serving a purpose. It was pacifying us. It was keeping us from having to actually confront the existential void.
[00:05:11.000 --> 00:05:16.000]   So we continued looking at our phones. We continued being uneasy about how much time we were spending.
[00:05:16.000 --> 00:05:21.000]   We continued feeling bad as we came out of the experiences.
[00:05:21.000 --> 00:05:24.000]   One too many yelling matches on Twitter.
[00:05:24.000 --> 00:05:30.000]   One too many senses of inferiority after seeing a well curated life on Instagram.
[00:05:30.000 --> 00:05:33.000]   So what is the solution then?
[00:05:33.000 --> 00:05:39.000]   Well, in my book I said, you need a philosophy of technology use.
[00:05:39.000 --> 00:05:47.000]   A philosophy that makes sense of how you use technology as part of a larger, well-developed theory of a life well lived.
[00:05:47.000 --> 00:05:54.000]   And the philosophy I preached to accomplish this goal I called digital minimalism.
[00:05:54.000 --> 00:06:00.000]   Now the idea behind digital minimalism is straightforward, but it is often misunderstood.
[00:06:00.000 --> 00:06:03.000]   So let me start by saying what digital minimalism is not.
[00:06:03.000 --> 00:06:07.000]   It is not minimization. That is a different word.
[00:06:07.000 --> 00:06:12.000]   A lot of people see this title and say, oh, what Cal is preaching is less is better.
