
[00:00:00.040 --> 00:00:09.360]   additionally
[00:00:09.360 --> 00:00:10.260]   con like,,,,
[00:00:10.260 --> 00:00:11.260]   eatingiman
[00:00:11.260 --> 00:00:27.580]   dance that is a guy who is a guy, you, you see your, you, you, you, Vocês, Him, hide. He,field, Lot,Net,第二個錢,
[00:00:27.580 --> 00:00:29.900]   marrow " mains Ben the
[00:00:30.000 --> 00:00:30.720]   part-time
[00:00:30.720 --> 00:00:53.240]   concert with his brother and has a man with a knife sticking out of his head and they step into the pool of blood and it's sticky on their soul. This causes, you know, scars that last the rest of your life. And the question is not how do you avoid getting scarred? It's, you know, how do you deal with it?
[00:00:53.240 --> 00:00:59.880]   The following is a conversation with Walter Isaacson, one of the
[00:00:59.880 --> 00:00:59.960]   The following is a conversation with Walter Isaacson, one of the
[00:00:59.960 --> 00:00:59.960]   The following is a conversation with Walter Isaacson, one of the
[00:00:59.960 --> 00:00:59.960]   The following is a conversation with Walter Isaacson, one of the
[00:00:59.960 --> 00:00:59.960]   The following is a conversation with Walter Isaacson, one of the
[00:00:59.960 --> 00:00:59.960]   The following is a conversation with Walter Isaacson, one of the guys
[00:00:59.960 --> 00:00:59.960]   The following is a conversation with Walter Isaacson, one of the guys
[00:01:00.940 --> 00:01:29.940]   the following is a conversation with Walter Isaacson, one of the guys who
[00:01:30.040 --> 00:01:59.940]  ,
[00:01:59.940 --> 00:01:59.960]   the following is a conversation with Walter Isaacson, one of the guys who
[00:01:59.960 --> 00:01:59.980]   The following is a conversation with Walter Isaacson, one of the guys who is a
[00:02:00.000 --> 00:02:29.960]   The following is a conversation with Walter Isaacson, one of the guys who is a
[00:02:29.960 --> 00:02:29.960]   The following is a conversation with Walter Isaacson, one of the guys who is a
[00:02:29.960 --> 00:02:29.960]   The following is a conversation with Walter Isaacson, one of the guys who is a
[00:02:29.960 --> 00:02:29.960]   The following is a conversation with Walter Isaacson, one of the guys who is a
[00:02:29.960 --> 00:02:29.960]   The following is a conversation with Walter Isaacson, one of the guys who is a
[00:02:29.960 --> 00:02:29.960]   The following is a conversation with Walter Isaacson, one of the guys who is a
[00:02:29.960 --> 00:02:29.960]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:02:29.960 --> 00:02:29.960]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:02:29.960 --> 00:02:59.980]  , the following is a conversation with Walter Isaacson, one of the guys who is a man
[00:02:59.980 --> 00:02:59.980]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:02:59.980 --> 00:02:59.980]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:02:59.980 --> 00:02:59.980]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:02:59.980 --> 00:02:59.980]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:02:59.980 --> 00:02:59.980]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:03:00.000 --> 00:03:30.000]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:03:30.000 --> 00:03:30.000]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:03:30.000 --> 00:03:30.000]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:03:30.000 --> 00:03:30.000]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:03:30.000 --> 00:03:30.000]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:03:30.000 --> 00:03:30.000]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:03:30.000 --> 00:03:30.000]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:03:30.000 --> 00:03:30.000]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:03:30.000 --> 00:03:30.000]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:03:30.000 --> 00:03:30.000]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:03:30.020 --> 00:04:00.020]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:04:00.020 --> 00:04:00.020]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:04:00.020 --> 00:04:00.020]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:04:00.020 --> 00:04:00.020]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:04:00.020 --> 00:04:00.020]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:04:00.020 --> 00:04:00.020]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:04:00.020 --> 00:04:00.020]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:04:00.020 --> 00:04:00.020]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:04:00.020 --> 00:04:00.020]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:04:00.040 --> 00:04:30.040]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:04:30.040 --> 00:04:30.040]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:04:30.040 --> 00:04:30.040]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:04:30.040 --> 00:04:30.040]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:04:30.040 --> 00:04:30.040]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:04:30.040 --> 00:04:30.040]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:04:30.040 --> 00:04:30.040]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:04:30.040 --> 00:04:30.040]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:04:30.040 --> 00:05:00.060]   the following is a conversation with Walter Isaacson, one of the guys who is a man
