
[00:00:00.000 --> 00:00:22.220]   Hey everyone. So, yeah, I'm Koppel, the CEO and co-founder of Superbase. Also, thank you for
[00:00:22.220 --> 00:00:27.600]   having me, especially to Swix and Ben. When Swix asks you to come to a conference, you don't say
[00:00:27.600 --> 00:00:33.880]   yes, you say definitely, and this is the first time we've ever sponsored a conference at
[00:00:33.880 --> 00:00:41.600]   all, so it's good to be here. So, first of all, very apt that apparently this section
[00:00:41.600 --> 00:00:47.460]   of talks is scaled to millions in a weekend. It's very apt because it's actually our tagline.
[00:00:47.460 --> 00:00:55.780]   So, what is Superbase? We are a backend as a service. What does that mean? We give you
[00:00:55.780 --> 00:01:02.560]   a full Postgres database. Every time you launch a database, a project within Superbase, you
[00:01:02.560 --> 00:01:10.560]   get the database. And we also provide you with authentication. All of the users when you use
[00:01:10.560 --> 00:01:17.200]   our auth service are also stored inside that database. We give you edge functions for compute.
[00:01:17.200 --> 00:01:21.900]   These are powered by Deno. You can also trigger them from the database. So, hopefully you see
[00:01:21.900 --> 00:01:27.960]   where this is going. We give you large file storage. These do not get stored in your database, but
[00:01:27.960 --> 00:01:33.080]   the directory structure does get stored in your database. So, you can write access rooms, things
[00:01:33.080 --> 00:01:40.960]   like that. We have a real-time system. This is actually the genesis of Superbase. I won't
[00:01:40.960 --> 00:01:46.000]   talk about it in here, but you can use this to listen to changes coming out of your database,
[00:01:46.000 --> 00:01:51.420]   your Postgres database. You can also use it to build live, like, cursor movements, things
[00:01:51.420 --> 00:01:57.540]   like this. And then, most importantly for this talk, we have a vector offering. This is for
[00:01:57.540 --> 00:02:04.460]   storing embeddings. This is powered by PG vector. And that's the topic of this talk. I want to
[00:02:04.460 --> 00:02:11.940]   sort of make the case for PG vector. So, first of all, I wanted to show -- and, yeah, finally,
[00:02:11.940 --> 00:02:18.080]   we're open source. So, we've been operating since 2020. Everything we do is MIT licensed, Apache
[00:02:18.080 --> 00:02:24.800]   2 or Postgres. We try to support existing communities wherever we can, and we try to coexist with them.
[00:02:24.800 --> 00:02:32.640]   And that's largely why we support PG vector. It is an existing tool. We contribute to it. So, I wanted
[00:02:32.640 --> 00:02:38.060]   to show a little bit about how the sausage is made in an open source company. And for
[00:02:38.060 --> 00:02:45.760]   PG vector, this started with just an email from Greg. He said, I'm sending this email to see what
[00:02:45.760 --> 00:02:51.560]   it would take for your team to accept a Postgres extension called PG vector. It's a simple yet
[00:02:51.560 --> 00:02:58.300]   powerful extension to support vector operations. I've already done the work. You can find my pull
[00:02:58.300 --> 00:03:05.720]   request on GitHub. So, I jumped on a call with Greg. And afterwards, I sent him an email the next day.
[00:03:05.720 --> 00:03:13.480]   Hey, Greg, the extension is merged. So, it should be landing in prod this week. By the way, our docs search is
[00:03:13.480 --> 00:03:21.420]   currently a bit broken. Is this something you'd be interested in helping with? Then, fast forward two weeks, and we released
[00:03:21.420 --> 00:03:31.840]   Clippy. Which is, of course, a throwback to Microsoft Clippy, the OG AI assistant. I think we were the first
[00:03:31.840 --> 00:03:36.680]   to do this within docs. We certainly didn't know of anyone else doing this as a docs search interface.
[00:03:36.680 --> 00:03:43.100]   So, we built an example, a template around it where you can do this within your own docs. And others followed suit.
[00:03:43.100 --> 00:03:51.700]   Notably, Mozilla released this for MDN, one of the most popular dev docs on the internet. Along with many other
[00:03:51.700 --> 00:04:00.100]   AI applications. So, this is a chart of all the new databases being launched on superbase.com, our platform.
[00:04:00.100 --> 00:04:08.020]   It doesn't include the open source databases. So, you can see where PG vector was added. It is one of the
[00:04:08.020 --> 00:04:15.380]   tailwinds that accelerated the growth of new databases on our platform. And since then, we've kind of become
[00:04:15.380 --> 00:04:22.340]   part of the AI stack for a lot of builders, especially. We work very well with Vercel, Netlify, the Jamstack
[00:04:22.340 --> 00:04:30.980]   crowd. And now we're launching around 12,000 databases a week. And so, this around maybe 10 to 15 percent of
[00:04:30.980 --> 00:04:36.740]   them are using PG vector in one way or another. So, thousands of AI applications being launched every
[00:04:36.740 --> 00:04:43.940]   week. Also, some of these apps kind of fit that tagline build in a weekend scale to millions. We've
[00:04:43.940 --> 00:04:49.860]   literally had apps. We had one that scaled to a million users in 10 days. I know they built it in three
[00:04:49.860 --> 00:04:59.460]   days. So, a lot of really bizarre things that we've seen since PG vector was launched. Also, the app you're
[00:04:59.460 --> 00:05:05.220]   using today, if you're using it, is powered by superbase. So, thank you, Simon, for using that inside
[00:05:05.220 --> 00:05:12.740]   the application. And then finally, just to wrap up that story arc, Greg, who emailed us at the start of
[00:05:12.740 --> 00:05:19.700]   the year, now works at Superbase. If you attended the workshop yesterday, he actually was the one
[00:05:19.700 --> 00:05:20.340]   leading that.
[00:05:20.340 --> 00:05:23.780]   Nice. Thanks, Greg.
