
[00:00:00.040 --> 00:00:09.480]   ち
[00:00:09.480 --> 00:00:10.840]   que came,,,
[00:00:10.840 --> 00:00:13.320]   present there ir
[00:00:13.320 --> 00:00:26.420]  assen Many He H Or Not Red on 1939in, to serve my. I, I, I, I, I, I, I, I, w, of, de, voyez, property.urez. porte. .. .. way. :. .. is a .. .. ,. ., Ang. cor .. meaning . Ce機. , Gray - show the -
[00:00:26.420 --> 00:00:27.840]   thank uh.иваем a
[00:00:27.840 --> 00:00:28.580]   scap
[00:00:28.680 --> 00:00:42.320]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in ten years or less.
[00:00:42.320 --> 00:00:52.700]   My name is Joshua. I am your host, and today we continue with part two of my series, "You Don't Have to Be Smart to Become Financially Independent, But You Can't Be Stupid."
[00:00:52.700 --> 00:00:55.200]   And today we talk about expenses.
[00:00:55.200 --> 00:00:57.320]   This series is organized around my framework for wealth.
[00:00:57.320 --> 00:01:27.360]  , part one was increase income.
[00:01:27.400 --> 00:01:57.400]  , part two was increase income.
[00:01:57.440 --> 00:02:26.300]   build
[00:02:26.360 --> 00:02:34.560]   Most of the time, people who are earning a common man wage don't actually have that much in income taxes.
[00:02:34.560 --> 00:02:41.120]   So you can just move right on past that category for right now and focus on something else.
[00:02:41.120 --> 00:02:46.980]   Now, if you are a six-figure or multi-six-figure earner, then yes, you need to pay more attention to tax planning.
[00:02:46.980 --> 00:02:52.980]   But the average tax liability on somebody earning $50,000, $80,000 is very reasonable.
[00:02:52.980 --> 00:02:56.120]   Now, if you didn't like my suggestion of,
[00:02:56.160 --> 00:03:06.340]   sheet
[00:03:06.340 --> 00:03:06.420]   in the said been
[00:03:24.820 --> 00:03:32.480]   --
[00:03:32.480 --> 00:03:38.040]  'm I can
[00:05:45.640 --> 00:05:55.340]   "
[00:05:55.340 --> 00:05:59.060]   Mum goes in the much котор
[00:05:59.060 --> 00:06:09.700]   and, and, and, over,,,,,.ougheles Ав
[00:06:13.560 --> 00:06:41.480]   In the United States of America, a huge percentage... I, I, I, I'm grasping for the exact data, look me up, but my gut says it's like 30 to 40%. So a huge percentage of houses are owned debt-free, just say a third. Most of the time, those houses are owned not because somebody did some weird, radical thing, but because they're owned by a group of people.
[00:06:41.620 --> 00:07:09.420]  , because they're owned by a group of people.
[00:07:10.360 --> 00:07:37.360]  , because they're owned by a group of people.
[00:07:37.400 --> 00:07:45.040]   loved
[00:07:45.040 --> 00:07:51.580]   Bet? saw seeing be's
[00:07:51.580 --> 00:08:05.700]   has de腳 Fans team I splitting saw theând, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, yellow b, forgot,. And, SM, get. B.'ve. P. F.下去. Hel.-'. para. pi.ーん. closes..vi. gather. mad. terror.. get.�. preserve.視. care. seasoning. eles Little.�.달�. earned. don's never tem version of the maintain the hard. look. cada
[00:08:05.820 --> 00:08:11.820]   lived
[00:08:11.820 --> 00:08:34.700]   make,
[00:08:35.840 --> 00:09:04.060]   떨어�
[00:10:58.700 --> 00:10:59.520]   a little bit modestly. You need to think carefully about the other big budget items in your life and these budget items will be unique to you. For some people, you'll need to consider the cost of private schooling. Other people, you'll need to just simply control a little bit of the cost of your vacations or your hobbies. But you can still go on vacations. You can still have great hobbies and save a lot of money. Just think a little bit modestly.
[00:12:27.920 --> 00:12:35.340]   had
[00:12:35.340 --> 00:12:40.940]   I I

