
[00:00:00.000 --> 00:00:05.000]   [Music]
[00:00:05.000 --> 00:00:10.500]   Pastor John, you recently preached at Passion 2013 in Atlanta, in front of 60,000 students.
[00:00:10.500 --> 00:00:15.500]   A conference so large it was held in the Georgia Dome, which is the home of the NFL's Atlanta Falcons.
[00:00:15.500 --> 00:00:20.500]   And as I was watching your sermon back home via the livestream, I've been wanting to ask you,
[00:00:20.500 --> 00:00:24.500]   I mean, what was it like to preach in front of 60,000 students?
[00:00:26.000 --> 00:00:30.500]   Well, first of all, it's not just what it's like to stand in front of them.
[00:00:30.500 --> 00:00:38.000]   And you're only standing in front of about 30,000. You're standing behind this big bowl.
[00:00:38.000 --> 00:00:40.000]   And so you got your back to most of them.
[00:00:40.000 --> 00:00:47.500]   But first of all, you're up in the box where we eat, and you're looking down,
[00:00:47.500 --> 00:00:57.000]   and you're just, I am just blown away by the laser show sound.
[00:00:57.000 --> 00:01:05.000]   I mean, I've never, this is the biggest, most fancy production I've ever spoken into.
[00:01:05.000 --> 00:01:11.000]   And they asked me if I wanted to go down on the night I was speaking and sit by the stage.
[00:01:11.000 --> 00:01:18.500]   So I went down there while they were practicing, and I was 30 feet away from the speakers.
[00:01:18.500 --> 00:01:22.500]   And I said, "I don't think I can do this. I think not."
[00:01:22.500 --> 00:01:27.500]   So I didn't even sit down there because it's not that it hurt my ears.
[00:01:27.500 --> 00:01:31.500]   My ears are 67-year-old ears. They don't hear much anyway.
[00:01:31.500 --> 00:01:37.500]   It was what it was doing inside my chest that this, the magnitude of this sound
[00:01:37.500 --> 00:01:44.500]   was just, that made me so tense that I had to get up in the top.
[00:01:44.500 --> 00:01:48.500]   So the first thing is just a massive sense of intimidation.
[00:01:48.500 --> 00:01:53.500]   This is big. This is loud. This is amazing. This is beautiful.
[00:01:53.500 --> 00:01:58.500]   This is well done. And how in the world can I speak into this?
[00:01:58.500 --> 00:02:01.500]   So it's a big intimidation factor.
[00:02:01.500 --> 00:02:09.500]   And what the Lord did for me is providentially they asked me in the morning of that Thursday
[00:02:09.500 --> 00:02:12.500]   when I was speaking in the evening to speak to the leaders.
[00:02:12.500 --> 00:02:21.500]   So I got to speak to, I don't know, a couple thousand leaders of students in the morning, a little group.
[00:02:21.500 --> 00:02:28.500]   And I gave a talk, about 20 minutes, to them on anxiety from Matthew 6.
[00:02:28.500 --> 00:02:33.500]   Don't be anxious about your life, what you should eat or drink, or about your body, what you should wear.
[00:02:33.500 --> 00:02:36.500]   It's not life more than food and the body more than clothing.
[00:02:36.500 --> 00:02:39.500]   Consider the birds. Consider the lilies of the field.
[00:02:39.500 --> 00:02:42.500]   Your Heavenly Father knows what you need before you ask Him.
[00:02:42.500 --> 00:02:44.500]   Seek the kingdom. All your needs will be provided.
[00:02:44.500 --> 00:02:46.500]   Tomorrow will take care of itself.
[00:02:46.500 --> 00:02:52.500]   And I presented them eight arguments from that text of why Jesus doesn't want us to be anxious.
[00:02:52.500 --> 00:02:54.500]   And I said, "You know why I'm doing this, don't you?
