
[00:00:00.000 --> 00:00:01.000]   Guys, my dog.
[00:00:01.000 --> 00:00:02.000]   Is in jail?
[00:00:02.000 --> 00:00:03.000]   Joker's in jail?
[00:00:03.000 --> 00:00:04.500]   Joker got in jail again.
[00:00:04.500 --> 00:00:06.760]   Okay, so he's been jailed in Italy.
[00:00:06.760 --> 00:00:08.320]   He was jailed in Palo Alto.
[00:00:08.320 --> 00:00:09.920]   When will that dog learn?
[00:00:09.920 --> 00:00:10.920]   I've spent quality time with that dog.
[00:00:10.920 --> 00:00:11.920]   Wait, why did he get jailed?
[00:00:11.920 --> 00:00:12.920]   He's out of control.
[00:00:12.920 --> 00:00:13.920]   Why did he get jailed?
[00:00:13.920 --> 00:00:14.920]   He got jailed because-
[00:00:14.920 --> 00:00:15.920]   He's a runner.
[00:00:15.920 --> 00:00:16.920]   He went to...
[00:00:16.920 --> 00:00:17.920]   He's a runner.
[00:00:17.920 --> 00:00:18.920]   He's a runner.
[00:00:18.920 --> 00:00:19.920]   He's a track star.
[00:00:19.920 --> 00:00:24.760]   We sent him to like the dog walker where he goes and runs around and they come pick him
[00:00:24.760 --> 00:00:27.120]   up but then the guy opened the van door.
[00:00:27.120 --> 00:00:28.120]   He dug off?
[00:00:28.120 --> 00:00:29.120]   He dug off.
[00:00:29.120 --> 00:00:31.620]   Anyways, he gets found.
[00:00:31.620 --> 00:00:37.280]   They're trying to call me because I guess my number is on the thing which I hadn't realized.
[00:00:37.280 --> 00:00:38.280]   You don't pick up?
[00:00:38.280 --> 00:00:39.280]   Can't reach me.
[00:00:39.280 --> 00:00:44.500]   Well, I'm in DC in New York and they put them in the kennel and we get this picture and
[00:00:44.500 --> 00:00:47.680]   Nick you can post the picture but you know because I sent it to you.
[00:00:47.680 --> 00:00:48.680]   Poor Joker in dog jail.
[00:00:48.680 --> 00:00:49.680]   He's a great dog.
[00:00:49.680 --> 00:00:50.680]   But he is-
[00:00:50.680 --> 00:00:51.680]   Wait, is he back?
[00:00:51.680 --> 00:00:52.680]   Did you get him back?
[00:00:52.680 --> 00:00:53.680]   Now he's back.
[00:00:53.680 --> 00:00:54.680]   We got him back but he's back.
[00:00:54.680 --> 00:00:55.680]   He's out of jail again.
[00:00:55.680 --> 00:00:56.680]   Honestly, he's only going to learn if he goes to jail.
[00:00:56.680 --> 00:00:58.240]   You should get a little tag for him.
[00:00:58.240 --> 00:01:00.020]   A little remote tracking tag.
[00:01:00.020 --> 00:01:03.080]   That's not- I mean, it's great but it doesn't stop him from escaping.
[00:01:03.080 --> 00:01:04.080]   That dog.
[00:01:04.080 --> 00:01:05.080]   There's something wrong with that dog.
[00:01:05.080 --> 00:01:06.080]   Remember when he came out when Zax came over?
[00:01:06.080 --> 00:01:07.080]   Yeah.
[00:01:07.080 --> 00:01:12.080]   And the dog was like growling at him and Zax was like, "I'm not punched in the corner."
[00:01:12.080 --> 00:01:15.180]   It's the only dog that doesn't like me.
[00:01:15.180 --> 00:01:16.180]   He's so cute.
[00:01:16.180 --> 00:01:17.180]   Every other dog.
[00:01:17.180 --> 00:01:18.180]   Every other dog loves me.
[00:01:18.180 --> 00:01:19.180]   What country was that dog trained in?
[00:01:19.180 --> 00:01:20.180]   No, he's not been trained.
[00:01:20.180 --> 00:01:21.520]   He's not been trained.
[00:01:21.520 --> 00:01:22.520]   We have to train him.
[00:01:22.520 --> 00:01:23.520]   I get it.
[00:01:23.520 --> 00:01:25.180]   He hasn't been trained but he's so cute.
[00:01:25.180 --> 00:01:27.240]   Did you train that dog to hate white people?
[00:01:27.240 --> 00:01:28.240]   No.
[00:01:28.240 --> 00:01:29.240]   That dog is a little racist.
[00:01:29.240 --> 00:01:30.240]   I'll say it.
[00:01:30.240 --> 00:01:31.240]   All right, everybody.
[00:01:31.240 --> 00:01:56.040]   Welcome to another episode of All In, the podcast that you've been listening to for
[00:01:56.040 --> 00:01:57.040]   48 episodes.
[00:01:57.040 --> 00:01:58.040]   Here we are.
[00:01:58.040 --> 00:02:02.220]   We're on the precipice of greatness, 49 episodes in.
[00:02:02.220 --> 00:02:08.600]   With us again today, the queen of quinoa, your science ambassador, David Friedberg.
[00:02:08.600 --> 00:02:12.380]   Also on the pod, the Rain Man himself.
[00:02:12.380 --> 00:02:16.040]   Definitely his dad lets him drive in the driveway, David Sachs.
[00:02:16.040 --> 00:02:22.000]   And batting cleanup, the dictator himself, Chamath Palihapitiya.
[00:02:22.000 --> 00:02:25.040]   What did we all think of last week's pod with Balaji?
[00:02:25.040 --> 00:02:28.040]   I felt it got cut off too soon.
[00:02:28.040 --> 00:02:31.820]   soon. I was getting into a groove with biology and I'm trying to figure out how to pick that
