
[00:00:00.040 --> 00:00:09.380]  fäh
[00:00:09.380 --> 00:00:11.020]   see like,,,
[00:00:11.020 --> 00:00:13.900]  ру
[00:00:57.320 --> 00:00:57.320]   and I want to ask you this question. Are you getting your money's worth and your child's time's worth from their education? I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:00:57.320 --> 00:00:57.320]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:00:57.320 --> 00:00:57.320]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:00:57.320 --> 00:00:57.320]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:00:57.320 --> 00:00:57.320]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:01:25.980 --> 00:01:25.980]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:01:25.980 --> 00:01:25.980]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:01:25.980 --> 00:01:26.040]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:01:26.040 --> 00:01:26.080]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:01:26.080 --> 00:01:26.120]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:01:26.120 --> 00:01:26.240]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:01:26.260 --> 00:01:56.280]  ,
[00:01:56.280 --> 00:01:56.280]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:01:56.280 --> 00:01:56.280]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:01:56.280 --> 00:01:56.280]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:01:56.280 --> 00:01:56.280]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:01:56.280 --> 00:01:56.280]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:01:56.300 --> 00:02:26.300]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:02:26.300 --> 00:02:26.300]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:02:26.300 --> 00:02:26.300]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:02:26.300 --> 00:02:26.300]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:02:26.300 --> 00:02:26.300]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:02:26.300 --> 00:02:26.300]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:02:26.320 --> 00:02:56.320]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:02:56.320 --> 00:02:56.320]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:02:56.320 --> 00:02:56.320]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:02:56.320 --> 00:02:56.320]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:02:56.320 --> 00:02:56.320]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:02:56.320 --> 00:02:56.320]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:02:56.360 --> 00:03:26.340]  ,
[00:03:26.340 --> 00:03:26.340]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:03:26.340 --> 00:03:26.340]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:03:26.340 --> 00:03:26.340]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:03:26.340 --> 00:03:26.340]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:03:26.340 --> 00:03:26.340]   I'm recording this show in April of 2018 and we are soon to be arriving at the end of the normal academic year for students in the United States.
[00:03:26.380 --> 00:03:37.880]   g
[00:03:37.880 --> 00:03:40.580]   М de, Ind,iano, be at look investment
[00:03:53.840 --> 00:04:21.260]  � That was a funny joke. The only thing that is available at a low cost is government schooling. Here in Florida where I live, the government is rolling out a whole new program to try to get your three-year-old enrolled in free, free, get it? So funny.
[00:04:21.280 --> 00:04:48.720]   In free schooling.
[00:04:48.720 --> 00:04:48.720]   So the question would be, is that a good deal? Is it a good deal for you to take the free option of government schooling for your child? Well, let's talk about it. I want to assume that your child is currently enrolled in the government schools. So here would be a question. How would you assume that your child is currently enrolled in the government schools?
[00:04:48.720 --> 00:05:18.180]  , How many hours did your child spend in school this last year? How much money did that cost you and are you getting your money's worth? Let's start first with the hours. According to the National Center for Education Statistics, if we look at a national average across the United States of America, the national average for the total amount of time spent in the classroom is 6.64 hours per day per student.
[00:05:18.180 --> 00:05:18.180]   So here would be a question. How many hours did your child spend in school this last year? How much money did that cost you and are you getting your money's worth? Let's start first with the hours. According to the National Center for Education Statistics, if we look at a national average across the United States of America, the national average for the total amount of time spent in the classroom is 6.64 hours per day per student.
[00:05:18.200 --> 00:05:47.640]   So here would be a question. How many hours did your child spend in the classroom this last year? How much money did that cost you and are you getting your money's worth? Let's start first with the hours. According to the National Center for Education Statistics, if we look at a national average across the United States of America, the national average for the total amount of time spent in the classroom is 6.64 hours per student.
[00:05:47.640 --> 00:05:47.640]   It's about 6.5 hours a day for 180 days. Multiply 6.64 hours per day times 180 days and you wind up with 1,195 hours of total classroom time that your child has enjoyed, I mean been involved in over the last year. Now, for the sake of some simple verbal language, I'm going to give you a little bit of time.
[00:05:47.640 --> 00:05:48.200]   I'm going to give you a little bit of time.
[00:05:48.200 --> 00:05:48.200]   I'm going to give you a little bit of time.
[00:05:48.200 --> 00:06:18.220]  , and I'm going to give you a little bit of time.
[00:06:18.220 --> 00:06:18.220]   and I'm going to give you a little bit of time.
[00:06:18.220 --> 00:06:18.220]   and I'm going to give you a little bit of time.
[00:06:18.220 --> 00:06:18.220]   and I'm going to give you a little bit of time.
[00:06:18.240 --> 00:06:48.240]   Now, depending on other activities,
[00:06:48.240 --> 00:06:48.240]   Now, depending on other activities,
[00:06:48.240 --> 00:06:48.240]   Now, depending on other activities,
[00:06:48.240 --> 00:06:48.240]   That number may be higher or lower.
[00:06:48.240 --> 00:06:48.240]   Your child may be involved in extracurricular activities,
[00:06:48.240 --> 00:06:48.240]   Which would add more time.
[00:06:48.240 --> 00:06:48.240]   Perhaps your child does homework.
[00:06:48.240 --> 00:06:48.240]   If you added one hour of homework per day, that would wind up being about nine hours per day.
[00:06:48.240 --> 00:06:48.240]   If we multiplied nine hours per day times 180 days, we'd wind up with 1,620 hours of total time.
[00:06:48.240 --> 00:06:48.240]   Let's just split the difference.
[00:06:48.240 --> 00:06:48.240]   For the sake of verbal math, assume 1,500 hours of time from your school
[00:06:48.240 --> 00:06:48.240]   from your school.
[00:06:48.240 --> 00:06:48.240]   That's right.
[00:06:48.240 --> 00:06:48.240]   Now, depending on other activities,
[00:06:48.240 --> 00:06:48.240]   That number may be higher or lower.
[00:06:48.240 --> 00:06:48.240]   If you add one hour of homework per day, that would wind up being about 9 hours per day.
