
[00:00:00.000 --> 00:00:06.080]   So good morning, everyone.
[00:00:06.080 --> 00:00:12.740]   So I'm going to talk about some of the core methods in deep reinforcement learning.
[00:00:12.740 --> 00:00:16.120]   So the aim of this talk is as follows.
[00:00:16.120 --> 00:00:21.100]   First I'll do a brief introduction to what deep RL is and whether it might make sense
[00:00:21.100 --> 00:00:24.280]   to apply it in your problem.
[00:00:24.280 --> 00:00:28.940]   I'll talk about some of the core techniques.
[00:00:28.940 --> 00:00:33.240]   So on the one hand we have the policy gradient methods.
[00:00:33.240 --> 00:00:38.500]   Then on the other hand we have methods that learn a Q function, including Q-learning and
[00:00:38.500 --> 00:00:40.960]   SARSA.
[00:00:40.960 --> 00:00:48.240]   And I'll talk a little at the end about what are the pros and cons of these different methods.
[00:00:48.240 --> 00:00:51.300]   So first, what is reinforcement learning?
[00:00:51.300 --> 00:00:55.740]   It's a branch of machine learning concerned with taking sequences of actions.
[00:00:55.740 --> 00:01:04.340]   So often it's described in terms of an agent interacting with a previously unknown environment.
[00:01:04.340 --> 00:01:09.240]   And it's trying to maximize some kind of cumulative reward, some kind of reward function that
[00:01:09.240 --> 00:01:12.340]   we've defined, accumulated over time.
[00:01:12.340 --> 00:01:16.440]   And pretty much any kind of task where you have some kind of goal that you want to achieve
[00:01:16.440 --> 00:01:18.740]   can be stated in these terms.
[00:01:18.740 --> 00:01:25.060]   So this is an extremely general formulation.
[00:01:25.060 --> 00:01:26.540]   What's deep reinforcement learning?
[00:01:26.540 --> 00:01:27.700]   It's pretty simple.
[00:01:27.700 --> 00:01:34.820]   It's just reinforcement learning where you're using neural networks as function approximators.
[00:01:34.820 --> 00:01:39.780]   So the interesting thing about reinforcement learning in contrast to supervised learning
[00:01:39.780 --> 00:01:44.660]   is it's actually not totally obvious what you should use your neural network to approximate
[00:01:44.660 --> 00:01:46.140]   in reinforcement learning.
[00:01:46.140 --> 00:01:49.300]   And there are different kinds of algorithms that approximate different things.
[00:01:49.300 --> 00:01:54.460]   So one choice is to use the neural network to approximate your policy, which is how the
[00:01:54.460 --> 00:01:57.020]   agent chooses its actions.
[00:01:57.020 --> 00:02:02.060]   Another choice is to approximate the value functions, which measure how good or bad different
[00:02:02.060 --> 00:02:05.300]   states are or actions.
[00:02:05.300 --> 00:02:12.500]   And last, you can try to learn a model of the system, a dynamics model, which will make
[00:02:12.500 --> 00:02:16.060]   predictions about next states and rewards.
[00:02:16.060 --> 00:02:23.900]   Okay, so I'll now give a few examples of different places where you might apply reinforcement
[00:02:23.900 --> 00:02:28.660]   learning and what the observations and actions would be.
[00:02:28.660 --> 00:02:32.020]   So one example is robotics.
[00:02:32.020 --> 00:02:37.180]   So here you could imagine a robot where the observations are the camera images and the
[00:02:37.180 --> 00:02:39.180]   joint angles of the robot.
[00:02:39.180 --> 00:02:42.580]   The actions are the joint torques you're applying.
[00:02:42.580 --> 00:02:48.500]   And the reward is going to depend on what you want the robot to do.
