
[00:00:00.000 --> 00:00:01.000]   - Mom? - Yeah?
[00:00:01.000 --> 00:00:02.760]   - How much longer? - Ask the car, Ben.
[00:00:02.760 --> 00:00:05.000]   - Hey Mercedes, what's our ETA?
[00:00:05.000 --> 00:00:06.000]   - 12 minutes.
[00:00:06.000 --> 00:00:07.000]   - Mom? - Mm?
[00:00:07.000 --> 00:00:08.760]   - Is it gonna rain? - Ask the car.
[00:00:08.760 --> 00:00:11.140]   - Hey Mercedes, what's the forecast?
[00:00:11.140 --> 00:00:12.300]   - Sunny all day.
[00:00:12.300 --> 00:00:13.760]   - Mom, can I get a tattoo?
[00:00:13.760 --> 00:00:15.760]   - Ask the ca-- Nice try.
[00:00:15.760 --> 00:00:17.340]   - With MBUX Voice Command,
[00:00:17.340 --> 00:00:19.440]   an AI that studies your preferences,
[00:00:19.440 --> 00:00:22.100]   Mercedes-Benz SUVs are the embodiment of safety,
[00:00:22.100 --> 00:00:24.020]   convenience, and intelligence.
[00:00:24.020 --> 00:00:26.480]   Go to mbusa.com to learn more.
[00:00:26.480 --> 00:00:28.480]   - MBUX Command simulated.
[00:00:29.340 --> 00:00:31.300]   - Welcome to Radical Personal Finance.
[00:00:31.300 --> 00:00:32.880]   My name is Joshua Sheets, and today on the show,
[00:00:32.880 --> 00:00:34.880]   I'd like to give you just a quick personal report
[00:00:34.880 --> 00:00:38.640]   on the recently concluded inaugural
[00:00:38.640 --> 00:00:41.480]   Radical Personal Finance Family Camp.
[00:00:41.480 --> 00:00:42.720]   Been about a week and a half now
[00:00:42.720 --> 00:00:46.200]   since we wrapped up the inaugural RPF Family Camp
[00:00:46.200 --> 00:00:48.060]   in Seymour, Indiana,
[00:00:48.060 --> 00:00:50.120]   and I wanted just to share with you publicly
[00:00:50.120 --> 00:00:51.440]   a little bit about it.
[00:00:51.440 --> 00:00:52.440]   Some of you were able to come,
[00:00:52.440 --> 00:00:54.400]   but of course many of you weren't able to come,
[00:00:54.400 --> 00:00:56.080]   and I thought I owe you,
[00:00:56.080 --> 00:00:57.240]   since I talked to you and told you
[00:00:57.240 --> 00:00:58.440]   it was gonna be happening,
[00:00:58.440 --> 00:01:00.560]   I wanted to give you a public report
[00:01:00.560 --> 00:01:02.500]   and just share with you a little bit about the event
[00:01:02.500 --> 00:01:03.940]   and how it went.
[00:01:03.940 --> 00:01:08.480]   Put simply, I was enormously satisfied with the event.
[00:01:08.480 --> 00:01:11.560]   Hosting an in-person, what I call a family camp,
[00:01:11.560 --> 00:01:14.200]   hosting an in-person event in the way that we did it
[00:01:14.200 --> 00:01:17.240]   is something that I have wanted to do for a very long time.
[00:01:17.240 --> 00:01:20.040]   It's my basic working hypothesis
[00:01:20.040 --> 00:01:23.440]   that going forward in the coming years,
[00:01:23.440 --> 00:01:27.440]   the best and most satisfying relationships
[00:01:27.440 --> 00:01:30.620]   are going to be those that exploit all of the wonder
[00:01:30.620 --> 00:01:34.280]   and goodness and usefulness and convenience
[00:01:34.280 --> 00:01:39.200]   and just fantasticness of digital connectivity,
[00:01:39.200 --> 00:01:43.060]   as well as all of the wonderful fantasticness
[00:01:43.060 --> 00:01:45.680]   of in-person relationships.
[00:01:45.680 --> 00:01:47.680]   The trend that I've observed for quite a while
[00:01:47.680 --> 00:01:52.680]   is that it's very difficult to run effectively
[00:01:52.740 --> 00:01:54.820]   an all-virtual company.
[00:01:54.820 --> 00:01:55.740]   It's possible.
[00:01:55.740 --> 00:01:58.780]   You may run a department and be leading a team
[00:01:58.780 --> 00:02:01.380]   of a dozen computer coders and engineers
[00:02:01.380 --> 00:02:02.640]   spread out all around the world,
[00:02:02.640 --> 00:02:05.080]   and you can do that sort of effectively
[00:02:05.080 --> 00:02:06.420]   from many different places,
[00:02:06.420 --> 00:02:09.560]   but it's really hard to do that effectively
[00:02:09.560 --> 00:02:12.940]   if you're not building in-person relationships,
[00:02:12.940 --> 00:02:15.980]   real in-person relationships.
[00:02:15.980 --> 00:02:17.900]   On the other hand, it's difficult sometimes
[00:02:17.900 --> 00:02:20.580]   for us to be completely surrounded at all times
[00:02:20.580 --> 00:02:22.720]   with the kind of people that we'd like to be together
[00:02:22.720 --> 00:02:25.940]   with in physical space at all times.
[00:02:25.940 --> 00:02:28.300]   We all have different reasons why we live where we live,
[00:02:28.300 --> 00:02:31.040]   and it can be hard to find like-minded people
[00:02:31.040 --> 00:02:33.060]   in a local area.
[00:02:33.060 --> 00:02:36.760]   And so I believe that the best possible outcome
[00:02:36.760 --> 00:02:38.520]   for us going forward in the future
[00:02:38.520 --> 00:02:41.480]   is to try to maximize both of these things.
[00:02:41.480 --> 00:02:44.400]   And so if you're running a company or a department
[00:02:44.400 --> 00:02:46.860]   where you have people spread out around the world,
[00:02:46.860 --> 00:02:49.980]   I think your best practice would generally be
[00:02:49.980 --> 00:02:52.380]   to at least a couple times a year
[00:02:52.380 --> 00:02:55.500]   bring your entire team together for several days,
[00:02:55.500 --> 00:02:58.900]   enough time to engage in real activities,
[00:02:58.900 --> 00:03:01.820]   real business, real productive meetings,
[00:03:01.820 --> 00:03:03.600]   but also lots of time just to hang out
[00:03:03.600 --> 00:03:06.460]   in a casual unstructured format.
[00:03:06.460 --> 00:03:08.780]   And that's something that I,
[00:03:08.780 --> 00:03:11.340]   that's a principle that I think also applies
[00:03:11.340 --> 00:03:14.740]   to what I've wanted to do at Radical Personal Finance.
[00:03:14.740 --> 00:03:17.220]   For a long time, I've had a dream and a vision
[00:03:17.220 --> 00:03:20.340]   of bringing together like-minded people
[00:03:20.340 --> 00:03:23.300]   who want to just spend time together,
[00:03:23.300 --> 00:03:25.140]   want to build friendships and relationships.
[00:03:25.140 --> 00:03:28.860]   And I think that having something like this show
[00:03:28.860 --> 00:03:32.180]   that allows a good form of connectedness
[00:03:32.180 --> 00:03:35.460]   is an ideal way to advance ideas,
[00:03:35.460 --> 00:03:38.940]   create thought-provoking content,
[00:03:38.940 --> 00:03:41.260]   teach people effectively about certain things,
[00:03:41.260 --> 00:03:44.060]   but that we should go the next step forward
[00:03:44.060 --> 00:03:46.540]   and bring people together in person.
