
[00:00:00.000 --> 00:00:06.140]   So one of the conflicts we've confronted here is the one between having too little productivity
[00:00:06.140 --> 00:00:11.640]   and too much. We know the problem with too little productivity in your life. This could be
[00:00:11.640 --> 00:00:16.880]   disorganization and stress, scrambling, job insecurity. People stop counting on you when
[00:00:16.880 --> 00:00:21.140]   it comes to things at work or in your personal life, and you feel like you're not making progress
[00:00:21.140 --> 00:00:26.420]   on any of these things that are non-urgent but important. As Emerson said, the crime which
[00:00:26.420 --> 00:00:30.340]   bankrupts men and nations is that of turning aside from one's main purpose to serve a job
[00:00:30.340 --> 00:00:36.320]   here and there. But we also know the problem with having too much productivity in your life.
[00:00:36.320 --> 00:00:41.560]   Your life can become re-centered on optimization itself as you fill more and more of your time
[00:00:41.560 --> 00:00:46.500]   with execution for execution's sake. You can lose a sense of wonder and appreciation for anything
[00:00:46.500 --> 00:00:53.140]   other than just mechanistic accomplishment. Here's Anne Helen Peterson summarizing some of these fears.
[00:00:53.900 --> 00:00:58.700]   This is the dystopian reality of productivity culture. Its mandate is never, you figured out
[00:00:58.700 --> 00:01:02.760]   how to do my tasks more efficiently, so you've got to spend less time working. It is always instead,
[00:01:02.760 --> 00:01:07.480]   you figured out how to do your tasks more efficiently, so now you must do more tasks.
[00:01:07.480 --> 00:01:12.660]   So this conflict got me thinking recently that there's a key question lurking underneath all this
[00:01:12.660 --> 00:01:18.600]   conflict that we really haven't talked about enough, and it's the following. What is the
[00:01:18.600 --> 00:01:27.560]   minimally viable productivity system? That is, what is the minimal set of rules and tools that will allow
[00:01:27.560 --> 00:01:34.260]   you to escape the problems of having too little productivity, but not jump all the way into becoming
[00:01:34.260 --> 00:01:40.600]   a task-juggling superhero? Just enough to find some breathing room, but not enough for your life to become
[00:01:40.600 --> 00:01:46.680]   all about execution. I think this would be useful to figure out because it would provide us with a common
[00:01:46.680 --> 00:01:51.720]   starting place where everyone should begin from, a sort of baseline, minimally viable productivity
[00:01:51.720 --> 00:01:56.280]   that you start from to get away from the hardship of being too disorganized, the hardship of being
[00:01:56.280 --> 00:01:59.800]   someone that no one can count on, the hardship of not being able to make progress on the things that you
[00:01:59.800 --> 00:02:05.720]   care about, but just enough that you have flexibility in there for you to figure out what fits you and your
[00:02:05.720 --> 00:02:11.240]   goals and your personality when it comes to how much more organized you want to be. That's what I want to
[00:02:11.240 --> 00:02:15.800]   try to do today. I've been thinking about this topic. I'm writing a chapter in my new book on this, so I'm
[00:02:15.800 --> 00:02:23.560]   beginning to bounce ideas around about this topic. And what I want to do today is start by first figuring out what are the
[00:02:23.560 --> 00:02:30.840]   actual problems that we would want a minimally viable productivity system to solve. Then two, identify what
[00:02:30.840 --> 00:02:38.600]   are the key components a system that solved those problems would need to feature. And then three, give some ideas
[00:02:38.600 --> 00:02:44.680]   about then how might you concretely implement those components. Here I think the key is there is no one right
[00:02:44.680 --> 00:02:49.880]   answer. Once we know the minimal components of a minimally viable productivity system, I just want to talk about
[00:02:50.520 --> 00:02:56.680]   what might you look for in implementing these and how you actually do it can be a choose your own adventure.
[00:02:56.680 --> 00:03:02.280]   All right. So that's our goal. Let's get into it. I want to start by saying, what should the goals be
[00:03:02.280 --> 00:03:08.840]   for a minimally viable productivity system? I don't have this locked in yet, but I've been thinking about
[00:03:08.840 --> 00:03:13.560]   this for a couple of weeks now. And there's three goals that come up most common when I think about what
[00:03:13.560 --> 00:03:21.480]   I really want out of this. The first is going to be stress reduction. I need a productivity system to
[00:03:21.480 --> 00:03:27.240]   make my life less stressful. This is sort of table stakes for trying to bring more organization to your
[00:03:27.240 --> 00:03:37.720]   life in the first place. Second, I need this system to increase people's perceived understanding of my
[00:03:37.720 --> 00:03:43.480]   responsibility or increase my responsibility. What I mean by this is professionally, I don't want to be dropping the ball.
[00:03:43.480 --> 00:03:47.000]   However, this system runs, I don't want to be seen as someone
[00:03:47.000 --> 00:03:51.480]   who may or may not get something done. If you give it to me, I want to be someone you can trust.
[00:03:51.480 --> 00:03:55.640]   I want the same thing to happen to my life outside of work. If a friend or someone in my community needs me to handle
[00:03:55.640 --> 00:04:00.680]   something for them or ask for my help, they trust. I'm not going to forget about it. I'm not going to flake.
[00:04:00.680 --> 00:04:07.000]   So whatever the system does, it should give me that sense of responsibility. I'm someone you can count on.
[00:04:07.000 --> 00:04:13.800]   Finally, I think whatever else the system does, it has to be able to help me make at least some progress
[00:04:13.800 --> 00:04:21.640]   on things that are important but non-urgent. I think that word some there does a lot of work because
[00:04:21.640 --> 00:04:26.840]   depending on what circumstance or stage of life you're in, how much progress you might be able to
[00:04:26.840 --> 00:04:31.240]   make on an important non-urgent matter could really vary. I mean, if you're like 24 years old and your
[00:04:31.240 --> 00:04:35.720]   job is not that demanding and you have some sort of big idea you want to make progress on,
[00:04:35.720 --> 00:04:41.400]   you could be spending a lot of time working on this. The other extreme, we can go all the way to like
[00:04:41.400 --> 00:04:47.320]   Viktor Frankl in Man's Search for Meaning, his memoir of his time during the Holocaust and then the
[00:04:47.320 --> 00:04:53.240]   psychotherapy field called logotherapy that he created in its wake. And there he was pointing out
[00:04:54.040 --> 00:05:00.760]   just having something, no matter how minor it could seem in a different context, having something that
[00:05:00.760 --> 00:05:06.360]   you are working on that you control because you chose to do it is critical, not just to human flourishing
[00:05:06.360 --> 00:05:13.160]   but human survival. So we've got this whole spectrum of what doing some work could mean. But the key is
[00:05:13.160 --> 00:05:17.160]   a system should make sure that there's always some room for you to make progress on stuff that's
[00:05:17.160 --> 00:05:20.840]   important that no one's asking you to do it, that you have some autonomy and control in your life.
[00:05:20.840 --> 00:05:24.840]   So I want those three things out of any system, but I want the minimal system that gets me those.
[00:05:24.840 --> 00:05:31.000]   That's my goal right now. All right. So then I started thinking, what components would a system
[00:05:31.000 --> 00:05:35.880]   have to have to satisfy those three things? This too is contentious, but after thinking about this
[00:05:35.880 --> 00:05:44.600]   for a few weeks, three things came to mind. Here's my best swing. The first is there's got to be some notion
[00:05:45.160 --> 00:05:51.640]   of task management, right? So there has to be some way of keeping track of the things that you have
[00:05:51.640 --> 00:05:58.600]   agreed to do that is not just in your brain. This is going to be vital for basically all three of the
[00:05:58.600 --> 00:06:02.920]   goals we have for the system. You're not going to drop the ball on things. It's going to reduce the
[00:06:02.920 --> 00:06:07.000]   stress of just trying to remember things in your brain or forgetting about things until the last minute and
[00:06:07.000 --> 00:06:13.640]   having deadline overload, which is like a huge source of acute stress in people's lives also as a way to
[00:06:13.640 --> 00:06:17.320]   keep track and remember of the things you need to do to make progress on non-urgent tasks. That's kind
[00:06:17.320 --> 00:06:20.840]   of at the core of a lot of things. There has to be some basic way to keep track of what you've agreed
[00:06:20.840 --> 00:06:26.760]   to do that doesn't exist just in your brain. The second component any such system must have is some
[00:06:26.760 --> 00:06:33.160]   notion of workload management. So if task management is about keeping track of what you've agreed to do,
[00:06:33.160 --> 00:06:36.520]   workload management is about controlling the volume of things that you agree to.
[00:06:36.520 --> 00:06:39.960]   It's like the gate through which obligations come.
[00:06:39.960 --> 00:06:46.120]   This is a piece of my thinking that I think has developed, especially in the last few years. It became
[00:06:46.120 --> 00:06:51.000]   a big part of my most recent book, Slow Productivity. It's probably a part that had been neglected in some
[00:06:51.000 --> 00:06:55.880]   of my earlier thinking about organization and productivity. But the amount of stuff that you're actively
[00:06:55.880 --> 00:07:00.200]   working on plays a vital role in almost all aspects of your mental health as well as your
[00:07:00.200 --> 00:07:03.720]   effectiveness in both your professional and personal life. So you have to have something,
[00:07:03.720 --> 00:07:09.800]   a minimally viable system that satisfies those goals. You have to have some intentional thought about
[00:07:09.800 --> 00:07:16.760]   what my workload is and what I am trying to do to keep it within a range that is reasonable.
[00:07:16.760 --> 00:07:24.440]   You don't have that there. You do everything else in productivity. You could end up executing a heck of a
[00:07:24.440 --> 00:07:29.800]   a lot of stuff and being stressed out of your mind and not actually being able to work on the stuff you
[00:07:29.800 --> 00:07:35.240]   want to work on. All right. Final component I think any viable productivity system is going to have to
[00:07:35.240 --> 00:07:45.800]   have is some notion of time control. Some notion of like, I want to have a say in how my time is allocated
[00:07:46.360 --> 00:07:51.720]   on a day-to-day basis. Maybe say, well, how would you not have a say? I mean, you're always making
[00:07:51.720 --> 00:07:56.120]   decisions, but not really. Actually, the default that people do is much more of a reactive mode.
[00:07:56.120 --> 00:08:02.600]   I am reacting to things that come towards me, maybe an email, maybe a Slack, someone calling me and saying,
[00:08:02.600 --> 00:08:06.680]   hey, where's this thing? I'm reacting to things that people are asking for me. And in between reacting,
[00:08:06.680 --> 00:08:11.800]   I sort of just drift off into a daze of digital distraction and pacification until I get stressed about
[00:08:11.800 --> 00:08:16.040]   something else. And then I react to that stress by doing something else. Most people's days unfold
[00:08:16.040 --> 00:08:21.000]   haphazardly. If you pin them down that morning and said, what do you think is going to happen today?
[00:08:21.000 --> 00:08:24.040]   And then you see what actually happens. There's going to be very little convergence between it.
[00:08:24.040 --> 00:08:29.720]   They are being bounced around the sort of time schedule pinball machine,
[00:08:29.720 --> 00:08:34.680]   and they're not the ones hitting the flipper buttons. And so we want to have at least a resistance
[00:08:34.680 --> 00:08:38.760]   to that. It doesn't mean you're going to be able to control your day. Like, oh, I have exact control
[00:08:38.760 --> 00:08:42.520]   what I'm going to go on, but you're going to have some intention that's going to be applied,
[00:08:42.520 --> 00:08:46.760]   or at least attempted to apply. I just think you have to have that in any viable productivity system,
[00:08:46.760 --> 00:08:50.200]   at least if you want to hit those three goals I talked about before. There's a lot of other stuff
[00:08:50.200 --> 00:08:54.120]   you might do with productivity, but first talking about a minimally viable system.
[00:08:54.120 --> 00:08:58.600]   Those are the components I think you have to have task management, workload management,
[00:08:58.600 --> 00:09:05.480]   time control, some systems for each. So I want to go through those. Let's go through those three
[00:09:05.480 --> 00:09:11.880]   components. And I'm going to do two things for each. I'm going to give an idea of a
[00:09:11.880 --> 00:09:17.240]   bare bones thing you could do that would like put that some sort of system there in your life.
[00:09:17.240 --> 00:09:20.920]   And then I'll talk about more like what I do in that component, like more of like a moderately
[00:09:20.920 --> 00:09:25.400]   advanced. So you can get a sense of the options. But the key thing I want to emphasize here is these
[00:09:25.400 --> 00:09:30.280]   are just samples of possibilities. So by giving you a bare bones way of implementing each of these ideas
[00:09:30.280 --> 00:09:33.320]   and a sort of moderately advanced way of implementing each of these ideas,
[00:09:33.320 --> 00:09:37.720]   what I'm trying to do is just give you a sense of there's a large landscape of possibilities here.
[00:09:37.720 --> 00:09:42.520]   You can choose your own adventure. You can choose your own adventure based on what the details are
[00:09:42.520 --> 00:09:46.520]   of your particular situation and also of your particular personality, what resonates or not.
[00:09:46.520 --> 00:09:51.480]   I mean, some people are going to want to go way more analog than this because they get a sort of
[00:09:51.480 --> 00:09:58.440]   aesthetic rush out of having something that looks beautiful. Other people really love high-tech
[00:09:58.440 --> 00:10:04.040]   systems. They're like, I really want an AI-powered Zettelkasten bot playing a big role in what I'm
[00:10:04.040 --> 00:10:06.600]   doing. And some people really enjoy that. There's nothing wrong with that either.
[00:10:06.600 --> 00:10:13.080]   So you can customize this. But I want to give a couple examples so that the point I'm making is
[00:10:13.080 --> 00:10:17.800]   there's no one way to do these things. Hey, it's Cal. I wanted to interrupt briefly to say that if
[00:10:17.800 --> 00:10:24.680]   you're enjoying this video, then you need to check out my new book, Slow Productivity: The Lost Art of
[00:10:24.680 --> 00:10:32.120]   Accomplishment Without Burnout. This is like the Bible for most of the ideas we talk about here in these
[00:10:32.120 --> 00:10:41.080]   videos. You can get a free excerpt at calnewport.com/slow. I know you're going to like it. Check it out. Now
[00:10:41.080 --> 00:10:45.480]   let's get back to the video. All right, so let's get specific. So let's go back to task management.
[00:10:45.480 --> 00:10:51.560]   What we need here, right? What are we trying to accomplish is some notion of what David Allen called
[00:10:51.560 --> 00:10:57.000]   a trusted system, a place where the things you need to do ends up and you trust yourself to review it
[00:10:57.000 --> 00:11:02.680]   regularly. Those two things is what helps prevent you from beginning things and also reduces distress
[00:11:02.680 --> 00:11:07.240]   of trying to keep track of things in your mind. As soon as your mind trusts where I wrote this down
[00:11:07.240 --> 00:11:11.960]   is a place I won't lose it and a place I won't forget it, then your mind releases. All right,
[00:11:11.960 --> 00:11:17.720]   that is a classic David Allen and David Allen himself was actually adapting that idea from Dean Atchison.
[00:11:17.720 --> 00:11:21.720]   So we can kind of follow this chain back if you want to go through productivity culture.
[00:11:21.720 --> 00:11:24.200]   All right, what's like a bare bone ways of implementing this?
[00:11:25.320 --> 00:11:31.800]   The bare bone way here is a text file and a calendar, right? You need a calendar. So stuff
[00:11:31.800 --> 00:11:36.680]   that is due on particular days or happens at particular times, just go straight on a calendar.
[00:11:36.680 --> 00:11:41.960]   It's a tool that we all use. It's a remarkably effective technology. It's probably one of the oldest
[00:11:41.960 --> 00:11:47.880]   productivity technologies. The oldest probably is actually what counting tablets, cuneiform tablets
[00:11:47.880 --> 00:11:54.200]   going back to the Sumerian days. But tracking things with time was another one of the early
[00:11:54.200 --> 00:11:58.040]   applications of technology. So have a calendar. And then have a text file where you're just like,
[00:11:58.040 --> 00:12:02.600]   I'm writing down things that I have to do. That's the simplest implementation. When I was in graduate
[00:12:02.600 --> 00:12:06.440]   school, there was a period in which I was implementing this system where I used a calendar
[00:12:06.440 --> 00:12:12.760]   on my computer and I had a tablet, like a legal pad. I remember it very vividly because it was a CSAIL
[00:12:12.760 --> 00:12:17.720]   legal pad. CSAIL was the Computer Science and Artificial Intelligence Laboratory. So that's the,
[00:12:18.360 --> 00:12:23.320]   at the time, this was like the CS department at MIT. There's now a school of computing. It's a whole
[00:12:23.320 --> 00:12:27.080]   separate sort of thing. And it was swag. I don't know where I got this. It was just swag. It was
[00:12:27.080 --> 00:12:31.560]   like a white legal pad and it had the CSAIL logo, the status center up in the corner. And I just kept
[00:12:31.560 --> 00:12:35.880]   a list of there of things I needed to do. And I would cross things off as I would do them. And eventually,
[00:12:35.880 --> 00:12:40.760]   the page would have so many things crossed off. I would copy the uncrossed off things to a new page
[00:12:40.760 --> 00:12:46.520]   that was clean. If you want a more modern or work through example of that very simple way,
[00:12:46.520 --> 00:12:50.680]   look at Ryder Carroll's bullet journal method that does something similar. You write things you have
[00:12:50.680 --> 00:12:54.840]   to do and just copy to a clean page when it gets too messy. But that's the bare bones here. I have a
[00:12:54.840 --> 00:12:58.600]   calendar for things that are time sensitive in a file or a notepad that I have everything else.
[00:12:58.600 --> 00:13:05.480]   That works. The minimal viable system, that's enough. If you want to get somewhat more advanced,
[00:13:05.480 --> 00:13:10.360]   you can combine a calendar with a status board. This is a course I've talked on the show,
[00:13:10.360 --> 00:13:16.440]   what I do. I use Trello. One board for each of the roles in my life. A different column on each
[00:13:16.440 --> 00:13:21.080]   board for different statuses of things I need to do. Each card on each column is a thing I have to do.
[00:13:21.080 --> 00:13:27.720]   So I might have a board for my role as director of undergraduate studies for the computer science
[00:13:27.720 --> 00:13:34.840]   department at Georgetown. And I might have a column in there that is something like major declaration
[00:13:34.840 --> 00:13:39.960]   requests that still need to be processed. And then I have a card for each student who has
[00:13:39.960 --> 00:13:44.280]   written me saying, "Hey, I want to declare a major." And I have kind of the information I have in there.
[00:13:44.280 --> 00:13:49.880]   I have another row in that that says to discuss with the chair at the next meeting I have with the
[00:13:49.880 --> 00:13:55.080]   chair. I have another thing in there that says to discuss with the associate director. And there we
[00:13:55.080 --> 00:13:59.480]   meet once a week and I store cards there with tasks that we're going to discuss at the next
[00:13:59.480 --> 00:14:02.680]   meeting. I have a waiting to hear back from column there that's very important.
[00:14:03.480 --> 00:14:07.800]   Oh, I had a question of this student and now I'm waiting to hear back from them. I put a card there
[00:14:07.800 --> 00:14:11.560]   so I won't forget that explains, "Here's the student. Here's what I asked them. I'm waiting to hear back
[00:14:11.560 --> 00:14:19.080]   this. Here's the next step." So that's what I do, status boards. But as long as you have some way of
[00:14:19.080 --> 00:14:24.200]   putting stuff down where you're not going to forget it and you'll review regularly, you have a minimally
[00:14:24.200 --> 00:14:31.720]   viable task management system. What about workload management? Well, here, look, you need some way of
[00:14:31.720 --> 00:14:38.280]   estimating your current workload. So what is on my plate? We sometimes use the phrase on this show,
[00:14:38.280 --> 00:14:43.640]   facing the productivity dragon, just facing directly. This is the full magnitude of what is on my plate,
[00:14:43.640 --> 00:14:49.160]   of things I've agreed to do. You need some way of understanding what your personal maximum effective
[00:14:49.160 --> 00:14:55.480]   workload is. Like this is roughly how much I can do at once. That estimate may be broken down into
[00:14:55.480 --> 00:14:59.240]   different types of work. And so you should be able to compare those two things and have some sense
[00:14:59.240 --> 00:15:05.640]   where your actual workload is going beyond your estimated, like this is what I'm comfortably can handle.
[00:15:05.640 --> 00:15:11.320]   And the workload management needs some collection of rules and tools that you use to try to
[00:15:11.320 --> 00:15:15.880]   keep those two things balanced. That's what a workload management system needs. Now, how you do that,
[00:15:15.880 --> 00:15:20.520]   there's a million different ways. If we're gonna go with just like minimum simple things you could do
[00:15:20.520 --> 00:15:25.320]   for workload management to satisfy those properties, a couple of simple ideas. And these come from my
[00:15:25.320 --> 00:15:31.240]   book, Slow Productivity. Preschedule big commitments on your calendar is a simple thing to do. All right,
[00:15:31.240 --> 00:15:35.720]   I'm going to agree to do this big thing. I'm going to go and actually find the time on my calendar
[00:15:35.720 --> 00:15:40.760]   at the point of agreement. I will go at that point and go find time on my calendar to schedule,
[00:15:40.760 --> 00:15:45.960]   to work on this. If it takes 10 hours, I'll find three hours here, four hours here. I will find and
[00:15:45.960 --> 00:15:51.880]   protect that time. So now I'm actually allocating my actual hours to the agreement as opposed to just
[00:15:51.880 --> 00:15:56.920]   agreeing it. And it's just abstractly added to my workload. And sometimes it gets near to do this,
[00:15:56.920 --> 00:16:01.800]   like where am I going to find the time to do it? You get a nice little reality check from having to
[00:16:01.800 --> 00:16:06.200]   pre-schedule time for major commitments, which is if you don't have that time available in the near future,
[00:16:07.000 --> 00:16:11.480]   you can't avoid that reality. Because you're trying to find, hey, I got to schedule the 10
[00:16:11.480 --> 00:16:15.000]   hours for this hypothetical chore. And if I can't find those 10 hours in the next two weeks, I can't
[00:16:15.000 --> 00:16:20.680]   do it in the next two weeks. It gives you feedback on how crowded your schedule actually is.
[00:16:20.680 --> 00:16:25.880]   Or at first you're easily finding time for things, but then as your schedule fills, you have to start
[00:16:25.880 --> 00:16:30.360]   looking out farther into the future to schedule things. And eventually you have to tell people like,
[00:16:30.360 --> 00:16:33.480]   yeah, look, I'm scheduling a month out now. I've filled the next four weeks.
[00:16:33.480 --> 00:16:37.880]   If you're not pre-scheduling time and you're just saying yes to all of those things,
[00:16:37.880 --> 00:16:41.960]   it's still going to take up that much time. You just don't know it yet. You're going to have to
[00:16:41.960 --> 00:16:47.080]   pay that bill as those deadlines get due and the work is going to get done in a frenzy of stress.
[00:16:47.080 --> 00:16:50.760]   It's not going to get done that well. Another very simple thing you can do is have quotas for
[00:16:50.760 --> 00:16:55.560]   a particular type of work. Yes, I do these type of committees, but only one per quarter.
[00:16:56.680 --> 00:17:03.480]   Yes, I'm willing to do peer review, but I do four per semester. Once I hit my quota, I'm done.
[00:17:03.480 --> 00:17:08.040]   Yeah, I do calls. I think it's important in my role as an entrepreneur that I do calls,
[00:17:08.040 --> 00:17:11.400]   hop on calls with young entrepreneurs who want advice, but I can only do one per week.
[00:17:11.400 --> 00:17:18.760]   Quotas allow you to keep things that are important, but potentially schedule strangling. They keep those
[00:17:18.760 --> 00:17:23.480]   things in your life, but in a way that is reasonable. Another simple thing, if you're just doing bare
[00:17:23.480 --> 00:17:29.240]   bones here, would be project counts. You just figure out through experience, maybe through doing that
[00:17:29.240 --> 00:17:34.360]   pre-scheduling for a while, how many projects are the major types of projects you do in your job? How
[00:17:34.360 --> 00:17:39.960]   many can you usually handle before things become a little bit too stressful? And then you just have
[00:17:39.960 --> 00:17:43.560]   this very simple system. I only do three at a time. I'm at three. I got to wait till I finish something.
[00:17:43.560 --> 00:17:47.000]   It's this bare bone things you can do for workload management.
[00:17:48.040 --> 00:17:52.920]   If you want to get more advanced, you can do, like I talked about in slow productivity,
[00:17:52.920 --> 00:18:00.040]   some sort of individual scale or team scale implementation of a agile Kanban style work
[00:18:00.040 --> 00:18:05.880]   tracking system, where you separate what you have agreed to work on or your team has agreed to work
[00:18:05.880 --> 00:18:10.520]   on from what is actually being worked on. And you have clear WIPs or work in progress limits for what
[00:18:10.520 --> 00:18:15.080]   is actually being worked on at any one time. If you have a team, you could actually have something like
[00:18:15.720 --> 00:18:22.760]   a Kanban board where there is digital cards. These used to be done with physical note cards on bulletin
[00:18:22.760 --> 00:18:27.400]   boards, but now there's any number of digital products for this, of all the things your team
[00:18:27.400 --> 00:18:33.560]   needs to work on. And those things exist in a sort of to be worked on section of your virtual board.
[00:18:33.560 --> 00:18:40.040]   No one is responsible for those things until they get moved to the column for someone labeled with
[00:18:40.040 --> 00:18:44.920]   someone's particular name. And then I can see like, okay, here's the Cal column. The things under the
[00:18:44.920 --> 00:18:49.640]   column is what I am working on. Now. These are the only things you can talk to me about the things over
[00:18:49.640 --> 00:18:54.600]   here. No one's working on yet. You can email me about these things. Hey, what's going on with such
[00:18:54.600 --> 00:18:58.200]   and such. We talked about it. It's not been assigned yet. I'll talk. I'll talk to you when it is.
[00:18:58.200 --> 00:19:04.040]   Here's the two things I'm working on and you have a clear limit. Like here's what's reasonable work on
[00:19:04.040 --> 00:19:08.120]   two things at a time, three things on a time. You can give those things a lot of time. The fraction of
