
[00:00:00.000 --> 00:00:04.000]   (music)
[00:00:04.000 --> 00:00:09.000]   Well, last Wednesday we looked at what makes Pastor John tick.
[00:00:09.000 --> 00:00:13.000]   There he gave us a glimpse into his ministry and his aims.
[00:00:13.000 --> 00:00:16.000]   That was APJ 1769.
[00:00:16.000 --> 00:00:21.000]   In today's clip, I return to that same sermon because he goes from that point
[00:00:21.000 --> 00:00:26.000]   of what makes him tick in ministry to talking about how God makes much of us,
[00:00:26.000 --> 00:00:32.000]   his children, and why he makes much of us, his children.
[00:00:32.000 --> 00:00:37.000]   First, the point to clearly state it, God makes much of us.
[00:00:37.000 --> 00:00:41.000]   He does, and he does so beyond our wildest imaginations.
[00:00:41.000 --> 00:00:47.000]   In fact, we'll see that point next week in greater detail, how God makes much of us.
[00:00:47.000 --> 00:00:51.000]   So hold that thought for now because here in this Wednesday sermon clip,
[00:00:51.000 --> 00:00:54.000]   I want you to see that, yes, God makes much of us,
[00:00:54.000 --> 00:00:59.000]   but his plan aims at something far greater than merely making us feel loved
[00:00:59.000 --> 00:01:03.000]   for the sake of making us feel loved.
[00:01:03.000 --> 00:01:05.000]   You'll see why here in just a moment.
[00:01:05.000 --> 00:01:08.000]   Again, as we dive into this sermon clip for context,
[00:01:08.000 --> 00:01:12.000]   this comes from a sermon preached two weeks out from John Piper's eight-month
[00:01:12.000 --> 00:01:15.000]   leave of absence from his church in 2010.
[00:01:15.000 --> 00:01:19.000]   These are part of his parting words, so to speak, to his church, and in them,
[00:01:19.000 --> 00:01:26.000]   here's Pastor John to explain how God makes much of us and why he does it this way.
[00:01:26.000 --> 00:01:28.000]   Here's Pastor John.
[00:01:28.000 --> 00:01:36.000]   My shorthand way of trying to help the nominal Christian wake up to their real condition
[00:01:36.000 --> 00:01:40.000]   and then plead for regeneration, plead for an awakening,
[00:01:40.000 --> 00:01:44.000]   so that at the bottom of their souls is Jesus and not self,
[00:01:44.000 --> 00:01:51.000]   is to say, "Do you feel more loved by God when he makes much of you,
[00:01:51.000 --> 00:01:58.000]   or do you feel more loved by God when at great cost to his son,
[00:01:58.000 --> 00:02:05.000]   he frees you from that horrible bondage to self in order to enjoy making much of him forever
[00:02:05.000 --> 00:02:14.000]   so that the peak of your joy is see him, savor him, show him?"
[00:02:14.000 --> 00:02:17.000]   Now, all that's introduction.
[00:02:17.000 --> 00:02:24.000]   Today, I am really jealous that this concern of mine that I just described
[00:02:24.000 --> 00:02:32.000]   not undermine the immeasurable way that God loves you,
[00:02:32.000 --> 00:02:38.000]   including his making much of you.
[00:02:38.000 --> 00:02:46.000]   He makes more of you, Christian, true, born-again, struggling Christian,
[00:02:46.000 --> 00:02:54.000]   he makes more of you than you ever dreamed he could or would.
[00:02:54.000 --> 00:03:03.000]   I want you to see and feel that you are more loved by God when he loves you that way
[00:03:03.000 --> 00:03:06.000]   than any other way.
[00:03:06.000 --> 00:03:14.000]   He makes more of you when he makes much of you for his sake
[00:03:14.000 --> 00:03:19.000]   than if he were to make much of you only for your sake.
[00:03:19.000 --> 00:03:21.000]   If I didn't believe that, I wouldn't preach this sermon.
[00:03:21.000 --> 00:03:27.000]   God is making more of you when he makes much of you for his sake
[00:03:27.000 --> 00:03:31.000]   than if he only made much of you for your sake.
[00:03:31.000 --> 00:03:38.000]   More is being made of you, and I hope to show you that.
[00:03:38.000 --> 00:03:43.000]   I argued, I mean, I said that God reveals himself relentlessly in the Bible
[00:03:43.000 --> 00:03:47.000]   as loving you for his namesake.
[00:03:47.000 --> 00:03:51.000]   Let me give you just a few examples so that those of you who may not be as familiar
[00:03:51.000 --> 00:03:54.000]   with this as others will get on board with me.
[00:03:54.000 --> 00:03:56.000]   You'll know, "What are you saying?
[00:03:56.000 --> 00:03:57.000]   What do you mean by that?"
[00:03:57.000 --> 00:03:59.000]   I'm going to give you four or five examples.
[00:03:59.000 --> 00:04:05.000]   Number one, God shows his love for us by predestining us for adoption
[00:04:05.000 --> 00:04:07.000]   into his family.
[00:04:07.000 --> 00:04:10.000]   I don't--every one of these feels like the greatest act of love to me.
[00:04:10.000 --> 00:04:12.000]   I want to say, "This is the greatest."
[00:04:12.000 --> 00:04:15.000]   Well, it's probably--I want to reserve that for the cross, I think,
[00:04:15.000 --> 00:04:17.000]   but, man, this is big.
[00:04:17.000 --> 00:04:22.000]   That God in eternity looked upon me foreseeing my fallenness, my pride,
[00:04:22.000 --> 00:04:26.000]   my sin, and said, "I want that man in my family.
[00:04:26.000 --> 00:04:29.000]   I'll do anything to get him in my family.
[00:04:29.000 --> 00:04:35.000]   I will pay for him to be in my family with my son's life."
[00:04:35.000 --> 00:04:36.000]   That's love, folks.
[00:04:36.000 --> 00:04:39.000]   That is mega, off-the-charts love.
[00:04:39.000 --> 00:04:42.000]   And the verse is Ephesians 1, 6.
[00:04:42.000 --> 00:04:46.000]   "He predestined us for adoption as sons to Jesus Christ."
[00:04:46.000 --> 00:04:47.000]   Get that?
[00:04:47.000 --> 00:04:56.000]   "He predestined us for adoption into the divine, universe-ruling family
[00:04:56.000 --> 00:05:01.000]   according to the purpose of his will, to the praise of his glorious grace."
[00:05:01.000 --> 00:05:03.000]   Does that ruin it?
[00:05:03.000 --> 00:05:07.000]   Does that ruin it?
[00:05:07.000 --> 00:05:09.000]   No.
[00:05:09.000 --> 00:05:11.000]   He did it.
[00:05:11.000 --> 00:05:13.000]   He said, "I'm going to have John Piper.
[00:05:13.000 --> 00:05:16.000]   I'm going to have you in my family.
[00:05:16.000 --> 00:05:18.000]   I've decided this before the world is created.
[00:05:18.000 --> 00:05:26.000]   I'm having you to the praise of the glory of my grace."
[00:05:26.000 --> 00:05:29.000]   I hope that doesn't ruin it for you.
[00:05:29.000 --> 00:05:36.000]   I want to make it more, more, not less, that he did it for his glory.
[00:05:36.000 --> 00:05:43.000]   Number two, God shows his love for us by creating us.
[00:05:43.000 --> 00:05:47.000]   If we didn't have existence, we couldn't enjoy him or anything else.
[00:05:47.000 --> 00:05:50.000]   So he loved us into being.
[00:05:50.000 --> 00:05:52.000]   Why?
[00:05:52.000 --> 00:05:56.000]   Isaiah 43, 6, "Bring my sons from afar, my daughters from the ends of the earth,
[00:05:56.000 --> 00:06:01.000]   everyone who is called by my name, whom I created for my glory."
[00:06:01.000 --> 00:06:06.000]   Don't let that diminish the love of God for you and your creation,
[00:06:06.000 --> 00:06:10.000]   that you came into being for his glory.
[00:06:10.000 --> 00:06:21.000]   Number three, God shows his love for us by sending us a savior, the angels.
