
[00:00:00.000 --> 00:00:00.840]   That's good.
[00:00:00.840 --> 00:00:01.440]   All right, cool.
[00:00:01.440 --> 00:00:04.880]   So yeah, so I was asked to give this presentation
[00:00:04.880 --> 00:00:07.080]   on the foundations of deep learning, which
[00:00:07.080 --> 00:00:11.120]   is mostly going over basic feedforward neural networks
[00:00:11.120 --> 00:00:13.640]   and motivating a little bit deep learning
[00:00:13.640 --> 00:00:15.960]   and some of the more recent developments
[00:00:15.960 --> 00:00:17.480]   and some of the topics that you'll
[00:00:17.480 --> 00:00:20.120]   see across the next two days.
[00:00:20.120 --> 00:00:26.080]   So as Andrew mentioned, I have just an hour.
[00:00:26.080 --> 00:00:27.520]   So I'm going to go fairly quickly
[00:00:27.520 --> 00:00:29.160]   on a lot of these things, which I think
[00:00:29.160 --> 00:00:31.600]   would mostly be fine if you're familiar enough
[00:00:31.600 --> 00:00:35.320]   with some machine learning and a little bit about neural nets.
[00:00:35.320 --> 00:00:36.800]   But if you'd like to go into some
[00:00:36.800 --> 00:00:38.280]   of the more specific details, you
[00:00:38.280 --> 00:00:41.320]   can go check out my online lectures on YouTube.
[00:00:41.320 --> 00:00:44.400]   It's now taught by a much younger version of myself.
[00:00:44.400 --> 00:00:47.800]   And so just search for Hugo Larochelle.
[00:00:47.800 --> 00:00:50.640]   And I am not the guy doing a bunch of skateboarding.
[00:00:50.640 --> 00:00:52.920]   I'm the geek teaching about neural nets.
[00:00:52.920 --> 00:00:56.560]   So go check those out if you want more details.
[00:00:56.560 --> 00:00:58.880]   But so what I'll cover today is--
[00:00:58.880 --> 00:01:02.280]   I'll start with just describing and laying out
[00:01:02.280 --> 00:01:04.920]   the notation on feedforward neural networks, that
[00:01:04.920 --> 00:01:07.280]   is, models that take an input vector x--
[00:01:07.280 --> 00:01:09.320]   that might be an image or some text--
[00:01:09.320 --> 00:01:11.360]   and produces an output f of x.
[00:01:11.360 --> 00:01:13.120]   So I'll just describe forward propagation
[00:01:13.120 --> 00:01:16.040]   and the different types of units and the type of functions
[00:01:16.040 --> 00:01:17.680]   we can represent with those.
[00:01:17.680 --> 00:01:20.720]   And then I'll talk about how we actually train neural nets,
[00:01:20.720 --> 00:01:22.600]   describing things like loss functions,
[00:01:22.600 --> 00:01:26.160]   backpropagation that allows us to get a gradient for training
[00:01:26.160 --> 00:01:27.700]   with stochastic gradient descent,
[00:01:27.700 --> 00:01:29.840]   and mention a few tricks of the trade,
[00:01:29.840 --> 00:01:32.720]   so some of the things we do in practice to successfully train
[00:01:32.720 --> 00:01:33.680]   neural nets.
[00:01:33.680 --> 00:01:37.680]   And then I'll end by talking about some developments that
[00:01:37.680 --> 00:01:41.240]   are specifically useful in the context of deep learning, that
[00:01:41.240 --> 00:01:45.220]   is, neural networks with several hidden layers that came out
[00:01:45.220 --> 00:01:46.920]   at the very--
[00:01:46.920 --> 00:01:49.880]   after the beginning of deep learning, say, in 2006.
[00:01:49.880 --> 00:01:52.200]   That is, things like dropout, batch normalization,
[00:01:52.200 --> 00:01:55.800]   and if I have some time, unsupervised pre-training.
[00:01:55.800 --> 00:01:57.560]   So let's get started.
[00:01:57.560 --> 00:02:00.400]   And just talk about, assuming we have some neural network,
