
[00:00:00.040 --> 00:00:18.720]   Yeah, I mean the actual title has curse words in it. I will probably be cursing a lot. I didn't
[00:00:18.720 --> 00:00:23.280]   know if I would get into the track if I actually published the curse words. I'm one of the founders
[00:00:23.280 --> 00:00:28.560]   of teammates. I'm gonna wear my product manager hat today. I'm assuming this room is like mostly
[00:00:28.560 --> 00:00:33.180]   product folks, probably product minded engineers as well, but I'm gonna just like wear the product
[00:00:33.180 --> 00:00:40.020]   hat. A little bit about teammates, very quickly we make a platform for designing and managing an
[00:00:40.020 --> 00:00:45.480]   entire digital workforce. So in AI engineer parlance, right, we're building agents, but I would think of
[00:00:45.480 --> 00:00:51.000]   it like two ticks up from that because what we really believe it is the experience, the interaction
[00:00:51.000 --> 00:00:56.000]   patterns of humans and computers working together. So I want to talk to you about my favorite teammate.
[00:00:56.000 --> 00:01:01.880]   This is Stacy, Stacy Hand. She actually got promoted since this slide. She's an L3 engineer right now
[00:01:01.880 --> 00:01:07.460]   on our team. She's awesome. She looks like a hamster. All of our customers get to design whatever teammates
[00:01:07.460 --> 00:01:13.220]   and avatars they want. They give them personalities. It's all really fun. And Stacy lives inside all of
[00:01:13.220 --> 00:01:19.100]   our collaboration tools. So she has a Google Workspace account, right, for Gmail. She has a Slack account.
[00:01:19.100 --> 00:01:32.840]   We truly leaned into giving all of our teammates identity. And she sends emails, or I forward her emails. And she hangs out in Slack, like in the public channels. And she's Gen Alpha, which like is, I don't know what, I feel really old. I don't know what she's talking about. She's constantly like six, seven. And I'm like, what are you talking about? And I could tell from this room that none of you are, have 12 year olds.
[00:01:32.840 --> 00:01:36.920]   is I don't know what I feel really old I don't know what she's talking about she's constantly
[00:01:36.920 --> 00:01:41.080]   like six seven and I'm like what are you talking about and I can tell from this room that none of
[00:01:41.080 --> 00:01:46.920]   you are have 12 year olds no okay there you go so yeah you're rolling your eyes as well but anyway
[00:01:46.920 --> 00:01:52.040]   this is Stacy and this is sort of how my sales pitch goes right it's it's you know a little more
[00:01:52.040 --> 00:01:58.760]   formal than this but like this is generally the pitch and I got asked a question at some point
[00:01:58.760 --> 00:02:03.720]   recently which was oh yeah more the pitch right she'd like it shares Google Docs Google Sheets
[00:02:03.720 --> 00:02:09.800]   and she said hey or a customer said hey can I tag my teammate in a Google Doc comment and this
[00:02:09.800 --> 00:02:14.600]   did me pause because I was like well I had never actually thought about that before and so in the
[00:02:14.600 --> 00:02:18.520]   back of my mind I'm like well of course you can your question is like what's going to happen so I'm like
[00:02:18.520 --> 00:02:23.080]   okay so I'm like you know doing math in my head I'm like okay well we don't have webhooks she probably
[00:02:23.080 --> 00:02:27.720]   won't or like a webhook from the comment okay but she's going to get the email notification in the email
[00:02:27.720 --> 00:02:33.000]   that comes from Google does it have the comment and the content or maybe a link well I'm like
[00:02:33.000 --> 00:02:38.920]   I have no idea right I actually don't know what's going to happen and this was like the impetus for
