
[00:00:00.000 --> 00:00:09.680]   (beeping)
[00:00:09.680 --> 00:00:18.060]   (music)
[00:00:18.060 --> 00:00:22.140]   This is Portfolio Rescue. Before we got on the air, Duncan and I were just talking about
[00:00:22.140 --> 00:00:26.260]   how impressed we are by the caliber of questions we're getting from people. People seem to
[00:00:26.260 --> 00:00:29.820]   have their finances in order. I'd like to think it's because they're following our advice,
[00:00:29.820 --> 00:00:33.440]   but I think actually they follow this stuff because they've already done pretty well for
[00:00:33.440 --> 00:00:39.280]   themselves. Remember, our email here is AskTheCompoundShow@gmail.com. Today's Portfolio Rescue is brought to you
[00:00:39.280 --> 00:00:43.200]   by Bird Dog. It's the most comfortable and stylish shorts and pants in my closet. Two
[00:00:43.200 --> 00:00:48.400]   weeks ago, Duncan, it's 80 degrees here in Michigan. So I have my shorts on, very comfortable.
[00:00:48.400 --> 00:00:52.400]   I got the liner. It's great. Can wear it with a nice button-down shirt or maybe just an
[00:00:52.400 --> 00:00:56.540]   athletic tee. I'm a new convert to the pants. Over the past year or so, my daughter had
[00:00:56.540 --> 00:01:00.600]   a soccer tournament this past weekend and we were dealing with wind and rain and hail,
[00:01:00.600 --> 00:01:04.780]   so I needed to be warm and comfortable. So I put on the Bird Dog sweatpants. All weekend,
[00:01:04.780 --> 00:01:08.040]   they were just delightful. All the other soccer dads were so jealous of me because I looked
[00:01:08.040 --> 00:01:12.940]   stylish and I was comfortable in the wind and rain and hail. BirdDogs.com, if you want
[00:01:12.940 --> 00:01:18.260]   to stock up on shorts, joggers, sweats, pants, use the code BenPR and you get a free 20-ounce
[00:01:18.260 --> 00:01:22.900]   Bird Dog tumbler for coffee, water. If you're like me, diet Pepsi maybe, right? Keep stuff
[00:01:22.900 --> 00:01:26.460]   hot, warm, cold. That's BenPR and it's at BirdDogs.com.
[00:01:26.460 --> 00:01:31.840]   I don't have anything as cool as that as looking good in front of other people, but the sweatpants
[00:01:31.840 --> 00:01:35.520]   are so comfy, I've actually been sleeping in them some. They're like comfy pajamas.
[00:01:35.520 --> 00:01:38.140]   They're great, aren't they? Yeah.
[00:01:38.140 --> 00:01:43.760]   I love it. Okay. So like I mentioned, we've been getting some great ... I mean, it's really
[00:01:43.760 --> 00:01:49.080]   cool how people are so open to sharing with us. People give us their salaries, their jobs,
[00:01:49.080 --> 00:01:52.340]   their retirement account balances, when they're going to retire, all this stuff. People share
[00:01:52.340 --> 00:01:55.240]   very personal information, so we don't take that for granted. We really appreciate it.
[00:01:55.240 --> 00:02:00.260]   So here is one right now and I think the first one up is our first not to brag of the week.
[00:02:00.260 --> 00:02:05.860]   Yeah. Yeah. Getting started strong. So first up we have, "I just read Nick's latest and
[00:02:05.860 --> 00:02:10.180]   I'm feeling a bit ashamed. Nick is awesome and just keep buying is my investment motto.
[00:02:10.180 --> 00:02:16.600]   I'm 34, my wife is 28 and not to brag, we make about $590,000 a year with a net worth
[00:02:16.600 --> 00:02:22.860]   of 1.2 million. We max out our 401ks and take the employer match, about $55,000 a year.
[00:02:22.860 --> 00:02:28.700]   We also save between $20,000 and $40,000 if not more. Our savings rate in my monthly budget
[00:02:28.700 --> 00:02:35.660]   is about 24%. I wonder if they use Excel like you. I also own one income producing rental
[00:02:35.660 --> 00:02:42.380]   in the Midwest. However, we live in Los Angeles and spend a lot. We take extravagant vacations.
[00:02:42.380 --> 00:02:46.580]   I drive a nice car. Wish you would have told us what kind, but that's okay. I like nice
[00:02:46.580 --> 00:02:51.140]   clothing, etc. After reading Nick's piece, I felt like I should be saving more even though
[00:02:51.140 --> 00:02:55.260]   I know we save adequately, if not more than most. Save me, Ben.
[00:02:55.260 --> 00:02:59.980]   Listen, you don't need me to save you financially. In your mid-30s, financially, you're doing
[00:02:59.980 --> 00:03:04.620]   amazing. You're at four, you have a seven-figure net worth, you make a mid-six-figure income,
[00:03:04.620 --> 00:03:09.060]   you have a rental property that's income producing, you have a 24% savings rate. You're in an
[00:03:09.060 --> 00:03:13.980]   amazing place financially. If you never saved another dime, you have $1.2 million net worth
[00:03:13.980 --> 00:03:18.340]   and it compounded at 5% per year over the next 30 years. By retirement age, you're looking
[00:03:18.340 --> 00:03:25.060]   at $5.2 million. You are fine. You're doing just fine. You need me to save you psychologically.
[00:03:25.060 --> 00:03:31.300]   This is obviously a good problem to have. This person is not alone. It can be a psychological
