
[00:00:00.000 --> 00:00:04.560]   Hello everybody, it's Sam and Sydney and in this episode we want to talk about
[00:00:04.560 --> 00:00:10.420]   Generational wealth and why there's so much angst of the not rich enough class
[00:00:10.420 --> 00:00:16.360]   But before we do, please don't forget to sign up for our weekly newsletter at financial samurai.com
[00:00:16.360 --> 00:00:20.100]   Forward-slash news and if you enjoy this ad free podcast
[00:00:20.100 --> 00:00:28.080]   We'd really appreciate a positive 5-star review as well as picking up a copy of by this not that at financial samurai.com
[00:00:29.160 --> 00:00:30.720]   By this not that
[00:00:30.720 --> 00:00:36.320]   So the other week some parents had asked me whether I had read a column in The Washington Post
[00:00:36.320 --> 00:00:44.720]   Entitled the 400k conundrum and in the post it talked about how households making 400k and above were struggling to make ends meet
[00:00:44.720 --> 00:00:46.300]   They didn't feel rich
[00:00:46.300 --> 00:00:51.040]   Even though they had a top 2% income now if this sounds familiar
[00:00:51.040 --> 00:00:56.260]   Well, I've been writing about this subject since I started financial samurai in 2009
[00:00:56.880 --> 00:01:00.860]   Talking about earning two hundred thousand dollars not having much left over
[00:01:00.860 --> 00:01:09.320]   Making three hundred thousand dollars and living a middle-class lifestyle and even making five hundred thousand dollars and kind of scraping by that
[00:01:09.320 --> 00:01:13.020]   Was actually one of my most popular posts out of all time
[00:01:13.020 --> 00:01:17.720]   because there was a lot of pissed off people who read and said how can you make five hundred thousand dollars and
[00:01:17.720 --> 00:01:20.560]   Just scrape by and never be able to escape the rat race
[00:01:21.160 --> 00:01:27.840]   Well, I proved in each one of these posts with a budget a very detailed realistic a budget about
[00:01:27.840 --> 00:01:30.920]   How quickly money can go as a result?
[00:01:30.920 --> 00:01:34.520]   I think there is a lot of ongoing angst and anxiety
[00:01:34.520 --> 00:01:41.920]   From some of these high-income earning households that seem to have at all great jobs upward mobility everything
[00:01:41.920 --> 00:01:48.360]   However, based on my years of research, I think the three main reasons why there's so much angst and anxiety
[00:01:49.280 --> 00:01:55.440]   are the following one never-ending comparison to a lack of generational wealth and
[00:01:55.440 --> 00:01:57.840]   three having children
[00:01:57.840 --> 00:01:59.960]   so before we had children, I
[00:01:59.960 --> 00:02:06.640]   Didn't feel that much angst and anxiety while I was making six figures a year working in investment banking
[00:02:06.640 --> 00:02:12.040]   Did you feel that I had any anxiety or did you have any angst and anxiety before we had children?
[00:02:12.040 --> 00:02:16.200]   No, I think a lot of it all it pretty much started once the kids came
[00:02:16.840 --> 00:02:18.840]   Right, and so that's the thing
[00:02:18.840 --> 00:02:24.760]   When I wrote scraping by on five hundred thousand dollars a year, this was two years before we had children
[00:02:24.760 --> 00:02:30.960]   But I wanted to empathize with households who just couldn't get off the rat race
[00:02:30.960 --> 00:02:35.600]   I mean after all I had left a multiple six-figure job behind several years earlier
[00:02:35.600 --> 00:02:40.640]   And I was thinking myself. Well if I could do it, why can't you too?
[00:02:40.640 --> 00:02:46.080]   But the real difference between then is that back then I didn't have children
[00:02:46.640 --> 00:02:50.640]   And now we do so now I clearly understand why there is so much ongoing
[00:02:50.640 --> 00:02:58.640]   Anxiety with these high-income earning households and you find many of them many of them in some of our larger cities like New York City
[00:02:58.640 --> 00:03:00.720]   San Francisco, Los Angeles
[00:03:00.720 --> 00:03:07.000]   Where Seattle I think everywhere like for example if you get a job in tech
[00:03:07.000 --> 00:03:09.800]   You're starting comp is around
[00:03:10.400 --> 00:03:17.160]   150 to 200 thousand dollars as a 22 23 year old and it's the same thing with finance and management consulting
[00:03:17.160 --> 00:03:19.440]   So and then and then if you couple
[00:03:19.440 --> 00:03:26.040]   Couple up then that's double the income, right? So I feel this anxiety comes from having kids and
[00:03:26.040 --> 00:03:31.000]   Worrying worrying that our kids will not have it as good as us
[00:03:31.000 --> 00:03:39.000]   because ironically the more you make the higher your income the harder it is for our kids to match that income and
[00:03:39.520 --> 00:03:43.800]   Potentially our lifestyle. So Cindy, I'm curious to hear your thoughts on
[00:03:43.800 --> 00:03:51.840]   Whether you have anxiety about our children's future and in terms of them making money and living a comfortable lifestyle
[00:03:51.840 --> 00:04:00.520]   Yes, if I start thinking about them having to apply to college and interviewing and finding a job I get stressed out quickly
[00:04:00.520 --> 00:04:06.840]   But then I have to remind myself, you know, they're not they're not at that age yet
[00:04:06.840 --> 00:04:11.200]   You know, we're trying to get through elementary school. So we still have a long runway
[00:04:11.200 --> 00:04:19.280]   but I think a lot of parents can easily start to worry especially as their kids get into the teenage years and
[00:04:19.280 --> 00:04:21.640]   College becomes closer and closer
[00:04:21.640 --> 00:04:26.400]   You know, not just the cost but actually getting in it is so competitive
[00:04:26.400 --> 00:04:30.860]   you know, you hear all these stories on social media about such and such student who had
[00:04:30.860 --> 00:04:34.720]   Straight a's did all these extracurricular activities, you know
[00:04:34.720 --> 00:04:38.180]   They had this amazing looking resume and then they didn't get into any good schools
[00:04:38.180 --> 00:04:45.600]   It's I think it causes a lot of anxiety for parents. What do you think? I think so as well as you know
[00:04:45.600 --> 00:04:47.840]   I've been obsessed with
