
[00:00:00.720 --> 00:00:09.900]   What is pleasure and how does it work at the biological level? And if it feels right at the
[00:00:09.900 --> 00:00:17.500]   psychological level, I think we, and if you don't mind painting a picture of sort of the range of
[00:00:17.500 --> 00:00:24.560]   things that you have observed in your clinic or in life that people can become addicted to,
[00:00:24.560 --> 00:00:28.360]   but just to start off really simply, what is this thing that we call pleasure?
[00:00:28.360 --> 00:00:35.420]   Well, I think it's actually really hard to define pleasure in any kind of succinct way because
[00:00:35.420 --> 00:00:45.400]   certainly there is the seeking out of a high or a euphoria or I think the kind of experience that
[00:00:45.400 --> 00:00:52.660]   most anybody would associate with the word pleasure, but also the seeking out of those
[00:00:52.660 --> 00:00:59.720]   same substances and behaviors is often a way to escape pain. So for example, when I talk
[00:00:59.720 --> 00:01:10.780]   to people with addiction sometimes their initial foray into using a drug is to get pleasure, but very
[00:01:10.780 --> 00:01:18.040]   often it's a way to escape their suffering, whatever their suffering may be. And certainly as people become
[00:01:18.040 --> 00:01:25.160]   addicted, even those who initially were seeking out pleasure are ultimately just trying to avoid the pain
[00:01:25.160 --> 00:01:34.220]   of withdrawal or the pain of the consequences of their drug use. So I think it's very hard to actually
[00:01:34.220 --> 00:01:41.220]   define it as this unitary thing. And it's certainly not just getting a high. There are so many ways in which
[00:01:41.220 --> 00:01:50.280]   people sort of want to escape, which is not the same thing as sort of this hedonic, you know, wanting to feel pleasure.
[00:01:50.280 --> 00:01:59.340]   That's fascinating. So let's talk about the pleasure pain balance and addiction. And I've heard you use this seesaw or
[00:01:59.340 --> 00:02:11.340]   balance scale analogy before. And I think it's a wonderful one that really, for me, clarified what addiction is, at least at the mechanistic level.
[00:02:11.340 --> 00:02:20.400]   Yeah, so to me, one of the most significant findings in neuroscience in the last 75 years is that pleasure and pain are co-located,
[00:02:20.400 --> 00:02:26.400]   which means the same parts of the brain that process pleasure also process pain. And they work like a balance.
[00:02:26.400 --> 00:02:32.400]   So when we feel pleasure, our balance tips one way. When we feel pain, it tips in the opposite direction.
[00:02:32.400 --> 00:02:41.460]   And one of the overriding rules governing this balance is that it wants to stay level so it doesn't want to remain tipped very long to pleasure or to pain.
[00:02:41.460 --> 00:02:49.460]   And with any deviation from neutrality, the brain will work very hard to restore a level balance or what scientists call homeostasis.
[00:02:49.460 --> 00:02:58.460]   And the way the brain does that is with any stimulus to one side, there will be a tip in equal and opposite amount to the other side.
[00:02:58.460 --> 00:03:00.520]   It's like you have principle laws of physics.
[00:03:00.520 --> 00:03:08.520]   Yes, right. Right. So like, I like to watch YouTube videos when I watch YouTube videos of American Idol, you know, it tips to the side of pleasure.
[00:03:08.520 --> 00:03:17.520]   And then when I stop watching it, I have a come down, right, which is a tip to the equal and opposite amount on the other side.
[00:03:17.520 --> 00:03:20.520]   And that's that moment of wanting to watch one more YouTube video, right?
