
[00:00:00.000 --> 00:00:06.120]   Welcome, everyone.
[00:00:06.120 --> 00:00:08.420]   This screencast kicks off our unit on
[00:00:08.420 --> 00:00:11.660]   advanced behavioral evaluation of NLU models.
[00:00:11.660 --> 00:00:13.960]   For this unit, we're going to switch gears a little bit.
[00:00:13.960 --> 00:00:16.880]   We've been very focused on architectures and models.
[00:00:16.880 --> 00:00:18.900]   We are now going to turn our attention
[00:00:18.900 --> 00:00:21.260]   to the nature of evaluation,
[00:00:21.260 --> 00:00:22.440]   how we gather evidence,
[00:00:22.440 --> 00:00:24.640]   and how we mark progress in the field.
[00:00:24.640 --> 00:00:26.300]   For this unit, we're going to focus
[00:00:26.300 --> 00:00:27.820]   on behavioral evaluations,
[00:00:27.820 --> 00:00:30.100]   those based in input-output behavior.
[00:00:30.100 --> 00:00:32.080]   In the next unit, we're going to try to go
[00:00:32.080 --> 00:00:34.680]   one layer deeper to uncover information
[00:00:34.680 --> 00:00:38.600]   about how models manage those input-output mappings.
[00:00:38.600 --> 00:00:42.000]   To kick this off, I think it's useful to reflect a little bit
[00:00:42.000 --> 00:00:44.380]   on the varieties of evaluation that we
[00:00:44.380 --> 00:00:47.640]   conduct in the field and in AI more broadly.
[00:00:47.640 --> 00:00:49.360]   For this unit, as I said,
[00:00:49.360 --> 00:00:51.160]   we'll be focused on behavioral methods.
[00:00:51.160 --> 00:00:53.680]   We are just focused on whether or not models produce
[00:00:53.680 --> 00:00:56.400]   the desired output given some inputs,
[00:00:56.400 --> 00:00:58.400]   and we don't directly attend to
[00:00:58.400 --> 00:01:00.960]   how they manage to do that mapping.
[00:01:00.960 --> 00:01:03.560]   Standard evaluations are often called
[00:01:03.560 --> 00:01:07.780]   IID evaluations for independent and identically distributed.
[00:01:07.780 --> 00:01:10.760]   The intuition here is that we have
[00:01:10.760 --> 00:01:12.160]   some test examples that are
[00:01:12.160 --> 00:01:14.840]   disjoint from the ones the system was trained on,
[00:01:14.840 --> 00:01:17.460]   but we have a underlying guarantee that
[00:01:17.460 --> 00:01:18.960]   the test examples are
[00:01:18.960 --> 00:01:21.540]   very much like those that were seen in training.
[00:01:21.540 --> 00:01:23.760]   This standard mode gives us a lot of
[00:01:23.760 --> 00:01:26.480]   guarantees about what we can expect at test time,
[00:01:26.480 --> 00:01:29.960]   but it is also very friendly to our systems.
[00:01:29.960 --> 00:01:33.240]   With exploratory analyses, you might start to
[00:01:33.240 --> 00:01:36.380]   venture outside of that IID assumption.
[00:01:36.380 --> 00:01:38.500]   You might know or not know about
[00:01:38.500 --> 00:01:41.180]   what the training data were like,
[00:01:41.180 --> 00:01:43.840]   but the idea is that you're now going to start to probe to see
[00:01:43.840 --> 00:01:46.180]   whether the model has certain capabilities
[00:01:46.180 --> 00:01:48.440]   via examples that you construct,
[00:01:48.440 --> 00:01:49.960]   and they might go outside
[00:01:49.960 --> 00:01:52.520]   of what you'd expect from the training data.
[00:01:52.520 --> 00:01:54.920]   That could also be hypothesis-driven.
[00:01:54.920 --> 00:01:57.300]   You might just ask a question like, "Hey,
[00:01:57.300 --> 00:01:59.380]   does my model know about synonyms
[00:01:59.380 --> 00:02:01.640]   or does it know about lexical entailment?"
[00:02:01.640 --> 00:02:04.100]   You might construct a dataset that probe
[00:02:04.100 --> 00:02:08.240]   specifically for ways of answering that particular question.
[00:02:08.240 --> 00:02:11.100]   You're using a behavioral evaluation to answer
[00:02:11.100 --> 00:02:15.040]   a more conceptual hypothesis-driven question there.
[00:02:15.040 --> 00:02:17.840]   In challenge datasets, you might start to
[00:02:17.840 --> 00:02:20.340]   adventure outside of the friendly mode.
[00:02:20.340 --> 00:02:23.020]   In this mode with challenge datasets,
[00:02:23.020 --> 00:02:26.420]   you might be posing problems that you know are going to be
[00:02:26.420 --> 00:02:28.520]   difficult given the nature
[00:02:28.520 --> 00:02:30.720]   of the training experiences of your model.
[00:02:30.720 --> 00:02:32.840]   You're trying to push the limits to see
[00:02:32.840 --> 00:02:35.280]   where it's going to fall down essentially.
[00:02:35.280 --> 00:02:39.020]   That could become truly adversarial in the sense that you might have
[00:02:39.020 --> 00:02:40.700]   done a full study of
[00:02:40.700 --> 00:02:43.100]   the train data and the properties of the model,
[00:02:43.100 --> 00:02:46.580]   and then constructed examples where you know the model is going to
[00:02:46.580 --> 00:02:48.620]   fail as a way of revealing
[00:02:48.620 --> 00:02:52.460]   some problematic behavior or important weakness.
[00:02:52.460 --> 00:02:55.280]   We could escalate all the way to what I've
[00:02:55.280 --> 00:02:58.280]   called security-oriented behavioral evaluations.
[00:02:58.280 --> 00:03:00.680]   In this mode, you might be deliberately
[00:03:00.680 --> 00:03:03.300]   constructing examples that you would expect to fall
[00:03:03.300 --> 00:03:06.960]   outside of the normal user interaction with your model,
[00:03:06.960 --> 00:03:09.220]   maybe with unfamiliar characters or
[00:03:09.220 --> 00:03:12.060]   character combinations to see what happens.
[00:03:12.060 --> 00:03:15.140]   In particular, you might be looking to see whether with
[00:03:15.140 --> 00:03:18.140]   those very unusual out-of-distribution inputs,
[00:03:18.140 --> 00:03:20.100]   the model does something that is
[00:03:20.100 --> 00:03:24.300]   toxic or problematic or unsafe in some way.
[00:03:24.300 --> 00:03:27.540]   Those are all behavioral evaluations.
[00:03:27.540 --> 00:03:31.340]   We could contrast those with what I've called structural evaluations,
[00:03:31.340 --> 00:03:34.420]   probing, feature attribution, and interventions.
[00:03:34.420 --> 00:03:36.680]   These are the topic of the next unit.
[00:03:36.680 --> 00:03:40.100]   With structural evaluations, what we try to do is go beyond
[00:03:40.100 --> 00:03:42.260]   input-output mappings and really
[00:03:42.260 --> 00:03:45.900]   understand the mechanisms at work behind those behaviors.
[00:03:45.900 --> 00:03:48.660]   I think the ideal for that would be that we uncover
[00:03:48.660 --> 00:03:52.300]   the causal mechanisms behind model behaviors.
[00:03:52.300 --> 00:03:55.020]   Those go beyond behavioral testing and I think
[00:03:55.020 --> 00:03:58.700]   complement behavioral testing really powerfully.
[00:03:58.700 --> 00:04:03.660]   Let's reflect a little bit on standard evaluations in the field.
[00:04:03.660 --> 00:04:06.420]   I think the upshot here is that they are
[00:04:06.420 --> 00:04:09.540]   extremely friendly to our systems in ways that
[00:04:09.540 --> 00:04:11.620]   should increasingly worry us as we think
[00:04:11.620 --> 00:04:14.620]   about systems being deployed in the wider world.
[00:04:14.620 --> 00:04:18.140]   For standard evaluations, at step 1,
[00:04:18.140 --> 00:04:21.900]   you create a dataset from a single process.
[00:04:21.900 --> 00:04:24.660]   That is the part to emphasize, a single process.
[00:04:24.660 --> 00:04:26.660]   You could scrape a website,
[00:04:26.660 --> 00:04:28.980]   you could reformat a database,
[00:04:28.980 --> 00:04:31.060]   you could crowdsource some labels for
[00:04:31.060 --> 00:04:32.980]   some examples and so forth and so on.
[00:04:32.980 --> 00:04:36.540]   Whatever you do, you run this one process.
[00:04:36.540 --> 00:04:38.280]   Then in the next phase,
[00:04:38.280 --> 00:04:42.500]   you divide the dataset into disjoint train and test sets,
[00:04:42.500 --> 00:04:44.140]   and you set the test set aside.
[00:04:44.140 --> 00:04:45.560]   It's under lock and key,
[00:04:45.560 --> 00:04:48.220]   you won't look at it until the very end.
[00:04:48.220 --> 00:04:50.380]   That's really good because that's going to be
[00:04:50.380 --> 00:04:53.580]   our estimate of the capacity of the system to generalize.
[00:04:53.580 --> 00:04:56.860]   But notice you've already been very friendly to your system
[00:04:56.860 --> 00:04:59.900]   because step 1 offers you a guarantee that
[00:04:59.900 --> 00:05:02.460]   those test examples will in some sense be
[00:05:02.460 --> 00:05:05.900]   very much like those that you saw in training.
[00:05:05.900 --> 00:05:09.080]   Then you develop your system on the train set.
[00:05:09.080 --> 00:05:11.480]   Only after all development is complete,
[00:05:11.480 --> 00:05:13.400]   you evaluate the system based on
[00:05:13.400 --> 00:05:17.000]   some notion of accuracy standardly on the test set.
[00:05:17.000 --> 00:05:20.600]   Then this is crucial, you do report the results as
[00:05:20.600 --> 00:05:24.840]   an estimate of the system's capacity to generalize.
[00:05:24.840 --> 00:05:26.680]   At that point, you're communicating with
[00:05:26.680 --> 00:05:28.440]   the wider world and saying,
[00:05:28.440 --> 00:05:30.940]   you have a measure of the system's accuracy,
[00:05:30.940 --> 00:05:33.640]   and you know people will infer that that means that's
[00:05:33.640 --> 00:05:35.820]   the accuracy that they will experience
[00:05:35.820 --> 00:05:38.980]   if they use the model in free usage.
[00:05:38.980 --> 00:05:40.900]   This is the part that worries me.
[00:05:40.900 --> 00:05:44.260]   Step 1 was a single process for creating the data,
[00:05:44.260 --> 00:05:46.380]   and we report that as an estimate
[00:05:46.380 --> 00:05:48.640]   of the system's capacity to generalize.
[00:05:48.640 --> 00:05:51.260]   Even though we know full well that the world is
[00:05:51.260 --> 00:05:53.540]   not a single homogeneous process,
[00:05:53.540 --> 00:05:56.620]   we absolutely know that once the model is deployed,
[00:05:56.620 --> 00:05:58.700]   it will encounter examples that are
[00:05:58.700 --> 00:06:02.100]   very different from those that were created at step 1.
[00:06:02.100 --> 00:06:03.700]   That is the worrisome part,
