
[00:00:00.000 --> 00:00:16.960]   A lot of effort has gone into thinking about the engineering of inference and not so much
[00:00:16.960 --> 00:00:23.440]   effort and not so much success has been had at the engineering the rest of the like whole product
[00:00:23.440 --> 00:00:32.400]   around inference that actually you know delivers value much like the two beautiful mathematical
[00:00:32.400 --> 00:00:37.120]   solids here that does provide the bones or the interior but not the whole thing.
[00:00:37.120 --> 00:00:44.480]   So let's talk about a couple of like architectures and patterns for uses of language models and then
[00:00:44.480 --> 00:00:49.760]   talk about the like first attempts at like trying to make these things better over time
[00:00:50.400 --> 00:00:57.840]   with monitoring observability and evaluation. So architectures and patterns. So the
[00:00:57.840 --> 00:01:04.160]   foment and excitement around this stuff has been around for about a year and so patterns are starting
[00:01:04.160 --> 00:01:09.840]   to emerge very slowly of like typical ways you might apply these things. So let's talk about
[00:01:09.840 --> 00:01:17.760]   them and what problems have arisen. So my favorite way of thinking about this in general is that the
[00:01:17.760 --> 00:01:23.920]   thing that we're building right now are language user interfaces sort of like louis by analogy to
[00:01:23.920 --> 00:01:31.360]   GUIs or graphical user interfaces. First they're hitting existing features soon they'll be for like
[00:01:31.360 --> 00:01:40.480]   completely new whole products. In ancient times in the 1970s the interface for computers was primarily
[00:01:40.480 --> 00:01:45.360]   like textual in a terminal. This is still the way we interact with machines when we really want to
[00:01:45.360 --> 00:01:51.120]   control them like when we're running a server or when we are frustrated with VS code.
[00:01:51.120 --> 00:01:59.680]   And this was the user interface from computers for a while and they were not very popular until the
[00:01:59.680 --> 00:02:04.800]   invention of the graphical user interface which instead of presenting the users with just like
[00:02:04.800 --> 00:02:11.280]   you have to learn this special language to speak to me like here's this like sensory experience where you
[00:02:11.280 --> 00:02:18.320]   can bring your intuition from space and your visual system to understand how to use the machine.
[00:02:18.320 --> 00:02:25.680]   And this was what took computers sort of like out of the hobbyist and business and military realm and into
[00:02:25.680 --> 00:02:32.400]   like people's homes. And with the rise of language models it's clear that we have an opportunity to once again change the interface between humans and machines.
[00:02:32.400 --> 00:02:53.520]   By telling them what we want in natural language and then they do it for us. And no less augusta personage than Sam Altman likes the idea of language interface.
[00:02:53.520 --> 00:03:01.520]   So this similar character to graphical user interfaces it like makes it a more approachable interface.
[00:03:01.520 --> 00:03:07.200]   And this is something that people have wanted to do for a long time as long back as like the Eliza chatbots.
[00:03:07.200 --> 00:03:27.360]   The Eliza chatbot from the 1960s. The Shirdloo basically like this is only graphical not an actual robot but you could like tell a computer robot like give it language instructions like pick up a big red block.
[00:03:27.360 --> 00:03:34.400]   Ask Jeeves was originally presented as a language interface to the internet where you just type what you want instead of a URL.
[00:03:34.400 --> 00:03:38.960]   Alexa and other assistants have attempted to do a similar thing.
[00:03:38.960 --> 00:03:45.040]   And the big win here is with language models we might believe that we can actually do a really,
[00:03:45.040 --> 00:03:49.920]   really good job at providing this kind of language interface in a very generic way with foundation
[00:03:49.920 --> 00:03:57.280]   models and not just like a tiny environment like the Eliza psychotherapy environment or the Shirdloo blocks world.
[00:03:59.760 --> 00:04:04.960]   So right now that's we're getting language user interfaces for existing systems that kind of admit them easily.
[00:04:04.960 --> 00:04:20.880]   So Sequoia put out a piece fairly recently talking about this that the like for this like act two of generative AI is using foundation models as a piece of a more comprehensive solution rather than an entire solution.
[00:04:21.600 --> 00:04:25.360]   that offers like a language interface where it wasn't possible before.
[00:04:25.360 --> 00:04:37.120]   So like this query assistant from Honeycomb takes what would normally be this like less approachable query language constructor and just says like can you show me slow requests.
[00:04:37.120 --> 00:04:43.440]   What are my errors latency distribution by status code like that's a much friendlier interface.
[00:04:43.440 --> 00:04:52.960]   And you know even SQL when it was originally presented was like it's a it's a language that's so natural even a businessman can write queries.
[00:04:52.960 --> 00:04:58.080]   You know it's a dream but like you know that this can you show me slow requests like that's pretty close.
[00:04:58.080 --> 00:05:07.440]   You know so so that's the like maybe understandable that that's the first direction things have gone longer term.
[00:05:07.440 --> 00:05:14.560]   This like a machines that have graphical interfaces look very different from ones that have terminal interfaces.
[00:05:14.560 --> 00:05:21.920]   And so like mainframes became less popular and like mobile is like quite different from like desktop compute.
[00:05:21.920 --> 00:05:31.120]   So we should expect like if you're thinking about what do I want to build in five years or 10 years this is kind of the direction to be thinking.
