
[00:00:00.040 --> 00:00:10.680]   share
[00:01:26.480 --> 00:01:27.540]   and I'll see you next time.
[00:01:27.580 --> 00:01:33.860]   at
[00:01:33.860 --> 00:01:39.460]  他說
[00:01:39.460 --> 00:01:52.560]   right, and,.,,,,ись bottle Jug I'm not two especially in the letter. . . . . . . . ., component, ", qué, ped,기에, investigate, or, consider, feel, Bad, den, conv,,,,,,,,,,,,,,,,,,,,,,,,,,,,, freeze my name, my bout en unlike ber double� cash concentrated Courtney polar視 którzy coriander
[00:01:52.560 --> 00:01:54.360]   I'm the old coinc amor
[00:01:54.360 --> 00:01:55.400]   and I'm even quá dalla
[00:01:55.400 --> 00:01:56.240]   secret always cannot criança et réfl just
[00:01:56.280 --> 00:02:24.640]  BT,,,
[00:02:26.180 --> 00:02:33.500]   De
[00:02:33.500 --> 00:02:36.160]   as the
[00:02:36.160 --> 00:02:54.460]   releases這 Sultan D T I I with the right, or, or, or, or,or, fell,
[00:02:56.180 --> 00:03:26.180]   I can do a little bit better job of keeping track of my financial data.
[00:03:26.180 --> 00:03:26.180]   I can do a little bit better job of keeping track of my financial data.
[00:03:26.180 --> 00:03:26.180]   Basically, I've come to the conclusion that if you store data online,
[00:03:26.180 --> 00:03:26.180]   You can expect in the fullness of time that all data that you give anybody
[00:03:26.180 --> 00:03:26.180]   online is going to be hacked.
[00:03:26.180 --> 00:03:26.180]   And so that's one of the reasons why I've stopped putting any of my data
[00:03:26.180 --> 00:03:26.180]   into any kind of central repository.
[00:03:26.180 --> 00:03:26.180]   I no longer use, I don't use personal capital.
[00:03:26.180 --> 00:03:26.180]   I don't use mint.
[00:03:26.180 --> 00:03:26.180]   I don't use any of the online YNAB services
[00:03:26.180 --> 00:03:26.180]   I don't use any of the online YNAB services
[00:03:26.180 --> 00:03:26.180]   I don't use any of the online YNAB services
[00:03:26.180 --> 00:03:26.180]   I don't use any of the online YNAB services
[00:03:26.180 --> 00:03:26.180]   I don't use any of the online YNAB services
[00:03:26.180 --> 00:03:26.180]   I don't use any of the online YNAB services
[00:03:26.180 --> 00:03:56.200]   I don't use any of the online YNAB services
[00:03:56.200 --> 00:03:56.200]   I don't use any of the online YNAB services
[00:03:56.200 --> 00:03:56.200]   I don't use any of the online YNAB services
[00:03:56.200 --> 00:03:56.200]   I don't use any of the online YNAB services
[00:03:56.200 --> 00:03:56.200]   I don't use any of the online YNAB services
[00:03:56.200 --> 00:03:56.200]   I don't use any of the online YNAB services
[00:03:56.200 --> 00:03:56.200]   I don't use any of the online YNAB services
[00:03:56.220 --> 00:04:26.220]   I don't use any of the online YNAB services
[00:04:26.220 --> 00:04:26.220]   I don't use any of the online YNAB services
[00:04:26.220 --> 00:04:26.220]   I don't use any of the online YNAB services
[00:04:26.220 --> 00:04:26.220]   I don't use any of the online YNAB services
[00:04:26.220 --> 00:04:26.220]   I don't use any of the online YNAB services
[00:04:26.220 --> 00:04:26.220]   I don't use any of the online YNAB services
[00:04:26.220 --> 00:04:26.220]   I don't use any of the online YNAB services
[00:04:26.220 --> 00:04:26.220]   I don't use any of the online YNAB services
[00:04:26.220 --> 00:04:26.220]   I don't use any of the online YNAB services
[00:04:26.220 --> 00:04:26.220]   I don't use any of the online YNAB services
[00:04:26.220 --> 00:04:26.220]   I don't use any of the online YNAB services
