
[00:00:00.040 --> 00:00:09.640]   чист
[00:07:44.500 --> 00:07:44.500]   in a close family sort of view of Susan's parents who had were, you know, her dad was in the process of retiring her mother was needing additional care and they were really looking at a retirement that was going to be extremely limited for a couple of people that love to travel and Susan's mother was very, very much of an activist in her days and and yeah so I mean it was kind of a combination of those things that I think it was a combination of those things that I think it was an excellent job.
[00:07:44.520 --> 00:07:45.540]   I think all.
[00:07:45.540 --> 00:07:48.220]   I think all kind of pointed us towards let's do things differently.
[00:07:48.220 --> 00:08:14.520]   Right. Right. If I had met you say six months into that trip and you were just starting to feel like we're just getting started and we might want to change something. Would you have guessed or even imagined that you'd be on the road for another 17 years now? No, no, I don't think so. Yeah, I mean, it's it's like I said it was it was very much of a of a base.
[00:08:14.520 --> 00:08:14.520]   Yeah, I mean, it's it's like I said it was it was very much of a of a base.
[00:08:14.520 --> 00:08:14.520]   Yeah, I mean, it's it's like I said it was it was very much of a of a base.
[00:08:14.520 --> 00:08:14.520]   Yeah, I mean, it's it's like I said it was it was very much of a of a base.
[00:08:14.520 --> 00:08:44.540]   and so it really wasn't until we had a couple of years where we were able to do that.
[00:08:44.560 --> 00:09:14.560]   Yeah, I mean, it's it's like I said it was it was a couple of years where we were able to do that.
[00:09:14.560 --> 00:09:14.560]   Yeah, I mean, it's it's like I said it was it was a couple of years where we were able to do that.
[00:09:14.560 --> 00:09:14.560]   Yeah, I mean, it's it's like I said it was it was a couple of years where we were able to do that.
[00:09:14.560 --> 00:09:14.560]   Yeah, I mean, it's it's like I said it was it was a couple of years where we were able to do that.
[00:09:14.560 --> 00:09:14.560]   Yeah, I mean, it's it's like I said it was it was a couple of years where we were able to do that.
[00:09:14.560 --> 00:09:14.560]   Yeah, I mean, it's it's like I said it was it was a couple of years where we were able to do that.
[00:09:14.560 --> 00:09:14.560]   Yeah, I mean, it's it's it's like I said it was a couple of years where we were able to do that.
[00:09:14.600 --> 00:09:44.580]  ,
[00:09:44.580 --> 00:09:44.580]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:09:44.580 --> 00:09:44.580]   Okay, yeah, I mean, it's it's a couple of years where we were able to do that.
[00:09:44.580 --> 00:09:44.580]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:09:44.580 --> 00:09:44.580]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:09:44.580 --> 00:09:44.580]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:09:44.580 --> 00:09:44.580]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:09:44.580 --> 00:09:44.580]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:09:44.580 --> 00:09:44.580]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:09:44.600 --> 00:10:14.600]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:10:14.600 --> 00:10:14.600]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:10:14.600 --> 00:10:14.600]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:10:14.600 --> 00:10:14.600]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:10:14.600 --> 00:10:14.600]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:10:14.600 --> 00:10:14.600]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:10:14.600 --> 00:10:14.600]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:10:14.600 --> 00:10:14.600]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:10:14.600 --> 00:10:14.600]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:10:14.620 --> 00:10:44.620]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:10:44.620 --> 00:10:44.620]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:10:44.620 --> 00:10:44.620]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:10:44.620 --> 00:10:44.620]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:10:44.620 --> 00:10:44.620]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:10:44.620 --> 00:10:44.620]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:10:44.620 --> 00:10:44.620]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:10:44.620 --> 00:10:44.620]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:10:44.620 --> 00:10:44.620]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:10:44.640 --> 00:11:14.640]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:11:14.640 --> 00:11:14.640]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:11:14.640 --> 00:11:14.640]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:11:14.640 --> 00:11:14.640]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:11:14.640 --> 00:11:14.640]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:11:14.640 --> 00:11:14.640]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:11:14.640 --> 00:11:14.640]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:11:14.640 --> 00:11:14.640]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:11:14.640 --> 00:11:14.640]   Yeah, I mean, it's it's it's it's a couple of years where we were able to do that.
[00:11:14.660 --> 00:11:44.660]   I mean, it's it's it's a couple of years where we were able to do that.
[00:11:44.660 --> 00:11:44.660]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:11:44.660 --> 00:11:44.660]   Yeah, I mean, it's it's it's it's a couple of years where we were able to do that.
[00:11:44.700 --> 00:12:14.680]  ,
[00:12:14.680 --> 00:12:14.680]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:12:14.680 --> 00:12:14.680]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:12:14.680 --> 00:12:14.680]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:12:14.680 --> 00:12:14.680]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:12:14.680 --> 00:12:14.680]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:12:14.680 --> 00:12:14.680]   Yeah, I mean, it's it's it's it's a couple of years where we were able to do that.
[00:12:14.700 --> 00:12:44.700]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:12:44.700 --> 00:12:44.700]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:12:44.700 --> 00:12:44.700]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:12:44.700 --> 00:12:44.700]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:12:44.700 --> 00:12:44.700]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:12:44.700 --> 00:12:44.700]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:12:44.700 --> 00:12:44.700]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:12:44.700 --> 00:12:44.700]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:12:44.700 --> 00:12:44.700]   Yeah, I mean, it's it's it's it's a couple of years where we were able to do that.
[00:12:44.720 --> 00:13:14.720]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:13:14.720 --> 00:13:14.720]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:13:14.720 --> 00:13:14.720]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:13:14.720 --> 00:13:14.720]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:13:14.720 --> 00:13:14.720]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:13:14.720 --> 00:13:14.720]   Yeah, I mean, it's it's it's it's a couple of years where we were able to do that.
[00:13:14.720 --> 00:13:44.740]  ,
[00:13:44.740 --> 00:14:14.760]  ,
[00:14:14.760 --> 00:14:14.760]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:14:14.760 --> 00:14:14.760]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:14:14.760 --> 00:14:14.760]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:14:14.760 --> 00:14:14.760]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:14:14.760 --> 00:14:14.760]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:14:14.760 --> 00:14:14.760]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:14:14.760 --> 00:14:14.760]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:14:14.760 --> 00:14:14.760]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:14:14.780 --> 00:14:44.780]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:14:44.780 --> 00:14:44.780]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:14:44.780 --> 00:14:44.780]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:14:44.780 --> 00:14:44.780]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:14:44.780 --> 00:14:44.780]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:14:44.780 --> 00:14:44.780]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:14:44.780 --> 00:14:44.780]   Yeah, I mean, it's it's it's it's a couple of years where we were able to do that.
[00:14:44.800 --> 00:15:14.800]   Yeah, I mean, it's it's a couple of years where we were able to do that.
[00:15:14.800 --> 00:15:14.800]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:15:14.800 --> 00:15:14.800]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:15:14.800 --> 00:15:14.800]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:15:14.800 --> 00:15:14.800]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:15:14.800 --> 00:15:14.800]   Yeah, I mean, it's it's it's a couple of years where we were able to do that.
[00:15:14.800 --> 00:15:14.800]   Yeah, I mean, it's it's it's it's a couple of years where we were able to do that.
[00:15:14.840 --> 00:15:44.820]   all the safety equipment that we bought for the boat was really expensive and had to be inspected.
[00:15:44.840 --> 00:16:14.840]   So every year, and we weren't really confident enough with relying on those.
[00:16:14.840 --> 00:16:14.840]   So every year, and we weren't really confident enough with relying on those.
[00:16:14.840 --> 00:16:14.840]   I mean, when you're out in the ocean and you've got bad weather and various different kinds of issues, the last thing you're thinking about is, I want to sit down at my computer.
[00:16:14.840 --> 00:16:14.840]   Right, right.
[00:16:14.840 --> 00:16:14.840]   So we had paper charts and we spend a couple of thousand dollars a year, right? Just on paper charts. Because you have to have
[00:16:14.840 --> 00:16:14.840]   a couple of thousand dollars a year, right? Just on paper charts. Because you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:16:14.840 --> 00:16:14.840]   because you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:16:14.840 --> 00:16:14.840]   Right.
[00:16:14.840 --> 00:16:14.840]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:16:14.840 --> 00:16:44.860]  ,
[00:16:44.860 --> 00:16:44.860]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:16:44.860 --> 00:16:44.860]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:16:44.860 --> 00:16:44.860]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:16:44.860 --> 00:16:44.860]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:16:44.860 --> 00:16:44.860]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:16:44.860 --> 00:16:44.860]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:16:44.880 --> 00:17:14.880]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:17:14.880 --> 00:17:14.880]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:17:14.880 --> 00:17:14.880]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:17:14.880 --> 00:17:14.880]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:17:14.880 --> 00:17:14.880]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:17:14.880 --> 00:17:14.880]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:17:14.880 --> 00:17:14.880]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:17:14.880 --> 00:17:14.880]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:17:14.900 --> 00:17:44.900]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:17:44.900 --> 00:17:44.900]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:17:44.900 --> 00:17:44.900]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:17:44.900 --> 00:17:44.900]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:17:44.900 --> 00:17:44.900]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:17:44.900 --> 00:17:44.900]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:17:44.900 --> 00:17:44.900]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:17:44.900 --> 00:17:44.900]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:17:44.900 --> 00:18:14.920]  , and that kind of thing. And I think, you know, you can look at this kind of thing, too, with exact kind of thing with RVing. I mean, we've made an investment. We very much have this RV. And I think, you know, you can look at this kind of thing, too, with exact kind of thing with RVing. I mean, we've made an investment. We very much have this RV.
[00:18:14.920 --> 00:18:14.920]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:18:14.920 --> 00:18:14.920]   So every year, you have to have a couple of thousand dollars a year, right? Just on paper charts.
[00:18:14.940 --> 00:18:44.940]   You know, you can look at this kind of thing, too, with exact kind of thing with RVing. I mean, we've made an investment. We very much have this RV.
[00:18:44.940 --> 00:18:44.940]   You know, you can look at this kind of thing with exact kind of thing with RVing. I mean, you can look at this kind of thing with exact kind of thing with RVing.
[00:18:44.940 --> 00:18:44.940]   You know, you can look at this kind of thing with exact kind of thing with RVing. I mean, you can look at this kind of thing with exact kind of thing with RVing.
[00:19:14.960 --> 00:19:14.960]   We've made an investment.
[00:19:14.960 --> 00:19:14.960]   We very much have this kind of thing with exact kind of thing with RVing.
[00:19:15.000 --> 00:19:24.840]  國
[00:19:24.840 --> 00:19:25.180]   saliva pero
[00:22:27.640 --> 00:22:30.740]   get
[00:22:30.740 --> 00:22:36.800]  這,
[00:22:36.800 --> 00:22:56.060]  �實. I'm. I..,....�는
[00:26:18.360 --> 00:26:28.440]  --
[00:26:28.440 --> 00:26:44.260]  , annoying y in a'm,,,,, Wie De F nothin but'm tone. I'm not a則, I, the, the, the, the, the, the, the, the, the, the, the, the, the, the, it's, him,lt. I'm.cómo. позвол.".ד. contrary. love.
[00:26:44.260 --> 00:26:47.300]   not be
[00:26:47.300 --> 00:26:48.340]  ав.
[00:26:48.380 --> 00:26:58.700]   N
[00:26:58.700 --> 00:27:00.520]  , and a
[00:28:13.280 --> 00:28:20.660]   T
[00:28:20.660 --> 00:28:42.300]   vieite,,,, believe 50rat ac allow out with and I was at gonna
[00:28:42.500 --> 00:28:53.280]   a
[00:28:53.280 --> 00:29:10.000]   or, движ,,,, confirm the T E T T Heaven is the suggest the, is,,,,,,,,,, wasn dec高 AND F F 이� το視 when you think of you is the as you mean in your
[00:29:10.780 --> 00:29:11.800]   is the as you mean in your mind.
[00:29:11.800 --> 00:29:12.800]   is the as you mean in your mind.
[00:29:12.800 --> 00:29:13.800]   is the as you mean in your mind.
[00:29:13.800 --> 00:29:14.800]   And so, you know, I think that's
[00:29:14.800 --> 00:29:15.800]   mind.
[00:29:15.800 --> 00:29:16.800]   And so, you know, I think that's
[00:29:16.800 --> 00:29:17.800]   mind.
[00:29:17.800 --> 00:29:18.800]   And so, you know, I think that's what I'm trying to say.
[00:29:18.800 --> 00:29:19.800]   And so, you know, I think that's
[00:29:19.800 --> 00:29:20.800]   And so, you know, I think that's what I'm trying to say.
[00:29:20.800 --> 00:29:21.800]   And so, you know, I think that's what I'm trying to say.
[00:29:21.800 --> 00:29:22.800]   And so, you know, I think that's
[00:29:22.800 --> 00:29:23.800]   And so, you know, I think that's what I'm trying to say.
[00:29:23.800 --> 00:29:24.800]   And so, you know, I think that's
[00:29:24.800 --> 00:29:25.800]   And so, you know, I think that's what I'm trying to say.
[00:29:25.800 --> 00:29:26.800]   And so, you know, I think that's
[00:29:26.800 --> 00:29:27.800]   what I'm trying to say.
[00:29:27.840 --> 00:29:37.880]   a
[00:29:37.880 --> 00:29:38.720]   price身,,,, teach
[00:29:38.720 --> 00:29:44.660]  алист
[00:30:54.720 --> 00:31:05.060]   buy
[00:31:05.060 --> 00:31:06.220]  회,,,,
[00:33:20.880 --> 00:33:20.880]   I don't know if you can hear me or not. But you know, having said that, I mean we've made a lot of great new friends when we've been, we've got, you know, we've got RVing friends that we're quite close to and, you know, new synergies, new things in common with those people that just don't exist with people that we were tight with 25, 30 years ago. Right. Susan?
[00:33:20.880 --> 00:33:20.880]   Susan:
[00:33:50.120 --> 00:33:50.120]   S?:
[00:33:50.140 --> 00:34:19.360]  :
[00:34:19.360 --> 00:34:19.360]   S?: I don't feel that quite as much. I just, I don't really know how to answer that question. The, keeping up the curiosity about visiting new places is huge. I mean you have to have that to keep up the --.
[00:34:19.360 --> 00:34:19.360]   S?: How do you keep that up? Well, we, we stop for usually four or five months a year.
[00:34:19.360 --> 00:34:19.360]   S?: Well, we, we stop for usually four or five months a year.
[00:34:19.360 --> 00:34:19.360]   S?: Well, we, we stop for usually four or five months a year.
[00:34:19.360 --> 00:34:19.360]   S?: Well, we, we stop for usually four or five months a year.
[00:34:19.360 --> 00:34:19.360]   S?: Well, we, we stop for usually four or five months a year.
[00:34:19.360 --> 00:34:19.360]   S?: Well, we, we, we stop for usually four or five months a year.
[00:34:20.200 --> 00:34:48.600]  , and so I, and that was true when we were sailing also, because we had to be out of the hurricane belt. You know, so we would go somewhere and typically stay. And usually that's enough time to recharge and get the wandering deuces going again. So, and so far that has held up. But we'll see. We'll see.
[00:34:48.600 --> 00:34:48.600]   S?: Yeah, yeah, absolutely.
[00:34:48.600 --> 00:34:48.600]   S?: I don't think either of us has as much energy.
[00:34:48.600 --> 00:34:48.600]   S?: Yeah, yeah, absolutely.
[00:34:48.600 --> 00:34:48.600]   S?: I don't think either of us has as much energy.
[00:34:48.600 --> 00:34:48.600]   S?
[00:34:49.420 --> 00:34:51.400]   of
[00:34:51.400 --> 00:35:00.480]   be the,,,,
[00:36:44.860 --> 00:36:47.060]   The
[00:36:47.060 --> 00:36:54.780]   is not
[00:36:54.780 --> 00:37:09.880]   " "ira was out
[00:38:34.060 --> 00:38:45.040]   que
[00:38:45.040 --> 00:39:03.080]   No PC but et en ficide� chi but e change to Go, and, and, and, and, amazingly, I'm, 오�, Il,ific,
[00:39:04.060 --> 00:39:34.060]  venes, and I'm, o, I'm, o, I'm going to go to the next one.
[00:39:34.060 --> 00:39:34.060]   I'm, o, I'm going to go to the next one.
[00:39:34.060 --> 00:39:34.060]   I'm, o, I'm going to go to the next one.
[00:39:34.060 --> 00:39:34.060]   I'm, o, I'm going to go to the next one.
[00:39:34.060 --> 00:39:34.060]   I'm, o, I'm going to go to the next one.
[00:39:34.060 --> 00:39:34.060]   I'm, o, I'm going to go to the next one.
[00:39:34.060 --> 00:39:34.060]   I'm, o, I'm going to go to the next one.
[00:39:34.060 --> 00:39:34.060]   I'm, o, I'm going to go to the next one.
[00:39:34.060 --> 00:39:34.060]   I'm, o, I'm going to go to the next one.
[00:39:34.060 --> 00:39:34.060]   I'm, o, I'm going to go to the next one.
[00:39:34.060 --> 00:39:34.060]   I'm, o, I'm going to go to the next one.
[00:39:34.060 --> 00:39:34.060]   I'm, o, I'm going to go to the next one.
[00:39:34.060 --> 00:40:04.080]  , I'm, o, I'm going to go to the next one.
[00:40:04.080 --> 00:40:04.080]   I'm, o, I'm going to go to the next one.
[00:40:04.080 --> 00:40:04.080]   I'm, o, I'm going to go to the next one.
[00:40:04.080 --> 00:40:04.080]   I'm, o, I'm going to go to the next one.
[00:40:04.080 --> 00:40:04.080]   I'm, o, I'm going to go to the next one.
[00:40:04.080 --> 00:40:04.080]   I'm, o, I'm going to go to the next one.
[00:40:04.080 --> 00:40:04.080]   I'm, o, I'm going to go to the next one.
[00:40:04.080 --> 00:40:04.080]   I'm, o, I'm going to go to the next one.
[00:40:04.080 --> 00:40:04.080]   I'm, o, I'm going to go to the next one.
[00:40:04.080 --> 00:40:04.080]   I'm, o, I'm going to go to the next one.
[00:40:04.080 --> 00:40:04.080]   I'm, o, I'm going to go to the next one.
[00:40:04.100 --> 00:40:34.100]   I'm, o, I'm going to go to the next one.
[00:40:34.100 --> 00:40:34.100]   I'm, o, I'm going to go to the next one.
[00:40:34.100 --> 00:40:34.100]   I'm, o, I'm going to go to the next one.
[00:40:34.100 --> 00:40:34.100]   I'm, o, I'm going to go to the next one.
[00:40:34.100 --> 00:40:34.100]   I'm, o, I'm going to go to the next one.
[00:40:34.100 --> 00:40:34.100]   I'm, o, I'm going to go to the next one.
[00:40:34.100 --> 00:40:34.100]   I'm, o, I'm going to go to the next one.
[00:40:34.100 --> 00:40:34.100]   I'm, o, I'm going to go to the next one.
[00:40:34.100 --> 00:40:34.100]   I'm, o, I'm going to go to the next one.
[00:40:34.100 --> 00:40:34.100]   I'm, o, I'm going to go to the next one.
[00:40:34.100 --> 00:40:34.100]   I'm, o, I'm going to go to the next one.
[00:40:34.100 --> 00:40:34.100]   I'm, o, I'm going to go to the next one.
[00:40:34.100 --> 00:41:04.120]   I'm, o, I'm going to go to the next one.
[00:41:04.120 --> 00:41:04.120]   I'm, o, I'm going to go to the next one.
[00:41:04.120 --> 00:41:04.120]   I'm, o, I'm going to go to the next one.
[00:41:04.120 --> 00:41:04.120]   I'm, o, I'm going to go to the next one.
[00:41:04.120 --> 00:41:04.120]   I'm, o, I'm going to go to the next one.
[00:41:04.120 --> 00:41:04.120]   I'm, o, I'm going to go to the next one.
[00:41:04.120 --> 00:41:04.120]   I'm, o, I'm going to go to the next one.
[00:41:04.120 --> 00:41:04.120]   I'm, o, I'm going to go to the next one.
[00:41:04.120 --> 00:41:04.120]   I'm, o, I'm going to go to the next one.
[00:41:04.120 --> 00:41:04.120]   I'm, o, I'm going to go to the next one.
[00:41:04.120 --> 00:41:04.120]   I'm, o, I'm going to go to the next one.
[00:41:04.120 --> 00:41:04.120]   I'm, o, I'm going to go to the next one.
[00:41:04.120 --> 00:41:04.120]   I'm, o, I'm going to go to the next one.
[00:41:04.140 --> 00:41:34.140]   I'm, o, I'm going to go to the next one.
[00:41:34.140 --> 00:41:34.140]   I'm, o, I'm going to go to the next one.
[00:41:34.140 --> 00:41:34.140]   I'm, o, I'm going to go to the next one.
[00:41:34.140 --> 00:41:34.140]   I'm, o, I'm going to go to the next one.
[00:41:34.140 --> 00:41:34.140]   I'm, o, I'm going to go to the next one.
[00:41:34.140 --> 00:41:34.140]   I'm, o, I'm going to go to the next one.
[00:41:34.140 --> 00:41:34.140]   I'm, o, I'm going to go to the next one.
[00:41:34.140 --> 00:41:34.140]   I'm, o, I'm going to go to the next one.
[00:41:34.140 --> 00:41:34.140]   I'm, o, I'm going to go to the next one.
[00:41:34.140 --> 00:41:34.140]   I'm, o, I'm going to go to the next one.
[00:41:34.140 --> 00:41:34.140]   I'm, o, I'm going to go to the next one.
[00:41:34.140 --> 00:41:34.140]   I'm, o, I'm going to go to the next one.
[00:41:34.140 --> 00:42:04.160]   I'm, o, I'm going to go to the next one.
[00:42:04.160 --> 00:42:04.160]   I'm, o, I'm going to go to the next one.
[00:42:04.160 --> 00:42:04.160]   I'm, o, I'm going to go to the next one.
[00:42:04.160 --> 00:42:04.160]   I'm, o, I'm going to go to the next one.
[00:42:04.160 --> 00:42:04.160]   I'm, o, I'm going to go to the next one.
[00:42:04.160 --> 00:42:04.160]   I'm, o, I'm going to go to the next one.
[00:42:04.160 --> 00:42:04.160]   I'm, o, I'm going to go to the next one.
[00:42:04.160 --> 00:42:04.160]   I'm, o, I'm going to go to the next one.
[00:42:04.160 --> 00:42:04.160]   I'm, o, I'm going to go to the next one.
[00:42:04.160 --> 00:42:04.160]   I'm, o, I'm going to go to the next one.
[00:42:04.160 --> 00:42:04.160]   I'm, o, I'm going to go to the next one.
[00:42:04.160 --> 00:42:04.160]   I'm, o, I'm going to go to the next one.
[00:42:04.180 --> 00:42:34.180]   I'm, o, I'm going to go to the next one.
[00:42:34.180 --> 00:42:34.180]   I'm, o, I'm going to go to the next one.
[00:42:34.180 --> 00:42:34.180]   I'm, o, I'm going to go to the next one.
[00:42:34.180 --> 00:42:34.180]   I'm, o, I'm going to go to the next one.
[00:42:34.180 --> 00:42:34.180]   I'm, o, I'm going to go to the next one.
[00:42:34.180 --> 00:42:34.180]   I'm, o, I'm going to go to the next one.
[00:42:34.180 --> 00:42:34.180]   I'm, o, I'm going to go to the next one.
[00:42:34.180 --> 00:42:34.180]   I'm, o, I'm going to go to the next one.
[00:42:34.180 --> 00:42:34.180]   I'm, o, I'm going to go to the next one.
[00:42:34.180 --> 00:42:34.180]   I'm, o, I'm going to go to the next one.
[00:42:34.180 --> 00:42:34.180]   I'm, o, I'm going to go to the next one.
