
[00:00:00.000 --> 00:00:05.200]   With Kroger Brand products from Ralphs, you can make all your favorite things this holiday season.
[00:00:05.200 --> 00:00:09.800]   Because Kroger Brand's proven quality products come at exceptionally low prices.
[00:00:09.800 --> 00:00:14.800]   And with a money-back quality guarantee, every dish is sure to be a favorite.
[00:00:14.800 --> 00:00:18.000]   ♪ These are a few of my favorite things ♪
[00:00:18.000 --> 00:00:24.800]   Whether you shop delivery, pickup, or in-store, Kroger Brand has all your favorite things.
[00:00:24.800 --> 00:00:27.300]   Ralphs. Fresh for everyone.
[00:00:28.300 --> 00:00:40.300]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insights, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years or less.
[00:00:40.300 --> 00:00:45.300]   My name is Joshua Sheets. I am your host. Today is Friday, September 15, 2023.
[00:00:45.300 --> 00:00:51.300]   And on this Friday, as we do every Friday, in which I can arrange the relevant recording technology, we do live Q&A.
[00:00:51.300 --> 00:00:59.300]   It works just like call-in talk radio. Call in, ask about anything you want, raise any topic of conversation, raise any argument that you want, ask me any question that you want.
[00:00:59.300 --> 00:01:05.300]   You can join one of these Friday Q&A shows by becoming a patron of the show at patreon.com/radicalpersonalfinance.
[00:01:05.300 --> 00:01:10.300]   Patreon.com/radicalpersonalfinance. By the way, I encourage you that this is probably the cheapest and easiest way to talk to me.
[00:01:10.300 --> 00:01:16.300]   We don't talk about a ton of personal stuff, of course, but if you want to talk to me, this is one of your simplest and cheapest ways to do that.
[00:01:16.300 --> 00:01:18.300]   So, patreon.com/radicalpersonalfinance.
[00:01:18.300 --> 00:01:22.300]   We begin with Matt in Florida. Matt, welcome to the show. How can I serve you today?
[00:01:22.300 --> 00:01:29.300]   Thanks, Joshua. It's my first time calling in, but a long-time listener. I appreciate all the work that you do.
[00:01:29.300 --> 00:01:30.300]   My pleasure.
[00:01:30.300 --> 00:01:39.300]   My question is surrounding pursuing business versus being more involved in raising my young kids.
[00:01:39.300 --> 00:01:52.300]   We have a two-and-a-half-year-old that is currently in daycare three days a week and then a six-month-old that we're looking at childcare options and trying to hold off until she's at least a year old.
[00:01:52.300 --> 00:02:04.300]   I currently run my own business, been in it about two years and I'm almost part-time, maybe like 35 hours a week so I can spend time with my kids.
[00:02:04.300 --> 00:02:29.300]   We have my older daughter in daycare part-time and kind of at this impasse as we have a part-time nanny as well for the younger one and trying to figure out whether I should pursue growing my business more or I should take a step back and spend more time with my kids at this pivotal age.
[00:02:29.300 --> 00:02:37.300]   That's what I'm wrestling with. Not a specific question, but just figured I'd throw that out there for you.
[00:02:37.300 --> 00:02:46.300]   It's a super important one. One of the basic reasons we work generally for parents is to be able to provide for our children.
[00:02:46.300 --> 00:02:55.300]   The challenging interplay between should I work more in order to generate more money and invest that money into them or do I need time? How do I invest time versus money, etc.?
[00:02:55.300 --> 00:02:59.300]   How do I get more money? How do I get more money? And I think that's a really important question.
[00:02:59.300 --> 00:03:22.300]   She has a full-time job. She does not want to stay home with kids and her job is she is in office three days a week and then Monday and Friday she is at home and we can't… She is very involved when she is home with child care.
[00:03:22.300 --> 00:03:25.300]   Sure, of course. And how much money does she earn per year?
[00:03:25.300 --> 00:03:29.300]   Roughly $90,000.
[00:03:29.300 --> 00:03:32.300]   Your business is generating about how much profit per year?
[00:03:32.300 --> 00:03:34.300]   About $100,000.
[00:03:34.300 --> 00:03:37.300]   And what are your household expenses?
[00:03:37.300 --> 00:03:53.300]   Let's see. All it's between with daycare and everything probably in the $60,000 range.
[00:03:53.300 --> 00:04:10.300]   Okay. Well, the basic problem here is not a problem of kind of what would be best for the children. The basic problem that you have is going to be how do my wife and I work this out in our relationship?
[00:04:10.300 --> 00:04:26.300]   And then how long does this work? Let me ask just a couple more questions. Tell me a little bit about your vision. You've got very young children. Tell me a little bit about your vision for your 8-year-old, your 12-year-old, your 18-year-old. What's your vision as a father?
[00:04:26.300 --> 00:04:51.300]   I don't necessarily see myself as like a full-time homeschooler as they get older. But I mean like something we would like to do is maybe live abroad for a year and homeschool for like that single year and then have them either in a charter school or private school once they get to school age.
[00:04:51.300 --> 00:04:52.300]   Okay.
[00:04:52.300 --> 00:05:00.300]   And of course want to be very involved with all their extracurriculars and homeschooling them when they come home from school.
[00:05:00.300 --> 00:05:11.300]   Right, right. Your job or your business right now demands about 35 hours a week from you. Do those hours have to occur during a certain time or is there any flexibility there about when that occurs?
[00:05:11.300 --> 00:05:14.300]   It's 100% flexible.
[00:05:14.300 --> 00:05:29.300]   Okay. Well, I will try to give you my opinion as straightforwardly as possible. I'll identify what is my opinion versus what I think is research kind of borne out by the experience of other people.
[00:05:29.300 --> 00:05:46.300]   But it's going to come down to what can you do in your situation and what seems best to do given all the factors. And no other man is going to be able to tell you specifically what to do.
[00:05:46.300 --> 00:06:14.300]   It seems to me with every piece of research I've ever read, every article I've ever read, every bit of… I can't point to any evidence that would say that you get any better outcome with your children and their formation versus your children having a full-time parent involved in their lives or a full-time loved one, a full-time family member.
[00:06:14.300 --> 00:06:19.300]   One of the things that's super interesting to me is that this is just not talked about.
[00:06:19.300 --> 00:06:38.300]   This last week I was on Twitter and I got served up a Twitter ad. I forget what it was for, but it was something about teachers investing into how teachers in a classroom could solve behavioral issues in their children, etc.
[00:06:38.300 --> 00:06:47.300]   And I made a snarky comment before clicking on the ad. I said, "I'm going to go click on the ad, but what's not going to be in the article…" I'm going to click on that. I can't remember what the ad was for. It was an article.
[00:06:47.300 --> 00:06:57.300]   I said, "What's not going to be in the article is simply any discussion of parental involvement and emotional regulation that children have based upon being with their children."
[00:06:57.300 --> 00:07:01.300]   And so, of course, I went and I clicked on the article and lo and behold, there was not a bit of a mention of it.
[00:07:01.300 --> 00:07:10.300]   And so, these teachers are talking about nonviolent communication techniques and how we can teach all these psychological techniques and tendencies to children.
[00:07:10.300 --> 00:07:24.300]   And there's no discussion of the underlying cause, which is that very young children are routinely taken away from their parents and this causes psychological harm and damage in a child's life.
[00:07:24.300 --> 00:07:48.300]   I can't see any way around that. I'm not an expert in this. I have no psychology degree, but everything I've ever read indicates that the primary source, the primary font of emotional regulation, stability, etc. for a child is his parents, primarily his mother, especially in the early days.
[00:07:48.300 --> 00:08:07.300]   This is well proven at the infant level. Everything, you know, skin-to-skin contact. It's just demonstrated again and again that everything from the way that a baby regulates his breathing and the mother's and the baby's breathing in sync and the heartbeat in sync, the baby's emotional regulation with the proximity of his mother, etc.
[00:08:07.300 --> 00:08:23.300]   It's obvious at a fundamental biological level that the very best situation for a baby to be in is to be very, very close to his mother at all times.
[00:08:23.300 --> 00:08:29.300]   And, you know, dads are nice for babies. It's nice to be around. I enjoy my babies, especially when they get to about six months old.
[00:08:29.300 --> 00:08:38.300]   But at the end of the day, dads can't do much for babies. And what's funny is that we've joked about this so long that people don't even see it.
[00:08:38.300 --> 00:08:47.300]   You go back to, what was that movie? I think it was when I was in high school, Meet the Fuckers, where they, you know, the guy's got an artificial breast there that he puts the bottle underneath, etc.
[00:08:47.300 --> 00:08:56.300]   Like you could try to do things, but at the end of the day, we should acknowledge the fact that the fundamental thing that a child needs is his mother.
[00:08:56.300 --> 00:09:02.300]   Now, when does a child stop needing his mother? Well, there's a biological point at which a child doesn't need his mother.
[00:09:02.300 --> 00:09:11.300]   And again, there's ways to assess this. You know, if a mother dies during childbirth, thank God for amazing formula and ways that we can keep the child alive, etc.
[00:09:11.300 --> 00:09:21.300]   But at the end of the day, everything needs to be viewed as kind of a step off of the ideal, which is constant communication, constant presence.
[00:09:21.300 --> 00:09:33.300]   So how do you do that interplay between a mother and a father? Well, I think that if a child can't have his mother, then he definitely should have his father. Why?
[00:09:33.300 --> 00:09:43.300]   Well, there's no one else in the world other than the child's mother who's going to take a greater interest in the child, who's going to pay more attention to the child, who's going to care about the child more at a deeper level.
[00:09:43.300 --> 00:09:53.300]   And so anything that a father can do to be with his children and to encourage them and to be their presence is fundamental to the formation of the child.
[00:09:53.300 --> 00:10:05.300]   Everything I've ever learned about kind of early childhood formation indicates that most of who a child is gets built in the first years of a child's life.
[00:10:05.300 --> 00:10:17.300]   I can't quote all of the data off the top of my head as I would like to, but vocabulary acquisition is largely set in place by the time a child is a few years old.
[00:10:17.300 --> 00:10:25.300]   Values, the way that you interact with people, all of these things are set in place in a child's first few years.
[00:10:25.300 --> 00:10:32.300]   And everything about that is fundamental to who your children ultimately wind up being.
[00:10:32.300 --> 00:10:41.300]   If your children are touched a lot, have lots of physical comfort, lots of hugs, lots of snuggles, it fundamentally affects them.
[00:10:41.300 --> 00:10:42.300]   It affects their growth rates.
[00:10:42.300 --> 00:10:49.300]   You can go and you can find studies in orphanages where the children are just left in a crib and they're not touched and they're not snuggled and they're not played with.
[00:10:49.300 --> 00:10:51.300]   And it just stunts their growth.
[00:10:51.300 --> 00:10:52.300]   It stunts their intellectual capacity.
[00:10:52.300 --> 00:10:53.300]   It stunts their physical capacity.
[00:10:53.300 --> 00:11:07.300]   I've never seen a single bit of research that would argue with the common sense understanding we have that children need their parents, primarily their mother, in the beginning years.
[00:11:07.300 --> 00:11:17.300]   Now, it has been a fact and remains a fact throughout human history that we can't always have "perfection."
[00:11:17.300 --> 00:11:19.300]   We can't always have that.
[00:11:19.300 --> 00:11:29.300]   And so if we're going to come off of that ideal standard, for some reason, we have to then say, "What's the best that we can create in these circumstances?"
[00:11:29.300 --> 00:11:44.300]   So probably the perfect standard, if we were looking for perfection, would be that a child would be with his mother and his father in the home with his grandmother and his grandfather right there and surrounded by community 168 hours a week.
[00:11:44.300 --> 00:11:45.300]   That would probably be perfect.
[00:11:45.300 --> 00:11:46.300]   Well, of course, that's not going to happen.
[00:11:46.300 --> 00:11:49.300]   Even if mom is a full-time mom, mom needs a break.
[00:11:49.300 --> 00:11:51.300]   Mom needs to sleep, et cetera.
[00:11:51.300 --> 00:11:55.300]   So I take my babies for lots of time so that mom can have a break.
[00:11:55.300 --> 00:11:57.300]   Moms and dads need breaks.
[00:11:57.300 --> 00:12:00.300]   And so, you know, having a chance where there's other people involved.
[00:12:00.300 --> 00:12:08.300]   But we want to get as close to that as is possible given the various constraints that we face in our situation.
[00:12:08.300 --> 00:12:10.300]   Mom and dad can't be there all the time.
[00:12:10.300 --> 00:12:11.300]   Somebody has to earn income.
[00:12:11.300 --> 00:12:13.300]   Otherwise, we all starve and go hungry.
[00:12:13.300 --> 00:12:16.300]   There may be some variation of that.
[00:12:16.300 --> 00:12:21.300]   So if we're going to introduce variation to that, we want to do it in the smartest way possible.
[00:12:21.300 --> 00:12:25.300]   So, you know, moms and dads have jobs and have businesses.
[00:12:25.300 --> 00:12:29.300]   Well, we want to get as close to that loving environment as we can.
[00:12:29.300 --> 00:12:38.300]   So is there a grandparent who can come into the home and the child's in his own home where he's comfortable, where everything is there, and yet he's together with a grandparent?
[00:12:38.300 --> 00:12:39.300]   Why?
[00:12:39.300 --> 00:12:45.300]   Because a grandparent is going to care a lot more about the child on a deep fundamental level than as a paid caregiver.
[00:12:45.300 --> 00:12:54.300]   If we're going to institutionalize the child, we should be very careful about that and only do it when it's necessary and only to the highest level possible.
[00:12:54.300 --> 00:13:11.300]   The problem is that it's almost impossible to institutionalize a child and get anywhere near the high level of care and the high level of input that a child can receive at home simply due to the economics of institutionalization.
