
[00:00:00.000 --> 00:00:15.460]   Welcome, everyone, to the 80th edition of Bogleheads on Investing.
[00:00:15.460 --> 00:00:18.740]   Today, my special repeat guest is Jeff Pitek.
[00:00:18.740 --> 00:00:23.960]   Jeff is a charter financial analyst and managing director for Morningstar Research Services.
[00:00:23.960 --> 00:00:29.740]   In this episode, we'll discuss major trends in the mutual fund industry with emphasis on
[00:00:29.740 --> 00:00:33.440]   the hottest area, actively managed ETFs.
[00:00:33.440 --> 00:00:47.720]   Hi, everyone. My name is Rick Ferry, and I am the host of Bogleheads on Investing.
[00:00:47.720 --> 00:00:54.360]   This episode, as with all episodes, is brought to you by the John C. Bogle Center for Financial
[00:00:54.360 --> 00:00:59.480]   Literacy, a nonprofit organization that is building a world of well-informed, capable,
[00:00:59.480 --> 00:01:06.640]   and empowered investors. Visit the Bogle Center at BogleCenter.net, where you will find a treasure
[00:01:06.640 --> 00:01:12.260]   drover of information, including transcripts of these podcasts. Before we begin today, I'd like
[00:01:12.260 --> 00:01:19.440]   to remind you of the 2025 Bogleheads Investing Conference to be held at the Hyatt Riverwalk
[00:01:19.440 --> 00:01:27.500]   in San Antonio on October 17th through the 19th. We have an incredible lineup of speakers. It's going
[00:01:27.500 --> 00:01:33.980]   to be a wonderful conference in a wonderful location. Go to BogleCenter.net, where you could sign up to
[00:01:33.980 --> 00:01:40.020]   receive more information as it becomes available. In this episode, we're welcoming back Jeff Pitek.
[00:01:40.020 --> 00:01:47.400]   Jeff is a charter financial analyst and the managing director for Morningstar Research Services. Prior to
[00:01:47.400 --> 00:01:53.580]   that, he was the chief ratings officer. And prior to that, he was head of global manager research.
[00:01:53.780 --> 00:02:00.080]   Jeff was a guest on episode 33, where we discussed the state of the mutual fund industry at the time.
[00:02:00.080 --> 00:02:06.780]   In this episode, we'll venture into new trends affecting the mutual fund industry with special
[00:02:06.780 --> 00:02:14.180]   focus on the exponential growth of actively managed ETFs. So with no further ado, let's welcome back
[00:02:14.180 --> 00:02:18.060]   Jeff Pitek. Welcome back to Bogleheads on Investing, Jeff.
[00:02:18.820 --> 00:02:20.800]   Oh, Rick, thanks so much. It's a pleasure to be here.
[00:02:20.800 --> 00:02:26.380]   Well, a lot has happened in the mutual fund and ETF industry since I had you on a few years ago.
[00:02:26.380 --> 00:02:31.920]   It's really accelerated, especially ETFs that have come out and the number of companies
[00:02:31.920 --> 00:02:39.860]   that are creating ETFs now. So today we want to go over the state of the mutual fund and ETF marketplace.
[00:02:40.560 --> 00:02:45.480]   Look at the new funds that are opening, funds that are closing. We'll get into the active
[00:02:45.480 --> 00:02:50.500]   versus passive debate again. I mean, is this helping? And we'll talk about some portfolio
[00:02:50.500 --> 00:02:57.900]   management items at the end. Why don't we start out with the state of the mutual fund and ETF industry?
[00:02:57.900 --> 00:03:02.800]   Sure. I think it's a picture of a vibrant industry, but there's a dichotomy for sure.
[00:03:03.020 --> 00:03:07.820]   When you look at what's growing and what's contracting. So let's start with what's growing.
[00:03:07.820 --> 00:03:16.860]   Indexing writ large is growing. ETFs is a category within indexing is growing. And then even within
[00:03:16.860 --> 00:03:22.120]   ETFs, you're seeing active investing growing, which is probably something maybe we'll touch upon a little
[00:03:22.120 --> 00:03:26.760]   bit later in the conversation because that's a burgeoning area. And then what's on the flip side?
[00:03:27.240 --> 00:03:33.420]   It's basically the opposite of each one of those things. You're seeing active in many areas
[00:03:33.420 --> 00:03:40.680]   contract. You're seeing open-end funds as a category shrink further. And the convergence of
[00:03:40.680 --> 00:03:47.200]   those two things, active mutual funds have really been under siege in recent years. So it's an industry
[00:03:47.200 --> 00:03:54.480]   that continues to grow. And in fact, just by virtue of the market, even active open-end mutual funds
[00:03:54.480 --> 00:03:59.520]   have seen growth, despite the fact that some of them have seen prodigious outflows over time.
[00:03:59.520 --> 00:04:02.800]   But you're seeing some real puts and takes.
[00:04:02.800 --> 00:04:14.400]   So let's get into the numbers here. How many mutual funds have been created versus how many ETFs have
[00:04:14.400 --> 00:04:18.660]   been created, say, over the past three years since I had you won last?
[00:04:19.820 --> 00:04:25.500]   Okay. So in terms of mutual funds that have been created over the last three years,
[00:04:25.500 --> 00:04:27.900]   around 1,300 have been created.
[00:04:27.900 --> 00:04:30.060]   Does that include money market funds, too?
[00:04:30.060 --> 00:04:35.320]   No. I'm sorry. I should have mentioned that. So that's just sort of your traditional sort of stock
[00:04:35.320 --> 00:04:42.060]   bond allocation funds. No money markets included in that. And then if you're to focus on ETFs,
[00:04:42.420 --> 00:04:49.460]   there were around 1,700 ETFs that were created over the last three years. So you've seen more creation
