
[00:00:00.040 --> 00:00:10.460]   never
[00:00:57.400 --> 00:00:58.720]   and I'll see you next time.
[00:00:58.720 --> 00:00:58.720]  , I'm Josh, and I'm your host, and this is Friday, which means a live call-in show. I take a combination of calls, sometimes I take written questions, I'm hoping we have some time today to get some written questions, and these calls are open to patrons of the show, people who support the show on Patreon. Never know what they are, it's kind of like live radio, but here we go. If you would like to gain access to one of these shows, sign up to support the show on Patreon, and I'll see you next time.
[00:00:58.720 --> 00:00:58.720]   If you would like to gain access to one of these shows, sign up to support the show on Patreon, and I'll see you next time.
[00:00:58.720 --> 00:00:58.720]   If you would like to gain access to one of these shows, sign up to support the show on Patreon, and I'll see you next time.
[00:01:28.740 --> 00:01:28.740]   If you're following me in some of those formats, follow me on Twitter at joshuasheets, and I'll see you next time.
[00:01:28.740 --> 00:01:28.740]   If you would like to gain access to one of these shows, sign up to support the show on Patreon, and I'll see you next time.
[00:01:28.740 --> 00:01:28.740]   If you would like to gain access to one of these shows, sign up to support the show on Patreon, and I'll see you next time.
[00:01:28.740 --> 00:01:28.740]   If you would like to gain access to one of these shows, sign up to support the show on Patreon, and I'll see you next time.
[00:01:28.740 --> 00:01:28.740]   If you would like to gain access to one of these shows, sign up to support the show on Patreon, and I'll see you next time.
[00:01:28.740 --> 00:01:28.740]  , and I'll see you next time.
[00:01:28.780 --> 00:01:40.240]   I
[00:01:47.000 --> 00:02:16.120]  �t.com. I will send you my recommended reading list for financial freedom, 12 books. And I've had some great feedback just from that list alone. Several listeners have written to me and said that some of my book recommendations there have, and this is not hyperbole, have changed their life, have helped them in some really meaningful ways.
[00:02:16.120 --> 00:02:16.980]   So, I'm going to give you a little bit of information about that.
[00:02:16.980 --> 00:02:16.980]   I'm going to give you a little bit of information about that.
[00:02:16.980 --> 00:02:16.980]   I'm going to give you a little bit of information about that.
[00:02:16.980 --> 00:02:16.980]   I'm going to give you a little bit of information about that.
[00:02:16.980 --> 00:02:16.980]   I'm going to give you a little bit of information about that.
[00:02:16.980 --> 00:02:16.980]   I'm going to give you a little bit of information about that.
[00:02:16.980 --> 00:02:16.980]   I'm going to give you a little bit of information about that.
[00:02:16.980 --> 00:02:16.980]   I'm going to give you a little bit of information about that.
[00:02:17.120 --> 00:02:47.000]   I'm going to give you a little bit of information about that.
[00:02:47.000 --> 00:02:47.000]   I'm going to give you a little bit of information about that.
[00:02:47.000 --> 00:02:47.000]   I'm going to give you a little bit of information about that.
[00:02:47.000 --> 00:02:47.000]   I'm going to give you a little bit of information about that.
[00:02:47.020 --> 00:03:17.020]   I'm going to give you a little bit of information about that.
[00:03:17.020 --> 00:03:17.020]   I'm going to give you a little bit of information about that.
[00:03:17.020 --> 00:03:17.020]   I'm going to give you a little bit of information about that.
[00:03:17.020 --> 00:03:17.020]   I'm going to give you a little bit of information about that.
[00:03:17.020 --> 00:03:17.020]   I'm going to give you a little bit of information about that.
[00:03:17.020 --> 00:03:17.020]   I'm going to give you a little bit of information about that.
[00:03:17.020 --> 00:03:17.020]   I'm going to give you a little bit of information about that.
[00:03:17.020 --> 00:03:17.020]   I'm going to give you a little bit of information about that.
[00:03:17.020 --> 00:03:17.020]   I'm going to give you a little bit of information about that.
[00:03:17.020 --> 00:03:17.020]   I'm going to give you a little bit of information about that.
[00:03:17.020 --> 00:03:17.020]   I'm going to give you a little bit of information about that.
