
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:10.760]   - Solo, no besties.
[00:00:10.760 --> 00:00:12.680]   - Yeah, everybody else was scared away, I'm afraid.
[00:00:12.680 --> 00:00:14.640]   - Yeah, or you scared them away.
[00:00:14.640 --> 00:00:19.400]   Yeah, I mean, it was a challenging prompt.
[00:00:19.400 --> 00:00:21.400]   Interview Stephen Wolfram on stage in 40 minutes.
[00:00:21.400 --> 00:00:22.240]   So here we go.
[00:00:22.240 --> 00:00:24.820]   (upbeat music)
[00:00:24.820 --> 00:00:27.060]   ♪ Dash ride ♪
[00:00:27.060 --> 00:00:29.640]   ♪ Rain man David Sackman ♪
[00:00:29.640 --> 00:00:31.460]   ♪ I'm going all in ♪
[00:00:31.460 --> 00:00:32.300]   ♪ And it said ♪
[00:00:32.300 --> 00:00:33.620]   ♪ We open sourced it to the fans ♪
[00:00:33.620 --> 00:00:35.340]   ♪ And they've just gone crazy ♪
[00:00:35.340 --> 00:00:37.540]   ♪ I'll be the queen of Kinwans ♪
[00:00:37.540 --> 00:00:40.460]   ♪ I'm going all in ♪
[00:00:40.460 --> 00:00:43.860]   - It's a huge honor to talk to Stephen Wolfram,
[00:00:43.860 --> 00:00:47.380]   creator of Mathematica, Wolfram Alpha,
[00:00:47.380 --> 00:00:48.500]   and the Wolfram Language,
[00:00:48.500 --> 00:00:49.980]   the author of A New Kind of Science,
[00:00:49.980 --> 00:00:52.780]   the originator of Wolfram Physics Project,
[00:00:52.780 --> 00:00:54.380]   and head of Wolfram Research.
[00:00:54.380 --> 00:00:58.340]   Stephen first used a computer in 1973,
[00:00:58.340 --> 00:01:00.660]   and quickly became a leader in the emerging field
[00:01:00.660 --> 00:01:03.020]   of scientific computing.
[00:01:03.020 --> 00:01:06.220]   In 1979, he began the construction of SMP,
[00:01:06.220 --> 00:01:09.700]   the first modern computer algebra system.
[00:01:09.700 --> 00:01:13.220]   He published his first scientific paper at age 15,
[00:01:13.220 --> 00:01:15.620]   and had received his PhD in theoretical physics
