
[00:00:00.000 --> 00:00:10.040]   Hi, everyone. I'm Obi Fernandez, and I'm going to be talking to you today about some of the
[00:00:10.040 --> 00:00:16.720]   awesome things we're doing at Shopify, leveraging the power of Claude and Claude Code as part
[00:00:16.720 --> 00:00:23.120]   of our massive, in a way. I'll talk about that in a second. First of all, I just want
[00:00:23.120 --> 00:00:27.960]   to introduce myself. My name is Obi Fernandez. I'm a Principal Engineer in our Augmented
[00:00:27.960 --> 00:00:33.660]   Engineering Group. I work on everything that has to do with augmented engineering, in other
[00:00:33.660 --> 00:00:39.720]   words, using AI to improve developer experience at Shopify. I'm also the author of a pretty
[00:00:39.720 --> 00:00:44.100]   interesting book that you might like called Patterns of Application Development Using AI.
[00:00:44.100 --> 00:00:50.160]   So I hope that you look that up if you get a chance. Today we're going to be talking about
[00:00:50.160 --> 00:00:57.840]   the challenges of scale at Shopify engineering. We are a fairly large organization, probably
[00:00:57.840 --> 00:01:03.540]   one of the largest Ruby on Rails shops in the world. Our main application, we've been working
[00:01:03.540 --> 00:01:09.240]   on for almost 20 years, and has millions upon millions of lines of code. There's probably
[00:01:09.240 --> 00:01:17.240]   about 5,000 repos in our organization last time I checked. And we're generating about half
[00:01:17.240 --> 00:01:25.240]   a million PRs a year at last count, which is a significant amount of stuff to take into account
[00:01:25.240 --> 00:01:34.940]   when you're doing anything with AI, in terms of your context and whatnot. Our core challenge
[00:01:34.940 --> 00:01:41.940]   is how do we maintain productivity? Or rather, that's what my group focuses on. And I'm here
[00:01:41.940 --> 00:01:53.640]   to kind of tell you some of the solutions we've developed and how those interact with Cloud.
[00:01:53.640 --> 00:01:58.040]   The key, really, to understanding kind of the point of what I'm presenting, is to understand
[00:01:58.040 --> 00:02:05.640]   that there's two very, very different ways of using AI. One, which we've been immersed in
[00:02:05.640 --> 00:02:11.840]   throughout this conference today, are agentic tools. When we're talking about how to leverage AI
[00:02:11.840 --> 00:02:19.940]   as assistance and tooling, there's this agentic approach, which are ideal for scenarios that require
[00:02:19.940 --> 00:02:28.640]   adaptive decision-making, iteration, and autonomy. They shine when the tasks that you're trying to accomplish
[00:02:28.640 --> 00:02:36.840]   with AI help are exploratory or ambiguous in some way. And you're relying on the LLM's reasoning
[00:02:36.840 --> 00:02:44.340]   and judgment because your path to the solution is not known in advance. It might not be known in advance
[00:02:44.340 --> 00:02:49.840]   because it's a complex domain that you're dealing with that has factors that are changing all the time.
[00:02:49.840 --> 00:02:56.640]   It might be very, very complicated and just kind of beyond what you know. Or it might be like something as simple
[00:02:56.640 --> 00:03:02.240]   as a feature development where you're going to do some exploratory work to figure out how to implement
[00:03:02.240 --> 00:03:09.640]   that feature. Those kinds of use cases, as we've seen again and again today in the various sessions,
[00:03:09.640 --> 00:03:17.840]   are perfect for tools like Cloud Code. Anything that involves ongoing adaptation, debugging and iteration,
[00:03:17.840 --> 00:03:31.040]   is perfectly fantastic to give that to an agentic tool and see what it can do. In contrast, structured
[00:03:31.040 --> 00:03:37.840]   workflow orchestration, including what we can do with this open source tool that I'm going to present to
