
[00:00:00.000 --> 00:00:07.000]   Hey there wine lovers! Elevate your holiday wine time with WineEnthusiast.com.
[00:00:07.000 --> 00:00:14.000]   Wine Enthusiast has everything you need to transform your entertaining space into the ultimate wine spectacle of the season.
[00:00:14.000 --> 00:00:28.000]   From wine storage, to glassware, personalized accessories, furniture, and more. Uncork a little joy this year with Wine Enthusiast.
[00:00:28.000 --> 00:00:39.000]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years or less.
[00:00:39.000 --> 00:00:49.000]   Happy New Year to you! My name is Joshua Sheets and I am your host. I'll be walking with you all throughout this year on your path to financial freedom.
[00:00:49.000 --> 00:01:11.000]   I want to kick this year off with a series called 7 Rings of Freedom. These are 7 ideas, 7 specific decisions that you can make that I believe will substantially enhance your personal liberty, if you are interested in such a thing.
[00:01:11.000 --> 00:01:22.000]   Now, you should know, for me, liberty is a very important topic. That's not a surprise to any listener who's listened to more than about 2 episodes of Radical Personal Finance.
[00:01:22.000 --> 00:01:36.000]   But over the years, as I've thought about liberty and considered the different things that enhance personal liberty, I've realized there are some things that enhance personal liberty that most people don't talk about.
[00:01:36.000 --> 00:01:51.000]   And I believe there's real value in talking about it. Number 7, by the way, is going to be achieving financial independence. Using the definition that you can live on the income from your investments.
[00:01:51.000 --> 00:01:58.000]   That's what we're going to use as the definition for financial independence. That's the 7th thing in this particular series that we will talk about.
[00:01:58.000 --> 00:02:07.000]   And financial independence is important. It's important to me. It's important to you. I want to help you get there. I'm working hard to get there myself.
[00:02:07.000 --> 00:02:15.000]   The problem is that financial independence is only one component of personal liberty.
[00:02:15.000 --> 00:02:26.000]   And I think there are a lot of people who start to pursue financial independence because they think that that's the fastest and most direct path to freedom, to liberty.
[00:02:26.000 --> 00:02:32.000]   Each person might have their own reasons as to why they care about financial independence.
[00:02:32.000 --> 00:02:51.000]   But I think that if you were to put together a poll and poll a couple thousand people that are working towards financial independence, I think that what would eventually, what would come out of that poll is that most people are pursuing financial independence so that they can have a greater freedom of choice in their life.
[00:02:51.000 --> 00:03:04.000]   When I read people who write about why they want to pursue financial independence, that's usually what I see. Often people want the freedom to do what they want with any random Tuesday.
[00:03:04.000 --> 00:03:12.000]   They want the ability to live where they want, live how they want. Have control over their time, control over their schedule.
[00:03:12.000 --> 00:03:23.000]   Sometimes this is so that they can pursue an artistic endeavor or work out more, be healthier, spend more time with their children. There are many reasons and they're all different.
[00:03:23.000 --> 00:03:33.000]   But the unifying theme that they all seem to have is that people want choice. They want control over their time. They want freedom.
[00:03:33.000 --> 00:03:49.000]   But I don't think you have to wait until financial independence to enjoy that freedom. I think there are a number of decisions along the way that you can make that will help you to enjoy that freedom now or to enjoy that freedom very, very soon, very quickly.
[00:03:49.000 --> 00:03:59.000]   That way, while you're working your way towards financial independence, you can enjoy a lifestyle of freedom.
[00:03:59.000 --> 00:04:08.000]   So I want you to think about these seven things. I've already told you what number seven is, but we've got six more between today and the seventh in this series.
[00:04:08.000 --> 00:04:22.000]   I want you to think about these rings of freedom. Now, I've chosen that word rings on purpose because I believe that these are decisions that you can make that will lead to a lifestyle of freedom.
[00:04:22.000 --> 00:04:33.000]   And I believe that they're in a sensible order. Now, you don't have to do all of these. You can just pick or choose whatever you particularly find affinity with. That's fine.
[00:04:33.000 --> 00:04:47.000]   But I'll go through them in the order that they make sense to me. The order is largely the order that I have done these things in. And along the way, I have experienced a lifestyle of more and more freedom.
[00:04:47.000 --> 00:05:01.000]   On this particular topic, I know what I'm talking about. I'm speaking from experience. I have used these decisions to build massive levels of personal freedom into my life.
[00:05:01.000 --> 00:05:17.000]   And I want that for you. Having personal freedom, it's awesome. It's really, really cool. And I believe it's achievable for anybody who wants it.
[00:05:17.000 --> 00:05:36.000]   I used to believe that most people wanted it. And I've since come to believe that most people don't care about freedom. But for those people who do care about freedom, consider these ideas and consider if some of them are things that you might wish to practice for yourself.
[00:05:36.000 --> 00:05:53.000]   We begin with ring number one, which is this. Achieve spiritual freedom. Achieve spiritual liberty. Here's my argument.
[00:05:53.000 --> 00:06:09.000]   If you have personal spiritual liberty, you can thrive in almost any situation, no matter how bad or how difficult the outward circumstances are.
[00:06:09.000 --> 00:06:24.000]   No matter what comes at you, if you are a free person in your inner spirit, in your soul, you can thrive in almost any situation. Not just survive, but thrive.
[00:06:24.000 --> 00:06:43.000]   On the other hand, if you don't have personal spiritual liberty, you can be in bondage in almost any situation, no matter how good the external circumstances may appear to be.
[00:06:43.000 --> 00:06:53.000]   Now, this word spiritual liberty and spiritual freedom is a fairly loose word that would bear some definitions. And I'm not going to tighten it too much.
[00:06:53.000 --> 00:07:01.000]   I'm going to intentionally leave it fairly broad and open for your interpretation and your thinking. Because I believe this has broad application.
[00:07:01.000 --> 00:07:11.000]   But let me give you some examples to demonstrate what I'm trying to say and to prove the point that personal spiritual liberty is the place to start.
[00:07:12.000 --> 00:07:23.000]   Have you ever known somebody who, from outward perspective, would seem not to have a lot going for them?
[00:07:23.000 --> 00:07:34.000]   Perhaps this person was maybe an old widow who's living on a fixed income, just a meager social security payment.
[00:07:34.000 --> 00:07:46.000]   Lived in a very small and basic home. And yet that elderly widow just exuded a sense of warmth and peace and love, no matter how difficult their situation.
[00:07:46.000 --> 00:07:53.000]   Have you ever known somebody who was caring for perhaps a disabled son or a disabled spouse?
[00:07:53.000 --> 00:08:05.000]   And they couldn't go anywhere, they couldn't do anything, and yet they seemed content and at peace in the middle of that circumstance?
[00:08:05.000 --> 00:08:11.000]   Have you ever encountered somebody who worked at a very menial job?
[00:08:11.000 --> 00:08:18.000]   Perhaps it wasn't intellectually stimulating or even all that fulfilling. Perhaps it was difficult or smelly or backbreaking.
[00:08:18.000 --> 00:08:28.000]   And yet, they put their shoulder into it, they worked, and they just exuded genuine happiness and contentment?
[00:08:28.000 --> 00:08:33.000]   Have you ever known somebody who had experienced some debilitating injury?
[00:08:33.000 --> 00:08:39.000]   They became paralyzed, they lost the use of their eyes or their ears.
[00:08:39.000 --> 00:08:47.000]   And yet, even in the midst of those circumstances, they lived a peaceful and productive life.
[00:08:47.000 --> 00:08:54.000]   We've all known people like that. Or read about people like that.
[00:08:54.000 --> 00:08:56.000]   Now let's go to the other extreme.
[00:08:56.000 --> 00:09:03.000]   Have you ever known somebody who, from all external experience, perspectives, all external observations, would seem to have it all?
[00:09:03.000 --> 00:09:09.000]   Lots of money, perfect physical health, a beautiful body, surrounded by friends.
[00:09:09.000 --> 00:09:16.000]   And yet in the midst of it, they just seemed to be a miserable person?
[00:09:16.000 --> 00:09:25.000]   Have you ever known somebody who did truly interesting work, that they were well suited for, and yet in the midst of it seemed utterly discontented?
[00:09:25.000 --> 00:09:33.000]   Have you ever known somebody who earned massive amounts of money, and yet never seemed content with their wages?
[00:09:33.000 --> 00:09:41.000]   Have you ever known or heard about somebody who, from an outside perspective, would seem to have it all?
[00:09:41.000 --> 00:09:48.000]   And yet, ended their life hanging from a makeshift noose in the ceiling?
[00:09:48.000 --> 00:09:51.000]   Or sucking on the barrel of a gun?
[00:09:51.000 --> 00:09:56.000]   Those stories haunt me, personally.
[00:09:56.000 --> 00:10:01.000]   I don't know how you would have a more extreme depiction of what I'm talking about.
[00:10:01.000 --> 00:10:10.000]   Two of the widely publicized suicides of the last decade have haunted me, as I've thought about this particular example.
[00:10:10.000 --> 00:10:13.000]   I always think of Robin Williams and Anthony Bourdain.
[00:10:13.000 --> 00:10:25.000]   Robin Williams had this unique ability to make people feel good about themselves, to make people laugh, was loved by tens of millions of people.
[00:10:25.000 --> 00:10:34.000]   And yet in the midst of what would seem to be a very positive thing, that massive love and approval and appreciation of so many people,
[00:10:34.000 --> 00:10:41.000]   was in such a place of personal spiritual darkness that he felt he had to end his own life.
[00:10:41.000 --> 00:10:46.000]   Now of course, you and I don't know anything about the particular details of his situation,
[00:10:46.000 --> 00:10:52.000]   just an example of how from an outside perspective, it would seem like a dream life.
[00:10:52.000 --> 00:10:55.000]   But perhaps more important than that for me was Anthony Bourdain.
[00:10:55.000 --> 00:11:00.000]   If you were going to tell Joshua that he could trade places with anybody in the world work-wise,
[00:11:00.000 --> 00:11:04.000]   Anthony Bourdain would have been pretty high on my list.
[00:11:04.000 --> 00:11:09.000]   If you were going to lay out a dream job for Joshua and you told him that, hey listen,
[00:11:09.000 --> 00:11:12.000]   why am I talking in the third person?
[00:11:12.000 --> 00:11:17.000]   If you told me, Joshua listen, you have one job.
[00:11:17.000 --> 00:11:27.000]   Your job is to travel the world, to go to interesting, weird places, and meet with interesting, weird people.
[00:11:27.000 --> 00:11:33.000]   And eat interesting, sometimes delicious and sometimes gross, but guaranteed to be weird foods.
[00:11:33.000 --> 00:11:39.000]   And then do that on camera and produce something that would entertain people who have a similar interest to you.
[00:11:39.000 --> 00:11:43.000]   Put me up, sign me up. That sounds pretty great to me.
[00:11:43.000 --> 00:11:45.000]   Sounds really good.
[00:11:45.000 --> 00:11:49.000]   And Anthony Bourdain was the kind of guy who had just such interesting work.
[00:11:49.000 --> 00:11:51.000]   It always appealed to me. Such interesting work.
[00:11:51.000 --> 00:11:56.000]   Seemed to do well financially, seemed to have broken through in his career.
[00:11:56.000 --> 00:12:03.000]   And yet, for whatever reason, is at the place of such total misery that sees no way out.
[00:12:03.000 --> 00:12:05.000]   Except suicide.
[00:12:05.000 --> 00:12:09.000]   Now again, obviously I don't know the details of a situation.
[00:12:09.000 --> 00:12:12.000]   But I think these examples demonstrate the point I'm trying to make.
[00:12:12.000 --> 00:12:14.000]   And you can think of other examples from your own life.
[00:12:14.000 --> 00:12:19.000]   I like to use public examples, that way I'm not disturbing anybody's privacy.
[00:12:19.000 --> 00:12:29.000]   That outward circumstances certainly have some influence on somebody's professed personal happiness, personal contentment, sense of peace.
[00:12:29.000 --> 00:12:33.000]   But they don't have ultimate influence.
[00:12:33.000 --> 00:12:37.000]   It's too obvious that they don't.
[00:12:37.000 --> 00:12:54.000]   So if you're looking for a way out, if you're looking for a way to be able to come through and to find a sense of freedom in life, it's not going to be guaranteed by your external circumstances.
[00:12:54.000 --> 00:12:56.000]   Will it be helped?
[00:12:56.000 --> 00:12:57.000]   Maybe.
[00:12:57.000 --> 00:12:59.000]   Maybe.
[00:12:59.000 --> 00:13:10.000]   I appreciate the fact that I'm at a point in my financial life that I don't worry about how much it costs to fill up the gas tank.
[00:13:10.000 --> 00:13:12.000]   I remember when I did.
[00:13:12.000 --> 00:13:16.000]   I remember when filling up the gas tank was a big financial event.
[00:13:16.000 --> 00:13:20.000]   Now, I don't even look at the price, I just fill up the gas tank.
[00:13:20.000 --> 00:13:22.000]   That's a real blessing.
[00:13:22.000 --> 00:13:34.000]   And is it, am I a little happier, do I feel a little bit freer today when I don't have to worry about the price of gas versus the past?
[00:13:34.000 --> 00:13:37.000]   Yeah, maybe a little bit.
[00:13:37.000 --> 00:13:40.000]   But honestly not that much.
[00:13:40.000 --> 00:13:48.000]   Because there's just a new worry and a new concern, a new financial pressure that replaces the gas tank.
[00:13:48.000 --> 00:13:55.000]   And I was doing well back when filling up the gas tank was hard, and I'm doing well now.
[00:13:55.000 --> 00:13:58.000]   So the point is that things like money, will they enhance your freedom?
[00:13:58.000 --> 00:14:02.000]   Yeah, I think they will, but not nearly as much as many people believe.
[00:14:02.000 --> 00:14:15.000]   And you can enjoy that sense of freedom and liberty now by achieving personal spiritual freedom and spiritual liberty.
[00:14:15.000 --> 00:14:26.000]   Now, under this umbrella of personal spiritual liberty, we could bring in all kinds of personal behaviors and addictions.
[00:14:26.000 --> 00:14:50.000]   If you have all the money in the world, and yet you're hopelessly addicted to alcohol or drugs or pornography or coffee or adrenaline or something else, lying, you're in bondage.
[00:14:50.000 --> 00:14:58.000]   No matter what the external circumstances are in your life, you're still in bondage.
[00:14:58.000 --> 00:15:05.000]   You have this compulsion, this addiction, perhaps this demon.
[00:15:05.000 --> 00:15:11.000]   And as long as you're under the influence or the control of that thing, you can't get free.
[00:15:11.000 --> 00:15:19.000]   I remember when I was addicted to pornography when I was younger, and it just felt like this thing that utterly controlled me.
[00:15:19.000 --> 00:15:25.000]   I could live this publicly in control life, but at the end of the day, I was a victim of my own lust.
[00:15:25.000 --> 00:15:29.000]   I was a slave to my own lust.
[00:15:29.000 --> 00:15:31.000]   Some people experience that with substances.
[00:15:31.000 --> 00:15:34.000]   You're a slave to a substance.
[00:15:34.000 --> 00:15:37.000]   You have to have this thing.
[00:15:37.000 --> 00:15:49.000]   Anything like that in your life is a sign that you don't have personal spiritual liberty.
[00:15:49.000 --> 00:15:57.000]   And no matter how great your outward circumstances are, you're always going to be a slave of that thing.
[00:15:57.000 --> 00:16:17.000]   But if you can achieve freedom from that addiction, freedom from that bondage, from that slavery, if you can achieve that freedom, you can enjoy that freedom and have a greater sense of meaning, a greater sense of purpose in your life, even though you're not financially independent.
[00:16:17.000 --> 00:16:25.000]   But if you are financially independent and you're still a slave to those things, that financial independence will feel hollow.
[00:16:25.000 --> 00:16:27.000]   I hope I've made my point sufficiently clear.
[00:16:27.000 --> 00:16:35.000]   If you can have personal spiritual liberty, you can thrive in almost any situation, no matter how difficult the external circumstances.
[00:16:35.000 --> 00:16:49.000]   If you don't have personal spiritual liberty, you can be in personal bondage and slavery in almost any situation, no matter how seemingly good the external circumstances.
[00:16:49.000 --> 00:17:03.000]   So the most important thing you can do to achieve personal freedom will be to achieve spiritual freedom, spiritual liberty.
[00:17:03.000 --> 00:17:08.000]   Now, thus far in this particular show, I've not given a definition of how.
[00:17:08.000 --> 00:17:20.000]   And in this series of shows, I'm going to try to sell an idea to you in the first part of the show, sell an idea to you, try to get you motivated and try to get you to say, "Hey, yes, that sounds, that makes sense."
