
[00:00:00.040 --> 00:00:09.560]   guarded
[00:00:09.560 --> 00:00:10.760]   but think in
[00:00:28.340 --> 00:00:39.780]   I
[00:00:39.780 --> 00:00:53.740]   myself. I, and,,,, dynamic反 the reason the plan the chin the gentlemen the 他zel instead the則 DC,wh,omes,anny, spic, risk, przeci,사�, Good, 很,,,,,,,,,,,,,,,,,,,,,,,,,, and be in a E. and I'm all Currently butaty is 5 swap and ofила g lament itself ands and of get a con� Hoff andfeed and económ axle e doctrine and healing the work and border and switches and livs and Dustin screen and
[00:00:53.740 --> 00:00:54.680]   Owop and I's and I'm go and the
[00:00:54.680 --> 00:00:54.920]   Tyson sound and so I'm a
[00:00:54.920 --> 00:00:56.660]  имо in the
[00:00:56.660 --> 00:00:57.080]  注意 the
[00:00:57.080 --> 00:00:58.320]  uria and start giving has the nature I'll and recognised space andelet the não
[00:00:58.360 --> 00:01:08.460]   tap
[00:01:08.460 --> 00:01:09.760]   was, dot dot,
[00:01:09.760 --> 00:01:27.440]   지 can'tinfl
[00:02:25.900 --> 00:02:33.380]  otta
[00:02:33.380 --> 00:02:36.140]   5,
[00:02:36.140 --> 00:02:46.080]  ru perform tryin
[00:02:46.080 --> 00:02:54.160]   I I I I or out, or, 5, 5, 5, 5, 5, 5, 5, .,. ,. ,,.,.,.,.,,, .,,,,.,,,.,,.,., in the.�
[00:02:54.760 --> 00:03:02.660]   that
[00:03:02.660 --> 00:03:05.020]   at the stuff oh,,,, an
[00:03:05.020 --> 00:03:23.980]   Everyone Nummer Award but it is the wood chпpppppr the說àng donuts weighPD vanished permoth would make thing but a word經 a good and ohテ is even a 20 corpo and right. It's aều, "l, and, and, 'P. I'm, -, 'ники, and, 'G, a, and, ', ', ', ', ', ', ', ', ', ', ', ', ',, ',,,,, ',,,,, ',,,,,, ',,,,,,,,,,,,, works.,, e,,,, over a,, eight continue be b', brought nothing舉 A, CN ITS. nice bootsudi shout Dur upset
[00:03:24.080 --> 00:03:53.120]   I want to also use it as a loose way of discussing a principle that I practice, and I try to break the model of good, fast and cheap. Think of the sign that you've no doubt seen in your mechanic shop that says you can have your work done good, you can have your work done fast, or you can have your work done cheap. Now, I love that sign because I think it expresses a truth, especially a truth as relates to really any kind of serving.
[00:03:53.160 --> 00:03:56.800]   away
[00:03:56.800 --> 00:04:00.540]   min couldn dough,,,
[00:04:00.540 --> 00:04:04.460]   prayer. I'm a very, ,,,,, or Mister
[00:04:22.980 --> 00:04:32.820]  oting
[00:04:32.820 --> 00:04:36.980]   happen chemical filled. I think,,,,ин
[00:04:36.980 --> 00:04:46.760]  新
[00:04:46.760 --> 00:04:51.220]  nierlig Esper mim or az �mer as . ' . . . . . .. " . the. " at. " set the represent the愛't the�
[00:04:51.660 --> 00:05:20.340]   driveway and you really it's not livable. You don't really have any amenities hooked up to it. It's just in it's stuck there and you don't have a vehicle to pull it with and all of a sudden you got to move fast to solve the problem. I'm going to share that story with you. One other point of introduction here though on good fast and cheap. I modified this a little bit when I'm buying things. So I don't think you have to choose between good fast and cheap when buying things. I think you can find good. I think you can find fast. I think you could find cheap. The way I modify it
[00:05:20.340 --> 00:05:20.340]   .
[00:05:20.380 --> 00:05:23.280]   Talking
[00:05:23.280 --> 00:05:31.440]  種!, Him,, let end " Trust
[00:05:31.440 --> 00:05:38.760]  gi
[00:09:36.200 --> 00:09:39.220]   their
[00:09:39.220 --> 00:09:42.420]   within,,,
[00:09:42.420 --> 00:09:47.160]   light. You F N 12
[00:09:47.160 --> 00:10:06.100]   trig
